,bulk|CASP_biorep1,bulk|CASP_biorep2,bulk|CASP_biorep3,bulk|Disrupted_biorep1,bulk|Disrupted_biorep2,bulk|Disrupted_biorep3,shx|Disrupted_biorep1t6,shx|Disrupted_biorep1t7,shx|Disrupted_biorep1t8,casp|CASP biorep1 400min,casp|CASP biorep1 511min,casp|CASP biorep1 621min
HQ24_RS02850,-3.3824393150764758,-4.139313187915257,-5.430002393186893,-3.8232167616883963,-3.4397778289370775,-3.893515087870975,-2.8853653912304678,-2.9951272743326713,-3.2952744819111093,-2.8080986926361913,-3.1026466315212273,-3.087750022898228
HQ24_RS14780,2.10651695836346,2.0825265003579614,-2.2851742556881223,1.7926392059558318,1.7615283395150292,2.3116454512960556,1.6519789269612044,1.513008039702731,1.1818497997320305,0.9665264852999451,0.7980012141911867,1.4895279693130083
HQ24_RS14810,-4.176170091897153,-3.5215659103519092,-3.3177486209384366,-4.689918483235273,-4.151959222872198,-4.72475342061013,-3.493947220696821,-3.272556210007794,-3.6160860263058083,-3.537860989887003,-5.355861176882044,-4.340775334782205
HQ24_RS14995,0.1820291389880504,-0.8916841491983747,0.10819120097433288,2.0471399149892098,2.545173888943468,2.239740347341034,2.0300204017401926,1.3191265634966065,0.386494957403376,-0.5447185199882152,0.5706908620291915,-0.1827820518746548
HQ24_RS15045,-7.533951276606093,-4.098008225727139,-7.533951276606093,-3.7021858284688314,-5.69087707209481,-4.955975407476693,-4.959834320573115,-5.664408233801216,-5.093360047841985,-5.83319517112756,-6.965766399012743,-5.480914199929796
HQ24_RS15200,0.4899367762254272,0.1250202528236608,0.24045757842843418,2.281123329051277,2.6991018340147734,2.9753877589594415,2.006283737977241,1.753381843037718,1.3593752328988797,-0.5383838650400392,0.245390009417922,0.10014041995655898
HQ24_RS24660,-1.7333883980341236,0.36223886220040225,-1.7333883980341236,1.1962981423978873,1.1675929362637323,-1.7333883980341236,2.8594160730565052,1.5497810261794358,0.9136241819803694,0.965244032490219,0.9353806066114292,0.9537422525950314
KanR,1.2717917021724041,1.141033888806497,1.1296823525098105,0.5088807283058507,0.9078748931930889,0.9469830600314424,0.9106673002963355,0.6316631229143006,0.5220804329704336,-0.18040898857812948,1.5328818081005728,0.6758290224770924
Spc,0.8107633360381801,1.0431231667537144,0.9846896557708682,-0.32390789883265825,0.05222961744107657,0.008767513644052372,-0.3713298814453285,-0.2282878107891282,-0.6217761987504762,0.32953493252374955,0.1446072825267759,0.18578891585008606
YFP,-0.7941647505262122,-0.5081178064799214,-0.30768048360011235,-2.418763131000274,-0.7899494498573798,-1.7460233433513963,-1.11810488314954,-1.0292985751092463,-1.1507381221217639,-0.017499205278744157,-1.2135699593670815,-0.1928803918140396
aaeA,0.34368702601222,1.124190021923396,0.8324034231211836,2.5471309928986363,1.8167462387919455,2.268889163756165,2.146872601248967,1.8561959046555767,1.9627209289184853,1.57797387480106,1.1901107316117772,1.2805039336807331
aaeB,-0.45873222537924363,-0.3856698392417153,-0.5405706272310757,2.0781784055799157,1.2976825521359396,1.8689192133013357,1.1666856822972864,1.2827857956307636,1.4111993850828943,0.8653684127645276,0.6837816797658949,0.15727967274443966
aaeR,0.9199965784359456,0.3458364128927931,0.1914787944654588,1.3129649521889473,1.107974873474097,1.365087178257225,1.5361304379909475,1.3258334604865096,1.3439128555370035,0.6509535001948468,0.08169083376832198,0.47353119106162467
aaeX,3.8179396170596975,3.403168616422632,3.6023884791024727,3.8915995360113538,4.447227255225588,3.6760985767792045,3.1237263943784033,3.446400105649028,3.0576962863125443,3.062119702226734,2.627995881756847,2.5959456016775166
aas,0.038979022407581,0.15354223842725645,0.20435231338289306,-0.5669159200594631,-0.5087023014577898,-0.5620166728814375,-0.3220819189662514,-0.18209266339018804,-0.257837191331749,0.4839273547442069,-0.24859124014680134,-0.4111224212322018
aat,0.6169899897448534,0.05385056356589679,0.07546059708454322,-0.20607838723120508,0.14567342185985765,-0.11140997264921637,0.2708758765516812,0.4102106609249425,0.5080836771084698,0.8187000910003608,1.853396751820565,1.4524633987038218
abgR,-0.7382699004628028,-1.8322215283547347,-0.7285844888642972,-0.8635887197011147,-0.913703773177792,-0.8276932320904731,-1.2408549933154749,-1.109434558648438,-1.1356202040572523,-0.7819818613176777,-0.5566166498407767,-0.5839245611806128
abpA,-1.4274718588510655,-1.3468818835653256,-2.0046125277360636,-0.8479275381803895,-0.9626746693097541,-1.1758773461936567,-0.48399572223011944,-0.1954131100394072,-0.21928016152011587,0.18803404525093192,-0.2138212320979349,-0.5465653541551436
abpB,-1.5700475418290374,-1.7575544167851804,-2.2333301874486793,-1.3009976581645226,-1.4613566772665374,-1.6932052267647864,-1.1138541903462915,-0.9242197216348309,-0.7974186040905469,-0.3573766174863895,-1.9163532006121784,-1.5070359754896305
abrB,0.5917664763294654,-0.6155154430732157,0.9115532553168118,-0.09143002500353381,0.2996064380535781,-1.1201502056623607,-0.4281030799889436,0.031029230767670057,-0.5846120235608181,0.03046652667957961,-1.2705091476340353,-0.14555732873605454
accA,-0.5597460192217465,-0.33238123129921426,-0.354421400144199,-0.4922063106323158,-0.14632160512961967,-0.1710634787629779,-0.5807867877565673,-0.6788587478654815,-0.8442395659724333,-0.7983604209830641,0.13803721888664455,-0.2570539817069246
accB,-3.5899459612301197,-3.5465223266224672,-3.6729211267061928,-2.9572308327342878,-3.1762616547187115,-2.8508191170969397,-3.49213955697315,-3.8796908420238303,-3.950359875609525,-3.734887515751538,-3.5880423277288003,-3.7923868519542996
accC,-3.7116500560850234,-3.5774218022040873,-4.100862185417611,-3.451829265493325,-3.581228516811654,-3.2248535894533106,-4.203748110215377,-4.529338393250338,-4.235601297543907,-4.319741444998048,-4.860968634866609,-4.917438563191472
accD,-0.8298981743098537,-0.7386957779208227,-0.8518315330557886,-0.7261861665546068,-0.5536147058355585,-0.4321820652047492,-1.3940102359493576,-1.7210281392196016,-1.8715547157341437,-2.2446201720109293,-0.5676644781894904,-1.702272190831982
aceA,-1.2659633741350707,-0.713681156849379,-0.870508336318057,-1.1103617122415272,-1.5585344567398547,-1.6762888176856947,0.5415351932231687,0.6472561899065088,0.6741066927763679,1.9411598478763334,1.0306356025029473,1.4448741292279887
aceB,-0.24002827815076522,0.26455422397469164,0.18037205109815346,0.26159121739692104,-0.15893308035503573,-0.21771521755780476,1.5131956740995385,1.407614224031514,1.4846976112837726,2.2207236745011265,2.267989291270613,2.254343685535831
aceE,0.002419597387035566,-0.25546025986313303,-0.03635941910399332,-1.8708857082114285,-1.529331558262605,-1.9963496859964085,-1.9287268263025474,-1.8146050051929645,-1.5661324761947082,-1.3918221618655355,-1.7088276851846835,-1.2560940368418265
aceF,0.1169839240720858,-0.006236354163343449,-0.02290779250280295,-2.114955677974482,-2.060137370915008,-2.2032188101351267,-2.5603946200620413,-2.216178868175877,-1.8027290398637845,-1.417222150215638,-2.5500508973263845,-1.736988499168902
aceK,-0.8611365204702821,-0.6120842669922517,-0.6972923898518815,-1.9742228340141725,-2.465533027436673,-2.3165013208407528,-0.3340517047711531,-0.11217738190840976,0.17508635562704455,2.042762864483443,0.2124046742458514,0.5349172557330473
ackA,1.458226793347647,1.2364199185573437,1.3429450302587664,-1.409225966481456,-1.1233267934024127,-1.4757709807258639,-0.9112699640117796,-0.2012988653909904,0.30813688221364544,0.9737367605063803,-1.2165188612362243,0.10012521283619158
acnA,1.3046206378839447,1.0233923275090184,1.1809102537530745,0.3904691182764459,0.9356814516482714,0.6667844149336855,1.5093448339190996,2.1146216197810404,2.571509044369492,2.0042459344662973,-0.22898912754135736,0.9939471515101932
acnB,-1.0302129141171275,-1.1076316169963505,-1.111080826467047,-1.570354218397524,-1.8129091373899122,-1.5162400465924328,-2.178203781020583,-2.712977763326407,-2.7053554775192534,-2.6411401026249735,-1.5452625649186142,-2.123471230868109
acpH,0.8516716299675364,0.565089045507138,0.6439618060307106,1.9944719232142836,2.7832686602920242,2.6163576531161015,2.0895954279493534,1.8181034613881852,1.8487010655228584,1.5330653470770592,2.8269772755873177,1.861431210442305
acpP,-1.1369180995358352,-0.9128363510826816,-0.7661837098627764,-1.1118843097180378,-0.48306739837190626,-1.0925329051350623,-0.7830285734059377,-0.96106860047853,-0.8768086409977833,-0.41745524526830025,-0.3610554217015043,-0.41790717885405293
acpS,0.2257604131064852,0.6520843695181568,0.09058255239242818,-1.4342468498385497,-1.9019620985349972,-1.2558003454043316,-2.300006508772931,-1.8119291884507644,-2.1321247585304866,-0.8510551303516394,-1.0750626622889738,-1.5677195664893988
acpT,-0.7285060813346211,-0.6410446050038718,-0.7811903755586842,-1.030376510858848,-0.4445119571232379,-0.4676662684100803,-0.42211331167867083,-0.6416174645871173,-0.23989548874228905,0.9789683754925989,0.5557331838449251,0.09507060196341399
acrA,-1.6689176590892458,-1.6689081766798868,-1.533992536447185,0.02782222489589259,0.058418590782741475,0.21737083840407045,0.24562547705880533,-0.007761136509325084,-0.09156708614324494,-1.0227576359669897,-0.6967771438601709,-1.1381199835716558
acrB,-2.203477697845642,-2.0134905604332207,-1.8418590668074444,-0.2125188697418352,-0.15621937919377338,0.039437065464627,0.0012614693476837857,-0.12279835120211047,-0.07509776188539163,-1.9000876555735449,-1.9551259928096183,-2.1912759695553508
acrD,-0.5225179035353094,-0.8370761613496809,-0.6054507763920878,0.8855240410824887,0.14118790500758216,0.5740503190821187,0.26506032355438336,0.21035651454516824,0.29505264633387185,-0.3775984548921887,-0.7311960988208916,-0.7988952227294259
acrE,-2.1895740549709846,0.726566066202813,-2.1895740549709846,1.997129769730729,0.7114072793268713,1.4656669191844722,-0.7305496237398392,-0.05285478423187984,-1.169458501414368,-1.6898214864960992,-2.464507940067851,-1.051414128370313
acrF,-0.2419959789607855,-0.1747448706725585,-1.3670835274326576,1.0808061475971709,0.19696055122548284,0.3463519154661361,0.619796947732028,0.5675616048110079,0.6696954898550391,1.3791045140229503,0.871472511051155,0.6988161862000029
acrR,-2.6527453360003643,-2.004823020053234,-2.726583274014082,-0.42837523505290775,0.3249949386433455,-0.5950341276473807,-0.6675883602925952,-0.8910742367157596,-0.8712438851146338,-1.8518013012074146,-1.6398772391104153,-2.0532949136291956
acrZ,1.327506430270355,1.6372836220733253,1.7403426429796687,-1.4647355276423388,0.5931977923964853,-0.4330297640092544,-0.2110171324937582,0.1896256895713746,0.07193353131077185,1.070402697586216,1.298284769386866,1.7661729468730378
acs,-2.033928343047778,-2.038177434619726,-2.0760961232161996,-4.1982014879295075,-2.484811512493767,-3.1199441982831804,-1.459179002083049,-0.8689559159124869,-0.6649535438882221,-0.4023272445734829,0.49044517340411,0.15654330221247115
actP,-3.1594809916808355,-3.1312647785933194,-2.985980425549217,-5.669268371125855,-4.20702037792433,-4.851850849668583,-3.3300427658545146,-2.7845546695323193,-2.557175252084585,-2.141018405218622,-2.0752332037148076,-1.8475930492138257
actS,-0.6541671472992983,-0.8158985526098759,-1.0246144481617323,-0.25072592923297776,-0.029882383220783737,-0.12011216257381818,-0.37727204938045666,-0.31371622804599575,-0.7212380380286447,-0.6908345047422166,-1.382711577013625,-0.9072697585160627
ada,2.4537563325433327,2.408648597329834,2.5670027027447384,2.0157261828850013,2.919854067792449,2.7459292448060557,2.8478220660722586,3.1943498895061326,3.445481898018568,2.6684004168415116,3.34388914614476,3.188054414536615
add,3.9618835615314394,4.04145886566429,3.7523080528219994,2.3770177531420424,2.7177963189602847,2.612032010996699,2.4163484114341465,2.2889699365657563,2.05220821463433,2.474305100324754,3.9098253342653173,3.7216950021950144
adeD,1.341721964161441,1.8918620248559703,1.551322867627774,0.9942243608284409,1.0648866701391517,1.6853832748462478,0.9878176688673221,0.97627596775685,0.7800589728645031,1.235077935281626,1.2726958781822093,1.80839781697824
adeP,-4.054806678089177,-3.6997242356791826,-3.7250022099982925,-3.5114046254867546,-3.8605011950785464,-3.505376658424888,-4.476156370007317,-4.605146056081454,-4.6533875904419775,-4.989707284406406,-4.935474749495768,-5.41266778945222
adeQ,2.5775278057856728,2.651494419778331,3.047354071993693,1.9270485554542995,2.0662226560494705,2.2485293745262798,2.4309238930171286,2.6205625099526335,2.7828141986778254,3.3851358997254533,2.7966978828241293,2.8818972309095736
adhE,2.14140464852186,1.7637532638252917,1.7966262849472852,-1.9614234492020586,-0.5762968343225445,-1.1761372381383257,0.30749294549337414,0.8197812279099939,1.233478462647975,1.6853592463411484,0.9382766505778743,1.741927472856947
adhP,0.6764087695114629,0.437815559481292,0.37210567432376074,-0.048295882418136316,0.13966405301668772,0.11905922346984887,0.7764393666985026,0.8246021317784145,1.02090540615076,1.1926744446419928,1.942922097117572,1.3987178269244769
adiA,1.7156561419934464,0.8314033606717253,-1.5325377027160538,-0.3416016091710201,-1.1900135409243937,0.07519487746329467,-0.8750407828850637,-0.4644834531148456,-0.5665186779158269,-0.18094944549881387,-0.309897355343864,-0.38451545958137334
adiC,2.838867984478808,2.765510400882851,2.288315404521574,2.4627387184575267,1.4489252946128182,1.530676661097496,2.334212669146547,2.3880215869805292,2.133439403050029,2.5550838631613817,1.9937477389017526,2.2059179937273314
adiY,4.926871575246218,5.630466972916711,4.351468032871359,3.965533492751094,3.9333864265413494,4.168364257961919,4.637957872885121,4.258166028497734,4.042511724663093,4.297416012133608,4.0834581097286,4.440089389689313
adk,-2.4636404681831134,-2.251706710693515,-2.6747032037462652,-2.121745534850442,-1.8238877417850237,-1.9326238022150068,-2.619713180320316,-3.018399478985369,-3.4589595243889173,-3.126252834543207,-2.4046312279145585,-3.1173947678750604
adrA,3.9942073382485095,4.113732433605685,4.079605188554398,1.690732525327955,2.3140492948957547,2.116234762642975,2.4247610749580364,2.5138702011075464,2.526666881994707,3.165895064972216,2.998516146335337,3.3440862361867065
aegA,0.20174792156970955,0.15506011417079435,1.044054732493489,0.9226800910575106,0.6339868814929988,0.9725729898116304,0.4901303869670697,0.47690531981279616,0.5072702344160422,0.7177095100073094,1.044711101611047,0.41479134156200814
aer,-1.683748228689721,-2.2124981648556465,-1.923507789989145,1.2803620339544715,0.6249439323600114,0.9718150086029365,0.13891748511096935,-0.015299117148506625,-0.0318946137461289,-1.61707684842486,-2.342629288752751,-2.251293943229852
aes,1.901814975828164,2.583808993582778,0.5645750810023262,0.820774198050156,1.179182984456264,0.9146268404316071,1.0041932410148773,1.2339887646765941,0.8111087369000867,1.800748047092732,2.367763113727224,2.1201339026623964
