gene,Reg-Arrest1 rep1,Reg-Arrest1 rep2,Reg-Arrest1 rep3,Reg-Arrest2+SHX 400min,Reg-Arrest2+SHX 511min,Reg-Arrest2+SHX 621min,Dis-Arrest1 rep1,Dis-Arrest1 rep2,Dis-Arrest1 rep3,Dis-Arrest2 rep1t6,Dis-Arrest2 rep1t7,Dis-Arrest2 rep1t8
yeiQ,2.55247,2.52073,2.42351,2.23491,2.46992,2.53105,2.51235,2.58868,2.5649,2.7565,2.82335,2.83847
yeiR,1.75568,1.91831,1.49402,2.01012,1.97076,1.6353,2.53642,2.32347,2.40854,2.20084,2.08072,1.98218
yeiS,1.23026,1.23981,0,1.37709,0.968492,1.28053,0.881924,1.18277,0.776048,1.28237,1.17415,1.14832
yeiW,1.11376,0,0,0.572803,0.339599,0.764983,1.39498,1.48797,1.35297,1.1105,0.8828,0.946573
yejA,2.33626,2.48963,2.4591,2.60703,2.47166,2.50238,2.48688,2.6418,2.59882,2.68856,2.73591,2.74852
yejB,1.69,1.63912,1.37369,1.79365,1.24552,1.39974,1.59542,1.3098,1.53326,1.53386,1.66386,1.71215
yejE,1.56801,1.88255,1.20669,1.98623,1.06713,1.25219,1.68717,1.57087,1.41255,1.54949,1.63812,1.59484
yejF,2.09671,1.82271,1.37369,2.16219,1.56315,1.83563,1.68717,1.61395,1.53326,1.69759,1.84511,1.89516
yejG,3.60067,3.6904,3.64282,3.68751,3.77173,3.83715,3.34372,3.85231,3.62665,3.61264,3.76197,3.6702
yejK,2.4607,2.48032,2.31129,2.24855,2.53315,2.39877,2.61287,2.5587,2.63196,2.52146,2.49899,2.4161
yejL,2.20663,2.21671,2.22283,2.49973,2.90958,2.81812,2.24162,2.50944,2.15686,2.57092,2.63774,2.71556
yejM,3.04941,3.03401,3.05428,3.01595,3.00486,2.99584,2.73225,2.98099,2.89748,2.92302,3.03787,3.07982
yfaA,1.69,1.80077,1.20669,1.76736,1.87225,1.65889,1.97771,1.58571,1.67574,1.63928,1.60364,1.70474
yfaE,1.56801,1.72743,1.37369,1.4803,1.21523,1.25219,1.80087,1.79107,1.71906,1.60013,1.67618,1.54387
yfaL,2.46667,2.44607,2.54181,2.59004,2.43163,2.49908,2.80106,2.54289,2.66587,2.53832,2.54323,2.47695
yfaP,1.98658,2.03761,2.1817,1.94773,1.67435,1.91248,1.83581,1.70042,1.61032,1.76329,1.77851,1.72659
yfaQ,1.61259,1.82271,1.73104,1.84756,1.7628,1.72283,2.2578,1.55551,1.87832,1.86338,1.84098,1.90469
yfaT,0.698812,0.630847,0,0.868759,0.909259,1.15403,1.2908,1.10191,0.967783,1.04213,0.983414,1.17441
yfaU,1.69,1.52816,0.931839,1.79365,1.66331,1.62301,1.59542,1.40796,1.62762,1.62662,1.41851,1.49829
yfaV,1.72408,1.9008,2.11162,1.89551,1.65198,1.80394,1.85227,1.52305,1.86869,1.70301,1.69403,1.56498
yfaX,1.86313,1.82271,2.13626,1.92003,2.06006,2.07595,1.06413,0.942663,0.634881,0.989736,1.22849,1.14832
yfaY,2.85289,2.80358,2.85154,2.83216,3.24126,3.10956,2.92787,3.03398,3.00366,3.00797,2.97488,2.96843
yfaZ,1.72408,1.88255,1.88352,1.70165,1.60346,1.67022,1.85227,1.7531,1.86869,1.81621,1.65118,1.54387
