group,names,scores,logfoldchanges,pvals,pvals_adj
0,SAT1,117.71923,2.8517032,0.0,0.0
0,MAL2,103.42196,2.3419805,0.0,0.0
0,HLA-B,98.34734,2.2493265,0.0,0.0
0,HLA-C,98.217735,1.888007,0.0,0.0
0,TACSTD2,95.50999,1.4554708,0.0,0.0
0,HLA-A,95.41646,1.9613382,0.0,0.0
0,HEBP2,93.03564,1.2116579,0.0,0.0
0,B2M,86.01346,1.1160076,0.0,0.0
0,LSR,81.0913,1.2878351,0.0,0.0
0,CD9,81.012886,1.296071,0.0,0.0
0,IL32,80.87449,2.1064937,0.0,0.0
0,SPINT2,80.72784,0.78804296,0.0,0.0
0,GPRC5A,79.694016,1.1491207,0.0,0.0
0,KLK5,79.161545,1.226989,0.0,0.0
0,CLDN4,78.4448,1.7007549,0.0,0.0
0,CST6,78.2877,1.2723697,0.0,0.0
0,MYL12B,76.60776,0.851397,0.0,0.0
0,CD59,75.96954,1.1114331,0.0,0.0
0,CLDN7,73.83598,1.0010577,0.0,0.0
0,CTSA,73.026344,1.3304456,0.0,0.0
0,CD44,72.95584,1.5673984,0.0,0.0
0,SMIM22,72.49271,1.2222047,0.0,0.0
0,CXCL16,71.9404,1.2589445,0.0,0.0
0,FTH1,70.375,0.60039157,0.0,0.0
0,XAGE2,69.36927,2.2370126,0.0,0.0
0,GRN,68.97643,1.2234004,0.0,0.0
0,PSAP,68.79061,1.0161947,0.0,0.0
0,ATP6V0E1,68.453384,0.69707143,0.0,0.0
0,CHPF,67.85122,1.0746187,0.0,0.0
0,ANXA11,66.78793,0.9938265,0.0,0.0
0,HLA-E,66.68442,1.497414,0.0,0.0
0,ATP6V1G1,66.49311,0.80198944,0.0,0.0
0,GSTK1,65.98153,0.8929585,0.0,0.0
0,C14orf2,65.83445,0.7036855,0.0,0.0
0,C19orf53,65.82626,0.6822161,0.0,0.0
0,CLTB,65.48047,0.92632955,0.0,0.0
0,VAMP8,64.71162,0.844589,0.0,0.0
0,CST3,64.57257,0.75628513,0.0,0.0
0,LGALS3,64.067375,1.0786815,0.0,0.0
0,RGS10,63.78373,1.1585069,0.0,0.0
0,MAP2K2,63.701443,0.9161127,0.0,0.0
0,VPS28,63.470722,1.0426197,0.0,0.0
0,C15orf48,63.392445,1.9252435,0.0,0.0
0,TSPAN1,63.350506,1.7545663,0.0,0.0
0,VOPP1,63.308563,1.2559247,0.0,0.0
0,SLC44A2,62.732174,1.9248809,0.0,0.0
0,RAB25,62.628456,0.9386444,0.0,0.0
0,TMED3,61.875427,0.8758451,0.0,0.0
0,FXYD5,61.517876,0.82709575,0.0,0.0
0,ATP6V0B,61.1543,0.9199099,0.0,0.0
0,YPEL3,61.005344,1.299501,0.0,0.0
0,EDF1,60.81556,0.7047571,0.0,0.0
0,UBC,60.495323,0.87640566,0.0,0.0
0,BPGM,59.16541,1.3520446,0.0,0.0
0,BRI3,59.097897,0.64644355,0.0,0.0
0,EIF1,58.897884,0.41644165,0.0,0.0
0,RAB11FIP1,58.188168,2.1779194,0.0,0.0
0,MAP3K13,57.818584,1.3301656,0.0,0.0
0,COX5B,57.74161,0.46622998,0.0,0.0
0,C19orf33,57.24872,1.1232988,0.0,0.0
0,CAPG,57.173073,1.0220197,0.0,0.0
0,SQSTM1,57.150806,0.9428569,0.0,0.0
0,PERP,57.0921,0.6898156,0.0,0.0
0,MALAT1,56.980907,0.9265104,0.0,0.0
0,CSTB,56.58469,0.8528757,0.0,0.0
0,TMEM40,56.39968,1.3851733,0.0,0.0
0,ITGB1,56.005333,1.0750455,0.0,0.0
0,FAM3C,55.065823,1.2035631,0.0,0.0
0,CALR,54.532753,0.76658505,0.0,0.0
0,TSTA3,54.480537,0.8174259,0.0,0.0
0,ELF3,54.17107,1.2219192,0.0,0.0
0,PLA2G16,53.823837,0.71884584,0.0,0.0
0,FKBP1A,53.60524,0.6719149,0.0,0.0
0,LAMP1,53.561806,0.9008548,0.0,0.0
0,HSPA8,53.37891,0.6785836,0.0,0.0
0,UBA52,52.617683,0.29422,0.0,0.0
0,C6orf132,52.51363,1.3311274,0.0,0.0
0,CORO1B,52.26332,1.0215123,0.0,0.0
0,FAM134B,52.199646,1.7735934,0.0,0.0
0,ATOX1,52.12644,0.6911579,0.0,0.0
0,TCEB2,51.964703,0.5105166,0.0,0.0
0,CASP4,51.4659,1.0361278,0.0,0.0
0,NPEPPS,51.24748,1.2594583,0.0,0.0
0,COX7C,50.811653,0.4479548,0.0,0.0
0,GPAA1,50.688488,0.9160831,0.0,0.0
0,BCAP31,50.639004,0.5971449,0.0,0.0
0,DYNLT1,50.636242,0.6037797,0.0,0.0
0,PPBP,50.457222,2.7285202,0.0,0.0
0,LIPH,50.39118,1.925865,0.0,0.0
0,PLAUR,50.23661,1.5286824,0.0,0.0
0,VGLL1,50.202152,0.81608063,0.0,0.0
0,SEZ6L2,49.918434,0.97865796,0.0,0.0
0,PHACTR2,49.801914,1.2235274,0.0,0.0
0,CRB3,49.736763,1.5732291,0.0,0.0
0,CTSD,49.56065,1.0580212,0.0,0.0
0,RNF114,49.156025,0.92079,0.0,0.0
0,CD63,49.107315,0.58690166,0.0,0.0
0,CD24,49.08341,0.70374644,0.0,0.0
0,ITM2B,48.89138,0.77451664,0.0,0.0
0,RAC1,48.757282,0.3875124,0.0,0.0
0,ATP6V1F,48.511322,0.61553544,0.0,0.0
0,CLN3,48.41309,1.2100612,0.0,0.0
0,SLC17A5,47.696392,1.6742308,0.0,0.0
0,MLLT4,47.606483,1.3526777,0.0,0.0
0,LAMC2,47.396206,1.2803142,0.0,0.0
0,SH3BGRL3,47.347443,0.611041,0.0,0.0
0,TMEM59,47.285088,0.777623,0.0,0.0
0,GSN,47.203316,1.0415281,0.0,0.0
0,SAA2,46.91616,1.7975359,0.0,0.0
0,MESP1,46.437244,2.0475554,0.0,0.0
0,KRT23,46.40777,1.3211879,0.0,0.0
0,EEF1A2,46.177185,1.7587429,0.0,0.0
0,ATP5D,46.144684,0.54571104,0.0,0.0
0,ISG15,46.084064,0.86579025,0.0,0.0
0,RAMP1,45.862656,1.0294485,0.0,0.0
0,S100A9,45.832245,1.3088256,0.0,0.0
0,TMEM179B,45.722153,0.7352532,0.0,0.0
0,CYR61,45.636787,0.98861873,0.0,0.0
0,STXBP2,45.30521,1.0288618,0.0,0.0
0,SDC4,45.281487,1.7063428,0.0,0.0
0,YIPF3,45.19786,0.81811994,0.0,0.0
0,TMBIM1,44.953655,1.5933375,0.0,0.0
0,TMEM208,44.86396,0.7365895,0.0,0.0
0,MYL12A,44.375355,0.56418735,0.0,0.0
0,PDIA6,44.206146,0.6889806,0.0,0.0
0,TXNIP,44.18935,1.2138146,0.0,0.0
0,TTC9,44.14869,1.4504409,0.0,0.0
0,CERCAM,43.937035,1.2365093,0.0,0.0
0,FAM114A1,43.859753,0.94163203,0.0,0.0
0,PTP4A2,43.747047,0.57649076,0.0,0.0
0,RHOC,43.616734,0.4972794,0.0,0.0
0,OPTN,43.592342,1.2584716,0.0,0.0
0,ABHD11,43.50067,1.2818114,0.0,0.0
0,GUK1,43.46795,0.46604404,0.0,0.0
0,AC006262.5,43.3518,1.6537689,0.0,0.0
0,ASAH1,43.351242,0.78622484,0.0,0.0
0,CHMP4B,43.348083,0.6052296,0.0,0.0
0,PGLS,42.854782,0.49972075,0.0,0.0
0,COX6A1,42.60988,0.4242715,0.0,0.0
0,LINC01420,42.533623,0.6067816,0.0,0.0
0,LITAF,42.49143,0.89368117,0.0,0.0
