GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0000027,ribosomal large subunit assembly,BP,2.0104080727779665e-05,0.002197627324555415,"P0ADZ0,P0AG55,P60624,P0AGK4,P0A7K6,P62399,P0A7M2,P0A7L8,P60422,P0A7N9,P0AG44,P0ADY7,P60438,P0AG51,P0A7M6,P68919,P0A7N4",e,7,"(17, 1004)","(26, 3938)",{'GO:0022618'}
GO:0006541,glutamine metabolic process,BP,4.5302761590481165e-05,0.004660854707161857,"P0AG16,P60595,P15254,P77454,P0A6F1,P00904,P04079,P0A786,P09831,P00968,P22106,P0A6W0",e,9,"(12, 1004)","(16, 3938)",{'GO:0009064'}
GO:0009060,aerobic respiration,BP,5.265097632745339e-05,0.004846660926142946,"P07014,P0AC41,P0ABJ3,P31979,P06149,P0AC44,P69054,P0ABI8,P0AFD4,P33602,P0ABJ6,P33232,P0AFF0,P0AFE8,P0AFD6,P0ABJ1",e,6,"(16, 1004)","(25, 3938)",{'GO:0045333'}
GO:0022904,respiratory electron transport chain,BP,5.265097632745339e-05,0.004846660926142946,"P07014,P0AFD1,P0AAJ5,P31979,P06149,P33607,P0AFE0,P0ABI8,P0AEL0,P0AFE4,P33602,P0AFD6,P0AFD4,P0AFF0,P0AFE8,P33599",e,5,"(16, 1004)","(25, 3938)",{'GO:0022900'}
GO:0030254,protein secretion by the type III secretion system,BP,0.00012189939109495943,0.010660101751254203,"P22586,P31068,P52612,P0AC05,P0AC07,P33135,P52613,P76298",e,8,"(8, 1004)","(9, 3938)","{'GO:0009306', 'GO:0071806'}"
GO:0042938,dipeptide transport,BP,0.00013545751588087202,0.011281675965506914,"P77463,P0AEF8,P77304,P23847,P0AAG0,P37313,P77268,P77622,P0AEG1,P77308,P76128",e,7,"(11, 1004)","(15, 3938)",{'GO:0006857'}
GO:0044780,bacterial-type flagellum assembly,BP,0.00017279715875115643,0.013737374120716935,"P0A7Z4,P75933,P0A8S9,P0AEM6,P0A8V2,P75942,P52612,P0A8T7,P0AC07,P0ABZ1,P33135,P26608,P52614,P76298",e,7,"(14, 1004)","(22, 3938)","{'GO:0030031', 'GO:0044781', 'GO:0140694'}"
GO:0042355,L-fucose catabolic process,BP,0.00027158306043887146,0.020652120552503747,"P11553,P0A9S1,P69922,P33232,P0AB87,P25553",e,8,"(6, 1004)","(6, 3938)","{'GO:0019317', 'GO:0042354'}"
GO:0035351,heme transmembrane transport,BP,0.00042907468001995446,0.030018064614196014,"P29018,P0AEF8,P23847,P0AAG0,P37313,P23886,P0AEG1",e,11,"(7, 1004)","(8, 3938)","{'GO:0034755', 'GO:0015886'}"
GO:0006090,pyruvate metabolic process,BP,0.00042907468001995446,0.030018064614196014,"P06959,P37349,P27306,P76014,P76015,P26616,P23538",e,7,"(7, 1004)","(8, 3938)",{'GO:0032787'}
