GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0030254,protein secretion by the type III secretion system,BP,4.235319795832832e-06,0.0004629733951819765,"P52613,P0AC05,P0AC07,P22586,P76298,P31068,P76299,P52612,P33135",e,8,"(9, 999)","(9, 3938)","{'GO:0009306', 'GO:0071806'}"
GO:0008360,regulation of cell shape,BP,5.25824778188715e-06,0.000540980904148272,"P60472,P0A9X4,P0A6W3,P75954,P17952,P0AD65,P76577,P75806,P14900,P0A749,P0A6J8,P16926,P17443,P0AD70,P22188,P0AEB2,P0AF16,P0ABH4,P02918,P0ABG4,P24228,P0A6B4,P0AA99,P46022,P37773,P11880,Q46824",e,6,"(27, 999)","(48, 3938)","{'GO:0022604', 'GO:0065008'}"
GO:0009252,peptidoglycan biosynthetic process,BP,8.233481603488948e-06,0.0007795733886176983,"P60472,P0A9X4,P0A6W3,P75954,P17952,P0AD65,P76577,P75806,P14900,P0A749,P0A6J8,P16926,P17443,P22188,P0A908,P0AEB2,P0AF16,P0ABH4,P02918,P0ABG4,P24228,P0A6B4,P0AA99,P46022,P0C0T5,P37773,P11880",e,7,"(27, 999)","(49, 3938)","{'GO:0006024', 'GO:0044038', 'GO:0000270'}"
GO:0022904,respiratory electron transport chain,BP,8.4687789501065e-06,0.0007795733886176983,"P31979,P0AFE8,P0AFC7,P0AFD1,P0AFD4,P0AFE0,P0AFF0,P0AFD6,P0AFC3,P33599,P33602,P33607,P75925,P0ABI8,P0AFE4,P06149,P07014",e,5,"(17, 999)","(25, 3938)",{'GO:0022900'}
GO:0042777,proton motive force-driven plasma membrane ATP synthesis,BP,1.679597053241476e-05,0.0013988644029139722,"P0ABB4,P68699,P0ABB0,P0ABA0,P0ABA6,P0ABA4,P0AB98,P0A6E6",e,12,"(8, 999)","(8, 3938)",{'GO:0015986'}
GO:0006260,DNA replication,BP,2.201647416948803e-05,0.0017503096964742984,"P0ABS5,P15043,P0A988,P69931,P13458,P0AEE8,P03004,P0A7H0,P28630,P09980,P66817,P10443,P17888,P22524,P28631,P07013,P0ACB0,P0AAZ4,P0AG76,P60293,P28632,P22523,P08337",e,6,"(23, 999)","(40, 3938)",{'GO:0006259'}
GO:0015031,protein transport,BP,2.4582086659309482e-05,0.0018693073724840123,"P25714,P76298,P61320,P77622,P77268,P37313,P10408,P0AAG0,P76027,P52612,P0AG99,P0AFH6,P23847,P0ADZ7,P0AEF8,P45763,P0AC05,P77737,P77463,P31068,P69423,P0AEG1,P02931,P28246,P52613,P0ADE4,P0AG90,P77308,P76299,P76128,P23843,P0A850,P0AFH2",e,6,"(33, 999)","(67, 3938)","{'GO:0071705', 'GO:0045184'}"
GO:0022900,electron transport chain,BP,4.190852935541775e-05,0.002931920713705026,"P0A9R4,P77223,P77179,P0AC41,P77611,P77285,P76182,P0ABJ1,P08200,P0A766",e,4,"(10, 999)","(12, 3938)",{'GO:0006091'}
GO:0089718,amino acid import across plasma membrane,BP,6.655741951907502e-05,0.00431144173106897,"P14175,P52094,P0AEU3,P09551,P14176,P0AFM2,P07109",e,6,"(7, 999)","(7, 3938)","{'GO:0098739', 'GO:0003333'}"
GO:0044205,'de novo' UMP biosynthetic process,BP,6.655741951907502e-05,0.00431144173106897,"P0A7E3,P0A6F1,P0A786,P08244,P05020,P0A7E1,P00968",e,11,"(7, 999)","(7, 3938)",{'GO:0006222'}
GO:0015990,electron transport coupled proton transport,BP,0.0001172811764250702,0.007325884913123134,"P0AFE8,P0AFC7,P0ABJ3,P0ABJ6,P0AFF0,P33607,P0ABJ1,P0ABI8",e,9,"(8, 999)","(9, 3938)",{'GO:0015988'}
GO:0006221,pyrimidine nucleotide biosynthetic process,BP,0.0001393827592036873,0.008406222270594794,"P0A7E3,P0A7E1,P0A7E9,P0A786,P08244,P0A7F3,P05020,P0A6F1,P00968",e,8,"(9, 999)","(11, 3938)","{'GO:0006220', 'GO:0072528', 'GO:0009165'}"
GO:0009060,aerobic respiration,BP,0.00024361875593973043,0.014202973471286283,"P31979,P0AFE8,P0AFC7,P0AC41,P0AFD4,P0ABJ3,P0ABJ6,P0AFF0,P0AFD6,P33602,P0ABJ1,P0ABI8,P0AC44,P06149,P07014",e,6,"(15, 999)","(25, 3938)",{'GO:0045333'}
GO:1903711,spermidine transmembrane transport,BP,0.0002635486138459244,0.014869242761823283,"P69210,P69212,P0AFK9,P0AFK6,P0AFK4,P69874",e,7,"(6, 999)","(6, 3938)","{'GO:0015848', 'GO:1902047'}"
