GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0030254,protein secretion by the type III secretion system,BP,4.235319795832832e-06,0.0004938382881941083,"P76298,P52612,P52613,P76299,P31068,P0AC05,P0AC07,P33135,P22586",e,8,"(9, 999)","(9, 3938)","{'GO:0009306', 'GO:0071806'}"
GO:0042777,proton motive force-driven plasma membrane ATP synthesis,BP,1.679597053241476e-05,0.0016320084700663009,"P0A6E6,P0ABA6,P0AB98,P0ABB0,P0ABA0,P0ABA4,P68699,P0ABB4",e,12,"(8, 999)","(8, 3938)",{'GO:0015986'}
GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,BP,1.679597053241476e-05,0.0016320084700663009,"P0A786,P39304,P0A6F1,P0A7E3,P05020,P0A7F3,P0A7E1,P08244",e,8,"(8, 999)","(8, 3938)",{'GO:0019856'}
GO:0071555,cell wall organization,BP,2.529662468404347e-05,0.0023286208722311593,"P0C066,P17443,P0AEB2,P11880,P17952,P76577,P76190,P0AFV4,P46022,P22188,P75942,P0A6B4,P0AEZ7,P76008,P0A935,P0AD65,P0A749,P02918,P60472,P0A6J8,P0AA99,P0AD14,P0AF16,P0AE16,P75954,P37773,P24228,P14900,P31697,P63883,P64426,P0AD70,P75806,P0AGC5,P36548",e,5,"(35, 999)","(72, 3938)","{'GO:0045229', 'GO:0071554'}"
GO:0008360,regulation of cell shape,BP,2.9840102523012685e-05,0.0026095169656374594,"P17443,P0AEB2,P0ABH4,Q46824,P11880,P17952,P76577,P46022,P22188,P0A6B4,P76008,P0AD65,P16926,P02918,P0A749,P60472,P0A6J8,P0AA99,P0AF16,P75954,P0A9X4,P37773,P24228,P14900,P0AD70,P75806",e,6,"(26, 999)","(48, 3938)","{'GO:0022604', 'GO:0065008'}"
GO:0009252,peptidoglycan biosynthetic process,BP,3.748509598175633e-05,0.0031219729939091345,"P17443,P0AEB2,P0ABH4,P11880,P17952,P76577,P0C0T5,P46022,P22188,P0A6B4,P76008,P0AD65,P16926,P0A749,P02918,P60472,P0A6J8,P0AA99,P0A908,P0AF16,P75954,P0A9X4,P37773,P24228,P14900,P75806",e,7,"(26, 999)","(49, 3938)","{'GO:0000270', 'GO:0006024', 'GO:0044038'}"
GO:0022900,electron transport chain,BP,4.190852935541775e-05,0.0033317280837557106,"P08200,P0A766,P76182,P0A9R4,P77611,P77285,P0ABJ1,P77223,P77179,P0AC41",e,4,"(10, 999)","(12, 3938)",{'GO:0006091'}
GO:0009060,aerobic respiration,BP,4.9263485818546185e-05,0.003746166812897273,"P07014,P0AFE8,P33602,P69054,P31979,P0AFD4,P0ABJ6,P0ABI8,P0ABJ1,P06149,P0AFC7,P0ABJ3,P0AFD6,P0AC41,P0AC44,P0AFF0",e,6,"(16, 999)","(25, 3938)",{'GO:0045333'}
GO:0044205,'de novo' UMP biosynthetic process,BP,6.655741951907502e-05,0.004850371947452592,"P0A786,P00968,P0A6F1,P0A7E3,P05020,P0A7E1,P08244",e,11,"(7, 999)","(7, 3938)",{'GO:0006222'}
GO:0015990,electron transport coupled proton transport,BP,0.0001172811764250702,0.008204991102697911,"P0AFE8,P33607,P0ABJ6,P0ABI8,P0ABJ1,P0AFC7,P0ABJ3,P0AFF0",e,9,"(8, 999)","(9, 3938)",{'GO:0015988'}
GO:0006221,pyrimidine nucleotide biosynthetic process,BP,0.0001393827592036873,0.009376170994124964,"P0A786,P0A7E9,P00968,P0A6F1,P0A7E3,P05020,P0A7F3,P0A7E1,P08244",e,8,"(9, 999)","(11, 3938)","{'GO:0006220', 'GO:0009165', 'GO:0072528'}"
GO:0007165,signal transduction,BP,0.0001824319212243938,0.011817534452646843,"P23865,P0AEC5,P0A964,P07330,P0AE67,P05704,P77485,P0ADG4,P69411,P07018,P30855,P0AEC8,P02942,P50466,P0AD14,P07017,P09835,P23837,P18392",e,4,"(19, 999)","(34, 3938)","{'GO:0050794', 'GO:0009987'}"
GO:0006260,DNA replication,BP,0.0003159531121806816,0.019735785471571857,"P0ABS5,P09980,P07013,P0AG76,P0A988,P28631,P22524,P10443,P60293,P0AEE8,P0A7H0,P13458,P0ACB0,P69931,P22523,P28632,P08337,P03004,P66817,P17888,P15043",e,6,"(21, 999)","(40, 3938)",{'GO:0006259'}
GO:0009307,DNA restriction-modification system,BP,0.00041488756242569685,0.024187944889418125,"P0AED9,P05719,P08956,P08957,P24202,P15006,P0AEE8",e,9,"(7, 999)","(8, 3938)","{'GO:0006304', 'GO:0044355'}"
GO:0035351,heme transmembrane transport,BP,0.00041488756242569685,0.024187944889418125,"P37313,P0AEF8,P23847,P23886,P0AEG1,P29018,P0AAG0",e,11,"(7, 999)","(8, 3938)","{'GO:0034755', 'GO:0015886'}"
GO:0015031,protein transport,BP,0.0005476787800639817,0.03089968343006142,"P52613,P0AEF8,P76027,P0AC05,P77308,P77304,P0AG90,P0AAG0,P31068,P76299,P0A850,P25714,P0ADZ7,P23847,P77622,P77737,P0AFH2,P0AFH6,P23843,P77268,P77463,P0AG99,P02931,P37313,P76298,P52612,P69423,P10408,P0AEG1,P28246",e,6,"(30, 999)","(67, 3938)","{'GO:0071705', 'GO:0045184'}"
GO:0042938,dipeptide transport,BP,0.000879824832006275,0.04808792597434297,"P37313,P0AEF8,P23847,P77268,P0AEG1,P77622,P77463,P77308,P77304,P0AAG0",e,7,"(10, 999)","(15, 3938)",{'GO:0006857'}
GO:1902600,proton transmembrane transport,BP,0.0009094344231012433,0.0482000244243659,"P0ABA4,P77304,P0AFD1,P07001,P0AFC3,P0ABC0,P31466,P0AA47,P33599,P33602,P0AF06,P0ABA0,P0AFE4,P09348,P0A6E6,P0ABA6,P31801,P0AB98,P33026,P0AFD4,P0AFE0,P0ABI8,P31979,P52612,P76007,P0ABB0,P68699,P0AA82,P0ABB4",e,7,"(29, 999)","(66, 3938)","{'GO:0098655', 'GO:0098662'}"
GO:0042956,maltodextrin transmembrane transport,BP,0.001042793459010081,0.04929312864347653,"P0AEX9,P68187,P02916,P68183,P02943",e,7,"(5, 999)","(5, 3938)",{'GO:0042955'}
GO:0140205,oligopeptide import across plasma membrane,BP,0.001042793459010081,0.04929312864347653,"P77737,P0AFH6,P0AFH2,P23843,P76027",e,8,"(5, 999)","(5, 3938)","{'GO:0098739', 'GO:0035672'}"
GO:0015709,thiosulfate transport,BP,0.001042793459010081,0.04929312864347653,"P16700,P16676,P0AG78,P0AEB0,P33015",e,5,"(5, 999)","(5, 3938)","{'GO:0015698', 'GO:0072348'}"
GO:0006355,regulation of DNA-templated transcription,BP,1.1605953109857993e-05,0.0012686757493213519,"P0A6R3,P77171,P0ACQ0,P0C093,P77245,Q47083,P0A8A0,P06993,P24242,P06846,P0AD74,P0AFT5,P76034,P32677,P0ACN7,P0A780,P0ACP7,P0ACU5,P39376,P0A881,P0DMC9,P77615,Q47141,P0A8A2,P0ACS9,P0ACI3,P25748,P0AEC8,P0A8S9,P0A8W0,P0ACK8,P0ACZ4,P52106,P0AGA6,P31463,P0AAU7,P0AFU4,P0AEM6,P0ABY7,P08368,P52108,P09546,P0A9F3",p,8,"(43, 999)","(288, 3938)","{'GO:2001141', 'GO:0010468'}"
GO:0005975,carbohydrate metabolic process,BP,0.0009985102370618439,0.04929312864347653,"P00946,P33363,P32662,P17443,P37651,P37691,P39173,P0AG07",p,3,"(8, 999)","(80, 3938)",{'GO:0044238'}
