GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0044780,bacterial-type flagellum assembly,BP,1.4650779539063595e-06,0.00016015133383638893,"P76298,P52612,P43533,P76299,P0A7Z4,P0AEM6,P52614,P0ABZ1,P75933,P0A8S9,P75942,P33235,P0AC07,P33135,P26608",e,7,"(15, 799)","(22, 3938)","{'GO:0030031', 'GO:0140694', 'GO:0044781'}"
GO:0042777,proton motive force-driven plasma membrane ATP synthesis,BP,2.792487590069028e-06,0.0002872976938253371,"P0A6E6,P0ABA6,P0AB98,P0ABB0,P0ABA0,P0ABA4,P68699,P0ABB4",e,12,"(8, 799)","(8, 3938)",{'GO:0015986'}
GO:0015031,protein transport,BP,4.535659054451224e-06,0.0004407148714575106,"P52613,P0AEF8,P76027,P0AC05,P77308,P0AG90,P0AAG0,P31068,P76299,P0A850,P25714,P23847,P77622,P76128,P45763,P77737,P0AFH2,P0AFH6,P23843,P77268,P77463,P0AG99,P02931,P37313,P76298,P52612,P69423,P10408,P0AEG1,P28246",e,6,"(30, 799)","(67, 3938)","{'GO:0071705', 'GO:0045184'}"
GO:0022900,electron transport chain,BP,4.985245018205544e-06,0.0004589049229916577,"P08200,P0A766,P76182,P0A9R4,P77611,P77285,P0ABJ1,P77223,P77179,P0AC41",e,4,"(10, 799)","(12, 3938)",{'GO:0006091'}
GO:0044205,'de novo' UMP biosynthetic process,BP,1.3860187773436046e-05,0.001154355638844745,"P0A786,P00968,P0A6F1,P0A7E3,P05020,P0A7E1,P08244",e,11,"(7, 799)","(7, 3938)",{'GO:0006222'}
GO:0009060,aerobic respiration,BP,1.5132668028961595e-05,0.0012030471083024467,"P07014,P0AFE8,P33602,P31979,P0AFD4,P0ABJ6,P0ABI8,P0ABJ1,P06149,P0AFC7,P0ABJ3,P0AFD6,P0AC41,P0AC44,P0AFF0",e,6,"(15, 799)","(25, 3938)",{'GO:0045333'}
GO:0015990,electron transport coupled proton transport,BP,2.063598590096303e-05,0.0015118785587778373,"P0AFE8,P33607,P0ABJ6,P0ABI8,P0ABJ1,P0AFC7,P0ABJ3,P0AFF0",e,9,"(8, 799)","(9, 3938)",{'GO:0015988'}
GO:0006221,pyrimidine nucleotide biosynthetic process,BP,2.0746189485802226e-05,0.0015118785587778373,"P0A786,P0A7E9,P00968,P0A6F1,P0A7E3,P05020,P0A7F3,P0A7E1,P08244",e,8,"(9, 799)","(11, 3938)","{'GO:0006220', 'GO:0009165', 'GO:0072528'}"
GO:0000028,ribosomal small subunit assembly,BP,5.51101844740728e-05,0.0038555085058061336,"P0A7V3,P0A7U3,P0A7V8,P0AGK4,P68679,P0A7U7,P0A7W7,P0AG59,P0A7T3,P0A7W1,P0AG63,P0A7X6",e,7,"(12, 799)","(19, 3938)",{'GO:0022618'}
GO:1903711,spermidine transmembrane transport,BP,6.872415930031593e-05,0.004623021331394329,"P69212,P0AFK4,P0AFK9,P0AFK6,P69210,P69874",e,7,"(6, 799)","(6, 3938)","{'GO:0015848', 'GO:1902047'}"
