gene,uniprot,GO_ID,GO_name,namespace,is_motility
flhA,P76298,GO:0015031,protein transport,biological_process,False
flhA,P76298,GO:0006935,chemotaxis,biological_process,True
flhA,P76298,GO:0044781,bacterial-type flagellum organization,biological_process,True
flhA,P76298,GO:0071973,bacterial-type flagellum-dependent cell motility,biological_process,True
flhA,P76298,GO:0044780,bacterial-type flagellum assembly,biological_process,True
motA,P09348,GO:0071978,bacterial-type flagellum-dependent swarming motility,biological_process,True
motA,P09348,GO:0006935,chemotaxis,biological_process,True
motA,P09348,GO:1902600,proton transmembrane transport,biological_process,False
motA,P09348,GO:0071973,bacterial-type flagellum-dependent cell motility,biological_process,True
motA,P09348,GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,biological_process,True
flhB,P76299,GO:0030254,protein secretion by the type III secretion system,biological_process,False
flhB,P76299,GO:0009306,protein secretion,biological_process,False
flhB,P76299,GO:0015031,protein transport,biological_process,False
flhB,P76299,GO:0006935,chemotaxis,biological_process,True
flhB,P76299,GO:0044781,bacterial-type flagellum organization,biological_process,True
flhB,P76299,GO:0071973,bacterial-type flagellum-dependent cell motility,biological_process,True
flhB,P76299,GO:0044780,bacterial-type flagellum assembly,biological_process,True
fliG,P0ABZ1,GO:0071977,bacterial-type flagellum-dependent swimming motility,biological_process,True
fliG,P0ABZ1,GO:0006935,chemotaxis,biological_process,True
fliG,P0ABZ1,GO:0071973,bacterial-type flagellum-dependent cell motility,biological_process,True
fliG,P0ABZ1,GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,biological_process,True
fliG,P0ABZ1,GO:0044780,bacterial-type flagellum assembly,biological_process,True
fliH,P31068,GO:0030254,protein secretion by the type III secretion system,biological_process,False
fliH,P31068,GO:0015031,protein transport,biological_process,False
fliH,P31068,GO:0006935,chemotaxis,biological_process,True
fliH,P31068,GO:0044781,bacterial-type flagellum organization,biological_process,True
fliH,P31068,GO:0071973,bacterial-type flagellum-dependent cell motility,biological_process,True
fliI,P52612,GO:0009058,biosynthetic process,biological_process,False
fliI,P52612,GO:0030254,protein secretion by the type III secretion system,biological_process,False
fliI,P52612,GO:0015986,proton motive force-driven ATP synthesis,biological_process,False
fliI,P52612,GO:0006754,ATP biosynthetic process,biological_process,False
fliI,P52612,GO:0006935,chemotaxis,biological_process,True
fliI,P52612,GO:0015031,protein transport,biological_process,False
fliI,P52612,GO:1902600,proton transmembrane transport,biological_process,False
fliI,P52612,GO:0044781,bacterial-type flagellum organization,biological_process,True
fliI,P52612,GO:0071973,bacterial-type flagellum-dependent cell motility,biological_process,True
fliI,P52612,GO:0044780,bacterial-type flagellum assembly,biological_process,True
