"",bulk,single-cell
bglg,0.001143,0.005030
bglh,0.002707,0.011066
bglj,0.007152,0.007042
bglx,0.027663,0.035211
bioa,0.028215,0.011066
bioc,0.016560,0.006036
biod,0.010877,0.012072
biof,0.032076,0.003018
bioh,0.066913,0.002012
biop,0.010066,0.003018
bipa,0.195233,0.126761
bira,0.014812,0.018109
bisc,0.020820,0.008048
blc,0.253269,0.080483
blr,0.044067,0.006036
bluf,0.013279,0.014085
blur,0.226632,0.208249
bola,0.377156,0.270624
brnq,0.209242,0.004024
bsma,0.151191,0.072435
bssr,1.055867,0.157948
bsss,0.808534,0.080483
btsr,0.007853,0.024145
btss,0.004938,0.014085
btst,0.003782,0.003018
btub,0.006449,0.011066
btuc,0.043635,0.005030
btud,0.128057,0.008048
btue,0.128793,0.045272
btuf,0.001944,0.000000
cada,0.001386,0.010060
cadb,0.001802,0.009054
cadc,0.002748,0.011066
caia,0.005118,0.005030
caib,0.003890,0.019115
caic,0.001934,0.012072
caid,0.002807,0.002012
caie,0.004244,0.006036
caif,0.015565,0.020121
cait,0.001314,0.011066
can,0.046985,0.007042
cara,0.001213,0.002012
carb,0.003185,0.006036
cas3,0.006346,0.023139
casa,0.008000,0.036217
casb,0.015387,0.023139
casd,0.007955,0.013078
case,0.014625,0.021127
cbea,0.000962,0.000000
cbl,0.033415,0.033199
cbpa,0.149403,0.078471
cbpm,0.120706,0.040241
cbra,0.004022,0.002012
cbrb,0.003593,0.004024
cbrc,0.007143,0.009054
cbta,0.000063,0.005030
cca,0.142781,0.024145
ccda,0.155586,0.062374
ccma,0.013203,0.002012
ccmc,0.004989,0.000000
ccmd,0.004620,0.000000
ccme,0.003703,0.006036
ccmf,0.003862,0.001006
ccmg,0.004064,0.006036
ccmh,0.011977,0.000000
ccp,0.007337,0.022133
cdar,0.029344,0.002012
cdd,0.095004,0.056338
cdgi,0.005810,0.015091
cdh,0.005640,0.028169
cdsa,0.078663,0.019115
cecr,0.062370,0.004024
ceda,0.025878,0.002012
cfa,0.366452,0.284708
chaa,0.030355,0.027163
chab,0.160729,0.010060
chac,0.182065,0.070423
chba,0.013321,0.001006
chbb,0.087519,0.009054
chbc,0.031443,0.065392
chbf,0.011281,0.013078
chbg,0.035259,0.004024
chbr,0.013243,0.032193
chea,0.405378,0.113682
cheb,0.110742,0.030181
cher,0.131541,0.001006
chew,0.244875,0.011066
chey,0.051045,0.001006
chez,0.111575,0.013078
chia,0.017427,0.021127
chip,0.001348,0.006036
chiq,0.003087,0.008048
cho,0.052552,0.047284
chps,0.008565,0.003018
cira,0.055263,0.040241
citc,0.000065,0.013078
cite,0.000296,0.002012
citf,0.000301,0.001006
citg,0.000076,0.001006
citt,0.001863,0.007042
citx,0.000279,0.000000
clca,0.088262,0.072435
clcb,0.004376,0.007042
clpa,0.336418,0.291751
clpb,0.262464,0.339034
clpp,0.463369,0.071429
clps,0.029458,0.004024
clpx,0.878152,0.953722
clsa,0.088862,0.126761
clsb,0.059498,0.037223
clsc,0.018428,0.026157
cmk,0.174729,0.059356
cmoa,0.052620,0.017103
cmob,0.034856,0.028169
cmom,0.019441,0.006036
cmta,0.004101,0.007042
cmtb,0.000277,0.006036
cnox,0.074819,0.002012
cnu,0.034269,0.000000
coaa,0.007782,0.017103
coad,0.139092,0.034205
coae,0.035708,0.027163
cobb,0.025423,0.015091
cobc,0.008790,0.005030
cobs,0.033164,0.010060
cobt,0.033189,0.003018
cobu,0.021655,0.027163
codb,0.000863,0.001006
cof,0.022879,0.014085
comr,0.023687,0.010060
copa,0.028467,0.016097
cora,0.076427,0.080483
cpda,0.076693,0.001006
cpdb,0.007103,0.014085
cpob,0.079011,0.046278
cpsb,0.002565,0.001006
cpsg,0.002124,0.009054
cpxa,0.063408,0.026157
cpxp,0.311925,0.038229
cpxr,0.113417,0.061368
cra,0.026418,0.010060
crcb,0.025287,0.029175
crea,0.030744,0.002012
creb,0.030677,0.000000
crec,0.008045,0.022133
cred,0.005003,0.006036
crl,0.045697,0.018109
crp,0.274853,0.048290
crr,1.515460,0.626761
csde,0.058874,0.004024
csga,0.011548,0.005030
csgb,0.003308,0.007042
csgc,0.002020,0.007042
csgd,0.016879,0.030181
csge,0.011834,0.006036
csgf,0.007235,0.025151
csgg,0.016229,0.011066
csie,0.032404,0.104628
cspa,2.652093,0.136821
cspb,0.215160,0.004024
cspd,0.384956,0.031187
cspe,0.492643,0.054326
cspf,0.010963,0.000000
cspg,0.068122,0.009054
cspi,0.021997,0.006036
csqr,0.014686,0.002012
csra,1.766390,0.058350
csrd,0.044799,0.029175
csta,0.104126,0.059356
cueo,0.051191,0.026157
cura,0.102087,0.070423
cusa,0.006400,0.007042
cusb,0.002769,0.003018
cusc,0.000870,0.014085
cusf,0.001516,0.002012
cusr,0.019480,0.023139
cuss,0.003088,0.008048
cuta,0.005734,0.001006
cutc,0.061449,0.011066
cvpa,0.042400,0.010060
cvra,0.018931,0.025151
cyaa,0.110530,0.061368
cyay,0.012704,0.002012
cybb,0.062102,0.012072
cybc,0.050700,0.018109
cyca,0.076310,0.036217
cyda,0.071097,0.023139
cydb,0.101074,0.024145
cydc,0.004033,0.004024
cydd,0.006809,0.020121
cydh,0.045788,0.104628
cydx,0.072464,0.002012
cynr,0.011003,0.006036
cyns,0.003190,0.006036
cynt,0.004407,0.001006
cynx,0.003844,0.011066
cyoa,0.059268,0.035211
cyob,0.026680,0.027163
cyoc,0.012524,0.011066
cyod,0.017807,0.004024
cyoe,0.026758,0.007042
cysa,0.204684,0.015091
cysb,0.095707,0.075453
cysc,0.091909,0.010060
cysd,0.278673,0.082495
cyse,0.043185,0.000000
cysg,0.020898,0.009054
cysh,0.021435,0.036217
cysi,0.033373,0.017103
cysj,0.087912,0.012072
cysk,0.939008,0.224346
cysm,0.044842,0.005030
cysn,0.390002,0.072435
cysp,0.380513,0.018109
cysq,0.189949,0.027163
cyss,0.027852,0.010060
cysu,0.258591,0.021127
cysw,0.189149,0.006036
cysz,0.007073,0.001006
cytr,0.009773,0.018109
cyua,0.008203,0.005030
cyup,0.002624,0.004024
daca,0.025692,0.027163
dacb,0.010334,0.024145
dacc,0.373397,0.293763
dacd,0.008620,0.022133
dada,0.129596,0.007042
dadx,0.067782,0.004024
dam,0.029262,0.008048
damx,0.186098,0.112676
dapa,0.115778,0.078471
dapb,0.037744,0.006036
dapd,0.076305,0.024145
dape,0.044517,0.038229
dapf,0.039471,0.003018
daua,0.032815,0.001006
dbpa,0.044008,0.027163
dcd,0.103389,0.012072
dcm,0.046850,0.008048
dcp,0.027026,0.030181
dcrb,0.073021,0.022133
dcta,0.024955,0.029175
dctr,0.001291,0.009054
dcua,0.084848,0.034205
dcub,0.001711,0.001006
dcuc,0.002759,0.014085
dcur,0.002241,0.006036
dcus,0.001833,0.012072
dcyd,0.152216,0.105634
ddla,0.021610,0.019115
ddlb,0.038959,0.019115
ddpa,0.003712,0.007042
ddpb,0.002522,0.001006
ddpc,0.003971,0.003018
ddpd,0.002599,0.001006
ddpf,0.002342,0.006036
ddpx,0.010246,0.025151
dead,0.595413,0.230382
decr,0.018006,0.001006
deda,0.079838,0.047284
dedd,0.087018,0.011066
def,0.203630,0.093561
