"",bulk,single-cell
cysg,0.020898,0.001
cysh,0.021435,0.005
cysk,0.939008,0.123
cysn,0.390002,0.034
cytr,0.009773,0.004
daca,0.025692,0.002
dacb,0.010334,0.014
dacc,0.373397,0.094
dacd,0.008620,0.005
damx,0.186098,0.013
dapa,0.115778,0.032
dapd,0.076305,0.006
dape,0.044517,0.015
dbpa,0.044008,0.010
dcd,0.103389,0.005
dcrb,0.073021,0.005
dcta,0.024955,0.011
dctr,0.001291,0.001
dcua,0.084848,0.009
dcuc,0.002759,0.003
dcur,0.002241,0.004
dcus,0.001833,0.004
dcyd,0.152216,0.031
ddla,0.021610,0.004
ddlb,0.038959,0.002
ddpa,0.003712,0.003
ddpf,0.002342,0.003
ddpx,0.010246,0.003
dead,0.595413,0.083
deda,0.079838,0.012
dedd,0.087018,0.001
def,0.203630,0.025
degp,0.299082,0.025
degq,0.036980,0.026
degs,0.007247,0.009
deoa,0.100690,0.006
deob,0.349259,0.026
deod,0.175792,0.011
der,0.252922,0.015
dgce,0.011305,0.003
dgcj,0.013856,0.007
dgcq,0.120442,0.019
dgcz,0.058131,0.021
dgod,0.006594,0.008
dgt,0.012908,0.006
dhar,0.099216,0.013
diaa,0.022974,0.007
digh,0.006065,0.008
dinf,0.067499,0.011
ding,0.015026,0.016
dinj,0.079573,0.000
djlb,0.001277,0.005
dkga,0.055659,0.012
dkgb,0.001976,0.007
dld,0.036011,0.010
dmsb,0.004517,0.016
dmsd,0.010383,0.004
dnaa,0.066494,0.027
dnac,0.023124,0.007
dnae,0.032219,0.011
dnag,0.054298,0.027
dnaj,0.237729,0.039
dnak,0.657612,0.181
dnan,0.064947,0.012
dnaq,0.075321,0.009
dnax,0.011053,0.009
dolp,0.048763,0.004
dosc,0.086111,0.027
dpaa,0.063095,0.009
dpia,0.007752,0.002
dpib,0.007971,0.008
dppa,0.040177,0.013
dps,0.538159,0.030
drpb,0.348751,0.018
dsbc,0.034915,0.023
dsbg,0.022815,0.014
dsda,0.008276,0.008
dsdx,0.010666,0.005
dtpa,0.037246,0.011
dtpb,0.042005,0.012
dtpc,0.002883,0.000
dtpd,0.012867,0.008
dusa,0.027594,0.011
dusb,0.133920,0.007
eama,0.024142,0.011
ebga,0.003407,0.005
ebgr,0.007383,0.005
ecna,0.043298,0.001
ecnb,0.053178,0.010
ecpc,0.003814,0.006
edd,0.006767,0.004
elab,1.670348,0.021
elfa,0.002239,0.006
elfd,0.001152,0.005
elfg,0.005029,0.005
elyc,0.007076,0.001
emrk,0.011674,0.006
emry,0.006153,0.004
emta,0.057220,0.009
eno,0.409785,0.101
entd,0.008544,0.009
envr,0.000527,0.008
envz,0.036244,0.006
epd,0.072877,0.011
eptb,0.006512,0.005
eptc,0.008959,0.003
era,0.129120,0.030
erpa,0.182654,0.013
essd,0.004565,0.002
etk,0.011670,0.002
etta,0.201275,0.044
euta,0.005733,0.001
eute,0.001261,0.001
eutg,0.003067,0.001
euth,0.010475,0.002
evga,0.028453,0.013
exbb,0.111340,0.011
exbd,0.121625,0.018
exur,0.125222,0.008
exut,0.075223,0.008
fabb,0.361558,0.028
fabd,0.142526,0.004
fabf,0.667346,0.108
fabi,0.240720,0.001
faby,0.030744,0.010
fabz,0.063856,0.014
fadb,0.049060,0.004
fadd,0.082827,0.016
fade,0.335329,0.031
fadj,0.061743,0.027
fadl,0.159408,0.041
fadm,0.160344,0.025
fadr,0.027181,0.005
fbaa,0.235319,0.025
fbab,0.587199,0.113
fdhd,0.042652,0.009
fdhf,0.021059,0.014
fdni,0.009560,0.005
fdoi,0.048354,0.007
fdra,0.002828,0.001
fear,0.007782,0.010
feob,0.035048,0.009
fepa,0.055609,0.015
fepc,0.004570,0.001
fetb,0.004649,0.002
ffh,0.075915,0.022
fhua,0.050300,0.009
fhue,0.021913,0.017
fic,0.206148,0.002
fief,0.060341,0.006
fima,0.026987,0.002
fimb,0.006348,0.003
fimc,0.004149,0.006
fimh,0.008776,0.012
fimi,0.005676,0.010
fis,0.180068,0.031
fiu,0.010427,0.009
fixa,0.001130,0.004
fixx,0.001159,0.001
fkpa,0.112767,0.034
fkpb,0.042074,0.002
flgf,0.002309,0.003
flgj,0.002548,0.000
flgk,0.296926,0.037
flgl,0.279754,0.007
flgm,0.215698,0.007
flgn,0.234844,0.008
flhc,0.014044,0.010
flia,0.233256,0.013
flic,0.727058,0.048
flid,0.043240,0.008
fliz,0.126846,0.015
flxa,0.051835,0.008
foca,0.089595,0.008
folc,0.025696,0.006
folm,0.031154,0.017
folx,0.133223,0.010
frc,0.005774,0.007
frdb,0.054212,0.003
frlb,0.004197,0.003
frma,0.156269,0.025
frr,0.773498,0.056
frsa,0.018906,0.003
frua,0.215114,0.034
frvr,0.001369,0.000
fryb,0.001924,0.006
ftna,0.066820,0.013
ftnb,0.095762,0.034
ftsa,0.109906,0.047
ftsh,1.524611,0.384
ftsk,0.077206,0.036
ftsp,0.042494,0.000
ftsw,0.009788,0.004
ftsx,0.081451,0.011
fuci,0.004550,0.001
fuck,0.003676,0.006
fucr,0.008830,0.008
fucu,0.046670,0.007
fumc,0.050540,0.004
fumd,0.033513,0.004
fume,0.021912,0.009
fur,0.180550,0.020
fusa,1.792229,0.290
fxsa,0.132136,0.019
gadb,0.027773,0.016
gadw,0.005370,0.004
gadx,0.016129,0.011
gale,0.009265,0.001
galf,0.375810,0.049
galk,0.066183,0.035
galp,0.300098,0.039
galr,0.043843,0.005
gals,0.001797,0.003
galt,0.005519,0.017
galu,0.161008,0.030
gapa,0.612978,0.200
gard,0.010170,0.010
gatb,0.008328,0.004
gatd,0.021893,0.009
gatz,0.091811,0.027
gcl,0.013158,0.006
gcva,0.035878,0.016
gcvh,0.019553,0.002
gcvr,0.056800,0.015
gcvt,0.022326,0.006
gfce,0.003218,0.005
ggt,0.033375,0.008
ghos,0.072275,0.006
ghra,0.049008,0.017
ghrb,0.013078,0.011
ghxq,0.007595,0.003
glah,0.174690,0.044
glcb,0.056151,0.013
glcc,0.042014,0.014
glda,0.006086,0.005
glf,0.010324,0.010
glga,0.179265,0.059
glgb,0.051965,0.019
glgc,0.126136,0.031
glgp,0.057391,0.030
glgs,0.067325,0.005
glgx,0.038503,0.010
glk,0.076907,0.005
glmm,0.085801,0.020
glms,0.178502,0.051
glmu,0.095333,0.018
glnd,0.009375,0.008
glne,0.014090,0.012
glnh,0.078687,0.036
glnl,0.072995,0.020
glnp,0.029459,0.002
glns,0.032697,0.019
glob,0.011803,0.005
glpd,0.107408,0.068
glpf,0.022921,0.011
glpk,0.019029,0.007
glpq,0.041136,0.018
glpt,0.005020,0.003
glrr,0.024737,0.007
glsa,0.004395,0.003
glta,0.350185,0.086
gltf,0.003364,0.010
glti,0.017020,0.007
gltx,0.127140,0.008
glyu,0.075070,0.013
gmha,0.044756,0.004
gmk,0.118509,0.018
gntk,0.011461,0.000
gntp,0.011705,0.003
gor,0.036026,0.017
gpma,0.239826,0.012
gpmm,0.053851,0.005
gpr,0.018060,0.010
gpsa,0.064575,0.002
gpt,0.019428,0.020
grca,0.012015,0.000
grea,0.062488,0.005
grol,0.397359,0.108
gros,0.252465,0.007
grxa,0.001629,0.002
grxb,0.071074,0.018
grxd,0.180977,0.004
gsha,0.189974,0.061
gshb,0.056632,0.010
gsia,0.079902,0.016
gsib,0.026607,0.011
gsk,0.011537,0.006
gspb,0.005771,0.000
gspd,0.005155,0.006
gspi,0.000328,0.001
gspk,0.000275,0.003
gspl,0.000430,0.006
gss,0.016783,0.008
gsta,0.177537,0.009
gstb,0.042226,0.004
guaa,0.056539,0.009
guab,0.091485,0.019
guac,0.015738,0.008
gyra,0.049252,0.017
gyrb,0.166193,0.030
hcar,0.012372,0.004
hcat,0.016827,0.002
hcha,0.332080,0.087
hdfr,0.032087,0.016
hdha,0.356971,0.085
held,0.026934,0.009
hemh,0.115790,0.033
heml,0.068789,0.006
hemw,0.016684,0.007
hemx,0.127790,0.045
hflc,0.405739,0.041
hflx,0.486984,0.139
hfq,0.829248,0.098
hha,0.244579,0.009
hica,0.086148,0.000
hicb,0.077818,0.042
higb,0.006538,0.003
hint,0.234602,0.022
hipa,0.060710,0.022
hipb,0.039478,0.007
hisg,0.069676,0.003
hisj,0.052498,0.024
hisl,0.020484,0.003
hiss,0.101645,0.006
hlde,0.102736,0.009
hlye,0.004121,0.006
hmp,0.122522,0.013
hns,1.817633,0.100
hofc,0.002216,0.001
hokd,1.191877,0.046
holb,0.034240,0.007
holc,0.069215,0.003
hpf,0.043107,0.005
hprr,0.013055,0.014
hprs,0.013039,0.010
hrpa,0.027614,0.004
hsca,0.061926,0.007
hsdm,0.010044,0.004
hsdr,0.006829,0.013
hsds,0.000862,0.005
hslj,0.025617,0.007
hslo,0.152114,0.050
hslr,0.152306,0.010
hslu,0.212461,0.035
hslv,0.223062,0.047
hspq,0.864870,0.023
htpg,0.116671,0.029
hupb,0.224833,0.060
hyaa,0.016633,0.000
hybb,0.004356,0.003
hybc,0.021474,0.006
hybo,0.014776,0.003
hycc,0.019310,0.000
hyce,0.011034,0.002
hycg,0.007174,0.001
hyci,0.027736,0.012
hyfc,0.000445,0.003
hyfr,0.001609,0.002
hyi,0.004508,0.010
iap,0.010260,0.004
ibpa,0.135550,0.016
icd,0.169115,0.032
idi,0.064911,0.008
idnk,0.005124,0.007
idno,0.003215,0.003
idnr,0.002913,0.004
idnt,0.005332,0.007
ihfa,5.232587,0.351
ihfb,0.690990,0.033
iles,0.089583,0.006
ilva,0.029390,0.004
ilvc,0.011152,0.004
ilvd,0.073187,0.013
ilvi,0.004493,0.004
ilvn,0.010843,0.001
inaa,0.025298,0.005
infb,0.552775,0.158
infc,1.638107,0.006
insg,0.004768,0.003
insq,0.025985,0.010
inta,0.021879,0.008
intd,0.011996,0.008
intf,0.042212,0.017
intr,0.011722,0.012
intz,0.016976,0.002
ipra,0.000581,0.003
irap,0.014697,0.003
isca,0.535234,0.028
iscr,0.521651,0.039
iscu,0.488178,0.035
ispb,0.083111,0.010
ispe,0.112974,0.023
ispf,0.029338,0.004
ispg,0.256706,0.007
isph,0.035166,0.003
ispu,0.049080,0.018
ivy,0.076890,0.008
kate,0.024714,0.012
katg,0.038139,0.006
