"",bulk,single-cell
cysd,1.547574,0.064361
cysg,0.215787,0.005764
cysh,0.106354,0.101825
cysi,0.643179,0.049952
cysj,1.871276,0.048031
cysk,9.096451,0.028818
cysn,1.119234,0.067243
cysu,3.289736,0.016330
cytr,0.356570,0.041306
daca,0.688904,0.057637
dacd,0.036344,0.100865
damx,1.491912,0.026897
dapa,2.832734,0.160423
dapb,0.320277,0.008646
dapd,1.211237,0.017291
dape,0.396607,0.023055
dbpa,0.249809,0.014409
dcd,1.004134,0.034582
dcp,0.345596,0.105668
dcrb,0.634564,0.009606
dctr,0.020737,0.015370
dcub,0.011352,0.015370
dcuc,0.008603,0.056676
dcus,0.053501,0.034582
ddla,0.493315,0.053794
ddpa,0.647837,0.106628
ddpc,0.341679,0.022094
ddpd,0.359074,0.010567
ddpf,0.290857,0.025937
ddpx,0.476847,0.073967
dead,2.276168,0.024015
deda,0.946472,0.115274
dedd,0.755961,0.033622
def,0.894925,0.040346
degp,0.502651,0.037464
degq,0.403540,0.023055
degs,0.229552,0.012488
deoa,0.435201,0.028818
deoc,0.213718,0.008646
der,1.100440,0.045149
dgce,0.327118,0.033622
dgci,0.008399,0.018252
dgcj,0.055537,0.022094
dgcm,0.419337,0.062440
dgcn,0.074728,0.009606
dgcp,0.364384,0.017291
dgcq,0.216646,0.115274
dgct,0.012095,0.024015
dgcz,0.088701,0.121998
dgod,0.023575,0.052834
dhak,0.221737,0.043228
dham,0.138778,0.106628
dhar,0.064193,0.019212
diaa,0.565422,0.009606
dicc,0.003284,0.043228
digh,0.085922,0.082613
dind,0.078888,0.018252
dinf,0.283048,0.006724
dinj,0.230986,0.019212
djlc,0.018773,0.028818
dkga,0.282855,0.073007
dld,1.081291,0.017291
dmsb,0.014261,0.012488
dmsd,0.173970,0.018252
dnac,0.198365,0.050913
dnae,0.509439,0.036503
dnag,0.976716,0.019212
dnak,0.693755,0.087416
dnat,0.231236,0.021134
dnax,0.437036,0.007685
dosc,0.398950,0.236311
dosp,0.355279,0.171950
dpaa,1.089349,0.064361
dpib,0.036532,0.018252
dps,2.839685,0.059558
drpb,0.043102,0.064361
dsba,0.906315,0.009606
dsbb,0.309355,0.024976
dsbc,0.396890,0.030740
dsbd,0.147626,0.029779
dsbg,0.158238,0.110471
dsda,0.327207,0.019212
dsdx,0.120428,0.120077
dtpa,2.386716,0.019212
dtpb,0.071387,0.011527
dtpd,0.023319,0.103746
dusa,0.263975,0.030740
dusc,0.076727,0.039385
eama,0.296030,0.128722
ecnb,0.187824,0.025937
ecpa,0.036552,0.012488
ecpb,0.012881,0.023055
ecpc,0.011685,0.097983
ecpe,0.021989,0.063401
edd,0.089996,0.141210
efp,1.992262,0.004803
elaa,0.161874,0.074928
elab,4.765284,0.042267
elbb,0.285073,0.014409
elfa,0.003934,0.025937
elfg,0.025538,0.028818
elyc,0.042171,0.041306
emra,0.201176,0.011527
emre,0.051270,0.009606
emrk,0.003595,0.131604
emry,0.002634,0.094140
enda,0.025142,0.001921
eno,5.025399,0.330451
enta,0.791965,0.004803
entb,0.726167,0.009606
entd,0.214295,0.061479
envy,0.003774,0.057637
epma,0.063023,0.006724
epmb,0.271869,0.034582
epmc,0.385493,0.026897
epta,0.010671,0.037464
eptc,0.307228,0.026897
era,1.421364,0.135447
etk,0.034103,0.087416
etp,0.009592,0.058598
etta,1.793339,0.080692
euta,0.014598,0.031700
eutb,0.057417,0.016330
eute,0.008122,0.084534
eutg,0.010128,0.042267
euth,0.014797,0.036503
eutk,0.108252,0.016330
eutn,0.005657,0.022094
eutp,0.015482,0.012488
eutr,0.037706,0.031700
euts,0.017309,0.014409
exbb,1.648741,0.023055
exut,0.212843,0.005764
fabb,9.734408,0.085495
fabi,2.252709,0.017291
fabr,0.803923,0.007685
faby,0.558447,0.025937
fabz,1.127384,0.020173
fadd,0.923573,0.202690
fade,0.853889,0.091258
fadj,0.797025,0.145053
fadk,0.006784,0.019212
fadl,4.376576,0.117195
fbaa,5.529968,0.076849
fbab,2.561053,0.216138
fbp,0.799126,0.024976
fdhf,0.051714,0.038425
fdng,2.040275,0.032661
fdni,0.029977,0.016330
fdoi,2.527461,0.037464
feab,0.180781,0.009606
fear,0.514358,0.201729
feca,0.070544,0.038425
fecb,0.046356,0.021134
fepa,0.896945,0.088377
fepc,0.286789,0.033622
feta,0.040955,0.036503
ffh,0.934410,0.099904
fhua,0.544645,0.037464
fhue,0.176445,0.074928
fima,0.492111,0.037464
fimb,0.083505,0.029779
fimc,0.024009,0.033622
fime,0.010292,0.016330
fimh,0.016841,0.013449
fimi,0.117362,0.013449
fimz,0.005528,0.029779
fiu,0.962464,0.106628
fixc,0.008285,0.022094
fkpa,2.067099,0.051873
flda,0.725482,0.063401
flgj,2.225412,0.002882
flgn,1.424048,0.026897
flha,0.969442,0.050913
flhc,1.396331,0.104707
flia,5.154660,0.069164
flic,12.742671,0.178674
flid,2.517419,0.027858
flig,4.555589,0.015370
fliz,4.385547,0.060519
foca,0.326117,0.027858
fola,0.316891,0.011527
folc,0.410535,0.053794
fole,1.605829,0.089337
folk,0.230127,0.052834
folm,0.278925,0.027858
frc,0.006745,0.155620
frda,0.784062,0.019212
frdb,0.625558,0.017291
frdc,0.489117,0.016330
frlb,0.028925,0.011527
frma,0.362509,0.068204
frr,3.329683,0.080692
frsa,0.121730,0.009606
frua,0.672895,0.101825
fruk,0.439718,0.016330
frvr,0.006413,0.036503
frwd,0.018183,0.005764
fryb,0.000973,0.050913
fryc,0.003646,0.040346
fsr,0.084663,0.094140
ftna,1.027773,0.024976
ftnb,0.368322,0.033622
ftsa,0.663024,0.036503
ftsh,3.892217,0.170989
ftsk,0.567784,0.046110
ftsw,0.431506,0.009606
ftsz,3.193578,0.006724
fuck,0.053564,0.022094
fuco,0.152282,0.007685
fucp,0.019424,0.019212
fucr,0.281242,0.015370
fumc,0.846574,0.061479
fumd,0.054299,0.068204
fusa,21.905107,0.170989
gabp,0.330793,0.020173
gada,0.145543,0.014409
gadb,0.207851,0.131604
gadc,0.173431,0.138329
gadw,0.341713,0.048991
gadx,0.017284,0.035543
gale,0.313000,0.026897
galf,2.059073,0.093180
galk,0.422692,0.080692
gals,0.152063,0.141210
galt,0.262701,0.036503
galu,1.025482,0.040346
gapa,10.796933,0.267051
gard,0.078679,0.027858
gark,0.049715,0.009606
gatb,17.820285,0.097983
gatd,11.723931,0.176753
gatz,34.715589,0.464938
gcd,0.397866,0.054755
gcl,0.017903,0.024015
gcva,0.156965,0.132565
gcvp,6.419023,0.008646
gcvr,0.495845,0.024015
gdha,1.120095,0.017291
gfcb,0.005900,0.073007
gfcc,0.008611,0.010567
gfcd,0.009388,0.100865
gfce,0.011034,0.084534
ghrb,0.406980,0.014409
glah,0.370912,0.042267
glar,0.460288,0.012488
glda,0.046114,0.034582
glf,0.463583,0.135447
glga,1.560127,0.073007
glgb,0.813328,0.042267
glgc,1.454298,0.052834
glk,0.625904,0.063401
glmm,1.067230,0.026897
glms,1.429895,0.082613
glnb,0.573585,0.034582
glnd,0.160714,0.054755
glnh,3.217613,0.145053
glnl,0.131074,0.045149
glns,0.899238,0.030740
glob,0.150774,0.092219
glpd,0.160274,0.068204
glpf,0.160541,0.030740
glpk,0.286062,0.024976
glpt,0.069576,0.116234
glpx,0.094971,0.003842
glrk,0.123422,0.072046
glrr,0.203483,0.097022
glsa,0.160814,0.012488
glsb,0.192780,0.076849
glta,3.077667,0.115274
gltb,0.835698,0.012488
glti,1.450384,0.100865
gltj,0.472114,0.033622
gltk,0.462867,0.043228
gltx,1.227106,0.031700
glxk,0.071066,0.010567
glya,5.639424,0.023055
glyu,0.532465,0.081652
gmd,0.017329,0.038425
gmhb,0.232234,0.007685
gmk,0.707757,0.019212
gnsb,0.349579,0.009606
gntp,0.051119,0.065322
gor,0.409424,0.032661
gpma,2.340923,0.079731
gpr,0.375220,0.052834
gpsa,1.661155,0.012488
gpt,0.294606,0.016330
grca,0.059816,0.019212
grol,1.770163,0.034582
grxb,0.310706,0.139289
grxd,1.189778,0.024976
gsha,1.134048,0.226705
gspb,0.026265,0.007685
gspd,0.018146,0.008646
gspg,0.005747,0.002882
gspl,0.007331,0.016330
gsta,0.518539,0.005764
gstb,0.643712,0.024976
guaa,1.919200,0.042267
guab,1.123117,0.082613
gudp,0.016636,0.071085
gudx,0.026361,0.109510
gyra,1.614445,0.156580
gyrb,2.045584,0.071085
hcac,0.064250,0.004803
hcae,0.098520,0.013449
hcaf,0.144413,0.008646
hcar,0.480468,0.132565
hcat,0.203234,0.070125
hcp,0.004544,0.024976
hcxa,0.042966,0.024015
hda,0.430120,0.005764
hdha,0.412523,0.195965
held,0.154522,0.032661
hemb,0.268680,0.024015
hemc,0.589711,0.013449
hemg,0.281644,0.014409
hemh,0.152953,0.018252
heml,0.826212,0.020173
hemx,0.522365,0.047070
hflc,1.918475,0.020173
hflx,1.480539,0.127762
hfq,2.396456,0.087416
hicb,0.083659,0.041306
higb,0.022312,0.014409
hipb,0.044804,0.035543
hisg,0.676024,0.004803
hisj,1.834139,0.171950
