"",bulk,single-cell
bglj,0.007915,0.015968
bglx,0.363549,0.162675
bioa,0.216204,0.021956
bioc,0.243911,0.006986
biod,0.121246,0.015968
biof,0.361497,0.002994
bioh,0.516349,0.006986
biop,0.245211,0.000000
bipa,1.866320,0.042914
bira,0.154024,0.022954
bisc,0.200991,0.010978
blc,0.436686,0.038922
blr,0.376555,0.008982
bluf,0.462950,0.115768
blur,0.455336,0.132735
bola,0.782786,0.202595
brnq,0.454572,0.000000
bsma,0.375351,0.122754
bssr,0.065077,0.077844
bsss,0.826511,0.074850
btsr,0.353262,0.192615
btss,0.216400,0.142715
btst,0.032338,0.018962
btub,0.431571,0.025948
btuc,0.146141,0.008982
btud,0.750162,0.023952
btue,0.574910,0.038922
btuf,0.155328,0.016966
cada,0.002474,0.036926
cadb,0.002307,0.066866
cadc,0.016009,0.072854
caia,0.023295,0.016966
caib,0.023511,0.049900
caic,0.014088,0.107784
caid,0.004771,0.036926
caie,0.008388,0.035928
caif,0.050687,0.026946
cait,0.003284,0.058882
can,0.753930,0.008982
cara,1.013835,0.004990
carb,0.927055,0.009980
cas3,0.018386,0.151697
casa,0.017477,0.228543
casb,0.037437,0.149701
casd,0.047849,0.144711
case,0.070203,0.169661
cbea,0.000579,0.000998
cbl,0.110495,0.174651
cbpa,0.238958,0.047904
cbpm,0.283703,0.035928
cbra,0.396167,0.006986
cbrb,1.210467,0.014970
cbrc,1.427647,0.019960
cbta,0.002010,0.001996
cca,0.828617,0.006986
ccda,0.354852,0.038922
ccma,0.070408,0.020958
ccmb,0.039047,0.005988
ccmc,0.059730,0.005988
ccmd,0.055241,0.000998
ccme,0.065139,0.049900
ccmf,0.077057,0.003992
ccmg,0.074421,0.105788
ccmh,0.084592,0.020958
ccp,0.023318,0.034930
cdar,0.121588,0.005988
cdd,0.421157,0.042914
cdgi,0.004140,0.039920
cdh,0.054279,0.026946
cdsa,1.384738,0.008982
cecr,0.056110,0.001996
ceda,0.063130,0.005988
cfa,0.818343,0.174651
chaa,0.157277,0.103792
chab,0.212062,0.004990
chac,0.258585,0.016966
chba,0.073048,0.011976
chbb,0.167294,0.038922
chbc,0.060054,0.199601
chbf,0.036096,0.132735
chbg,0.121436,0.023952
chbr,0.054527,0.205589
chea,1.069824,0.175649
cheb,0.685318,0.150699
cher,0.720349,0.001996
chew,1.455269,0.031936
chey,0.585030,0.003992
chez,1.378965,0.074850
chia,0.052169,0.025948
chip,0.032621,0.015968
chiq,0.022792,0.009980
cho,0.177447,0.021956
chpb,0.098987,0.001996
chps,0.015852,0.000998
cira,1.678498,0.201597
citc,0.000600,0.094810
cite,0.002319,0.004990
citf,0.003261,0.019960
citg,0.000487,0.000998
citt,0.005433,0.071856
citx,0.000780,0.005988
clca,0.205312,0.028942
clcb,0.031114,0.003992
clpa,1.499567,0.096806
clpb,0.288226,0.148703
clpp,1.308221,0.003992
clps,0.180728,0.004990
clpx,2.035343,0.265469
clsa,0.257861,0.135729
clsb,0.123117,0.058882
clsc,0.196790,0.037924
cmk,1.254463,0.015968
cmoa,0.297118,0.007984
cmob,0.284570,0.012974
cmom,0.369883,0.016966
cmta,0.008928,0.009980
cmtb,0.003855,0.003992
cnox,0.339242,0.002994
coaa,0.311842,0.059880
coad,0.214665,0.006986
coae,0.206698,0.062874
cobb,0.296441,0.014970
cobc,0.164130,0.052894
cobs,0.128655,0.026946
cobt,0.208546,0.029940
cobu,0.089485,0.088822
codb,0.298936,0.008982
cof,0.082283,0.011976
comr,0.173935,0.045908
copa,0.091868,0.043912
cora,0.199777,0.017964
cpda,1.080953,0.000000
cpdb,0.201161,0.049900
cpob,1.695924,0.031936
cpsb,0.011160,0.009980
cpsg,0.004013,0.086826
cpxa,0.506504,0.048902
cpxp,0.577086,0.008982
