"",bulk,single-cell
bdcr,0.021280,0.025
bdm,0.020579,0.056
bepa,0.038419,0.047
beta,0.048908,0.043
betb,0.195191,0.000
bett,0.056877,0.055
bfd,0.112465,0.006
bfr,0.178651,0.291
bgla,0.033540,0.107
bglb,0.000712,0.018
bglf,0.000752,0.024
bglg,0.001143,0.021
bglh,0.002707,0.025
bglj,0.007152,0.010
bglx,0.027663,0.088
bhsa,0.803406,0.000
bioa,0.028215,0.038
bioc,0.016560,0.014
biod,0.010877,0.025
biof,0.032076,0.010
bioh,0.066913,0.009
biop,0.010066,0.002
bipa,0.195233,0.382
bira,0.014812,0.077
bisc,0.020820,0.014
blc,0.253269,0.134
blr,0.044067,0.014
bluf,0.013279,0.051
blur,0.226632,0.528
bola,0.377156,0.452
brnq,0.209242,0.000
bsma,0.151191,0.115
bssr,1.055867,0.223
bsss,0.808534,0.126
btsr,0.007853,0.067
btss,0.004938,0.031
btst,0.003782,0.003
btub,0.006449,0.044
btuc,0.043635,0.007
btud,0.128057,0.032
btue,0.128793,0.075
btuf,0.001944,0.004
cada,0.001386,0.014
cadb,0.001802,0.024
cadc,0.002748,0.042
caia,0.005118,0.009
caib,0.003890,0.031
caic,0.001934,0.034
caid,0.002807,0.013
caie,0.004244,0.015
caif,0.015565,0.038
cait,0.001314,0.022
can,0.046985,0.005
cara,0.001213,0.002
carb,0.003185,0.010
cas3,0.006346,0.044
casa,0.008000,0.080
casb,0.015387,0.052
casd,0.007955,0.046
case,0.014625,0.050
cbea,0.000962,0.000
cbl,0.033415,0.119
cbpa,0.149403,0.167
cbpm,0.120706,0.098
cbra,0.004022,0.014
cbrb,0.003593,0.024
cbrc,0.007143,0.054
cbta,0.000063,0.002
cca,0.142781,0.052
ccda,0.155586,0.209
ccma,0.013203,0.012
ccmb,0.002292,0.002
ccmd,0.004620,0.000
ccme,0.003703,0.011
ccmf,0.003862,0.000
ccmg,0.004064,0.028
ccmh,0.011977,0.005
ccp,0.007337,0.042
cdar,0.029344,0.013
cdd,0.095004,0.096
cdgi,0.005810,0.036
cdh,0.005640,0.074
cdsa,0.078663,0.027
cecr,0.062370,0.001
ceda,0.025878,0.001
cfa,0.366452,0.522
chaa,0.030355,0.063
chab,0.160729,0.024
chac,0.182065,0.148
chba,0.013321,0.008
chbb,0.087519,0.030
chbc,0.031443,0.135
chbf,0.011281,0.050
chbg,0.035259,0.008
chbr,0.013243,0.077
chea,0.405378,0.315
cheb,0.110742,0.059
cher,0.131541,0.000
chew,0.244875,0.045
chey,0.051045,0.002
chez,0.111575,0.022
chia,0.017427,0.058
chip,0.001348,0.013
chiq,0.003087,0.005
cho,0.052552,0.096
chpb,0.078630,0.002
chps,0.008565,0.003
cira,0.055263,0.118
citc,0.000065,0.027
citd,0.000080,0.000
cite,0.000296,0.002
citf,0.000301,0.005
citg,0.000076,0.000
citt,0.001863,0.015
citx,0.000279,0.002
clca,0.088262,0.140
clcb,0.004376,0.008
clpa,0.336418,0.563
clpb,0.262464,0.585
clpp,0.463369,0.036
clps,0.029458,0.008
clpx,0.878152,1.466
clsa,0.088862,0.191
clsb,0.059498,0.080
clsc,0.018428,0.054
cmk,0.174729,0.188
cmoa,0.052620,0.032
cmob,0.034856,0.060
cmom,0.019441,0.031
cmta,0.004101,0.016
cmtb,0.000277,0.009
cnox,0.074819,0.001
cnu,0.034269,0.001
coaa,0.007782,0.045
coad,0.139092,0.070
coae,0.035708,0.046
cobb,0.025423,0.030
cobc,0.008790,0.016
cobs,0.033164,0.022
cobt,0.033189,0.006
cobu,0.021655,0.042
coda,0.003020,0.002
codb,0.000863,0.008
cof,0.022879,0.043
comr,0.023687,0.032
copa,0.028467,0.035
cora,0.076427,0.158
cpda,0.076693,0.001
cpdb,0.007103,0.010
cpob,0.079011,0.130
cpsb,0.002565,0.002
cpsg,0.002124,0.021
cpxa,0.063408,0.065
cpxp,0.311925,0.036
cpxr,0.113417,0.125
cra,0.026418,0.020
crcb,0.025287,0.041
crea,0.030744,0.001
creb,0.030677,0.000
crec,0.008045,0.057
cred,0.005003,0.034
crl,0.045697,0.024
crp,0.274853,0.097
crr,1.515460,1.212
csde,0.058874,0.004
csga,0.011548,0.007
csgb,0.003308,0.018
csgc,0.002020,0.012
csgd,0.016879,0.058
csge,0.011834,0.013
csgf,0.007235,0.031
csgg,0.016229,0.017
csie,0.032404,0.173
cspa,2.652093,0.397
cspb,0.215160,0.008
cspd,0.384956,0.043
cspe,0.492643,0.065
cspf,0.010963,0.000
cspg,0.068122,0.041
cspi,0.021997,0.015
csqr,0.014686,0.021
csra,1.766390,0.103
csrd,0.044799,0.084
csta,0.104126,0.111
cueo,0.051191,0.073
cura,0.102087,0.153
cusa,0.006400,0.016
cusb,0.002769,0.008
cusc,0.000870,0.020
cusf,0.001516,0.022
cusr,0.019480,0.048
cuss,0.003088,0.014
cuta,0.005734,0.010
cutc,0.061449,0.037
cvpa,0.042400,0.033
cvra,0.018931,0.051
cyaa,0.110530,0.098
cyay,0.012704,0.000
cybb,0.062102,0.022
cybc,0.050700,0.009
cyca,0.076310,0.089
cyda,0.071097,0.027
cydb,0.101074,0.045
cydc,0.004033,0.022
cydd,0.006809,0.071
cydh,0.045788,0.328
cydx,0.072464,0.000
cynr,0.011003,0.020
cyns,0.003190,0.021
cynt,0.004407,0.008
cynx,0.003844,0.021
cyoa,0.059268,0.081
cyob,0.026680,0.054
cyoc,0.012524,0.023
cyod,0.017807,0.003
cyoe,0.026758,0.003
cysa,0.204684,0.022
cysb,0.095707,0.217
cysc,0.091909,0.035
cysd,0.278673,0.246
cyse,0.043185,0.000
cysg,0.020898,0.018
cysh,0.021435,0.055
cysi,0.033373,0.030
cysj,0.087912,0.042
cysk,0.939008,0.759
cysm,0.044842,0.006
cysn,0.390002,0.239
cysp,0.380513,0.011
cysq,0.189949,0.013
cyss,0.027852,0.031
cysu,0.258591,0.070
cysw,0.189149,0.006
cysz,0.007073,0.005
cytr,0.009773,0.046
cyua,0.008203,0.009
