"",bulk,single-cell
cysg,0.020898,0.004
cysh,0.021435,0.023
cysk,0.939008,0.164
cysn,0.390002,0.045
cytr,0.009773,0.014
daca,0.025692,0.018
dacb,0.010334,0.011
dacc,0.373397,0.211
dacd,0.008620,0.018
damx,0.186098,0.063
dapa,0.115778,0.051
dapd,0.076305,0.020
dape,0.044517,0.025
dbpa,0.044008,0.015
dcd,0.103389,0.007
dcrb,0.073021,0.012
dcta,0.024955,0.021
dctr,0.001291,0.009
dcua,0.084848,0.021
dcuc,0.002759,0.007
dcur,0.002241,0.008
dcus,0.001833,0.006
dcyd,0.152216,0.063
ddla,0.021610,0.013
ddlb,0.038959,0.015
ddpa,0.003712,0.005
ddpf,0.002342,0.004
ddpx,0.010246,0.015
dead,0.595413,0.147
deda,0.079838,0.030
dedd,0.087018,0.009
def,0.203630,0.060
degp,0.299082,0.056
degq,0.036980,0.034
degs,0.007247,0.016
deoa,0.100690,0.023
deob,0.349259,0.058
deod,0.175792,0.020
der,0.252922,0.047
dgce,0.011305,0.008
dgcj,0.013856,0.010
dgcq,0.120442,0.039
dgcz,0.058131,0.032
dgod,0.006594,0.019
dgt,0.012908,0.011
dhar,0.099216,0.046
diaa,0.022974,0.012
digh,0.006065,0.009
dinf,0.067499,0.019
ding,0.015026,0.022
dinj,0.079573,0.014
djlb,0.001277,0.009
dkga,0.055659,0.049
dkgb,0.001976,0.005
dld,0.036011,0.012
dmsb,0.004517,0.010
dmsd,0.010383,0.010
dnaa,0.066494,0.044
dnac,0.023124,0.012
dnae,0.032219,0.022
dnag,0.054298,0.045
dnaj,0.237729,0.081
dnak,0.657612,0.521
dnan,0.064947,0.021
dnaq,0.075321,0.018
dnax,0.011053,0.015
dolp,0.048763,0.015
dosc,0.086111,0.069
dpaa,0.063095,0.017
dpia,0.007752,0.006
dpib,0.007971,0.003
dppa,0.040177,0.048
dps,0.538159,0.084
drpb,0.348751,0.050
dsbc,0.034915,0.024
dsbg,0.022815,0.040
dsda,0.008276,0.013
dsdx,0.010666,0.014
dtpa,0.037246,0.019
dtpb,0.042005,0.017
dtpc,0.002883,0.009
dtpd,0.012867,0.018
dusa,0.027594,0.016
dusb,0.133920,0.012
eama,0.024142,0.019
ebga,0.003407,0.007
ebgr,0.007383,0.010
ecna,0.043298,0.004
ecnb,0.053178,0.025
ecpc,0.003814,0.011
edd,0.006767,0.007
elab,1.670348,0.067
elfa,0.002239,0.015
elfd,0.001152,0.008
elfg,0.005029,0.009
elyc,0.007076,0.008
emrk,0.011674,0.017
emry,0.006153,0.011
emta,0.057220,0.020
eno,0.409785,0.252
entd,0.008544,0.012
envr,0.000527,0.014
envz,0.036244,0.014
epd,0.072877,0.026
eptb,0.006512,0.010
