sample,n_cells,n_genes,max_ev,max_ev_scrambled,eig_diff,n_ev_above_threshold,GMP_Cor,fraction_non_zero
14_rep1_high,400,800,64.12793742232884,5.778329531798333,58.34960789053051,14,125.56583666138545,0.716259375
14_rep1_med,400,800,113.49831493835171,5.738962291552193,107.75935264679951,13,164.11708277613326,0.729025
14_rep1_low,400,800,126.31731652552338,5.750451332400123,120.56686519312326,12,181.74518965143335,0.73391875
14_rep2_high,400,800,55.89831154172536,5.723522055676775,50.17478948604859,16,117.88312571274804,0.711315625
14_rep2_med,400,800,112.3583647144747,5.724213542124411,106.63415117235029,12,164.7619032188179,0.73235
14_rep2_low,400,800,117.0948851915974,5.738869185823841,111.35601600577355,11,169.5205064452892,0.74519375
