mode1_gene,mode1_loading,mode2_gene,mode2_loading,mode3_gene,mode3_loading,mode4_gene,mode4_loading,mode5_gene,mode5_loading
tmRNA,-0.11378635061609735,caiA,-0.11963623268559424,ydaG,0.19673686842318774,yagU,-0.3156685465431071,ydaG,0.14958460346047867
frc,0.06586767717899128,rplM,-0.11016624437336497,stfR,0.18519908299076682,yncA,-0.3107099782263579,stfR,0.1386502975701214
yfaL,0.06429823454527142,alsB,-0.10765252273016963,ydaT,0.18339858344810958,dhaR,-0.30860268886995873,ydaT,0.13553211996588652
yedV,0.06419883922708063,yihT,-0.10716053877920936,recE,0.16352814363774287,hspQ,-0.29632083111088986,pinR,0.12865986466826188
tetR,-0.06320708206765362,yzgL,-0.10613598988913185,pinR,0.16005453358362298,ftsX,-0.2959044398100912,ydaQ,0.12613582467849613
ydjE,0.06201583481838838,yagQ,-0.10378499759883177,ydaQ,0.15497819329405657,mrdB,-0.2796340541993331,recE,0.12188205739870082
gntP,0.06146835033059961,ybbC,-0.09897538268600634,recT,0.15235770167918336,uvrC,-0.26266968134470303,racR,0.12129064802996925
wcaD,0.061391342560176865,yhdP,-0.0886378096330357,sieB,0.1489031009695437,yiaT,-0.2501984872926185,macA,0.11529462580076812
gatD,0.06011178002489818,yadK,-0.08722247796867386,racR,0.14595373443199208,LELOBEKK_galT,-0.21836228983431605,nrfB,-0.11260875165762674
yeiC,0.059545689251573664,yifB,-0.0868325897812387,pinQ,0.14257279300797304,hslV,-0.20703630145520785,ybjC,0.10851245564965058
LELOBEKK,-0.0588557173017253,tdcB,-0.08473539443197735,LELOBEKKtfaE,0.12976627413494402,fadD,-0.1988211732485599,sieB,0.1079830397945455
ycjW,0.058485284527136076,cadC,-0.08427065752525079,macA,0.12738655388247438,arcA,-0.17397202623283842,pinQ,0.10462425513504225
yccW,0.05816975465961421,tsx,-0.07640453098093263,ybjC,0.12444116422130276,clpA,-0.1657633642204863,yfeK,-0.10381798334650748
yfaS,0.05802318583998379,yicN,-0.07398718057354726,yeeI,0.11292664860840897,fliC,-0.1528726436292507,recT,0.10334951012272972
yfcI,0.057776769180520715,yahH,-0.07021809630623328,racC,0.1073104040071823,yfbL,-0.11887967269759761,hypB,-0.0985062551485584
ydeK,0.05764061811095502,yjiK,-0.06821359744034138,rffA,0.09923446366597603,tmRNA,0.045839492415682206,yrhC,-0.09495778923717685
yfhM,0.0573634931799636,ygfT,-0.06773017884058495,intR,0.09489622816663852,nrfB,-0.039766088461841924,yjhV,-0.0930140808682328
yfcU,0.05699640796106308,arnB,-0.0675977218342815,yeeJ,0.09145621340384777,yihE,-0.03651123950554336,racC,0.09204624282471124
ydjJ,0.05675208498610261,ytfL,-0.06701346018452545,frlB,0.08812758417589489,yjhC,-0.03211331164811391,LELOBEKKtfaE,0.09166118218096415
eamA,0.056317724944767895,adiA,-0.06606146001782984,ynfE,0.08114211598423636,LELOBEKK_ccdA,-0.03200143948846898,intR,0.08942666938734996
edd,0.055722315288994864,gadX,-0.0654636399069042,ydfK,0.07950874095270721,ycgV,-0.030468570440585926,malZ,-0.08780047552728845
rcsC,0.055586321440541646,bcsB,-0.06428097467821094,yjjQ,0.07765264006761509,sdaA,-0.02999595538791566,yjhC,-0.08524670866390961
yfaA,0.055273545508734576,yaaA,-0.06422517607441017,cspI,0.07616001508103558,secM,-0.02988044987117369,yebT,-0.07934107042720578
yceI,0.05509453697690954,rfaQ,-0.06408732750678256,ycdU,0.07266484222657214,ybhJ,-0.028237142761629665,cysC,-0.07404508524689914
narU,0.05497751219993307,yaaJ,-0.06397740503536878,nrfB,0.07254747783731519,ybfE,-0.02662098690000758,dinD,-0.07398164167366024
gadC,0.054785078582777674,yieL,-0.06376537876239333,fliL,0.071128222877285,agp,-0.02655342732407283,fliL,-0.07397711170794789
emrK,0.05437954175967399,hemL,-0.06352350464564879,katE,0.0711122534137406,yfeK,-0.02618623939273741,ompW,-0.07344594622178305
chbF,0.05410170737622462,yadL,-0.06331533908418172,yihF,0.0690940986569052,hflX,-0.02526348199720113,ycdU,-0.0729617384462134
araF,0.054023184954906725,tdcD,-0.06308633964640933,hcp,0.06756298567409866,aroA,-0.025110019097042108,yieK,-0.07240522844830241
ydiP,0.053632421556760804,adiY,-0.06281054460799426,hypB,0.0672579565901078,ypeB,-0.024591986360585086,ppc,-0.07008084558478123
