GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,1.3847672576442008e-18,2.420573166362063e-15,"P75933,P25798,P0A8T5,P0ABX5,P0ABZ1,P26608,P0ABW9,P31068,P0ABX2,P52612,P0ABY2,P0AC05,P76299,P0A8T7,P33135,P06974,P75938,P0A6S0,P15070,P52613,P52614,P76298,P22586,P0A6S3,P75942,P0AC07,P0ABX8",e,5,"(27, 439)","(37, 3901)",{'GO:0097588'}
GO:0006935,chemotaxis,BP,7.786678152654893e-15,6.8055567054203765e-12,"P0A8T5,P0ABX5,P0ABZ1,P0ABW9,P31068,P0AEE5,P0ABX2,P23847,P52612,P0AC05,P76299,P33135,P06974,P75938,P15070,P52613,P76298,P22586,P02925,P0AE67,P27550,P0AC07,P0ABX8",e,3,"(23, 439)","(34, 3901)",{'GO:0042330'}
GO:0044781,bacterial-type flagellum organization,BP,6.377491674450457e-14,3.715951815646467e-11,"P0ABY7,P75933,P0A8S9,P31068,P22586,P76297,P75942,P52612,P0ABY2,P0AC05,P75936,P76299,P26608,P52613,P52614,P76298",e,5,"(16, 439)","(18, 3901)","{'GO:0030030', 'GO:0006996'}"
GO:0022904,respiratory electron transport chain,BP,1.3782007608574493e-12,6.022737324947054e-10,"P07014,P0AFD1,P0AAJ5,P31979,P06149,P33607,P0AFE0,P0ABI8,P0AEL0,P0AFC7,P0AFE4,P33602,P0AFD6,P0AFF0,P0AFE8,P0AFD4,P33599,P0AFC3",e,5,"(18, 439)","(25, 3901)",{'GO:0022900'}
GO:0044780,bacterial-type flagellum assembly,BP,2.0186944380638174e-11,7.057355755471106e-09,"P75933,P0A8S9,P0AC47,P00363,P75942,P52612,P0A8T7,P0AC07,P0A8Q0,P76299,P33135,P26608,P0ABZ1,P0A8Q3,P52614,P76298",e,7,"(16, 439)","(22, 3901)","{'GO:0030031', 'GO:0044781', 'GO:0140694'}"
GO:0006189,'de novo' IMP biosynthetic process,BP,3.535602324795239e-10,1.0300388106236797e-07,"P15640,P08179,P08178,P33221,P0AG16,P15639,P15254,P09029,P0AB89,P0A7D7,P0AG18",e,11,"(11, 439)","(12, 3901)",{'GO:0006188'}
GO:0030254,protein secretion by the type III secretion system,BP,2.690058115778518e-09,6.717459409115499e-07,"P22586,P31068,P52612,P0AC05,P0AC07,P76299,P33135,P52613,P76298",e,8,"(9, 439)","(9, 3901)","{'GO:0009306', 'GO:0071806'}"
GO:0042938,dipeptide transport,BP,2.924585107364308e-08,6.390218459591013e-06,"P77463,P0AEF8,P77304,P23847,P0AAG0,P37313,P77268,P77622,P0AEG1,P77308,P76128",e,7,"(11, 439)","(15, 3901)",{'GO:0006857'}
GO:0009060,aerobic respiration,BP,5.9273947817148915e-08,1.15123178649307e-05,"P07014,P0AC41,P0ABJ3,P31979,P06149,P0AC44,P0ABI8,P0AFC7,P0AFD4,P33602,P0ABJ6,P0AFD6,P0AFF0,P0AFE8",e,6,"(14, 439)","(25, 3901)",{'GO:0045333'}
GO:0015031,protein transport,BP,8.813485253107385e-08,1.540597222243171e-05,"P02931,P0AEG1,P31068,P10408,P23847,P52612,P0AC05,P0AAG0,P76299,P0AFH6,P77308,P76027,P76128,P0AEF8,P52613,P76298,P77463,P77304,P0AFH2,P37313,P77737,P77268,P77622,P15078",e,6,"(24, 439)","(67, 3901)","{'GO:0071705', 'GO:0045184'}"
