GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0019856,pyrimidine nucleobase biosynthetic process,BP,0.0006296173914016937,0.025594679073724664,"P00968,P0AD83,P05020,P0A6F1",e,7,"(4, 424)","(5, 3901)","{'GO:0006206', 'GO:0046112', 'GO:0072528'}"
GO:0015846,polyamine transport,BP,0.0006296173914016937,0.025594679073724664,"P0AFK9,P31133,P31134,P76108",e,5,"(4, 424)","(5, 3901)",{'GO:0071705'}
GO:0015794,glycerol-3-phosphate transmembrane transport,BP,0.0006296173914016937,0.025594679073724664,"P10905,P10906,P0AG80,P10907",e,5,"(4, 424)","(5, 3901)","{'GO:0015711', 'GO:0015748', 'GO:0055085', 'GO:1901264'}"
GO:1905887,autoinducer AI-2 transmembrane transport,BP,0.0006296173914016937,0.025594679073724664,"P77672,P77257,P0AFS1,P76142",e,6,"(4, 424)","(5, 3901)",{'GO:0015791'}
GO:0045333,cellular respiration,BP,0.0008296396871298296,0.03295932211597596,"P0AAJ5,P31979,P0AEL0,P19319,P33602,P24183",e,5,"(6, 424)","(12, 3901)",{'GO:0015980'}
GO:0019569,L-arabinose catabolic process to xylulose 5-phosphate,BP,0.0012759242228645876,0.041674017006460846,"P08204,P08203,P08202",e,9,"(3, 424)","(3, 3901)","{'GO:1901159', 'GO:0019572'}"
GO:1903803,L-glutamine import across plasma membrane,BP,0.0012759242228645876,0.041674017006460846,"P0AEQ6,P0AEQ3,P10346",e,8,"(3, 424)","(3, 3901)","{'GO:0006868', 'GO:0015695', 'GO:0089718', 'GO:1902475'}"
GO:0006569,tryptophan catabolic process,BP,0.0012759242228645876,0.041674017006460846,"P23173,P0A853,P0AD89",e,8,"(3, 424)","(3, 3901)","{'GO:0006586', 'GO:1901606', 'GO:0009074', 'GO:0042436'}"
GO:0019404,galactitol catabolic process,BP,0.0012759242228645876,0.041674017006460846,"P0C8J6,P0C8J8,P0A9S3",e,8,"(3, 424)","(3, 3901)","{'GO:0019407', 'GO:0019402'}"
GO:0006868,glutamine transport,BP,0.0012759242228645876,0.041674017006460846,"P0AEQ6,P0AEQ3,P10346",e,6,"(3, 424)","(3, 3901)","{'GO:0046942', 'GO:0071705', 'GO:0015804'}"
GO:0015761,mannose transmembrane transport,BP,0.0012759242228645876,0.041674017006460846,"P69805,P69801,P69797",e,8,"(3, 424)","(3, 3901)",{'GO:0008645'}
GO:0042867,pyruvate catabolic process,BP,0.0012759242228645876,0.041674017006460846,"P06959,P07003,P0AFG8",e,8,"(3, 424)","(3, 3901)","{'GO:0006090', 'GO:0072329'}"
GO:0001407,glycerophosphodiester transmembrane transport,BP,0.0012759242228645876,0.041674017006460846,"P10905,P0AG80,P10907",e,5,"(3, 424)","(3, 3901)","{'GO:0015711', 'GO:0015748', 'GO:0055085'}"
GO:0050918,positive chemotaxis,BP,0.0012759242228645876,0.041674017006460846,"P23847,P02925,P06974",e,4,"(3, 424)","(3, 3901)",{'GO:0006935'}
GO:0042773,ATP synthesis coupled electron transport,BP,0.0012874124246847172,0.041674017006460846,"P33607,P0AFE4,P33602,P0AFF0,P0AFE8",e,6,"(5, 424)","(9, 3901)",{'GO:0022904'}
GO:0006355,regulation of DNA-templated transcription,BP,0.00035199596613594937,0.021216860303642743,"P0ABY7,P0A8S9,P0ACL7,Q47141,P54901,P0A968,P39399,P0ACQ0,P77743,Q47129,P09546,P0ACH8,P06993,P69786",p,8,"(14, 424)","(288, 3901)","{'GO:2001141', 'GO:0010468'}"
