gene_name	ontologyTerms_biologicalProcess	ontologyTerms_cellularComponent	ontologyTerms_molecularFunction
araG	GO:0015749 - monosaccharide transmembrane transport; GO:0042882 - L-arabinose transmembrane transport	GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0000166 - nucleotide binding; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0015147 - L-arabinose transmembrane transporter activity; GO:0015612 - ABC-type L-arabinose transporter activity; GO:0016887 - ATP hydrolysis activity
araF	GO:0042882 - L-arabinose transmembrane transport	GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0015407 - ABC-type monosaccharide transporter activity; GO:0030246 - carbohydrate binding; GO:0048029 - monosaccharide binding
ppx	GO:0006793 - phosphorus metabolic process; GO:0006798 - polyphosphate catabolic process	GO:0005829 - cytosol; GO:0005886 - plasma membrane	GO:0004309 - exopolyphosphatase activity; GO:0016462 - pyrophosphatase activity; GO:0016787 - hydrolase activity; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity; GO:0097216 - guanosine tetraphosphate binding
ppk	GO:0006799 - polyphosphate biosynthetic process; GO:0046777 - protein autophosphorylation; GO:0051302 - regulation of cell division	GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0009358 - polyphosphate kinase complex; GO:0016020 - membrane; GO:0031241 - periplasmic side of cell outer membrane	GO:0000166 - nucleotide binding; GO:0003824 - catalytic activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0008976 - polyphosphate kinase activity; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0016776 - phosphotransferase activity, phosphate group as acceptor; GO:0016778 - diphosphotransferase activity; GO:0042803 - protein homodimerization activity; GO:0043751 - polyphosphate:AMP phosphotransferase activity; GO:0046872 - metal ion binding
appY	GO:0006355 - regulation of DNA-templated transcription; GO:0010165 - response to X-ray; GO:0016036 - cellular response to phosphate starvation; GO:0045893 - positive regulation of DNA-templated transcription	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0000976 - transcription cis-regulatory region binding; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0043565 - sequence-specific DNA binding
yibQ	GO:0005975 - carbohydrate metabolic process		
envC	GO:0000920 - septum digestion after cytokinesis; GO:0009273 - peptidoglycan-based cell wall biogenesis; GO:0009314 - response to radiation; GO:0009410 - response to xenobiotic stimulus; GO:0051301 - cell division	GO:0005886 - plasma membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0032153 - cell division site; GO:0042597 - periplasmic space	GO:0004222 - metalloendopeptidase activity; GO:0005515 - protein binding; GO:0016787 - hydrolase activity
gpmM	GO:0005975 - carbohydrate metabolic process; GO:0006007 - glucose catabolic process; GO:0006096 - glycolytic process; GO:0006979 - response to oxidative stress	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0003824 - catalytic activity; GO:0004619 - phosphoglycerate mutase activity; GO:0016853 - isomerase activity; GO:0030145 - manganese ion binding; GO:0046872 - metal ion binding
ddpF	GO:0015031 - protein transport; GO:0015833 - peptide transport; GO:0015834 - peptidoglycan-associated peptide transport; GO:0042938 - dipeptide transport; GO:0055085 - transmembrane transport	GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0015640 - peptidoglycan peptide transmembrane transporter activity; GO:0016887 - ATP hydrolysis activity
ddpD	GO:0015031 - protein transport; GO:0015833 - peptide transport; GO:0015834 - peptidoglycan-associated peptide transport; GO:0042938 - dipeptide transport; GO:0055085 - transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0015640 - peptidoglycan peptide transmembrane transporter activity; GO:0016887 - ATP hydrolysis activity
ddpC	GO:0015031 - protein transport; GO:0015833 - peptide transport; GO:0035442 - dipeptide transmembrane transport; GO:0042938 - dipeptide transport; GO:0055085 - transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0071916 - dipeptide transmembrane transporter activity
ddpB	GO:0015031 - protein transport; GO:0015833 - peptide transport; GO:0035442 - dipeptide transmembrane transport; GO:0042938 - dipeptide transport; GO:0055085 - transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0071916 - dipeptide transmembrane transporter activity
ddpA	GO:0015031 - protein transport; GO:0015833 - peptide transport; GO:0042938 - dipeptide transport; GO:0055085 - transmembrane transport	GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:1904680 - peptide transmembrane transporter activity
ddpX	GO:0006508 - proteolysis; GO:0042594 - response to starvation; GO:0071555 - cell wall organization	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0030288 - outer membrane-bounded periplasmic space	GO:0008233 - peptidase activity; GO:0008237 - metallopeptidase activity; GO:0008270 - zinc ion binding; GO:0009046 - zinc D-Ala-D-Ala carboxypeptidase activity; GO:0016787 - hydrolase activity; GO:0016805 - dipeptidase activity; GO:0046872 - metal ion binding; GO:0160237 - D-Ala-D-Ala dipeptidase activity
btsT	GO:0006849 - plasma membrane pyruvate transport; GO:0006974 - DNA damage response; GO:0009267 - cellular response to starvation; GO:0031669 - cellular response to nutrient levels	GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0005477 - pyruvate secondary active transmembrane transporter activity; GO:0005515 - protein binding; GO:0015293 - symporter activity; GO:0042802 - identical protein binding
patD	GO:0009447 - putrescine catabolic process; GO:0019477 - L-lysine catabolic process; GO:0051289 - protein homotetramerization	GO:0005829 - cytosol; GO:0032991 - protein-containing complex	GO:0004029 - aldehyde dehydrogenase (NAD+) activity; GO:0004030 - aldehyde dehydrogenase [NAD(P)+] activity; GO:0016491 - oxidoreductase activity; GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; GO:0019145 - aminobutyraldehyde dehydrogenase (NAD+) activity; GO:0042802 - identical protein binding; GO:0051287 - NAD binding
ydcV	GO:0009290 - DNA import into cell involved in transformation; GO:0055085 - transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	
ydcU	GO:0055085 - transmembrane transport; GO:1903711 - spermidine transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0015417 - ABC-type polyamine transporter activity
ydcT	GO:0015847 - putrescine transport; GO:0055085 - transmembrane transport; GO:1902047 - polyamine transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0015417 - ABC-type polyamine transporter activity; GO:0016887 - ATP hydrolysis activity; GO:0022857 - transmembrane transporter activity
ydcS	GO:0009290 - DNA import into cell involved in transformation; GO:0015846 - polyamine transport; GO:0015847 - putrescine transport; GO:0042619 - poly-hydroxybutyrate biosynthetic process; GO:0055085 - transmembrane transport	GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0016740 - transferase activity; GO:0016746 - acyltransferase activity; GO:0019808 - polyamine binding; GO:0019809 - spermidine binding; GO:0019810 - putrescine binding
bsmA	GO:0006950 - response to stress; GO:0006974 - DNA damage response; GO:0044010 - single-species biofilm formation	GO:0005886 - plasma membrane; GO:0030288 - outer membrane-bounded periplasmic space	
sdsN	GO:0048523 - negative regulation of cellular process		GO:0003729 - mRNA binding; GO:0005515 - protein binding; GO:1990825 - sequence-specific mRNA binding
rseD	GO:0006417 - regulation of translation		
rseC	GO:0006979 - response to oxidative stress; GO:0051090 - regulation of DNA-binding transcription factor activity	GO:0005886 - plasma membrane; GO:0098797 - plasma membrane protein complex; GO:1990204 - oxidoreductase complex	GO:0005515 - protein binding; GO:0016651 - oxidoreductase activity, acting on NAD(P)H
rseB	GO:0032885 - regulation of polysaccharide biosynthetic process; GO:0045892 - negative regulation of DNA-templated transcription; GO:0050821 - protein stabilization	GO:0005886 - plasma membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:1903865 - sigma factor antagonist complex	GO:0005515 - protein binding; GO:0008289 - lipid binding; GO:0042802 - identical protein binding; GO:0045152 - antisigma factor binding
rseA	GO:0006950 - response to stress; GO:0045892 - negative regulation of DNA-templated transcription	GO:0005886 - plasma membrane; GO:1903865 - sigma factor antagonist complex	GO:0005515 - protein binding; GO:0016989 - sigma factor antagonist activity; GO:0060090 - molecular adaptor activity
rpoE	GO:0006351 - DNA-templated transcription; GO:0006352 - DNA-templated transcription initiation; GO:0006355 - regulation of DNA-templated transcription; GO:0006950 - response to stress; GO:0006970 - response to osmotic stress; GO:0009266 - response to temperature stimulus; GO:0036460 - cellular response to cell envelope stress; GO:0045892 - negative regulation of DNA-templated transcription; GO:0090605 - submerged biofilm formation; GO:2000142 - regulation of DNA-templated transcription initiation	GO:0000345 - cytosolic DNA-directed RNA polymerase complex; GO:0005737 - cytoplasm; GO:0005886 - plasma membrane; GO:1903865 - sigma factor antagonist complex	GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0005515 - protein binding; GO:0016987 - sigma factor activity
pykF	GO:0006096 - glycolytic process; GO:0006950 - response to stress; GO:0009408 - response to heat	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0016020 - membrane; GO:1902912 - pyruvate kinase complex	GO:0000166 - nucleotide binding; GO:0000287 - magnesium ion binding; GO:0003824 - catalytic activity; GO:0004743 - pyruvate kinase activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0030955 - potassium ion binding; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding
micF	GO:0006979 - response to oxidative stress; GO:0009410 - response to xenobiotic stimulus; GO:0034605 - cellular response to heat; GO:0040033 - sRNA-mediated post-transcriptional gene silencing; GO:0071474 - cellular hyperosmotic response		GO:0000900 - mRNA regulatory element binding translation repressor activity; GO:0003729 - mRNA binding; GO:0005515 - protein binding; GO:0048027 - mRNA 5'-UTR binding
ymgC	GO:0044010 - single-species biofilm formation	GO:0005829 - cytosol	
ariR	GO:0042542 - response to hydrogen peroxide; GO:0044010 - single-species biofilm formation; GO:0071468 - cellular response to acidic pH	GO:0005829 - cytosol	GO:0003677 - DNA binding; GO:0005515 - protein binding; GO:0042803 - protein homodimerization activity
ymgA	GO:1900191 - negative regulation of single-species biofilm formation		GO:0005515 - protein binding
ycgZ	GO:0045892 - negative regulation of DNA-templated transcription; GO:0071468 - cellular response to acidic pH		GO:0005515 - protein binding
murR	GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription; GO:0043470 - regulation of carbohydrate catabolic process; GO:0045892 - negative regulation of DNA-templated transcription; GO:0097173 - N-acetylmuramic acid catabolic process; GO:1901135 - carbohydrate derivative metabolic process	GO:0005829 - cytosol	GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0097367 - carbohydrate derivative binding
mnmG	GO:0002098 - tRNA wobble uridine modification; GO:0002926 - tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation; GO:0008033 - tRNA processing; GO:0009411 - response to UV; GO:0030488 - tRNA methylation; GO:0140018 - regulation of cytoplasmic translational fidelity	GO:0002144 - cytosolic tRNA wobble base thiouridylase complex; GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0005515 - protein binding; GO:0042803 - protein homodimerization activity; GO:0050660 - flavin adenine dinucleotide binding
rsmG	GO:0006364 - rRNA processing; GO:0032259 - methylation; GO:0070475 - rRNA base methylation; GO:0070476 - rRNA (guanine-N7)-methylation	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0008168 - methyltransferase activity; GO:0008649 - rRNA methyltransferase activity; GO:0016740 - transferase activity; GO:0070043 - rRNA (guanine-N7-)-methyltransferase activity
ymiC		GO:0005886 - plasma membrane	
acnA	GO:0006097 - glyoxylate cycle; GO:0006099 - tricarboxylic acid cycle; GO:0006979 - response to oxidative stress; GO:0009061 - anaerobic respiration; GO:0045333 - cellular respiration	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0003723 - RNA binding; GO:0003729 - mRNA binding; GO:0003730 - mRNA 3'-UTR binding; GO:0003994 - aconitate hydratase activity; GO:0005506 - iron ion binding; GO:0016829 - lyase activity; GO:0030350 - iron-responsive element binding; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding
glk	GO:0006096 - glycolytic process; GO:0051156 - glucose 6-phosphate metabolic process	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0000166 - nucleotide binding; GO:0004340 - glucokinase activity; GO:0005524 - ATP binding; GO:0005536 - D-glucose binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity
hyaA	GO:0006113 - fermentation; GO:0009061 - anaerobic respiration; GO:0009267 - cellular response to starvation; GO:0019645 - anaerobic electron transport chain; GO:1902421 - hydrogen metabolic process	GO:0005886 - plasma membrane; GO:0009375 - ferredoxin hydrogenase complex; GO:0016020 - membrane; GO:0044569 - [Ni-Fe] hydrogenase complex; GO:0098567 - periplasmic side of plasma membrane	GO:0005515 - protein binding; GO:0008901 - ferredoxin hydrogenase activity; GO:0009055 - electron transfer activity; GO:0016491 - oxidoreductase activity; GO:0033748 - hydrogenase (acceptor) activity; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051538 - 3 iron, 4 sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding
hyaB	GO:0006113 - fermentation; GO:0009061 - anaerobic respiration; GO:0009267 - cellular response to starvation; GO:0019645 - anaerobic electron transport chain; GO:1902421 - hydrogen metabolic process	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0044569 - [Ni-Fe] hydrogenase complex; GO:0098567 - periplasmic side of plasma membrane	GO:0005515 - protein binding; GO:0008901 - ferredoxin hydrogenase activity; GO:0009055 - electron transfer activity; GO:0016151 - nickel cation binding; GO:0016491 - oxidoreductase activity; GO:0033748 - hydrogenase (acceptor) activity; GO:0046872 - metal ion binding
hyaC	GO:0006113 - fermentation; GO:0009061 - anaerobic respiration; GO:0009267 - cellular response to starvation; GO:0019645 - anaerobic electron transport chain; GO:0022904 - respiratory electron transport chain; GO:1902421 - hydrogen metabolic process	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0044569 - [Ni-Fe] hydrogenase complex; GO:0098567 - periplasmic side of plasma membrane	GO:0005506 - iron ion binding; GO:0005515 - protein binding; GO:0009055 - electron transfer activity; GO:0020037 - heme binding; GO:0033748 - hydrogenase (acceptor) activity; GO:0046872 - metal ion binding
hyaD	GO:0006508 - proteolysis; GO:0016485 - protein processing	GO:0005829 - cytosol	GO:0004175 - endopeptidase activity; GO:0004190 - aspartic-type endopeptidase activity; GO:0005515 - protein binding; GO:0008047 - enzyme activator activity; GO:0008233 - peptidase activity; GO:0016787 - hydrolase activity; GO:0046872 - metal ion binding
hyaE		GO:0005829 - cytosol	GO:0005048 - signal sequence binding
hyaF		GO:0005829 - cytosol	
ssrS			
fau	GO:0009396 - folic acid-containing compound biosynthetic process; GO:0022611 - dormancy process; GO:0035999 - tetrahydrofolate interconversion	GO:0005737 - cytoplasm	GO:0000166 - nucleotide binding; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016874 - ligase activity; GO:0030272 - 5-formyltetrahydrofolate cyclo-ligase activity
pykA	GO:0006096 - glycolytic process	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:1902912 - pyruvate kinase complex	GO:0000166 - nucleotide binding; GO:0000287 - magnesium ion binding; GO:0003824 - catalytic activity; GO:0004743 - pyruvate kinase activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016208 - AMP binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0030955 - potassium ion binding; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding
galK	GO:0006012 - galactose metabolic process; GO:0033499 - galactose catabolic process via UDP-galactose, Leloir pathway; GO:0046835 - carbohydrate phosphorylation	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0000166 - nucleotide binding; GO:0000287 - magnesium ion binding; GO:0004335 - galactokinase activity; GO:0005524 - ATP binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0016773 - phosphotransferase activity, alcohol group as acceptor; GO:0046872 - metal ion binding
galT	GO:0006012 - galactose metabolic process; GO:0006796 - phosphate-containing compound metabolic process; GO:0019637 - organophosphate metabolic process; GO:0033499 - galactose catabolic process via UDP-galactose, Leloir pathway; GO:0046835 - carbohydrate phosphorylation; GO:1901135 - carbohydrate derivative metabolic process	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0004335 - galactokinase activity; GO:0008108 - UDP-glucose:hexose-1-phosphate uridylyltransferase activity; GO:0008198 - ferrous iron binding; GO:0008270 - zinc ion binding; GO:0016740 - transferase activity; GO:0016779 - nucleotidyltransferase activity; GO:0046872 - metal ion binding
galE	GO:0005975 - carbohydrate metabolic process; GO:0005996 - monosaccharide metabolic process; GO:0006012 - galactose metabolic process; GO:0009242 - colanic acid biosynthetic process; GO:0033499 - galactose catabolic process via UDP-galactose, Leloir pathway	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0003978 - UDP-glucose 4-epimerase activity; GO:0005515 - protein binding; GO:0016853 - isomerase activity; GO:0016857 - racemase and epimerase activity, acting on carbohydrates and derivatives; GO:0042802 - identical protein binding; GO:0070403 - NAD+ binding
galM	GO:0005975 - carbohydrate metabolic process; GO:0006006 - glucose metabolic process; GO:0006012 - galactose metabolic process; GO:0019318 - hexose metabolic process; GO:0033499 - galactose catabolic process via UDP-galactose, Leloir pathway	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0003824 - catalytic activity; GO:0004034 - aldose 1-epimerase activity; GO:0016853 - isomerase activity; GO:0030246 - carbohydrate binding
adhE	GO:0006066 - alcohol metabolic process; GO:0006115 - ethanol biosynthetic process; GO:0006979 - response to oxidative stress; GO:0015976 - carbon utilization; GO:0019664 - mixed acid fermentation; GO:0051260 - protein homooligomerization	GO:0005829 - cytosol; GO:0016020 - membrane	GO:0003824 - catalytic activity; GO:0004022 - alcohol dehydrogenase (NAD+) activity; GO:0005515 - protein binding; GO:0008198 - ferrous iron binding; GO:0008774 - acetaldehyde dehydrogenase (acetylating) activity; GO:0016491 - oxidoreductase activity; GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; GO:0042802 - identical protein binding; GO:0043022 - ribosome binding; GO:0046872 - metal ion binding; GO:0120542 - ethanol dehydrogenase (NAD+) activity
gltB	GO:0006537 - glutamate biosynthetic process; GO:0008652 - amino acid biosynthetic process; GO:0019676 - ammonia assimilation cycle; GO:0097054 - L-glutamate biosynthetic process	GO:0005829 - cytosol; GO:0009342 - glutamate synthase complex (NADPH)	GO:0004354 - glutamate dehydrogenase (NADP+) activity; GO:0004355 - glutamate synthase (NADPH) activity; GO:0005515 - protein binding; GO:0015930 - glutamate synthase activity; GO:0016491 - oxidoreductase activity; GO:0016638 - oxidoreductase activity, acting on the CH-NH2 group of donors; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051538 - 3 iron, 4 sulfur cluster binding
gltD	GO:0006537 - glutamate biosynthetic process; GO:0008652 - amino acid biosynthetic process; GO:0019676 - ammonia assimilation cycle; GO:0044281 - small molecule metabolic process; GO:0097054 - L-glutamate biosynthetic process	GO:0005829 - cytosol; GO:0009342 - glutamate synthase complex (NADPH)	GO:0004354 - glutamate dehydrogenase (NADP+) activity; GO:0004355 - glutamate synthase (NADPH) activity; GO:0005515 - protein binding; GO:0016491 - oxidoreductase activity; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding
gltF		GO:0005886 - plasma membrane; GO:0030288 - outer membrane-bounded periplasmic space	
cyaR	GO:0035194 - regulatory ncRNA-mediated post-transcriptional gene silencing		GO:0003729 - mRNA binding; GO:0005515 - protein binding; GO:0048027 - mRNA 5'-UTR binding; GO:0061980 - regulatory RNA binding
pqiC	GO:0046907 - intracellular transport; GO:0061024 - membrane organization; GO:0120009 - intermembrane lipid transfer	GO:0009279 - cell outer membrane; GO:0030288 - outer membrane-bounded periplasmic space	GO:0005515 - protein binding; GO:0042802 - identical protein binding
pqiB	GO:0061024 - membrane organization; GO:0120009 - intermembrane lipid transfer	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space	GO:0005515 - protein binding; GO:0042802 - identical protein binding
pqiA	GO:0006950 - response to stress; GO:0061024 - membrane organization; GO:0120009 - intermembrane lipid transfer	GO:0005886 - plasma membrane; GO:0016020 - membrane	
recF	GO:0000725 - recombinational repair; GO:0000731 - DNA synthesis involved in DNA repair; GO:0006260 - DNA replication; GO:0006281 - DNA repair; GO:0006302 - double-strand break repair; GO:0006974 - DNA damage response; GO:0009411 - response to UV; GO:0009432 - SOS response	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0000166 - nucleotide binding; GO:0003677 - DNA binding; GO:0003697 - single-stranded DNA binding; GO:0005515 - protein binding; GO:0005524 - ATP binding
dnaN	GO:0006260 - DNA replication; GO:0006261 - DNA-templated DNA replication; GO:0006271 - DNA strand elongation involved in DNA replication; GO:0006974 - DNA damage response; GO:0030174 - regulation of DNA-templated DNA replication initiation; GO:0032297 - negative regulation of DNA-templated DNA replication initiation; GO:0042276 - error-prone translesion synthesis; GO:0044787 - bacterial-type DNA replication	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0009360 - DNA polymerase III complex; GO:0030894 - replisome; GO:1990078 - replication inhibiting complex; GO:1990085 - Hda-beta clamp complex	GO:0003677 - DNA binding; GO:0003887 - DNA-directed DNA polymerase activity; GO:0005515 - protein binding; GO:0008408 - 3'-5' exonuclease activity; GO:0016740 - transferase activity; GO:0016779 - nucleotidyltransferase activity; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity
metK	GO:0006556 - S-adenosylmethionine biosynthetic process; GO:0006730 - one-carbon metabolic process; GO:0033353 - S-adenosylmethionine cycle	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0000166 - nucleotide binding; GO:0000287 - magnesium ion binding; GO:0004478 - methionine adenosyltransferase activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016740 - transferase activity; GO:0030955 - potassium ion binding; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding
eno	GO:0006096 - glycolytic process; GO:0006396 - RNA processing; GO:0006401 - RNA catabolic process	GO:0000015 - phosphopyruvate hydratase complex; GO:0005576 - extracellular region; GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005856 - cytoskeleton; GO:0009986 - cell surface; GO:0016020 - membrane; GO:1990061 - bacterial degradosome	GO:0000287 - magnesium ion binding; GO:0004634 - phosphopyruvate hydratase activity; GO:0005515 - protein binding; GO:0016829 - lyase activity; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity; GO:0046872 - metal ion binding
sgrT	GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system; GO:0046325 - negative regulation of D-glucose import		GO:0004857 - enzyme inhibitor activity; GO:0005515 - protein binding
setA	GO:0008643 - carbohydrate transport; GO:0015767 - lactose transport; GO:0034219 - carbohydrate transmembrane transport; GO:0036448 - cellular response to glucose-phosphate stress; GO:0055085 - transmembrane transport; GO:1902600 - proton transmembrane transport; GO:1904659 - D-glucose transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0005351 - carbohydrate:proton symporter activity; GO:0022857 - transmembrane transporter activity
sgrS	GO:0006950 - response to stress; GO:0040033 - sRNA-mediated post-transcriptional gene silencing; GO:0045975 - positive regulation of translation, ncRNA-mediated; GO:1900192 - positive regulation of single-species biofilm formation; GO:1902201 - negative regulation of bacterial-type flagellum-dependent cell motility		GO:0003729 - mRNA binding; GO:0005515 - protein binding
aidB	GO:0006974 - DNA damage response; GO:0045892 - negative regulation of DNA-templated transcription	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0003677 - DNA binding; GO:0003995 - acyl-CoA dehydrogenase activity; GO:0005515 - protein binding; GO:0008470 - 3-methylbutanoyl-CoA dehydrogenase activity; GO:0016491 - oxidoreductase activity; GO:0016627 - oxidoreductase activity, acting on the CH-CH group of donors; GO:0042802 - identical protein binding; GO:0043565 - sequence-specific DNA binding
arrS	GO:0097533 - cellular stress response to acid chemical; GO:2000767 - positive regulation of cytoplasmic translation		GO:1990825 - sequence-specific mRNA binding
csiE	GO:0006355 - regulation of DNA-templated transcription	GO:0005829 - cytosol	
dps	GO:0006879 - intracellular iron ion homeostasis; GO:0006950 - response to stress; GO:0030261 - chromosome condensation; GO:0032297 - negative regulation of DNA-templated DNA replication initiation; GO:0042594 - response to starvation	GO:0005737 - cytoplasm; GO:0009295 - nucleoid; GO:0016020 - membrane; GO:1990084 - DnaA-Dps complex	GO:0003677 - DNA binding; GO:0005515 - protein binding; GO:0008199 - ferric iron binding; GO:0016491 - oxidoreductase activity; GO:0016722 - oxidoreductase activity, acting on metal ions; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding
csgG	GO:0044010 - single-species biofilm formation; GO:0071806 - protein transmembrane transport; GO:0098775 - curli assembly; GO:0098777 - protein secretion by the type VIII secretion system	GO:0005886 - plasma membrane; GO:0009279 - cell outer membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0062155 - curli secretion complex	GO:0005515 - protein binding; GO:0042802 - identical protein binding
csgF	GO:0098775 - curli assembly; GO:0098777 - protein secretion by the type VIII secretion system	GO:0009279 - cell outer membrane; GO:0062155 - curli secretion complex	GO:0005515 - protein binding; GO:0042802 - identical protein binding
csgE	GO:0044010 - single-species biofilm formation; GO:0071806 - protein transmembrane transport; GO:0098775 - curli assembly; GO:0098777 - protein secretion by the type VIII secretion system	GO:0005829 - cytosol; GO:0009279 - cell outer membrane; GO:0062155 - curli secretion complex	GO:0005515 - protein binding; GO:0042802 - identical protein binding
