sigma_mode,repeat,ratio_a,n_cells_a,n_cells_b,gmp_cor,gmp_cor_per_gene,lambda_max,lambda_max_scrambled,n_modes_above_threshold,p_kept,fraction_non_zero,gmp_cor_group_centered,gmp_cor_group_centered_per_gene,d_gmp,auc_group_axis,cohens_d,silhouette,best_pc_auc,best_pc_index,group_mode_index,group_mode_alignment,group_mode_eigenvalue,bimodality_coef,gmm_bic_gain,n_genes_dz_gt_0.5
shared,0,0.0,0.0,1000.0,3.905330647625303,0.0019526653238126515,7.647758698321004,5.872035566381687,8,2000,0.04200451354062187,3.205622630321537,0.0016028113151607686,0.17916742023603915,,,,,,,,,,,
shared,0,0.5,500.0,500.0,30.107829256224633,0.015053914628112317,32.36319637955918,5.878813486802484,8,2000,0.041819959879638914,4.631695128527432,0.002315847564263716,0.8461630996671786,0.999996,11.106706270714922,0.7157469983052027,0.999996,0.0,0.0,0.9983215200410271,32.35894782957282,0.906983078476365,2065.688755922931,69.0
shared,0,1.0,1000.0,0.0,3.444440973240325,0.0017222204866201626,8.348386737159654,5.9373694296497,7,2000,0.040927354709418835,3.4381243504905417,0.001719062175245271,0.0018338600657862303,,,,,,,,,,,
shared,0,dysregulated_reference,,,43.97559669139926,0.02198779834569963,22.068629092904295,5.865914647474542,23,2000,0.041148797595190384,,,,,,,,,,,,,,
shared,1,0.0,0.0,1000.0,2.745009551222891,0.0013745666255497702,7.50311356081463,5.900011927962276,8,1997,0.04188813340492667,2.8405385956868576,0.001422402902196724,-0.03480098800436182,,,,,,,,,,,
shared,1,0.5,500.0,500.0,30.37064644044674,0.015185323220223371,31.454439914421364,5.848207630862827,8,2000,0.04169458375125376,5.528009071759768,0.002764004535879884,0.8179818436660694,0.999996,11.13617560351662,0.72106307614594,0.999996,0.0,0.0,0.9982423093691972,31.449961772774564,0.9054349074189102,2065.0181032627243,64.0
shared,1,1.0,1000.0,0.0,5.077884983428452,0.0025402125980132323,7.800945826403995,5.8807347325114865,9,1999,0.04133272666483996,4.594021609741008,0.00229815988481291,0.09528836814274444,,,,,,,,,,,
shared,1,dysregulated_reference,,,45.796008920953,0.0228980044604765,24.342000788639325,5.868974813963772,20,2000,0.04118637274549098,,,,,,,,,,,,,,
shared,2,0.0,0.0,1000.0,3.8660598073506067,0.0019330299036753034,7.394825028906102,5.891042894407736,8,2000,0.04251953907815631,3.7463824231818066,0.0018731912115909034,0.030955906047096193,,,,,,,,,,,
shared,2,0.5,500.0,500.0,29.528103445226165,0.014764051722613082,31.611884233362485,5.860356328862857,8,2000,0.0419215,4.162577889285883,0.0020812889446429413,0.8590299611687776,1.0,11.691401221431956,0.7169203734098386,1.0,0.0,0.0,0.9982302358614592,31.611884233362485,0.911674695352237,2169.4137401804956,62.0
shared,2,1.0,1000.0,0.0,4.3897184724080285,0.002194859236204014,8.521630016116925,5.911691238073894,8,2000,0.04102309236947791,4.221086239858259,0.0021105431199291294,0.0384152727810958,,,,,,,,,,,
shared,2,dysregulated_reference,,,38.26573691837076,0.01913286845918538,23.025846889750486,5.972613276457539,20,2000,0.0405876753507014,,,,,,,,,,,,,,
shared,3,0.0,0.0,1000.0,3.4435565769798364,0.0017226396082940653,7.790320399314315,5.899201238125383,9,1999,0.04147073536768384,3.926515832597473,0.0019642400363168947,-0.14025012942903792,,,,,,,,,,,
shared,3,0.5,500.0,500.0,29.561571260734752,0.014780785630367376,31.496504976181306,5.9049425325652845,8,2000,0.04204054054054054,4.884636898941301,0.0024423184494706505,0.8347639624477832,1.0,10.673832011424938,0.7157063326839109,1.0,0.0,0.0,0.9981137856968992,31.49502469066661,0.9049174029024671,1984.3235705231727,68.0
shared,3,1.0,1000.0,0.0,3.6928052202701416,0.0018464026101350707,7.302225742533415,5.879476365935079,9,2000,0.04268668668668669,3.823852533254409,0.0019119262666272045,-0.035487198800775444,,,,,,,,,,,
shared,3,dysregulated_reference,,,49.18548382278689,0.024592741911393445,27.051787794378292,5.819265564824781,24,2000,0.0421585,,,,,,,,,,,,,,
shared,4,0.0,0.0,1000.0,2.320053887203777,0.0011600269436018884,7.381996164883103,5.928736683622871,5,2000,0.04255321285140562,2.8199155235148243,0.0014099577617574122,-0.21545259748837164,,,,,,,,,,,
shared,4,0.5,500.0,500.0,28.822248213330703,0.014411124106665351,32.2912245951086,5.888715560643137,5,2000,0.041715931863727455,3.110764506394438,0.001555382253197219,0.8920707196964717,0.999998,11.057317774145588,0.726861025693601,0.999998,0.0,0.0,0.9982148833096589,32.28813113772684,0.9064368486466882,2053.0886642065116,70.0
shared,4,1.0,1000.0,0.0,3.7801059789317666,0.0018909984887102384,7.8961362064513825,5.850160981658932,9,1999,0.04133980818064343,3.1344960456047968,0.0015680320388218093,0.17079149021885753,,,,,,,,,,,
shared,4,dysregulated_reference,,,38.76103039295355,0.01939021030162759,21.5618036586736,5.999885071066586,21,1999,0.04100395232721677,,,,,,,,,,,,,,
