cell,subpopulation,label,umap_1,umap_2,pc_1,pc_2,group_axis_projection
0,A,0,2.0215389728546143,1.7453036308288574,6.39529815882001,0.771073475289871,6.360832750257311
1,A,0,2.5141260623931885,2.711949586868286,6.2008114061233695,0.9044945352134386,6.158585751097508
2,A,0,4.28101110458374,1.4809153079986572,4.670482553291918,0.4678438440697697,4.723778015383237
3,A,0,3.349574327468872,2.7180001735687256,6.0662544674909205,1.9667526269619846,6.0224365187703786
4,A,0,3.0574357509613037,2.2316763401031494,5.79350166339397,0.32859812603166955,5.706749743693955
5,A,0,6.304047584533691,2.617218494415283,3.4735054538159837,-8.364400106102224,3.8140125107785914
6,A,0,3.463620185852051,2.118973731994629,5.087054876535102,1.5040077385764294,5.19652094088163
7,A,0,2.766186475753784,1.7201591730117798,5.9184277014459505,0.298421026992017,5.8976154613870015
8,A,0,2.625129461288452,1.6176482439041138,5.1826042385522655,0.7757080717024827,5.2064920951423534
9,A,0,6.21189022064209,2.9491584300994873,3.360454063974349,-8.055726554868514,3.6510391618959743
10,A,0,2.2074708938598633,2.4372401237487793,6.4412649383216065,3.169828250286931,6.383613043427307
11,A,0,2.510408878326416,2.4824395179748535,5.7895132476611995,0.012048083907188417,5.773113052919777
12,A,0,4.227134704589844,2.0693631172180176,6.898941886272175,-0.7183777837295573,6.8394071115239665
13,A,0,3.8264620304107666,3.149731397628784,5.835187300806172,2.480770371820149,5.796005746207075
14,A,0,3.8650670051574707,3.0154459476470947,4.2863032189825585,-0.5307620847536159,4.358622220742451
15,A,0,3.312291145324707,1.1986027956008911,6.093620995502188,0.974041692201563,6.058351524631337
16,A,0,3.8668100833892822,2.593196392059326,5.534425895862584,-1.1066225336201758,5.572800828824988
17,A,0,1.9966702461242676,2.271923780441284,6.2762381900335305,2.105273377723716,6.216162078040625
18,A,0,3.9047691822052,1.7440950870513916,4.645544013494138,0.920792804189488,4.732576997720189
19,A,0,4.90862512588501,2.159853935241699,5.821369339510677,-2.43197673549683,5.831636025865072
