ratio_1,repeat,n_cells,n_from_1,n_from_2,mean_depth,mean_detected,gmp_cor,gmp_cor_per_gene,lambda_max,lambda_max_scrambled,n_modes_above_threshold,p_kept,fraction_non_zero,gmp_cor_group_centered,d_gmp,auc_group_axis,silhouette,group_mode_index,group_mode_eigenvalue,bimodality_coef
0.0,0,900,0,900,348.3566666666667,88.15444444444445,28.182246228683525,0.02027499728682268,13.796909081366262,5.184966884508399,14,1390,0.06342046362909673,,,,,,,
0.0,1,900,0,900,348.3566666666667,88.15444444444445,26.526085850157468,0.019083515000113287,13.796909081366254,5.315814042689216,12,1390,0.06342046362909673,,,,,,,
0.0,2,900,0,900,348.3566666666667,88.15444444444445,26.795363825169034,0.019277240161992112,13.796909081366225,5.293374211438243,12,1390,0.06342046362909673,,,,,,,
0.0,3,900,0,900,348.3566666666667,88.15444444444445,27.14157853004022,0.01952631548923757,13.796909081366291,5.264522986032328,12,1390,0.06342046362909673,,,,,,,
0.0,4,900,0,900,348.3566666666667,88.15444444444445,28.786216401860372,0.020709508202777248,13.796909081366254,5.143136104553621,15,1390,0.06342046362909673,,,,,,,
0.25,0,900,225,675,281.2288888888889,77.16555555555556,44.597110154752265,0.024517377765119443,22.639688771411627,6.9181723099458114,23,1819,0.042421965671003606,35.974626258083234,0.19334176287990312,1.0,0.8872605668109981,0.0,22.639688771411635,0.9229761319925588
0.25,1,900,225,675,280.6188888888889,76.21333333333334,59.342452086177076,0.03317073900848355,22.393390970057485,6.5145962688183205,29,1789,0.042601080678218745,43.9490175094595,0.259400042222105,1.0,0.8721859354402174,0.0,22.393390970057485,0.9359999133364059
0.25,2,900,225,675,275.64222222222224,75.83333333333333,52.148456456025066,0.029214821543991635,22.093006384118343,6.377741875426741,32,1785,0.042483660130718956,36.63049639413431,0.29757275893633583,1.0,0.8743955874043661,0.0,22.093006384118343,0.9366932513180776
0.25,3,900,225,675,284.0711111111111,77.42888888888889,53.33339476339016,0.029563966055094325,22.33264872496513,6.562323756473241,32,1804,0.042920670115792064,42.03627632153127,0.2118207268068676,1.0,0.8207738078332444,0.0,22.3326487249651,0.9304798823644912
0.25,4,900,225,675,278.2911111111111,76.03444444444445,43.77889417978855,0.024348661946489738,22.192300113070072,6.551035434619507,28,1798,0.04228834507477444,33.4711404880741,0.23545029825064068,1.0,0.8081186432317523,0.0,22.192300113070072,0.9258028711120602
0.5,0,900,450,450,212.3,65.68555555555555,34.58210163817598,0.01843395609710873,21.93162036495331,6.862928499630425,8,1876,0.035013622364368634,23.58379537600503,0.3180346404982416,1.0,0.8164760868045949,0.0,21.931620364953297,0.7375056764137682
0.5,1,900,450,450,213.06222222222223,65.86888888888889,40.970767174794304,0.021643300145163392,20.72316544461102,6.6914889540201035,12,1893,0.034796032165287316,25.891025333202652,0.3680610074313885,1.0,0.8561326248906961,0.0,20.723165444611,0.830174515285169
0.5,2,900,450,450,212.22444444444446,65.12777777777778,35.70337389783721,0.019011381202256237,21.269879737553556,6.693827896667427,9,1878,0.03467932789019051,18.822168829533215,0.47281820246479844,1.0,0.8032975719307646,0.0,21.269879737553556,0.7704552203789334
0.5,3,900,450,450,213.12333333333333,65.66,30.837210870975536,0.01622157331455841,21.206290655348358,7.0248760427376435,7,1901,0.03453971593897948,19.907195007888077,0.3544424270022085,1.0,0.8041556444099994,0.0,21.206290655348358,0.764774486387705
0.5,4,900,450,450,207.92333333333335,64.37333333333333,31.36202522682852,0.01659366414117911,20.508778045313377,6.729151421455178,7,1890,0.03405996472663139,17.24791561489545,0.4500382073495436,1.0,0.8556866529893651,0.0,20.508778045313363,0.8456237451090678
0.75,0,900,675,225,140.1677777777778,52.59888888888889,41.439227900170394,0.022053873283752204,26.134868087079425,6.738590017675714,6,1879,0.027993022293181954,29.472951752909886,0.2887668702729692,1.0,0.8307387666546652,1.0,17.06129483311831,0.5423099473896982
0.75,1,900,675,225,140.05333333333334,53.55111111111111,38.36522315962654,0.020374521061936556,19.409319345975003,7.108943435594645,7,1883,0.028439251784976693,30.429854732258775,0.20683754123756826,1.0,0.8401125064170262,0.0,19.409319345975025,0.7506132967346967
0.75,2,900,675,225,142.43333333333334,53.745555555555555,40.082374425907034,0.021320411928673955,20.314554427004715,7.0884295278694935,6,1880,0.02858806146572104,32.569521605799046,0.18743532357334836,1.0,0.82198951360799,0.0,20.314554427004715,0.7081828854284522
0.75,3,900,675,225,138.73111111111112,53.01777777777778,21.89716245614777,0.01167848664327881,18.60623044505788,6.942973240630488,4,1875,0.028276148148148147,10.372037842415477,0.5263295934718948,1.0,0.863830893618329,0.0,18.60623044505788,0.8248545014443008
0.75,4,900,675,225,143.42555555555555,53.254444444444445,30.611638997487596,0.016326207465326717,18.536136641811282,6.745588071444689,6,1875,0.02840237037037037,19.06261758302828,0.3772755001915181,1.0,0.8493399228323673,0.0,18.536136641811257,0.7957418293455661
1.0,0,900,900,0,75.63555555555556,42.44222222222222,5.934025502771269,0.003806302439237504,10.181134080235378,6.099732078298359,2,1559,0.027224003991162427,,,,,,,
1.0,1,900,900,0,73.86666666666666,41.99111111111111,4.01720485416798,0.0025917450672051485,8.095205895337934,6.0174422333396995,2,1550,0.027091039426523297,,,,,,,
1.0,2,900,900,0,74.43222222222222,42.09888888888889,7.503129782370497,0.0048004669113055004,12.148075821818193,6.363993937087641,2,1563,0.026934669794554632,,,,,,,
1.0,3,900,900,0,75.49444444444444,42.48,7.483642894396598,0.004781880443703897,10.158873772716493,6.302319039675386,3,1565,0.027143769968051117,,,,,,,
1.0,4,900,900,0,74.6288888888889,42.00555555555555,9.043193206337886,0.005815558332050087,11.15298058470755,6.34606948579286,3,1555,0.027013219006788138,,,,,,,
