ratio_1,repeat,n_cells,n_from_1,n_from_2,mean_depth,mean_detected,gmp_cor,gmp_cor_per_gene,lambda_max,lambda_max_scrambled,n_modes_above_threshold,p_kept,fraction_non_zero,gmp_cor_group_centered,d_gmp,auc_group_axis,silhouette,group_mode_index,group_mode_eigenvalue,bimodality_coef
0.0,0,900,0,900,544.8511111111111,125.81777777777778,30.92135089044844,0.015593217796494424,15.480951296206891,6.425625604141206,17,1983,0.06344819857679161,,,,,,,
0.0,1,900,0,900,489.2922222222222,124.24777777777778,27.01818573515319,0.013659345669946001,14.61234877737095,6.473791865271785,15,1978,0.06281485226379059,,,,,,,
0.0,2,900,0,900,494.43,125.56666666666666,35.30414083550187,0.017839383949217722,15.741289486174585,6.277665899047464,20,1979,0.06344955364662287,,,,,,,
0.0,3,900,0,900,506.6222222222222,124.07222222222222,24.164574959951747,0.012260058325698502,14.119652405429925,6.494317721400764,14,1971,0.06294886972208129,,,,,,,
0.0,4,900,0,900,547.6077777777778,126.27555555555556,28.69354599754058,0.01449901263139999,14.930551157273056,6.535726148071076,16,1979,0.06380775924990174,,,,,,,
0.25,0,900,225,675,453.6,112.33333333333333,37.36218839629071,0.018975209952407673,25.234778438154464,6.499693999740555,12,1969,0.05705095649229727,21.11951663474456,0.43473555642042405,1.0,0.7256975177908203,0.0,25.23477843815449,0.8459952419377987
0.25,1,900,225,675,510.2033333333333,114.36333333333333,48.0708652067786,0.024278214750898284,25.28437925058583,6.46505087647363,13,1980,0.05775925925925926,32.86723041515081,0.31627545554316105,1.0,0.739208192213769,0.0,25.28437925058583,0.8415812644507403
0.25,2,900,225,675,486.50666666666666,115.17888888888889,38.55911671841463,0.019513723035634933,25.5192830942412,6.35747184651053,13,1976,0.05828891138101665,19.578619469811517,0.4922440881416409,1.0,0.7473834412380368,0.0,25.519283094241185,0.8613693849736787
0.25,3,900,225,675,457.81333333333333,112.5988888888889,42.09024237483451,0.021289955677710932,25.48255686511048,6.493474220624202,14,1977,0.05695442027763727,25.851111418747266,0.38581699795096736,0.9999868312757202,0.7555739465559973,0.0,25.48255686511048,0.8550645763633405
0.25,4,900,225,675,457.1877777777778,111.32222222222222,41.97507169121691,0.02124244518786281,25.476451519209494,6.597674572731324,14,1976,0.056337156995051735,27.96058008012348,0.33387653782199245,1.0,0.7304105182842281,0.0,25.476451519209494,0.845460048302804
0.5,0,900,450,450,393.49888888888887,98.31,33.706852380760054,0.01725018033815765,28.593260571522524,6.573313014882831,7,1954,0.050312180143295804,13.619441047874052,0.5959444419779742,0.9999901234567902,0.8198885646222225,0.0,28.593260571522556,0.8176082182524039
0.5,1,900,450,450,362.9533333333333,98.29666666666667,41.5401853168608,0.02117236764365994,28.772665951389147,6.452900403598322,13,1962,0.05010023785253143,22.046951190270562,0.4692620886955481,0.9999802469135802,0.7535664174454073,0.0,28.772665951389207,0.8215300481076199
0.5,2,900,450,450,384.5888888888889,99.95777777777778,44.83165139868465,0.022884967533784915,29.07344146859386,6.377737783165891,10,1959,0.05102489932505246,21.94341975471959,0.5105373308786166,0.9999851851851852,0.770651685869768,0.0,29.07344146859386,0.8232035412097395
0.5,3,900,450,450,358.3,98.63222222222223,37.469770203872486,0.01906858534548218,28.774091918045862,6.628073756060735,9,1965,0.050194515125812834,17.253712057643455,0.5395298139335722,0.999995061728395,0.7498075723911054,0.0,28.774091918045844,0.8196627974533756
0.5,4,900,450,450,370.0722222222222,97.82555555555555,42.459956503471076,0.02174088914668258,28.890467929794085,6.355654576998933,9,1953,0.05008989019741708,20.331503276126988,0.5211605251064046,0.9999802469135802,0.7647384555236336,0.0,28.890467929794063,0.8208331443842678
0.75,0,900,675,225,350.94444444444446,86.94333333333333,38.56507580242608,0.0198686634736868,25.931931722179474,6.380193477803963,10,1941,0.04479306199553495,17.5686316877817,0.5444419251815271,1.0,0.8576522232396481,0.0,25.93193172217948,0.8956588516129876
0.75,1,900,675,225,324.45444444444445,85.80888888888889,42.461556221346626,0.0218874001140962,25.75456722889299,6.716441630792292,7,1940,0.04423138602520046,26.69066461632585,0.37141577013355676,1.0,0.8243026675791193,0.0,25.75456722889299,0.8865667720099575
0.75,2,900,675,225,390.56888888888886,88.73222222222222,42.25823436847601,0.021615465150115608,25.82821965906559,6.762431525456018,8,1955,0.0453873259448707,26.317791662793265,0.37721506693081497,0.9998419753086419,0.8119919306645846,0.0,25.828219659065617,0.8884171774664569
0.75,3,900,675,225,320.82666666666665,85.65222222222222,41.21128819728952,0.02129782335777236,24.707856394538048,6.6471062291246,8,1935,0.04426471432672983,25.808284782782202,0.3737569022537951,0.9999868312757202,0.8173997510522322,0.0,24.707856394538048,0.8940589262838955
0.75,4,900,675,225,360.8388888888889,87.52222222222223,39.39501440635287,0.02033815921856111,26.238432108602847,6.584764448286341,9,1937,0.04518442035220559,20.067182515778555,0.49061619044509086,1.0,0.8192280007565725,0.0,26.238432108602847,0.8948543866865162
1.0,0,900,900,0,299.2211111111111,74.3,19.59570861324002,0.010445473674434979,18.264688942045662,6.748038921442394,4,1876,0.03960554371002132,,,,,,,
1.0,1,900,900,0,290.49888888888887,73.99222222222222,17.196582304156294,0.009220687562550291,18.308993185903127,6.772572373151422,3,1865,0.039674113792076256,,,,,,,
1.0,2,900,900,0,300.40555555555557,74.65333333333334,18.367353658974913,0.009795921951453287,18.445199350631185,6.741301138294283,3,1875,0.039815111111111114,,,,,,,
1.0,3,900,900,0,299.5233333333333,74.56222222222222,20.527154246985138,0.010947815598392073,18.89590863365699,6.603228783147164,6,1875,0.03976651851851852,,,,,,,
1.0,4,900,900,0,300.65555555555557,74.70222222222222,17.62720620187414,0.009416242629206272,18.498147285657545,6.874215355204008,2,1872,0.03990503323836657,,,,,,,
