,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,ERM_T1_R1,ERM_T1_R1,ERM_R1,ERM_T1_R2,ERM_T1_R2,ERM_R2,ERM_T1_R3,ERM_T1_R3,ERM_R3,MED,
C,,ERM_T2_R1,ERM_T2_R1,ERM_R1,ERM_T2_R2,ERM_T2_R2,ERM_R2,ERM_T2_R3,ERM_T2_R3,ERM_R3,MED,
D,,ERM_T3_R1,ERM_T3_R1,ERM_R1,ERM_T3_R2,ERM_T3_R2,ERM_R2,ERM_T3_R3,ERM_T3_R3,ERM_R3,MED,
E,,VAPC_T1_R1,VAPC_T1_R1,VAPC_R1,VAPC_T1_R2,VAPC_T1_R2,VAPC_R2,VAPC_T1_R3,VAPC_T1_R3,VAPC_R3,MED,
F,,VAPC_T3_R1,VAPC_T3_R1,VAPC_R1,VAPC_T3_R2,VAPC_T3_R2,VAPC_R2,VAPC_T3_R3,VAPC_T3_R3,VAPC_R3,MED,
G,,CTRL_T1_R1,CTRL_T1_R1,CTRL_R1,CTRL_T2_R1,CTRL_T2_R1,CTRL_R1,CTRL_T3_R1,CTRL_T3_R1,CTRL_R1,MED,
H,,,,,,,,,,,,
