GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0033214,siderophore-dependent iron import into cell,BP,0.00010153558403008239,0.008616019559124133,"P13039,P06972,P16869,P39405,P23876,Q46871,P75780,P17315,P06971,P05825,P23877",e,10,"(11, 964)","(16, 4278)","{'GO:0033212', 'GO:1901678', 'GO:0098657'}"
GO:0006826,iron ion transport,BP,0.0001502402796857895,0.011640355582612038,"P13039,P06972,P16869,P23876,P07822,P23878,P0ABD3,P75780,P05825,P06971,P07821,P17315,P0AEL6,P0AEN1,P23485,P23484,P23877",e,8,"(17, 964)","(32, 4278)",{'GO:0000041'}
GO:0042777,proton motive force-driven plasma membrane ATP synthesis,BP,0.00018655973113942132,0.012786516957324953,"P0A6E6,P0ABA6,P0ABB0,P0ABB4,P68699,P0ABA4,P0ABA0",e,12,"(7, 964)","(8, 4278)",{'GO:0015986'}
GO:0035351,heme transmembrane transport,BP,0.00018655973113942132,0.012786516957324953,"P29018,P0AEF8,P23847,P0AAG0,P37313,P23886,P0AEG1",e,11,"(7, 964)","(8, 4278)","{'GO:0034755', 'GO:0015886'}"
GO:0009239,enterobactin biosynthetic process,BP,0.00018655973113942132,0.012786516957324953,"P15047,P0AEJ2,P10378,P11454,P0ADI4,P18393,P0A8Y8",e,7,"(7, 964)","(8, 4278)","{'GO:0009238', 'GO:0019540', 'GO:0033068'}"
GO:0006096,glycolytic process,BP,0.00022929177776783268,0.014592783856509922,"P61889,P0AD61,P0A991,P0A858,P0A6T1,P21599,P0A6P9,P62707,P0AB71,P0A799,P0A9B2",e,11,"(11, 964)","(17, 4278)","{'GO:0006090', 'GO:0046032', 'GO:0046034', 'GO:0016052', 'GO:0006091', 'GO:0019364', 'GO:0046496'}"
GO:0042938,dipeptide transport,BP,0.00031556738344450515,0.01939107163096925,"P77463,P0AEF8,P75797,P23847,P0AAG0,P37313,P77268,P77622,P0AEG1,P76128",e,7,"(10, 964)","(15, 4278)",{'GO:0006857'}
GO:0006457,protein folding,BP,0.0003279492239785971,0.019480183904328666,"P0A9L3,P0ABZ6,P00452,P23869,P0A6Z3,P0ABY2,P45523,P25714,P0A6F5,P08622,P0A6Y8,P0AG86,P09372,P0AFL3,P0A6F9",e,2,"(15, 964)","(28, 4278)",{'GO:0009987'}
GO:0015031,protein transport,BP,0.00036771406297573595,0.021137627749121337,"P0ABU7,P02931,P0AEG1,P31068,P31126,P0ADZ7,P10408,P23847,P52612,P0AC05,P0AAG0,P76299,P25714,P0AG86,P0AFH6,P76128,P76027,P0AEF8,P0ABV2,P02929,P52613,P76298,P77463,P0AFH2,P37313,P77737,P77268,P77622,P15078",e,6,"(29, 964)","(69, 4278)","{'GO:0071705', 'GO:0045184'}"
GO:0022900,electron transport chain,BP,0.0004248727111276814,0.023660099100922757,"P0AC41,P08200,P00363,P76182,P77179,P0A996,P0ABJ1,P52647,P77285",e,4,"(9, 964)","(13, 4278)",{'GO:0006091'}
GO:0009099,L-valine biosynthetic process,BP,0.0005523343873541795,0.025050043988342457,"P05791,P00893,P0ADF8,P09053,P05793,P00894,P08142,P03061",e,10,"(8, 964)","(11, 4278)","{'GO:0009082', 'GO:0006573', 'GO:0009079'}"
GO:0019402,galactitol metabolic process,BP,0.0005763478134242653,0.025050043988342457,"P0C8J8,P69828,P0C8J6,P0A9S3,P37188",e,7,"(5, 964)","(5, 4278)",{'GO:0006059'}
GO:0019544,arginine catabolic process to glutamate,BP,0.0005763478134242653,0.025050043988342457,"P76217,P0AE37,P77581,P76215,P76216",e,11,"(5, 964)","(5, 4278)","{'GO:0006536', 'GO:0006527'}"
GO:0019545,arginine catabolic process to succinate,BP,0.0005763478134242653,0.025050043988342457,"P76217,P0AE37,P77581,P76215,P76216",e,11,"(5, 964)","(5, 4278)","{'GO:0006105', 'GO:0006527'}"
GO:0097638,L-arginine import across plasma membrane,BP,0.0005763478134242653,0.025050043988342457,"P30859,P0AAF6,P30860,P0AE34,P0AE30",e,8,"(5, 964)","(5, 4278)","{'GO:0089718', 'GO:0015695', 'GO:1902475'}"
GO:0046168,glycerol-3-phosphate catabolic process,BP,0.0005763478134242653,0.025050043988342457,"P13035,P13033,P0A9C0,P0A996,P0A6S7",e,7,"(5, 964)","(5, 4278)","{'GO:1901136', 'GO:0006072', 'GO:0046434'}"
GO:0015794,glycerol-3-phosphate transmembrane transport,BP,0.0005763478134242653,0.025050043988342457,"P10907,P08194,P0AG80,P10905,P10906",e,5,"(5, 964)","(5, 4278)","{'GO:0015711', 'GO:0015748', 'GO:0055085', 'GO:1901264'}"
GO:0042956,maltodextrin transmembrane transport,BP,0.0005763478134242653,0.025050043988342457,"P0AEX9,P02916,P02943,P68183,P68187",e,7,"(5, 964)","(5, 4278)",{'GO:0042955'}
GO:0006974,DNA damage response,BP,0.0006185706664211926,0.0262450697038706,"P0A6K6,P02916,P0A901,P0AA31,P0AFP9,P39173,Q46851,P75779,P0ACL7,P00582,P09323,P0A9Q9,P25527,P39297,P12758,P21179,P45425,P13482,P24077,P23200,P39353,P31545,P15067,P0ABP8,P0AEP9,P76015,P24203,P0C7L2,P76318,P29013,P22564,P0A6F3,P0ADM4,P00963,P15640,P0AEX9,P0AAG8,P0A959,P0A6U8,P75797,P00363,P0AEH5,P02943,Q47690,P0A6Z3,P0AEL0,P37685,P30958,P45424,P28904,P10371,P40874,P06996,P0AF70,P0A6L0,P07762,P0A830,P37647,P0AB31,P07650,P0A6S3,P46118,P0AB89,P0AEL6,P24215,P33231,P0ACF0,P08331",e,4,"(68, 964)","(208, 4278)",{'GO:0033554'}
GO:0015891,siderophore transport,BP,0.0006755262855143115,0.026750840906366737,"P16869,P24077,Q46871,P75780,P06971,P02929,P05825",e,10,"(7, 964)","(9, 4278)",{'GO:1901678'}
