GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0042777,proton motive force-driven plasma membrane ATP synthesis,BP,8.654437379223983e-06,0.000963887963111071,"P0A6E6,P0ABA6,P0ABB0,P0ABB4,P68699,P0AB98,P0ABA4,P0ABA0",e,12,"(8, 999)","(8, 4278)",{'GO:0015986'}
GO:0007165,signal transduction,BP,2.0083568492171273e-05,0.0021052305325323065,"P0AD14,P69411,P07017,P07018,P0AEC5,P46139,P23865,P18392,P0ADG4,P14377,P50466,P0AFB5,P77485,P05704,P0A964,P07330,P02942,P0AE67,P76339,P30855,P0AEC8",e,4,"(21, 999)","(38, 4278)","{'GO:0009987', 'GO:0050794'}"
GO:0044780,bacterial-type flagellum assembly,BP,6.177591232625317e-05,0.005681516559342453,"P0A7Z4,P75933,P0AEM6,P75942,P52612,P43533,P0AC07,P76299,P0ABZ1,P33135,P26608,P33235,P52614,P76298",e,7,"(14, 999)","(22, 4278)","{'GO:0030031', 'GO:0044781', 'GO:0140694'}"
GO:0015990,electron transport coupled proton transport,BP,6.182146345224589e-05,0.005681516559342453,"P0ABJ3,P33607,P0ABI8,P0AFC7,P0ABJ6,P0AFF0,P0AFE8,P0ABJ1",e,9,"(8, 999)","(9, 4278)",{'GO:0015988'}
GO:0000027,ribosomal large subunit assembly,BP,6.376561794997141e-05,0.005681516559342453,"P0ADZ0,P0AG55,P60624,P0AGK4,P0A7J7,P62399,P0A7M2,P0A7L8,P0A7L0,P60422,P0A7N9,P0AG44,P0ADY7,P60438,P0A7M6,P68919",e,7,"(16, 999)","(27, 4278)",{'GO:0022618'}
GO:0006221,pyrimidine nucleotide biosynthetic process,BP,6.921428140153726e-05,0.0058733261646447335,"P05020,P0A6F1,P0A7F3,P08244,P0AD83,P0A786,P00968,P0A7E1,P0A7E9",e,8,"(9, 999)","(11, 4278)","{'GO:0009165', 'GO:0006220', 'GO:0072528'}"
GO:0015031,protein transport,BP,7.326149742543053e-05,0.005934181291459874,"P0AG99,P23843,P0ADE4,P02931,P0AEG1,P61320,P31068,P0ADZ7,P10408,P23847,P52612,P0AC05,P0AAG0,P76299,P69423,P25714,P0AFH6,P76027,P0AEF8,P0AG90,P69425,P0A850,P52613,P0ABV6,P76298,P77304,P0AFH2,P37313,P77737,P77622,P15078",e,6,"(31, 999)","(69, 4278)","{'GO:0071705', 'GO:0045184'}"
GO:0000028,ribosomal small subunit assembly,BP,8.31810524837576e-05,0.006444723283741567,"P0A7V8,P68679,P0A8A8,P0AGK4,P0A7W7,P0A7U3,P0A7U7,P0A7W1,P0A7T3,P0ADZ4,P0A7V3,P0AG67,P0A7X6",e,7,"(13, 999)","(20, 4278)",{'GO:0022618'}
GO:0009060,aerobic respiration,BP,8.916144741118371e-05,0.006620237470280391,"P07014,P0AC41,P0ABJ3,P31979,P06149,P0AC44,P0ABI8,P0AFC7,P0AFD4,P33602,P0ABJ6,P0AFD6,P0AFF0,P0AFE8,P0ABJ1",e,6,"(15, 999)","(25, 4278)",{'GO:0045333'}
GO:1903711,spermidine transmembrane transport,BP,0.00016030192389402794,0.010579926977005844,"P69212,P0AFK4,P69874,P0AFK6,P0AFK9,P69210",e,7,"(6, 999)","(6, 4278)","{'GO:1902047', 'GO:0015848'}"
GO:0070814,hydrogen sulfide biosynthetic process,BP,0.00016030192389402794,0.010579926977005844,"P23845,P21156,P17846,P17854,P38038,P0A6J1",e,5,"(6, 999)","(6, 4278)","{'GO:0044272', 'GO:0070813'}"
GO:0035999,tetrahydrofolate interconversion,BP,0.00016030192389402794,0.010579926977005844,"P25665,P24186,P13009,P0AEZ1,P0A825,P0AC28",e,6,"(6, 999)","(6, 4278)","{'GO:0046653', 'GO:0006730'}"
GO:1902600,proton transmembrane transport,BP,0.00019212438864555362,0.012227345020227733,"P31466,P0A6E6,P76007,P0AFE0,P0AFE4,P0AFD4,P33599,P0ABA4,P0AA47,P0AFC3,P52612,P0AB98,P0ABA0,P31979,P07001,P0ABA6,P09348,P0ABB0,P33602,P33026,P0ABB4,P68699,P0AFD1,P77304,P0ABC0,P0AF06,P0ABI8,P31801,P0AA82",e,7,"(29, 999)","(66, 4278)","{'GO:0098655', 'GO:0098662'}"
GO:0035351,heme transmembrane transport,BP,0.00023750847097983233,0.01459448604434694,"P29018,P0AEF8,P23847,P0AAG0,P37313,P23886,P0AEG1",e,11,"(7, 999)","(8, 4278)","{'GO:0034755', 'GO:0015886'}"
GO:0051301,cell division,BP,0.00028947741550592145,0.016640282401017805,"P0A8P6,P75862,P0AD68,P60293,P60472,P17443,P24228,P22523,P0A6W3,P11880,P56976,P37690,P63883,P36548,P0A749,P37773,P0AEB2,P0A912,P14900,P0A850,P0ABG4,P0AEZ3,P0ABV6,P45955,P26365,P17952,P22188,P0C093,P0ABU9,P22524,P0C066,P64612",e,2,"(32, 999)","(76, 4278)",{'GO:0009987'}
GO:0022900,electron transport chain,BP,0.000565275845688842,0.03052489566719747,"P0A766,P0AC41,P77611,P77223,P08200,P76182,P77179,P0ABJ1,P77285",e,4,"(9, 999)","(13, 4278)",{'GO:0006091'}
GO:0140205,oligopeptide import across plasma membrane,BP,0.000689104749294951,0.032315385874831654,"P23843,P0AFH2,P77737,P0AFH6,P76027",e,8,"(5, 999)","(5, 4278)","{'GO:0035672', 'GO:0098739'}"
GO:0034775,glutathione transmembrane transport,BP,0.000689104749294951,0.032315385874831654,"P29018,P75798,P75799,P75796,P23886",e,9,"(5, 999)","(5, 4278)","{'GO:0035443', 'GO:0034635'}"
GO:0019544,arginine catabolic process to glutamate,BP,0.000689104749294951,0.032315385874831654,"P76217,P0AE37,P77581,P76215,P76216",e,11,"(5, 999)","(5, 4278)","{'GO:0006536', 'GO:0006527'}"
GO:0019545,arginine catabolic process to succinate,BP,0.000689104749294951,0.032315385874831654,"P76217,P0AE37,P77581,P76215,P76216",e,11,"(5, 999)","(5, 4278)","{'GO:0006105', 'GO:0006527'}"
GO:0042956,maltodextrin transmembrane transport,BP,0.000689104749294951,0.032315385874831654,"P0AEX9,P02916,P02943,P68183,P68187",e,7,"(5, 999)","(5, 4278)",{'GO:0042955'}
GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,BP,0.000852412997326385,0.03480890300626584,"P05020,P0A6F1,P0A7F3,P08244,P0A786,P0A7E1,P37678",e,8,"(7, 999)","(9, 4278)",{'GO:0019856'}
GO:0006090,pyruvate metabolic process,BP,0.000852412997326385,0.03480890300626584,"P06959,P27306,P0A9P0,P76014,P76015,P26616,P23538",e,7,"(7, 999)","(9, 4278)",{'GO:0032787'}
GO:0044205,'de novo' UMP biosynthetic process,BP,0.0008985463177823954,0.03480890300626584,"P05020,P0A6F1,P08244,P0A786,P00968,P0A7E1",e,11,"(6, 999)","(7, 4278)",{'GO:0006222'}
GO:0015768,maltose transport,BP,0.0008985463177823954,0.03480890300626584,"P0AEX9,P02916,P19642,P02943,P68183,P68187",e,7,"(6, 999)","(7, 4278)",{'GO:0015766'}
GO:0009243,O antigen biosynthetic process,BP,0.0008985463177823954,0.03480890300626584,"P37745,P37746,P0AC78,P37744,P37760,P37759",e,6,"(6, 999)","(7, 4278)","{'GO:0000271', 'GO:0046402'}"
GO:0015803,branched-chain amino acid transport,BP,0.0008985463177823954,0.03480890300626584,"P0AD96,P22731,P22729,P0AEX7,P04816,P0A9S7",e,6,"(6, 999)","(7, 4278)","{'GO:0046942', 'GO:0071705'}"
GO:0042884,microcin transport,BP,0.0008985463177823954,0.03480890300626584,"P33916,P75780,P33941,P0AFU0,P33913,P33915",e,6,"(6, 999)","(7, 4278)",{'GO:0042886'}
GO:0015833,peptide transport,BP,0.0011990908575486808,0.04546340230110105,"P23843,P0AEG1,Q46863,P23847,P75796,P0AAG0,P33941,P0AFH6,P76027,P33916,P0AEF8,P75797,P33915,P77304,P0AFH2,P37313,P77737,P0AFU0,P33913,P77622,P15078",e,6,"(21, 999)","(46, 4278)",{'GO:0042886'}
GO:0007059,chromosome segregation,BP,0.0012558845946370799,0.046624715575901594,"P0A8P6,P22523,P0AFI2,P33026,P60293,P22524,P20083,P0DM85,P0AEZ3",e,3,"(9, 999)","(14, 4278)",{'GO:0022402'}
GO:0009401,phosphoenolpyruvate-dependent sugar phosphotransferase system,BP,0.00027151129652539213,0.016127771013608294,"P19642,P37177,P0C8K0",p,7,"(3, 999)","(59, 4278)",{'GO:0098704'}
GO:0006355,regulation of DNA-templated transcription,BP,0.0003659928760725392,0.020381228286289525,"P0ACN7,P0ACM2,P52108,P0ACP7,P0ACS9,P0AAU7,P0ACR9,P0AEM6,P0A6Z6,P37767,P0A8A2,P09546,P0ACQ4,P0AFT5,P76034,P06846,P0AC51,P0ACJ8,P0A8V6,P0ACH5,P0AFB5,P0ACM5,P0ACG1,P30958,P0DMC9,P39376,P0DMC5,P06993,P25748,P31463,P0A6R3,P0ABY7,Q06065,P0ACP1,P0A780,P0ACZ4,P0A881,P16528,P0ACQ0,P0A9F3,P0C093,P0ACF8,P0AEC8,P77171,P77615",p,8,"(45, 999)","(298, 4278)","{'GO:2001141', 'GO:0010468'}"
GO:0019645,anaerobic electron transport chain,BP,0.0007392547774847625,0.03377825675584222,"P0ABK9,P0AAJ5",p,6,"(2, 999)","(46, 4278)",{'GO:0022904'}
