GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0006974,DNA damage response,BP,0.0003957005669032053,0.03281613756307161,"P0A6K6,P02916,P0A901,P0AA31,P0ACL7,P39173,Q46851,P75779,P00582,P09323,P0A9Q9,P25527,P39297,P18843,P12758,P45425,P13482,P24077,P23200,P39353,P15067,P0ABP8,P0AEP9,P76015,P24203,P0C7L2,P0ACP5,P29013,P22564,P0A6F3,P0ADM4,P00963,P15640,P0AEX9,P0AAG8,P0A6U8,P37676,P00363,P0AEH5,P02943,Q47690,P0A6Z3,P0AEL0,P37685,P30958,P45424,P23909,P28904,P10371,P0AB96,P06996,P0AF70,P0A6L0,P07762,P0A830,P37647,P0AB31,P07650,P0A6S3,P46118,P0AB89,P0AEL6,P0ADC8,P24215,P33231,P0ACF0,P08331",e,4,"(67, 936)","(208, 4278)",{'GO:0033554'}
GO:0019402,galactitol metabolic process,BP,0.0004972142055010851,0.03281613756307161,"P0C8J8,P69828,P0C8J6,P0A9S3,P37188",e,7,"(5, 936)","(5, 4278)",{'GO:0006059'}
GO:0019544,arginine catabolic process to glutamate,BP,0.0004972142055010851,0.03281613756307161,"P76217,P0AE37,P77581,P76215,P76216",e,11,"(5, 936)","(5, 4278)","{'GO:0006536', 'GO:0006527'}"
GO:0019545,arginine catabolic process to succinate,BP,0.0004972142055010851,0.03281613756307161,"P76217,P0AE37,P77581,P76215,P76216",e,11,"(5, 936)","(5, 4278)","{'GO:0006105', 'GO:0006527'}"
GO:0046168,glycerol-3-phosphate catabolic process,BP,0.0004972142055010851,0.03281613756307161,"P13035,P13033,P0A9C0,P0A996,P0A6S7",e,7,"(5, 936)","(5, 4278)","{'GO:1901136', 'GO:0006072', 'GO:0046434'}"
GO:0015794,glycerol-3-phosphate transmembrane transport,BP,0.0004972142055010851,0.03281613756307161,"P10907,P08194,P0AG80,P10905,P10906",e,5,"(5, 936)","(5, 4278)","{'GO:0015711', 'GO:0015748', 'GO:0055085', 'GO:1901264'}"
GO:0042956,maltodextrin transmembrane transport,BP,0.0004972142055010851,0.03281613756307161,"P0AEX9,P02916,P02943,P68183,P68187",e,7,"(5, 936)","(5, 4278)",{'GO:0042955'}
GO:0034628,'de novo' NAD biosynthetic process from aspartate,BP,0.0004972142055010851,0.03281613756307161,"P0A752,P30011,P11458,P10902,P18843",e,12,"(5, 936)","(5, 4278)","{'GO:0034627', 'GO:0006531'}"
GO:0033214,siderophore-dependent iron import into cell,BP,0.0005225229533765635,0.03325485367560843,"P13039,P06972,P16869,P39405,P23876,P75780,P17315,P06971,P05825,P23877",e,10,"(10, 936)","(16, 4278)","{'GO:0033212', 'GO:1901678', 'GO:0098657'}"
GO:0044718,siderophore transmembrane transport,BP,0.0005570535748860792,0.03422998173955149,"P06972,P16869,P75780,P07821,P17315,P06971,P05825",e,11,"(7, 936)","(9, 4278)","{'GO:0034755', 'GO:0015891'}"
GO:0015768,maltose transport,BP,0.0006168279818975047,0.03545766012068882,"P0AEX9,P02916,P19642,P02943,P68183,P68187",e,7,"(6, 936)","(7, 4278)",{'GO:0015766'}
GO:0015803,branched-chain amino acid transport,BP,0.0006168279818975047,0.03545766012068882,"P0AD96,P22731,P22729,P0AEX7,P04816,P0A9S7",e,6,"(6, 936)","(7, 4278)","{'GO:0046942', 'GO:0071705'}"
GO:0002181,cytoplasmic translation,BP,1.6016420875290662e-06,0.0003171251333307551,,p,6,"(0, 936)","(55, 4278)",{'GO:0006412'}
GO:0043709,cell adhesion involved in single-species biofilm formation,BP,0.0003747426133279936,0.03281613756307161,P77302,p,5,"(1, 936)","(45, 4278)",{'GO:0043708'}
GO:0009432,SOS response,BP,0.0007133220076563625,0.039723119301363685,,p,5,"(0, 936)","(31, 4278)",{'GO:0006974'}
GO:0046677,response to antibiotic,BP,0.0008746882723018822,0.047233166704301645,"P31462,P24077,P30843,P02930,P0AE14,P06992,P31142,P0A8D6,P0AEK4",p,3,"(9, 936)","(101, 4278)",{'GO:0042221'}
