gene,gene_clean,coordination_score
pyrE,pyrE,0.0
pyrG,pyrG,0.0
qor,qor,0.0
queF,queF,0.0
recA,recA,0.0
racC,racC,0.0
racR,racR,0.0
raiA,raiA,0.0
rarD,rarD,0.0
ravA,ravA,0.0
rbsA,rbsA,0.0
rbsB,rbsB,0.0
rbsC,rbsC,0.0
rbsK,rbsK,0.0
rcsA,rcsA,0.0
rcsB,rcsB,0.0
rcsC,rcsC,0.0
rcsD,rcsD,0.0
purA,purA,0.0
ptsI,ptsI,0.0
ptsH,ptsH,0.0
ptsG,ptsG,0.0
pqiA,pqiA,0.0
pqiB,pqiB,0.0
prc,prc,0.0
prfA,prfA,0.0
prfB,prfB,0.0
prkB,prkB,0.0
prlC,prlC,0.0
proA,proA,0.0
proP,proP,0.0
proQ,proQ,0.0
proS,proS,0.0
proV,proV,0.0
proX,proX,0.0
prpB,prpB,0.0
prpR,prpR,0.0
prsA,prsA,0.0
psd,psd,0.0
psiE,psiE,0.0
pspA,pspA,0.0
pspB,pspB,0.0
pspC,pspC,0.0
pspE,pspE,0.0
pspF,pspF,0.0
pssA,pssA,0.0
pta,pta,0.0
pth,pth,0.0
ptrA,ptrA,0.0
rcsF,rcsF,0.0
recB,recB,0.0
narU,narU,0.0
rluF,rluF,0.0
rhsC,rhsC,0.0
rhsD,rhsD,0.0
ribB,ribB,0.0
ribC,ribC,0.0
ribF,ribF,0.0
rimJ,rimJ,0.0
rimL,rimL,0.0
rimM,rimM,0.0
rlmB,rlmB,0.0
rlmL,rlmL,0.0
rlpB,rlpB,0.0
rluD,rluD,0.0
rluE,rluE,0.0
rna,rna,0.0
recC,recC,0.0
rnb,rnb,0.0
rnc,rnc,0.0
rne,rne,0.0
rng,rng,0.0
rof,rof,0.0
rpiR,rpiR,0.0
rplA,rplA,0.0
rplB,rplB,0.0
rplC,rplC,0.0
rplD,rplD,0.0
rplE,rplE,0.0
rplF,rplF,0.0
rplI,rplI,0.0
rhsB,rhsB,0.0
rhsA,rhsA,0.0
rho,rho,0.0
rhlB,rhlB,0.0
recE,recE,0.0
recF,recF,0.0
recN,recN,0.0
recT,recT,0.0
relA,relA,0.0
relB,relB,0.0
relE,relE,0.0
rem,rem,0.0
rep,rep,0.0
rfaB,rfaB,0.0
rfaE,rfaE,0.0
rfaH,rfaH,0.0
rfaI,rfaI,0.0
rfaJ,rfaJ,0.0
rfaL,rfaL,0.0
rfaP,rfaP,0.0
rfaQ,rfaQ,0.0
rfbA,rfbA,0.0
rfbB,rfbB,0.0
rfbC,rfbC,0.0
rfbD,rfbD,0.0
rfbX,rfbX,0.0
rfe,rfe,0.0
rffA,rffA,0.0
rffD,rffD,0.0
rffE,rffE,0.0
rffM,rffM,0.0
ppx,ppx,0.0
ppk,ppk,0.0
ppiD,ppiD,0.0
ompC,ompC,0.0
nudC,nudC,0.0
