GO_ID,Term,Category,modes,n_modes,best_FDR,FDR_by_mode,eig_by_mode
GO:0002181,cytoplasmic translation,BP,1,1,1.9076590648700433e-48,m1=1.9e-48,m1=11.25
GO:0006412,translation,BP,1,1,1.499788500535511e-39,m1=1.5e-39,m1=11.25
GO:0000027,ribosomal large subunit assembly,BP,1,1,4.45240329741864e-12,m1=4.5e-12,m1=11.25
GO:0000028,ribosomal small subunit assembly,BP,1,1,8.858792005434101e-11,m1=8.9e-11,m1=11.25
GO:0006417,regulation of translation,BP,1,1,0.0014583128433590228,m1=1.5e-03,m1=11.25
GO:0017148,negative regulation of translation,BP,1,1,0.006119936437840996,m1=6.1e-03,m1=11.25
GO:0046677,response to antibiotic,BP,1,1,0.018436195961855636,m1=1.8e-02,m1=11.25
