,chi,gmp_cor
0,0.001,0.0
1,0.02,0.0
2,0.04,0.0
3,0.06,0.0
4,0.08,0.0
5,0.1,0.0
6,0.12,0.0
7,0.14,2.8723538966610015e-06
8,0.16,1.747246481108271e-05
9,0.18,2.716685532068661e-05
10,0.2,6.639209478630235e-05
11,0.22,0.00016968816487372847
12,0.24,0.000430578289543213
13,0.26,0.0009332880357987778
14,0.28,0.001835523053736204
15,0.3,0.003889233753886906
16,0.32,0.007392731434098787
17,0.34,0.013869318437012593
18,0.36,0.024446956630733655
19,0.38,0.04172571696670997
20,0.4,0.06910367239312049
21,0.42,0.11105117277218142
22,0.44,0.17344979230125754
23,0.46,0.2643109205524442
24,0.48,0.3927033489279536
25,0.5,0.5723514660074056
26,0.52,0.8142586723326689
27,0.54,1.1349761093642754
28,0.56,1.5531212327655028
29,0.58,2.0891664746836125
30,0.6,2.7605038446343135
31,0.62,3.591948738827873
32,0.64,4.606059984203322
33,0.66,5.825812815190071
34,0.68,7.273410894874155
35,0.7,8.976937707172905
36,0.72,10.955979377597385
37,0.74,13.233538012999796
38,0.76,15.831926482603023
39,0.78,18.77262476248187
40,0.8,22.07617776692751
41,0.82,25.761981374575534
42,0.84,29.847897387676237
43,0.86,34.34956449893519
44,0.88,39.28601971989938
45,0.9,44.670461358808495
46,0.92,50.51655254264603
47,0.94,56.8367125757388
48,0.96,63.641909313568505
49,0.98,70.9400726497757
50,1.0,78.74538754706012
