file_name,category,GMP_Cor,mode,eigenvalue,threshold_scr,above_threshold,participation_ratio,shannon_entropy,norm_entropy,effective_n_genes,n_genes_kept
Expira_biorep_t0A_filtered.csv,r,31.852076,1,17.158692868731144,6.898804695443749,True,17.35635759458736,2.910199245580884,0.3829511191604344,18.360456442407234,1997
Expira_biorep_t0A_filtered.csv,r,31.852076,2,15.48419303527456,6.898804695443749,True,21.92798601377324,3.329615768744275,0.43814185126707383,27.927608981176675,1997
Expira_biorep_t0A_filtered.csv,r,31.852076,3,11.740295140828172,6.898804695443749,True,22.920235633782855,3.587615268329257,0.47209182814887324,36.147770326804206,1997
Expira_biorep_t0A_filtered.csv,r,31.852076,4,11.129941786626489,6.898804695443749,True,11.351072491219792,2.5183502900376915,0.3313879843355676,12.408109987027606,1997
Expira_biorep_t0A_filtered.csv,r,31.852076,5,7.9855011959498725,6.898804695443749,True,15.158214081778606,3.2902957249151235,0.4329677537159609,26.85080293333809,1997
SHX_biorep2A.csv,d,11.360023,1,9.502630943003776,6.421046771646329,True,418.96142445237473,6.5163342590400175,0.857479947846237,676.0954464435571,1997
SHX_biorep2A.csv,d,11.360023,2,7.944494820824792,6.421046771646329,True,42.2655674183379,4.88395477522261,0.6426762531605035,132.15226430026937,1997
SHX_biorep2A.csv,d,11.360023,3,7.776426532557296,6.421046771646329,True,74.47673814113358,5.15309113219833,0.6780917214543392,172.96532349797718,1997
SHX_biorep2A.csv,d,11.360023,4,7.534699079732255,6.421046771646329,True,74.28728797018636,5.416019583024838,0.7126902956433832,224.98181641939487,1997
SHX_biorep2A.csv,d,11.360023,5,7.112045015721437,6.421046771646329,True,139.4415565589864,5.772510666456448,0.7596007123710878,321.3435070728879,1997
SHX_biorep2B.csv,d,1.313298,1,7.650877962848165,6.354779935902301,True,466.5118595832874,6.629459617186737,0.8723085709222979,757.0729508730645,1998
SHX_biorep2B.csv,d,1.313298,2,6.564252713691182,6.354779935902301,True,67.077394226941,5.496622777534329,0.7232491691388584,243.86694703685401,1998
SHX_biorep2B.csv,d,1.313298,3,6.387458224622027,6.354779935902301,True,394.6086557109084,6.591140208710245,0.8672664784476625,728.611165250879,1998
SHX_biorep2B.csv,d,1.313298,4,6.230545852472557,6.354779935902301,False,211.23329324336896,6.335307331477387,0.833603823507374,564.1427551718172,1998
SHX_biorep2B.csv,d,1.313298,5,6.19581209763758,6.354779935902301,False,276.3269464292236,6.368244742972951,0.8379377493490956,583.033556476583,1998
SHX_biorep4A.csv,d,2.999315,1,8.332470332179255,5.87009330044441,True,315.7665807769655,6.494485521830224,0.8546048875288249,661.4838187669653,1997
SHX_biorep4A.csv,d,2.999315,2,6.654225310061199,5.87009330044441,True,235.29575277423595,6.289997026515236,0.8276963869320977,539.1517259228168,1997
SHX_biorep4A.csv,d,2.999315,3,5.954358222671659,5.87009330044441,True,313.77341254947873,6.493601433663801,0.8544885509744523,660.8992671861548,1997
SHX_biorep4A.csv,d,2.999315,4,5.835171176719819,5.87009330044441,False,327.95765584995127,6.529342185617819,0.8591916519670081,684.9474949509325,1997
SHX_biorep4A.csv,d,2.999315,5,5.806094299783984,5.87009330044441,False,613.4052319440159,6.820557557940028,0.8975124827200424,916.4958671994543,1997
SHX_biorep6A.csv,d,7.087446,1,9.054606785308952,5.890423761772693,True,352.0651078384183,6.588771060171643,0.8669547443553915,726.8870203576424,1998
SHX_biorep6A.csv,d,7.087446,2,6.49907506861083,5.890423761772693,True,195.32843191252147,6.230419657890411,0.8198026357881183,507.96861180820326,1998
SHX_biorep6A.csv,d,7.087446,3,6.460442360506228,5.890423761772693,True,94.87121789982075,5.952911443833089,0.783287926052807,384.8722433767169,1998
SHX_biorep6A.csv,d,7.087446,4,6.27570695129394,5.890423761772693,True,413.46578218095544,6.603939637720778,0.8689506355695875,737.996910089254,1998
SHX_biorep6A.csv,d,7.087446,5,6.249639981660257,5.890423761772693,True,374.1889900140838,6.530218585283545,0.8592503719565934,685.548045829403,1998
VapC_biorep_t2A_filtered.csv,r,27.522079,1,14.627572567856369,6.080944524566776,True,252.27725272692575,6.146728358150884,0.8202337604041422,467.1864171221949,1797
VapC_biorep_t2A_filtered.csv,r,27.522079,2,9.949339378111938,6.080944524566776,True,79.32007228285693,5.104270923804355,0.6811258103510941,164.72393044478392,1797
VapC_biorep_t2A_filtered.csv,r,27.522079,3,9.552416309201574,6.080944524566776,True,139.51106886087607,5.841531958789412,0.7795076414471998,344.3064000610742,1797
VapC_biorep_t2A_filtered.csv,r,27.522079,4,8.243340261713277,6.080944524566776,True,118.65096710585114,5.974519024972986,0.7972537455574004,393.2788982651092,1797
VapC_biorep_t2A_filtered.csv,r,27.522079,5,8.147192109778358,6.080944524566776,True,79.49192061470656,5.646541765558288,0.7534876955317747,283.31001730298925,1797
VapC_biorep_t5A_filtered.csv,r,13.157392,1,12.060115369374117,5.813433534981689,True,167.44693825812115,6.214541998686858,0.829282970673823,499.9669512246029,1797
VapC_biorep_t5A_filtered.csv,r,13.157392,2,7.5862087699391525,5.813433534981689,True,335.395259375249,6.545323042318956,0.873423164201162,695.9814741077997,1797
VapC_biorep_t5A_filtered.csv,r,13.157392,3,6.8223530861621,5.813433534981689,True,275.07325832525413,6.44813348071505,0.8604539625476203,631.5224432296263,1797
