GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0006754,ATP biosynthetic process,BP,2.2018800949806006e-05,0.0021394934922894836,"P0ABB4,P0ABA6,P0A6E6,P0ABA0,P0ABB0,P68699,P0ABA4,P0AB98,P52612",e,10,"(9, 1199)","(9, 3938)","{'GO:0009152', 'GO:0046034', 'GO:0009206'}"
GO:0030254,protein secretion by the type III secretion system,BP,2.2018800949806006e-05,0.0021394934922894836,"P22586,P76298,P33135,P52613,P0AC07,P76299,P52612,P0AC05,P31068",e,8,"(9, 1199)","(9, 3938)","{'GO:0071806', 'GO:0009306'}"
GO:0044780,bacterial-type flagellum assembly,BP,5.153834159732444e-05,0.0047442399712484444,"P75933,P33235,P76298,P0A7Z4,P33135,P0AC07,P0A8S9,P0AEM6,P0ABZ1,P0A8V2,P75942,P52614,P76299,P43533,P52612,P26608",e,7,"(16, 1199)","(22, 3938)","{'GO:0044781', 'GO:0030031', 'GO:0140694'}"
GO:0042777,proton motive force-driven plasma membrane ATP synthesis,BP,7.265649683689135e-05,0.006353810648386148,"P0ABB4,P0ABA6,P0A6E6,P0ABA0,P0ABB0,P68699,P0ABA4,P0AB98",e,12,"(8, 1199)","(8, 3938)",{'GO:0015986'}
GO:0022904,respiratory electron transport chain,BP,0.00011508020459562617,0.009584537039892866,"P31979,P0AFD4,P06149,P0AFC3,P0ABI8,P0AFE4,P33599,P0AFD1,P07014,P75925,P0AFE8,P33602,P33607,P0AFC7,P0AFE0,P0AFD6,P0AFF0",e,5,"(17, 1199)","(25, 3938)",{'GO:0022900'}
GO:0008360,regulation of cell shape,BP,0.00020756839555494412,0.016501687446618056,"P46022,P11880,P76577,P02918,P0AEB2,P0A6J8,P60472,P0ABG4,P0AA99,P0A6W3,P37773,Q46824,P75954,P14900,P75806,P22188,P24228,P0AD65,P0A6B4,P0A749,P0AF16,P16926,P0A9X4,P17443,P0AD70,P0ABH4,P17952",e,6,"(27, 1199)","(48, 3938)","{'GO:0065008', 'GO:0022604'}"
GO:0022900,electron transport chain,BP,0.00023149765561020588,0.01676297292537312,"P77611,P0A9R4,P76182,P77223,P0AC41,P77285,P08200,P0A766,P77179,P0ABJ1",e,4,"(10, 1199)","(12, 3938)",{'GO:0006091'}
GO:0044205,'de novo' UMP biosynthetic process,BP,0.00023960796062568783,0.01676297292537312,"P05020,P0A7E3,P08244,P00968,P0A786,P0A6F1,P0A7E1",e,11,"(7, 1199)","(7, 3938)",{'GO:0006222'}
GO:0089718,amino acid import across plasma membrane,BP,0.00023960796062568783,0.01676297292537312,"P09551,P14176,P0AFM2,P52094,P07109,P14175,P0AEU3",e,6,"(7, 1199)","(7, 3938)","{'GO:0003333', 'GO:0098739'}"
GO:0006260,DNA replication,BP,0.00040357684108977845,0.02714830365638548,"P28630,P0A7H0,P03004,P17888,P13458,P28631,P15043,P66817,P22523,P07013,P0AEE8,P0AG76,P10443,P0A988,P09980,P28632,P0AAZ4,P69931,P22524,P0ABS5,P0ACB0,P08337,P60293",e,6,"(23, 1199)","(40, 3938)",{'GO:0006259'}
