GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0008360,regulation of cell shape,BP,9.371765069163207e-05,0.009641892415274382,"P46022,P11880,P08373,P02918,P0AEB2,P0A6J8,P60472,P0ABG4,P0AA99,P0A6W3,P37773,P45464,P22634,Q46824,P14900,P75806,P22188,P24228,P0AD65,P0A749,P0AF16,P16926,P0A9X4,P17443,P07862,P0AD70,P0ABH4,P17952",e,6,"(28, 1199)","(48, 3938)","{'GO:0065008', 'GO:0022604'}"
GO:0009252,peptidoglycan biosynthetic process,BP,0.00011688713651273553,0.011357533431154134,"P46022,P11880,P08373,P02918,P0AEB2,P0A6J8,P60472,P0ABG4,P0AA99,P0A6W3,P37773,P45464,P22634,P14900,P75806,P22188,P24228,P0AD65,P0C0T5,P0A749,P0AF16,P16926,P0A9X4,P17443,P07862,P0ABH4,P0A908,P17952",e,7,"(28, 1199)","(49, 3938)","{'GO:0044038', 'GO:0006024', 'GO:0000270'}"
GO:0044205,'de novo' UMP biosynthetic process,BP,0.00023960796062568783,0.02205654332285937,"P05020,P0A7E3,P08244,P00968,P0A786,P0A6F1,P0A7E1",e,11,"(7, 1199)","(7, 3938)",{'GO:0006222'}
GO:0044780,bacterial-type flagellum assembly,BP,0.00028338750155549415,0.024782237011027962,"P75933,P76298,P0A7Z4,P33135,P0AC07,P0A8S9,P0AEM6,P0ABZ1,P0A8V2,P75942,P52614,P76299,P0A8T7,P52612,P26608",e,7,"(15, 1199)","(22, 3938)","{'GO:0044781', 'GO:0030031', 'GO:0140694'}"
GO:0000027,ribosomal large subunit assembly,BP,0.0003153329716631899,0.026262731782805672,"P0A7L8,P0AG44,P0AG55,P60422,P62399,P60624,P0A7N4,P0ADZ0,P0A7M6,P0A7K6,P68919,P0AGK4,P0A7N9,P60438,P0A7M2,P0ADY7,P0AG51",e,7,"(17, 1199)","(26, 3938)",{'GO:0022618'}
GO:0000105,L-histidine biosynthetic process,BP,0.0004777580639335741,0.03798176608271914,"P06986,P06987,P24186,P10371,P60995,P60595,P06988,P60664",e,9,"(8, 1199)","(9, 3938)","{'GO:0006547', 'GO:0009073', 'GO:0170034', 'GO:0170038'}"
GO:0009060,aerobic respiration,BP,0.0006344528222153007,0.04156447886179275,"P0AFD4,P06149,P0ABI8,P07014,P0AC41,P69054,P33232,P0AFE8,P0ABJ3,P0ABJ1,P33602,P31979,P0AC44,P0AFD6,P0AFF0,P0ABJ6",e,6,"(16, 1199)","(25, 3938)",{'GO:0045333'}
GO:0022904,respiratory electron transport chain,BP,0.0006344528222153007,0.04156447886179275,"P31979,P0AFD4,P06149,P0AEL0,P0AFE4,P33599,P0AFD1,P07014,P0AFE8,P33602,P0AAJ5,P0ABI8,P0AFE0,P33607,P0AFD6,P0AFF0",e,5,"(16, 1199)","(25, 3938)",{'GO:0022900'}
GO:0006221,pyrimidine nucleotide biosynthetic process,BP,0.0006416471865456857,0.04156447886179275,"P0A7E9,P05020,P0A7E3,P08244,P00968,P0A7F3,P0A786,P0A6F1,P0A7E1",e,8,"(9, 1199)","(11, 3938)","{'GO:0006220', 'GO:0009165', 'GO:0072528'}"
GO:0000028,ribosomal small subunit assembly,BP,0.0007022625368803296,0.043866327750132016,"P0A7W7,P0A7W1,P0A7U7,P0AG59,P0A7V3,P0ADZ4,P0A7X6,P0A7U3,P0AG67,P0A7V8,P68679,P0AGK4,P0A7T3",e,7,"(13, 1199)","(19, 3938)",{'GO:0022618'}
GO:0042938,dipeptide transport,BP,0.0007560495114360323,0.044555613080717565,"P0AEF8,P23847,P77308,P77268,P77622,P77304,P0AAG0,P37313,P77463,P0AEG1,P76128",e,7,"(11, 1199)","(15, 3938)",{'GO:0006857'}
GO:0042355,L-fucose catabolic process,BP,0.0007897221300756115,0.044555613080717565,"P11553,P0AB87,P0A9S1,P33232,P69922,P25553",e,8,"(6, 1199)","(6, 3938)","{'GO:0042354', 'GO:0019317'}"
GO:0035999,tetrahydrofolate interconversion,BP,0.0007897221300756115,0.044555613080717565,"P0A825,P24186,P0AEZ1,P13009,P25665,P0AC28",e,6,"(6, 1199)","(6, 3938)","{'GO:0046653', 'GO:0006730'}"
GO:0006355,regulation of DNA-templated transcription,BP,0.0005261321427849303,0.04000891816221057,"P0ACK8,P0ACS7,P77171,P0A8A0,P24255,P63204,Q06065,Q46802,P52108,P0ACL7,P63201,P37195,P0A881,P39343,P31463,P0ABY7,P25748,Q47129,P77744,Q06067,P0AFT5,P52106,P0ACN7,P0AC51,P06993,P0AED5,P0ACK5,Q47141,P0AEC8,P0ACL5,P03023,P39376,P09546,P0ACM9,P0A8S9,P16528,P0ACU5,Q46942,P0ACP1,P0A8A2,P0C093,P0AF63,P0A9F3,P39399,P0A8W0,P30958,P0AF20,P0ACP7,P0A8S1,P0AEM6,P0ACL9,P0DMC9,P45551,P0A780,P0A8V6,P06846,P0ACQ0,P0AEC3,P0ACI3,P0AAU7,P0AD74,P0A968",p,8,"(62, 1199)","(288, 3938)","{'GO:2001141', 'GO:0010468'}"
GO:0040008,regulation of growth,BP,0.0006143337437344863,0.04156447886179275,,p,3,"(0, 1199)","(22, 3938)",{'GO:0050789'}
GO:0007155,cell adhesion,BP,0.0008951475798048946,0.048925409908711276,"P04128,P0A940,P39264,P24216",p,2,"(4, 1199)","(45, 3938)",{'GO:0009987'}
