,VAPC_T5_A,VAPC_T5_B,VAPC_T5_C
Unnamed: 1,3740.0,3569.0,3707.0
GFP,92488.0,89237.0,90070.0
INTR_alaXW,1032.0,1017.0,1043.0
LELOBEKK,12.0,14.0,25.0
LELOBEKK_appX,1.0,2.0,1.0
LELOBEKK_araC,0.0,0.0,1.0
LELOBEKK_atl,0.0,0.0,0.0
LELOBEKK_ccdA,0.0,1.0,0.0
LELOBEKK_fdoG,1.0,1.0,0.0
LELOBEKK_finO,0.0,0.0,1.0
LELOBEKK_flmC,0.0,0.0,0.0
LELOBEKK_galK,0.0,0.0,0.0
LELOBEKK_galT,0.0,0.0,0.0
LELOBEKK_gap,0.0,0.0,0.0
LELOBEKK_gpt,0.0,0.0,0.0
LELOBEKK_lacA,0.0,1.0,0.0
LELOBEKK_lacI,1.0,0.0,0.0
LELOBEKK_lacY,0.0,1.0,0.0
LELOBEKK_lacZ,0.0,0.0,0.0
LELOBEKK_lexA,0.0,1.0,0.0
LELOBEKK_malE,0.0,0.0,1.0
LELOBEKK_mpaA,1.0,1.0,2.0
LELOBEKK_pheS,0.0,1.0,1.0
LELOBEKK_psiB,0.0,0.0,0.0
LELOBEKK_rpsL,0.0,0.0,0.0
LELOBEKK_sgrT,3.0,0.0,0.0
LELOBEKK_tisB,2.0,0.0,0.0
LELOBEKK_traJ,0.0,0.0,0.0
LELOBEKK_traQ,0.0,0.0,0.0
LELOBEKK_traY,0.0,0.0,0.0
LELOBEKK_trpA,0.0,0.0,0.0
LELOBEKK_trxA,0.0,0.0,0.0
LELOBEKK_uidA,0.0,0.0,0.0
LELOBEKK_yedR,0.0,0.0,0.0
LELOBEKK_ylpA,0.0,0.0,1.0
LELOBEKK_yneM,0.0,0.0,0.0
LELOBEKK_ynhF,0.0,1.0,0.0
LELOBEKK_yshB,2.0,0.0,0.0
LELOBEKKtfaE,0.0,0.0,1.0
LacI,185524.0,184532.0,185005.0
MS2_fwd,0.0,2.0,1.0
YFP,1.0,2.0,5.0
aaeA,101.0,105.0,111.0
aaeB,82.0,69.0,83.0
aaeR,99.0,100.0,115.0
aaeX,0.0,4.0,4.0
aas,128.0,142.0,126.0
aat,30.0,36.0,36.0
abgA,0.0,0.0,0.0
abgB,81.0,91.0,54.0
abgR,93.0,92.0,95.0
abgT,84.0,94.0,87.0
abrB,7.0,5.0,8.0
accA,288.0,301.0,256.0
accB,172.0,143.0,128.0
accC,92.0,71.0,105.0
accD,14.0,17.0,15.0
aceA,154.0,125.0,146.0
aceB,105.0,103.0,125.0
aceE,141.0,150.0,117.0
aceF,236.0,186.0,241.0
aceK,46.0,49.0,51.0
ackA,116.0,143.0,108.0
acnA,100.0,97.0,91.0
acnB,44.0,50.0,57.0
acpH,1.0,0.0,0.0
acpP,506.0,478.0,538.0
acpS,2.0,0.0,0.0
acpT,7.0,2.0,7.0
acrA,24.0,29.0,25.0
acrB,34.0,34.0,33.0
acrD,20.0,19.0,18.0
acrE,21.0,10.0,6.0
acrF,109.0,103.0,122.0
acrR,228.0,235.0,198.0
acs,76.0,71.0,88.0
actP,22.0,10.0,17.0
ada,1.0,1.0,1.0
add,32.0,24.0,36.0
ade,43.0,48.0,50.0
adhE,98.0,105.0,101.0
adhP,208.0,200.0,186.0
adiA,71.0,64.0,60.0
adiC,26.0,27.0,27.0
adiY,73.0,78.0,72.0
adk,1.0,2.0,3.0
aegA,33.0,43.0,49.0
aer,0.0,1.0,0.0
aes,28.0,31.0,26.0
afuB,23.0,25.0,25.0
afuC,49.0,60.0,52.0
agaA,0.0,0.0,1.0
agaB,54.0,55.0,64.0
agaC,17.0,17.0,25.0
agaD,44.0,44.0,45.0
agaI,25.0,37.0,38.0
agaR,0.0,0.0,0.0
agaS,1.0,5.0,1.0
agaV,12.0,10.0,15.0
agaW,0.0,0.0,0.0
agp,82.0,87.0,64.0
ahpC,232.0,231.0,235.0
ahpF,67.0,57.0,66.0
aidB,41.0,52.0,47.0
ais,89.0,85.0,91.0
alaS,154.0,149.0,162.0
alaw,26069.0,25342.0,26430.0
aldA,177.0,175.0,152.0
aldB,1.0,4.0,1.0
alkA,0.0,0.0,0.0
alkB,23.0,33.0,24.0
allA,47.0,52.0,37.0
allB,53.0,52.0,66.0
allC,75.0,103.0,72.0
