,VAPC_T5B_A,VAPC_T5B_B,VAPC_T5B_C
ydjO,194.0,208.0,219.0
ydjR,99.0,114.0,115.0
ydjX,81.0,86.0,60.0
ydjY,140.0,197.0,143.0
ydjZ,90.0,96.0,110.0
yeaB,5.0,8.0,3.0
yeaC,181.0,192.0,218.0
yeaD,250.0,278.0,251.0
yeaE,8.0,10.0,4.0
yeaG,297.0,314.0,290.0
yeaH,83.0,92.0,74.0
yeaI,122.0,139.0,127.0
yeaJ,123.0,109.0,115.0
yeaK,200.0,226.0,232.0
yeaL,10.0,24.0,17.0
yeaM,178.0,228.0,198.0
yeaN,38.0,65.0,36.0
yeaO,1.0,0.0,0.0
yeaP,88.0,102.0,126.0
yeaQ,29.0,34.0,27.0
yeaR,143.0,169.0,179.0
yeaS,164.0,202.0,177.0
yeaT,97.0,108.0,89.0
yeaU,0.0,2.0,0.0
yeaV,139.0,115.0,149.0
yeaW,1.0,4.0,9.0
yeaX,346.0,375.0,379.0
yeaY,179.0,171.0,169.0
yeaZ,4.0,5.0,5.0
yebA,205.0,231.0,200.0
yebB,140.0,151.0,140.0
yebC,52.0,58.0,67.0
yebE,6.0,2.0,3.0
yebF,11.0,7.0,9.0
yebG,52.0,40.0,50.0
yebK,157.0,151.0,148.0
yebN,120.0,121.0,124.0
yebO,28.0,28.0,28.0
yebQ,56.0,74.0,68.0
yebR,145.0,137.0,130.0
yebS,132.0,136.0,129.0
yebT,340.0,363.0,346.0
yebU,159.0,174.0,133.0
yebV,75.0,67.0,60.0
yebW,71.0,44.0,50.0
yebY,39.0,43.0,32.0
yebZ,1.0,3.0,3.0
yecA,5.0,5.0,10.0
yecC,165.0,167.0,140.0
yecD,63.0,57.0,47.0
yecE,0.0,0.0,0.0
yecF,38.0,46.0,40.0
yecG,398.0,469.0,426.0
yecH,3.0,2.0,3.0
yecI,300.0,287.0,337.0
yecJ,198.0,213.0,214.0
yecM,47.0,34.0,41.0
yecN,1.0,0.0,2.0
yecO,41.0,42.0,40.0
yecP,80.0,73.0,80.0
yecR,264.0,280.0,278.0
yecS,70.0,76.0,66.0
yecT,537.0,564.0,510.0
yedA,86.0,110.0,85.0
yedD,276.0,270.0,262.0
yedE,27.0,38.0,35.0
yedF,0.0,0.0,0.0
yedI,136.0,156.0,174.0
yedJ,5.0,17.0,7.0
yedK,8.0,11.0,8.0
yedL,80.0,81.0,98.0
yedM,21.0,33.0,27.0
yedN,163.0,165.0,179.0
yedP,55.0,40.0,52.0
yedQ,160.0,184.0,176.0
yedR,1.0,1.0,1.0
yedS,295.0,297.0,315.0
yedV,137.0,167.0,169.0
yedW,190.0,213.0,249.0
yedX,94.0,81.0,82.0
yedY,9.0,20.0,14.0
yedZ,116.0,120.0,125.0
yeeA,173.0,212.0,192.0
yeeD,59.0,73.0,83.0
yeeE,259.0,269.0,288.0
yeeF,109.0,99.0,94.0
yeeI,137.0,173.0,138.0
yeeJ,64.0,78.0,86.0
yeeL,306.0,283.0,307.0
yeeN,116.0,133.0,114.0
yeeO,73.0,86.0,79.0
yeeP,15.0,16.0,19.0
yeeR,95.0,104.0,87.0
yeeS,42.0,44.0,50.0
yeeT,0.0,0.0,1.0
yeeU,0.0,0.0,0.0
yeeV,22.0,22.0,19.0
yeeW,48.0,50.0,50.0
yeeX,45.0,32.0,45.0
yeeY,169.0,165.0,180.0
yeeZ,78.0,93.0,100.0
yefM,74.0,56.0,64.0
yegD,7.0,1.0,2.0
yegE,101.0,116.0,106.0
yegH,52.0,56.0,47.0
yegI,79.0,81.0,63.0
yegJ,99.0,125.0,107.0
yegK,87.0,85.0,77.0
yegL,61.0,65.0,65.0
yegP,41.0,49.0,40.0
yegQ,108.0,88.0,99.0
yegR,119.0,114.0,113.0
yegS,124.0,126.0,109.0
yegT,218.0,191.0,191.0
yegU,15.0,13.0,18.0
yegV,0.0,0.0,1.0
yegW,180.0,179.0,200.0
yegX,56.0,53.0,43.0
yegZ,63.0,98.0,87.0
yehA,143.0,157.0,140.0
yehB,135.0,144.0,139.0
yehC,207.0,213.0,179.0
yehD,203.0,250.0,192.0
yehE,59.0,80.0,69.0
yehI,158.0,159.0,140.0
yehK,36.0,34.0,31.0
yehL,20.0,30.0,20.0
yehM,99.0,106.0,93.0
yehP,76.0,72.0,79.0
yehQ,95.0,96.0,74.0
yehR,120.0,123.0,113.0
yehS,62.0,67.0,67.0
yehT,266.0,286.0,283.0
yehU,49.0,45.0,49.0
yehW,35.0,37.0,40.0
yehX,1.0,1.0,2.0
yehY,53.0,48.0,51.0
yehZ,70.0,72.0,70.0
yeiA,154.0,162.0,144.0
yeiB,6.0,5.0,9.0
yeiC,129.0,122.0,117.0
yeiE,0.0,0.0,0.0
yeiG,16.0,15.0,12.0
yeiH,104.0,97.0,98.0
yeiI,89.0,107.0,107.0
yeiJ,137.0,143.0,152.0
yeiL,72.0,84.0,73.0
yeiM,111.0,111.0,104.0
yeiN,139.0,142.0,125.0
yeiP,40.0,60.0,71.0
yeiQ,201.0,205.0,184.0
yeiR,1.0,1.0,4.0
yeiS,3.0,3.0,4.0
yeiT,80.0,102.0,85.0
yeiU,98.0,112.0,110.0
yeiW,0.0,0.0,1.0
yejA,101.0,112.0,103.0
yejB,133.0,147.0,159.0
yejE,154.0,157.0,135.0
yejF,25.0,24.0,35.0
yejG,0.0,1.0,0.0
yejH,68.0,76.0,69.0
yejK,83.0,87.0,103.0
yejL,2.0,0.0,0.0
yejM,53.0,47.0,67.0
yejO,176.0,169.0,154.0
yfaA,227.0,235.0,224.0
yfaD,285.0,267.0,297.0
yfaE,1.0,1.0,4.0
yfaH,128.0,141.0,119.0
yfaL,88.0,93.0,70.0
yfaP,154.0,146.0,164.0
yfaQ,64.0,59.0,67.0
yfaS,101.0,115.0,98.0
yfaT,120.0,128.0,121.0
yfaU,2.0,3.0,3.0
yfaV,52.0,47.0,28.0
yfaW,7.0,5.0,7.0
yfaX,157.0,152.0,135.0
yfaY,32.0,24.0,29.0
yfaZ,20.0,23.0,25.0
yfbB,41.0,55.0,41.0
yfbH,149.0,143.0,152.0
yfbJ,18.0,14.0,19.0
yfbK,137.0,157.0,174.0
yfbL,160.0,176.0,173.0
yfbM,164.0,177.0,177.0
yfbN,205.0,211.0,213.0
yfbO,14.0,12.0,18.0
yfbP,325.0,315.0,323.0
yfbQ,157.0,186.0,149.0
yfbR,13.0,11.0,18.0
yfbS,111.0,93.0,108.0
yfbT,37.0,28.0,32.0
yfbU,102.0,98.0,96.0
yfbV,17.0,10.0,6.0
yfbW,2.0,0.0,1.0
yfcA,1.0,1.0,8.0
yfcC,69.0,65.0,89.0
yfcD,4.0,6.0,5.0
yfcE,4.0,3.0,4.0
yfcF,85.0,89.0,141.0
yfcG,188.0,159.0,190.0
yfcH,27.0,30.0,29.0
yfcI,78.0,77.0,74.0
yfcJ,11.0,15.0,19.0
yfcL,33.0,28.0,42.0
yfcM,10.0,19.0,20.0
yfcN,2.0,1.0,2.0
yfcO,120.0,125.0,117.0
yfcP,62.0,56.0,61.0
yfcQ,27.0,21.0,37.0
yfcR,157.0,141.0,109.0
yfcS,70.0,72.0,80.0
yfcU,184.0,182.0,207.0
yfcV,487.0,480.0,471.0
yfcY,9.0,11.0,11.0
yfcZ,9.0,5.0,7.0
yfdC,34.0,43.0,23.0
yfdE,228.0,211.0,209.0
yfdF,104.0,118.0,96.0
yfdG,101.0,111.0,82.0
yfdH,199.0,217.0,209.0
yfdI,77.0,111.0,99.0
yfdK,96.0,93.0,83.0
yfdL,35.0,23.0,27.0
yfdM,6.0,5.0,10.0
yfdN,1.0,0.0,2.0
yfdO,53.0,34.0,35.0
yfdP,18.0,27.0,33.0
yfdQ,141.0,157.0,128.0
yfdR,236.0,227.0,204.0
yfdS,80.0,90.0,85.0
yfdT,13.0,20.0,17.0
yfdV,122.0,133.0,125.0
yfdX,121.0,159.0,136.0
yfdY,20.0,41.0,36.0
yfdZ,1.0,1.0,1.0
yfeA,177.0,184.0,195.0
yfeC,123.0,116.0,102.0
yfeD,13.0,6.0,10.0
yfeG,5.0,2.0,8.0
yfeH,67.0,64.0,66.0
yfeK,82.0,95.0,99.0
yfeN,150.0,131.0,130.0
yfeO,24.0,27.0,35.0
yfeR,0.0,1.0,0.0
yfeS,186.0,180.0,155.0
yfeT,320.0,321.0,286.0
