,VAPC_T2_A,VAPC_T2_B,VAPC_T2_C
hybD,1.0,0.0,1.0
hybE,1.0,0.0,1.0
hybF,4.0,2.0,2.0
hybG,0.0,0.0,1.0
hybO,11.0,17.0,10.0
hycA,6.0,4.0,4.0
hycB,1.0,4.0,3.0
hycC,7.0,8.0,11.0
hycE,1.0,5.0,0.0
hycG,4.0,4.0,4.0
hycH,4.0,6.0,2.0
hycI,23.0,34.0,29.0
hyfA,1.0,1.0,3.0
hyfB,4.0,3.0,5.0
hyfC,4.0,2.0,7.0
hyfD,2.0,2.0,5.0
hyfE,0.0,1.0,1.0
hyfF,1.0,2.0,3.0
hyfG,0.0,3.0,2.0
hyfH,0.0,0.0,2.0
hyfJ,9.0,14.0,8.0
hyfR,6.0,4.0,9.0
hyi,17.0,16.0,16.0
hypB,3.0,2.0,3.0
hypC,0.0,0.0,0.0
hypD,2.0,0.0,0.0
hypE,1.0,0.0,0.0
hyuA,6.0,5.0,6.0
iaaA,1.0,0.0,1.0
iadA,0.0,1.0,0.0
iap,10.0,10.0,8.0
ibpA,4.0,5.0,9.0
ibpB,0.0,0.0,0.0
icd,189.0,189.0,146.0
icdC,47.0,55.0,47.0
iclR,1.0,0.0,1.0
idi,1.0,3.0,5.0
idnD,9.0,9.0,6.0
idnK,20.0,21.0,12.0
idnO,8.0,12.0,12.0
idnR,4.0,4.0,10.0
idnT,19.0,21.0,20.0
ihfA,178.0,181.0,180.0
ihfB,66.0,60.0,52.0
ileS,14.0,15.0,9.0
ilvA,12.0,5.0,9.0
ilvB,7.0,10.0,9.0
ilvC,11.0,21.0,19.0
ilvD,23.0,25.0,26.0
ilvG,2.0,1.0,0.0
ilvH,11.0,11.0,9.0
ilvI,13.0,17.0,21.0
ilvM,7.0,5.0,4.0
ilvN,3.0,5.0,3.0
imp,103.0,105.0,94.0
inaA,25.0,15.0,16.0
infA,0.0,0.0,1.0
infB,587.0,606.0,613.0
infC,2.0,1.0,3.0
insA-7,1.0,3.0,2.0
insC-2,37.0,43.0,38.0
insD-2,3.0,3.0,3.0
insE-4,111.0,66.0,92.0
insF-4,9.0,11.0,19.0
insG,17.0,15.0,13.0
insH-1,568.0,589.0,516.0
insH-6,80.0,97.0,87.0
insI-1,29.0,36.0,34.0
insI-2,2.0,1.0,6.0
insJ,142.0,131.0,122.0
insK,52.0,83.0,63.0
insL-3,45.0,57.0,47.0
insM,24.0,27.0,24.0
insN-1,1.0,2.0,0.0
insN-2,11.0,16.0,13.0
insO-1,4.0,0.0,3.0
insO-2,11.0,11.0,14.0
intA,19.0,20.0,15.0
intB,39.0,43.0,38.0
intD,29.0,38.0,29.0
intE,12.0,14.0,16.0
intF,7.0,22.0,14.0
intG,13.0,7.0,13.0
intQ,29.0,22.0,11.0
intR,9.0,8.0,8.0
intS,11.0,17.0,8.0
intZ,6.0,2.0,13.0
iraP,24.0,30.0,24.0
