,VAPC_T2_A,VAPC_T2_B,VAPC_T2_C
potC,0.0,0.0,0.0
potD,44.0,65.0,55.0
potE,18.0,21.0,24.0
potF,4.0,9.0,4.0
potG,3.0,2.0,0.0
potH,4.0,9.0,8.0
poxA,11.0,9.0,10.0
poxB,2.0,8.0,7.0
ppa,1.0,0.0,0.0
ppc,19.0,16.0,23.0
ppdB,0.0,8.0,5.0
ppdC,0.0,0.0,1.0
ppdD,8.0,9.0,10.0
pphA,37.0,35.0,33.0
pphB,5.0,1.0,9.0
ppiB,6.0,6.0,4.0
ppiC,40.0,24.0,22.0
ppiD,78.0,68.0,63.0
ppk,18.0,6.0,19.0
pppA,12.0,17.0,17.0
pps,131.0,140.0,130.0
ppx,16.0,19.0,14.0
pqiA,65.0,66.0,55.0
pqiB,16.0,29.0,12.0
pqqL,3.0,8.0,5.0
prc,87.0,64.0,70.0
prfA,70.0,83.0,58.0
prfB,58.0,73.0,57.0
prfC,7.0,12.0,9.0
prfH,6.0,2.0,0.0
priA,0.0,0.0,0.0
priB,15.0,4.0,4.0
priC,0.0,2.0,0.0
prkB,17.0,13.0,20.0
prlC,28.0,19.0,24.0
prmA,1.0,3.0,3.0
prmB,20.0,38.0,26.0
prmC,6.0,2.0,5.0
proA,12.0,14.0,18.0
proB,0.0,0.0,1.0
proC,4.0,3.0,6.0
proP,598.0,577.0,598.0
proQ,22.0,18.0,18.0
proS,27.0,15.0,18.0
proV,100.0,121.0,109.0
proX,9.0,2.0,9.0
prpB,4.0,4.0,6.0
prpD,3.0,5.0,3.0
prpE,1.0,0.0,0.0
prpR,5.0,6.0,10.0
prsA,51.0,36.0,37.0
psd,41.0,32.0,32.0
psiE,11.0,10.0,12.0
psiF,20.0,13.0,18.0
pspA,110.0,107.0,118.0
pspB,13.0,10.0,15.0
pspC,22.0,24.0,23.0
pspE,2.0,2.0,1.0
pspF,30.0,24.0,20.0
pssA,14.0,7.0,16.0
pstA,10.0,2.0,4.0
pstB,9.0,6.0,3.0
pstC,4.0,10.0,13.0
pstS,3.0,1.0,0.0
pta,78.0,75.0,60.0
pth,31.0,27.0,28.0
ptrA,40.0,52.0,54.0
ptrB,11.0,15.0,15.0
ptsA,1.0,1.0,0.0
ptsG,6.0,2.0,6.0
ptsH,38.0,45.0,27.0
ptsI,119.0,114.0,134.0
ptsN,20.0,14.0,19.0
ptsP,1.0,5.0,2.0
purA,501.0,512.0,534.0
purB,8.0,14.0,7.0
purC,6.0,3.0,2.0
purD,4.0,5.0,2.0
purE,11.0,7.0,5.0
purF,14.0,11.0,16.0
purH,89.0,74.0,72.0
purK,40.0,32.0,23.0
purL,142.0,125.0,138.0
purM,40.0,35.0,31.0
purN,3.0,0.0,0.0
purR,198.0,182.0,160.0
purT,1.0,1.0,2.0
purU,35.0,39.0,41.0
putA,5.0,4.0,5.0
putP,27.0,21.0,20.0
puuA,2.0,8.0,6.0
puuB,11.0,24.0,21.0
puuC,3.0,4.0,1.0
puuD,26.0,20.0,41.0
puuE,2.0,0.0,0.0
puuP,18.0,16.0,21.0
puuR,69.0,58.0,72.0
pykA,1.0,1.0,1.0
pykF,12.0,10.0,8.0
pyrB,9.0,7.0,7.0
pyrC,27.0,24.0,21.0
pyrD,38.0,42.0,37.0
pyrE,33.0,24.0,31.0
pyrF,12.0,9.0,7.0
pyrG,106.0,123.0,108.0
pyrH,64.0,34.0,60.0
pyrI,3.0,4.0,3.0
pyrL,2.0,1.0,3.0
qor,4.0,4.0,8.0
qseB,1.0,2.0,1.0
queA,0.0,1.0,0.0
queC,2.0,4.0,3.0
queF,11.0,16.0,17.0
racC,20.0,17.0,20.0
racR,21.0,30.0,43.0
radA,13.0,7.0,5.0
raiA,7.0,6.0,12.0
rarA,0.0,0.0,0.0
rarD,7.0,3.0,5.0
ravA,9.0,8.0,8.0
rbbA,8.0,5.0,7.0
rbfA,3.0,1.0,3.0
rbn,1.0,0.0,2.0
rbsA,21.0,20.0,22.0
rbsB,2.0,1.0,2.0
rbsC,13.0,4.0,4.0
rbsD,0.0,2.0,1.0
rbsK,22.0,20.0,29.0
rbsR,10.0,4.0,6.0
rcsA,23.0,21.0,28.0
rcsB,9.0,10.0,12.0
rcsC,23.0,17.0,26.0
rcsD,12.0,20.0,13.0
rcsF,14.0,14.0,18.0
rdgC,0.0,1.0,0.0
recA,3.0,0.0,0.0
recB,5.0,13.0,9.0
recC,15.0,11.0,14.0
recD,3.0,5.0,5.0
recE,16.0,14.0,18.0
recF,10.0,7.0,10.0
recG,0.0,0.0,1.0
recJ,27.0,38.0,25.0
recN,36.0,39.0,46.0
recO,1.0,5.0,6.0
recQ,29.0,19.0,14.0
recR,1.0,0.0,0.0
recT,8.0,5.0,9.0
recX,1.0,0.0,1.0
relA,14.0,6.0,9.0
relB,89.0,88.0,76.0
relE,26.0,33.0,28.0
rem,22.0,13.0,12.0
rep,33.0,27.0,21.0
rfaB,11.0,22.0,22.0
rfaC,8.0,6.0,14.0
rfaD,0.0,0.0,1.0
rfaE,9.0,13.0,6.0
rfaF,3.0,2.0,0.0
rfaG,32.0,19.0,17.0
rfaH,3.0,2.0,2.0
rfaI,40.0,33.0,40.0
rfaJ,17.0,17.0,22.0
rfaK,6.0,4.0,6.0
rfaL,19.0,16.0,20.0
rfaP,32.0,33.0,32.0
rfaQ,41.0,23.0,33.0
rfaS,2.0,0.0,0.0
rfaY,13.0,12.0,3.0
rfaZ,20.0,13.0,23.0
rfbA,38.0,34.0,48.0
rfbB,19.0,23.0,22.0
rfbC,110.0,94.0,120.0
rfbD,186.0,135.0,155.0
rfbX,53.0,60.0,47.0
rfe,12.0,10.0,16.0
rffA,10.0,19.0,13.0
rffD,24.0,22.0,13.0
rffE,19.0,11.0,12.0
rffG,12.0,6.0,10.0
rffH,26.0,5.0,12.0
rffM,9.0,9.0,9.0
rffT,2.0,2.0,2.0
rhaB,2.0,4.0,1.0
rhaD,2.0,0.0,3.0
rhaR,14.0,3.0,9.0
rhaS,5.0,3.0,6.0
rhaT,1.0,5.0,2.0
rhlB,31.0,35.0,35.0
rhlE,15.0,8.0,12.0
rho,229.0,235.0,274.0
rhoL,0.0,1.0,0.0
rhsA,5.0,10.0,5.0
rhsB,40.0,23.0,40.0
rhsC,21.0,17.0,17.0
rhsD,16.0,7.0,22.0
rhsE,12.0,12.0,16.0
rhtA,1.0,1.0,0.0
rhtB,13.0,7.0,6.0
rhtC,3.0,5.0,6.0
ribA,14.0,17.0,19.0
ribB,22.0,18.0,14.0
ribC,23.0,22.0,24.0
ribD,26.0,23.0,25.0
ribE,1.0,1.0,1.0
ribF,12.0,13.0,12.0
rihA,5.0,4.0,1.0
rihB,9.0,7.0,5.0
rihC,10.0,6.0,6.0
rimI,8.0,6.0,2.0
rimJ,44.0,36.0,45.0
rimL,25.0,26.0,37.0
rimM,249.0,281.0,288.0
rlmB,11.0,10.0,14.0
rlmL,52.0,46.0,36.0
rlpA,0.0,0.0,1.0
rlpB,15.0,12.0,13.0
rluA,8.0,6.0,7.0
rluB,9.0,5.0,3.0
rluC,2.0,0.0,1.0
rluD,10.0,10.0,16.0
rluE,5.0,8.0,18.0
rluF,6.0,6.0,5.0
rmf,1.0,1.0,0.0
rna,16.0,13.0,23.0
rnb,31.0,53.0,36.0
rnc,26.0,26.0,36.0
rnd,20.0,16.0,12.0
rne,70.0,70.0,96.0
rng,4.0,3.0,1.0
rnhA,0.0,0.0,1.0
rnhB,13.0,4.0,9.0
rnk,12.0,8.0,0.0
rnpA,0.0,1.0,1.0
rnr,2.0,0.0,1.0
rnt,0.0,1.0,1.0
rob,2.0,1.0,1.0
rof,9.0,5.0,16.0
rpe,11.0,11.0,17.0
rpiA,8.0,6.0,9.0
rpiB,0.0,0.0,0.0
rpiR,14.0,12.0,10.0
rplA,1036.0,1017.0,1064.0
rplB,53.0,49.0,45.0
rplC,4093.0,4139.0,4120.0
rplD,2851.0,2892.0,2851.0
rplE,1504.0,1535.0,1385.0
rplF,2659.0,2622.0,2492.0
rplI,1106.0,1114.0,1087.0
rplJ,1501.0,1554.0,1520.0
rplK,66.0,73.0,55.0
rplL,3535.0,3560.0,3432.0
rplM,24.0,14.0,17.0
rplN,1957.0,1986.0,1828.0
rplO,5338.0,5373.0,5197.0
rplP,32.0,38.0,46.0
rplQ,474.0,458.0,457.0
rplR,1759.0,1743.0,1769.0
rplS,740.0,695.0,728.0
rplT,1041.0,1069.0,1117.0
rplU,34.0,27.0,29.0
rplV,1050.0,1084.0,1013.0
rplW,2754.0,2630.0,2677.0
rplX,1192.0,1204.0,1133.0
rplY,13.0,8.0,11.0
rpmA,167.0,181.0,208.0
rpmB,7.0,7.0,7.0
rpmC,4029.0,3964.0,3956.0
rpmD,1165.0,1111.0,1102.0
rpmE,4.0,2.0,0.0
rpmF,157.0,140.0,159.0
rpmG,129.0,143.0,135.0
rpmH,4.0,11.0,7.0
rpmI,64.0,80.0,84.0
rpmJ,86.0,43.0,58.0
rpoA,3731.0,3826.0,3666.0
rpoB,321.0,347.0,360.0
rpoC,340.0,356.0,333.0
rpoD,116.0,99.0,133.0
rpoE,35.0,36.0,26.0
rpoH,26.0,34.0,19.0
rpoN,22.0,24.0,16.0
rpoS,277.0,270.0,269.0
rpoZ,53.0,63.0,54.0
rpsA,2891.0,2753.0,2760.0
rpsB,239.0,243.0,241.0
rpsC,445.0,421.0,473.0
rpsD,5051.0,5123.0,4954.0
rpsE,1947.0,1981.0,1920.0
rpsF,173.0,163.0,179.0
rpsG,216.0,218.0,238.0
rpsH,546.0,518.0,518.0
rpsI,6.0,5.0,8.0
rpsJ,12.0,7.0,13.0
rpsK,4679.0,4603.0,4556.0
rpsM,771.0,759.0,717.0
rpsN,2424.0,2517.0,2325.0
rpsO,2.0,1.0,1.0
rpsP,6.0,1.0,3.0
rpsQ,851.0,851.0,784.0
rpsR,270.0,285.0,237.0
rpsS,260.0,263.0,270.0
rpsT,1.0,0.0,0.0
rpsU,27.0,26.0,25.0
rraA,70.0,75.0,46.0
rraB,13.0,9.0,13.0
rrfB,49840.0,48333.0,48347.0
rrmA,40.0,46.0,30.0
rrmJ,180.0,191.0,190.0
rsd,21.0,23.0,14.0
rseA,22.0,24.0,30.0
rseB,127.0,146.0,128.0
rseC,1.0,0.0,0.0
rseP,85.0,76.0,99.0
rsgA,12.0,24.0,14.0
rsmB,5.0,2.0,2.0
rsmC,9.0,12.0,11.0
rspA,5.0,5.0,7.0
rspB,22.0,16.0,24.0
rssA,66.0,69.0,57.0
rssB,11.0,14.0,8.0
rstA,32.0,37.0,19.0
rstB,5.0,4.0,2.0
rsuA,12.0,11.0,5.0
rsxA,45.0,39.0,28.0
rsxB,1.0,1.0,0.0
rsxC,35.0,22.0,33.0
rsxD,1.0,0.0,0.0
rsxE,6.0,4.0,6.0
rsxG,1.0,0.0,0.0
rtcB,35.0,35.0,37.0
rtn,16.0,25.0,16.0
rumA,17.0,12.0,15.0
rusA,0.0,0.0,0.0
rutF,0.0,2.0,3.0
ruvA,50.0,52.0,45.0
ruvB,118.0,96.0,111.0
sanA,20.0,11.0,8.0
sapA,3.0,2.0,1.0
sapB,2.0,3.0,4.0
sapC,0.0,1.0,1.0
sapD,10.0,4.0,8.0
sapF,4.0,2.0,4.0
sbcB,18.0,14.0,8.0
sbcC,16.0,7.0,10.0
sbcD,21.0,25.0,17.0
sbmA,35.0,22.0,24.0
sbmC,24.0,38.0,26.0
sbp,77.0,94.0,87.0
sdaA,5.0,9.0,9.0
sdaB,10.0,16.0,11.0
sdaC,69.0,47.0,47.0
sdhB,4.0,3.0,5.0
sdhC,52.0,50.0,31.0
sdiA,122.0,104.0,107.0
secA,52.0,50.0,42.0
secB,19.0,21.0,27.0
secD,165.0,163.0,154.0
secE,0.0,0.0,1.0
secF,44.0,44.0,34.0
secG,411.0,379.0,389.0
secM,10.0,11.0,6.0
secY,1216.0,1170.0,1218.0
selA,10.0,10.0,7.0
selB,0.0,0.0,1.0
selD,4.0,8.0,5.0
seqA,8.0,6.0,7.0
serA,37.0,44.0,28.0
serB,2.0,1.0,1.0
serC,53.0,48.0,49.0
serS,32.0,27.0,20.0
serV,7435.0,7198.0,7320.0
setA,18.0,11.0,15.0
setB,3.0,1.0,5.0
setC,7.0,5.0,3.0
sfcA,30.0,42.0,30.0
sfmA,9.0,11.0,8.0
sfmC,3.0,12.0,5.0
sfmD,2.0,3.0,6.0
sfmF,39.0,33.0,27.0
sfmH,18.0,13.0,12.0
sfsA,13.0,2.0,13.0
sgbE,0.0,0.0,0.0
sgbU,10.0,2.0,10.0
sgcA,3.0,0.0,4.0
sgcB,11.0,6.0,5.0
sgcC,10.0,9.0,9.0
sgcE,14.0,3.0,6.0
sgcQ,3.0,5.0,0.0
sgcR,14.0,11.0,21.0
sgcX,4.0,0.0,2.0
sgrR,2.0,5.0,2.0
shiA,27.0,26.0,24.0
sieB,33.0,31.0,31.0
sirA,28.0,35.0,29.0
sixA,30.0,38.0,19.0
slp,16.0,28.0,28.0
slt,10.0,7.0,10.0
slyA,19.0,18.0,40.0
slyB,193.0,211.0,212.0
slyD,20.0,11.0,10.0
slyX,13.0,13.0,9.0
smf,18.0,10.0,17.0
smg,93.0,96.0,88.0
smpA,8.0,10.0,7.0
smpB,2.0,2.0,0.0
smtA,20.0,23.0,23.0
sodA,2.0,5.0,4.0
sodB,331.0,303.0,301.0
sohA,21.0,16.0,24.0
sohB,43.0,37.0,39.0
solA,0.0,0.0,0.0
soxR,0.0,1.0,0.0
soxS,2.0,9.0,2.0
speA,243.0,225.0,234.0
speB,7.0,5.0,7.0
speC,24.0,25.0,23.0
speD,29.0,32.0,30.0
speE,22.0,20.0,17.0
speF,9.0,18.0,14.0
speG,36.0,35.0,38.0
spoT,150.0,130.0,153.0
spoU,1.0,0.0,0.0
sppA,5.0,10.0,6.0
spr,83.0,82.0,77.0
sprT,2.0,3.0,3.0
spy,14.0,11.0,7.0
sra,2.0,0.0,1.0
srlA,0.0,0.0,0.0
srlD,5.0,2.0,0.0
srlE,3.0,4.0,3.0
srlR,8.0,6.0,1.0
srmB,1.0,5.0,2.0
ssb,1.0,0.0,0.0
sscR,3.0,1.0,0.0
sseA,41.0,22.0,23.0
sseB,80.0,73.0,60.0
ssnA,7.0,5.0,3.0
sspA,0.0,0.0,0.0
sspB,1.0,1.0,0.0
sstT,14.0,19.0,13.0
ssuA,1.0,2.0,1.0
ssuB,3.0,0.0,1.0
ssuC,2.0,2.0,0.0
ssuD,0.0,0.0,0.0
ssuE,1.0,2.0,3.0
stfE,5.0,3.0,2.0
stfQ,17.0,15.0,15.0
stfR,10.0,8.0,9.0
sthA,28.0,19.0,33.0
stpA,7.0,7.0,6.0
sucB,0.0,3.0,0.0
sucC,14.0,13.0,13.0
sufA,6.0,2.0,5.0
sufB,2.0,1.0,2.0
sufC,6.0,6.0,8.0
sufD,15.0,5.0,9.0
sufE,0.0,1.0,0.0
sufI,2.0,0.0,3.0
sufS,15.0,13.0,18.0
suhB,239.0,226.0,237.0
sulA,120.0,100.0,150.0
surA,26.0,26.0,15.0
surE,3.0,1.0,1.0
sxy,1.0,2.0,0.0
syd,19.0,20.0,14.0
tadA,1.0,1.0,0.0
tag,17.0,17.0,17.0
talA,7.0,8.0,7.0
talB,32.0,28.0,35.0
tap,21.0,24.0,25.0
tar,119.0,118.0,122.0
tas,3.0,6.0,2.0
tatA,32.0,27.0,30.0
tatB,2.0,1.0,2.0
tatC,7.0,10.0,8.0
tatD,0.0,0.0,1.0
tatE,0.0,0.0,0.0
tauA,1.0,6.0,4.0
tauC,4.0,11.0,12.0
tauD,6.0,11.0,11.0
tbpA,11.0,9.0,5.0
tdcA,9.0,10.0,8.0
tdcB,12.0,24.0,13.0
tdcC,8.0,9.0,6.0
tdcD,6.0,0.0,2.0
tdcE,18.0,11.0,11.0
tdcF,0.0,0.0,0.0
tdcG,20.0,20.0,12.0
tdcR,3.0,3.0,7.0
tdh,9.0,17.0,15.0
tdk,8.0,12.0,9.0
tehA,2.0,2.0,3.0
tehB,16.0,11.0,12.0
tesA,8.0,7.0,9.0
tesB,0.0,0.0,0.0
tetR,459.0,469.0,489.0
tfaE,27.0,28.0,26.0
tfaS,3.0,6.0,5.0
tff,6487.0,6138.0,5543.0
tgt,93.0,79.0,79.0
thiC,0.0,2.0,2.0
thiD,0.0,0.0,1.0
thiF,1.0,0.0,0.0
thiH,4.0,2.0,5.0
thiI,38.0,51.0,40.0
thiK,5.0,5.0,4.0
thiL,21.0,24.0,10.0
thiM,6.0,8.0,2.0
thiQ,0.0,0.0,0.0
thiS,6.0,0.0,1.0
thrA,22.0,27.0,20.0
thrC,1.0,1.0,4.0
thrS,163.0,162.0,133.0
thrU---thrToperon,295.0,277.0,309.0
thyA,8.0,5.0,4.0
tig,591.0,524.0,555.0
tilS,13.0,6.0,10.0
tktA,53.0,31.0,46.0
tktB,0.0,0.0,4.0
tldD,8.0,12.0,16.0
tmk,23.0,22.0,17.0
tnaA,7.0,4.0,6.0
tnaB,4.0,7.0,7.0
tolA,82.0,82.0,79.0
tolB,95.0,107.0,107.0
tolC,42.0,22.0,22.0
tolQ,132.0,139.0,164.0
tolR,23.0,17.0,22.0
tonB,9.0,3.0,11.0
topA,208.0,144.0,158.0
topB,0.0,0.0,0.0
torA,22.0,15.0,26.0
torC,17.0,15.0,20.0
torD,0.0,2.0,0.0
torI,14.0,4.0,11.0
torR,4.0,4.0,5.0
torS,23.0,11.0,15.0
torT,14.0,11.0,15.0
torY,23.0,25.0,14.0
torZ,5.0,17.0,10.0
tpiA,19.0,16.0,12.0
tppB,109.0,131.0,109.0
tpr,6.0,10.0,14.0
tpx,13.0,16.0,12.0
tqsA,11.0,13.0,13.0
traY,1.0,1.0,1.0
treA,10.0,5.0,10.0
treB,0.0,7.0,3.0
treC,2.0,0.0,0.0
treF,3.0,1.0,5.0
treR,9.0,9.0,6.0
trg,25.0,40.0,22.0
trkA,11.0,14.0,17.0
trkD,10.0,8.0,6.0
trkG,54.0,53.0,58.0
trkH,6.0,4.0,5.0
trmA,27.0,29.0,19.0
trmD,96.0,105.0,91.0
trmI,61.0,76.0,71.0
trpB,0.0,0.0,0.0
trpC,1.0,1.0,2.0
trpD,0.0,0.0,0.0
trpE,0.0,0.0,1.0
trpH,0.0,3.0,1.0
trpR,2.0,2.0,1.0
trpS,13.0,9.0,8.0
truA,24.0,26.0,28.0
truB,13.0,17.0,27.0
truC,0.0,2.0,2.0
truD,24.0,20.0,29.0
trxB,1.0,0.0,2.0
trxC,18.0,14.0,26.0
tsf,3.0,1.0,0.0
tsgA,4.0,1.0,4.0
tsr,200.0,181.0,207.0
tsx,23.0,13.0,11.0
ttcA,22.0,20.0,21.0
ttdA,3.0,8.0,9.0
ttdB,2.0,0.0,1.0
ttk,61.0,49.0,47.0
tufA,39.0,37.0,51.0
tufB,32.0,34.0,33.0
tus,5.0,8.0,9.0
tynA,18.0,15.0,18.0
tyrA,32.0,22.0,26.0
tyrB,10.0,12.0,7.0
tyrP,29.0,24.0,23.0
tyrR,34.0,22.0,29.0
tyrS,22.0,12.0,16.0
tyrT,23785.0,22760.0,22865.0
ubiA,36.0,30.0,16.0
ubiB,37.0,30.0,35.0
ubiC,0.0,1.0,0.0
ubiD,29.0,29.0,37.0
ubiE,2.0,1.0,1.0
ubiF,12.0,14.0,9.0
ubiG,3.0,4.0,2.0
ubiH,5.0,1.0,4.0
ubiX,13.0,20.0,15.0
ucpA,0.0,2.0,0.0
udk,9.0,4.0,8.0
udp,1.0,4.0,8.0
ugd,30.0,23.0,18.0
ugpA,3.0,1.0,0.0
ugpB,2.0,0.0,0.0
ugpQ,5.0,6.0,2.0
uhpA,5.0,2.0,3.0
uhpB,1.0,0.0,0.0
uhpC,1.0,8.0,3.0
uhpT,7.0,3.0,4.0
uidB,3.0,2.0,8.0
uidC,23.0,16.0,11.0
uidR,4.0,6.0,3.0
ulaA,4.0,4.0,4.0
ulaE,19.0,22.0,31.0
ulaF,8.0,9.0,11.0
ulaG,15.0,9.0,7.0
ulaR,12.0,17.0,18.0
umuC,19.0,22.0,20.0
umuD,8.0,8.0,8.0
upp,1.0,0.0,4.0
uraA,21.0,25.0,15.0
usg,2.0,3.0,1.0
ushA,12.0,9.0,13.0
uspA,15.0,5.0,7.0
uspB,4.0,5.0,0.0
uspE,20.0,21.0,23.0
uspF,13.0,15.0,6.0
uspG,12.0,17.0,16.0
uup,63.0,61.0,53.0
uvrA,36.0,29.0,35.0
uvrB,33.0,25.0,17.0
uvrC,23.0,18.0,16.0
uvrD,0.0,1.0,1.0
uvrY,28.0,38.0,27.0
uxaB,16.0,9.0,10.0
uxaC,34.0,28.0,23.0
uxuA,0.0,5.0,2.0
uxuB,0.0,0.0,1.0
uxuR,9.0,6.0,5.0
vacJ,9.0,8.0,4.0
valS,204.0,198.0,192.0
vapC,1497.0,1439.0,1375.0
viaA,1.0,5.0,2.0
visC,26.0,27.0,15.0
vsr,0.0,2.0,0.0
wbbH,32.0,40.0,55.0
wbbI,53.0,52.0,68.0
wbbJ,14.0,4.0,13.0
wbbK,22.0,33.0,48.0
wbbL,20.0,17.0,9.0
wcaA,0.0,0.0,1.0
wcaB,0.0,1.0,0.0
wcaC,1.0,4.0,0.0
wcaD,10.0,23.0,12.0
wcaE,11.0,19.0,25.0
wcaF,1.0,0.0,0.0
wcaI,7.0,7.0,5.0
wcaJ,14.0,15.0,17.0
wcaK,1.0,5.0,3.0
wcaL,0.0,5.0,5.0
wcaM,8.0,6.0,7.0
wza,12.0,6.0,13.0
wzb,0.0,0.0,0.0
wzc,4.0,6.0,8.0
wzxC,6.0,4.0,3.0
wzxE,5.0,4.0,3.0
wzyE,1.0,0.0,1.0
wzzE,0.0,0.0,1.0
xapA,21.0,20.0,23.0
xapB,11.0,5.0,6.0
xapR,7.0,6.0,2.0
xdhA,32.0,34.0,20.0
xdhB,6.0,6.0,6.0
xdhC,2.0,1.0,1.0
xdhD,25.0,27.0,30.0
xerC,9.0,6.0,4.0
xerD,28.0,14.0,24.0
xni,41.0,33.0,34.0
xseA,5.0,4.0,7.0
xthA,9.0,5.0,8.0
xylA,29.0,26.0,28.0
xylB,8.0,17.0,7.0
xylE,9.0,2.0,9.0
xylF,12.0,9.0,12.0
xylG,15.0,15.0,13.0
xylH,2.0,3.0,5.0
xylR,16.0,7.0,11.0
yaaA,18.0,21.0,16.0
yaaH,52.0,53.0,62.0
yaaI,8.0,3.0,3.0
yaaJ,14.0,14.0,22.0
yaaU,20.0,11.0,8.0
yaaW,5.0,7.0,7.0
yaaX,1.0,1.0,1.0
yabI,26.0,20.0,20.0
yabP,90.0,90.0,70.0
yacF,16.0,16.0,13.0
yacG,0.0,0.0,0.0
yacH,6.0,5.0,2.0
yacL,0.0,0.0,0.0
yadB,10.0,9.0,6.0
yadC,24.0,39.0,25.0
yadD,16.0,9.0,11.0
yadE,6.0,5.0,3.0
yadG,38.0,29.0,28.0
yadH,15.0,15.0,17.0
yadI,0.0,2.0,0.0
yadK,32.0,30.0,27.0
yadL,35.0,29.0,35.0
yadM,29.0,24.0,27.0
yadN,32.0,16.0,20.0
yadR,49.0,50.0,37.0
yadS,3.0,6.0,3.0
yaeF,39.0,49.0,44.0
yaeH,4.0,1.0,2.0
yaeI,15.0,4.0,7.0
yaeJ,0.0,0.0,0.0
yaeP,1.0,0.0,0.0
yaeQ,10.0,9.0,6.0
yaeR,4.0,5.0,6.0
yafC,10.0,7.0,12.0
yafD,7.0,11.0,8.0
yafE,15.0,12.0,17.0
yafF,21.0,18.0,21.0
yafJ,2.0,0.0,0.0
yafK,56.0,43.0,41.0
yafL,11.0,10.0,10.0
yafM,8.0,6.0,8.0
yafN,3.0,2.0,2.0
yafO,59.0,35.0,32.0
yafP,3.0,4.0,5.0
yafQ,15.0,10.0,30.0
yafS,21.0,16.0,8.0
yafT,39.0,36.0,30.0
yafU,5.0,6.0,10.0
yafV,7.0,1.0,1.0
yafW,1.0,3.0,4.0
yafX,8.0,3.0,3.0
yafY,4.0,1.0,0.0
yafZ,0.0,1.0,0.0
yagB,5.0,1.0,7.0
yagF,0.0,1.0,0.0
yagH,1.0,2.0,2.0
yagI,1.0,0.0,1.0
yagJ,49.0,72.0,42.0
yagK,50.0,47.0,52.0
yagL,39.0,44.0,39.0
yagM,13.0,16.0,11.0
yagN,7.0,5.0,8.0
yagP,1.0,2.0,4.0
yagQ,0.0,1.0,0.0
yagR,0.0,0.0,0.0
yagS,0.0,1.0,0.0
yagT,0.0,0.0,1.0
yagU,16.0,19.0,30.0
yagV,15.0,25.0,25.0
yagW,1.0,4.0,4.0
yagX,22.0,16.0,15.0
yagY,6.0,1.0,7.0
yagZ,2.0,4.0,4.0
yahA,104.0,105.0,107.0
yahB,10.0,12.0,15.0
yahC,4.0,10.0,11.0
yahD,45.0,40.0,32.0
yahE,16.0,18.0,20.0
yahF,2.0,4.0,2.0
yahG,10.0,6.0,11.0
yahH,5.0,6.0,1.0
yahI,20.0,10.0,9.0
yahJ,1.0,0.0,0.0
yahK,25.0,20.0,27.0
yahL,14.0,15.0,13.0
yahM,21.0,18.0,20.0
yahN,9.0,0.0,1.0
yahO,3.0,0.0,8.0
yaiA,2.0,0.0,1.0
yaiC,14.0,8.0,7.0
yaiE,3.0,7.0,3.0
yaiL,28.0,18.0,14.0
yaiO,14.0,10.0,12.0
yaiP,6.0,2.0,6.0
yaiS,5.0,4.0,6.0
yaiT,109.0,95.0,79.0
yaiV,1.0,10.0,5.0
yaiW,18.0,7.0,7.0
yaiX,18.0,22.0,13.0
yaiZ,1.0,0.0,1.0
yajC,82.0,96.0,89.0
yajD,24.0,30.0,25.0
yajG,0.0,1.0,0.0
yajI,0.0,2.0,3.0
yajL,3.0,2.0,5.0
yajO,1.0,0.0,0.0
yajQ,6.0,5.0,4.0
yajR,10.0,14.0,18.0
ybaA,26.0,17.0,17.0
ybaB,14.0,8.0,7.0
ybaE,10.0,11.0,12.0
ybaJ,16.0,9.0,8.0
ybaK,0.0,3.0,0.0
ybaL,4.0,0.0,2.0
ybaM,23.0,19.0,16.0
ybaN,1.0,2.0,2.0
ybaP,4.0,0.0,4.0
ybaQ,78.0,78.0,81.0
ybaS,10.0,10.0,7.0
ybaT,3.0,5.0,5.0
ybaW,5.0,8.0,6.0
ybaY,2.0,4.0,2.0
ybaZ,14.0,13.0,12.0
ybbA,0.0,0.0,0.0
ybbB,3.0,1.0,1.0
ybbC,20.0,24.0,18.0
ybbD,2.0,3.0,1.0
ybbJ,2.0,0.0,0.0
ybbK,26.0,34.0,25.0
ybbL,57.0,33.0,42.0
ybbM,6.0,8.0,5.0
ybbO,6.0,5.0,8.0
ybbP,6.0,6.0,1.0
ybbS,13.0,5.0,9.0
ybbV,13.0,8.0,11.0
ybbW,6.0,1.0,5.0
ybbY,7.0,4.0,6.0
ybcF,0.0,0.0,0.0
ybcH,8.0,2.0,3.0
ybcI,0.0,1.0,1.0
ybcK,12.0,14.0,10.0
ybcL,29.0,19.0,24.0
ybcM,51.0,42.0,66.0
ybcN,8.0,1.0,8.0
ybcO,0.0,0.0,2.0
ybcQ,2.0,3.0,4.0
ybcS,18.0,17.0,26.0
ybcY,46.0,57.0,53.0
ybdA,3.0,1.0,1.0
ybdB,0.0,0.0,2.0
ybdD,7.0,4.0,5.0
ybdG,38.0,35.0,34.0
ybdH,7.0,2.0,2.0
ybdK,1.0,0.0,2.0
ybdL,2.0,0.0,1.0
ybdM,11.0,4.0,0.0
ybdN,5.0,2.0,5.0
ybdO,12.0,6.0,19.0
ybdR,13.0,13.0,16.0
ybdZ,2.0,0.0,0.0
ybeB,1.0,0.0,1.0
ybeD,39.0,34.0,24.0
ybeF,27.0,9.0,20.0
