,EXP_A,EXP_B,EXP_C,VAPC_T2_A,VAPC_T2_B,VAPC_T2_C,VAPC_T5_A,VAPC_T5_B,VAPC_T5_C,VAPC_T5B_A,VAPC_T5B_B,VAPC_T5B_C,VAPC_TON_A,VAPC_TON_B,VAPC_TON_C
Unnamed: 1,709.0,753.0,751.0,2507.0,2414.0,2412.0,3740.0,3569.0,3707.0,2829.0,2722.0,2940.0,2457.0,2459.0,2550.0
GFP,1120.0,1142.0,1105.0,41448.0,41577.0,39725.0,92488.0,89237.0,90070.0,42978.0,38618.0,40111.0,14221.0,12797.0,12596.0
INTR_alaXW,69.0,75.0,55.0,211.0,187.0,217.0,1032.0,1017.0,1043.0,1685.0,1893.0,1761.0,2361.0,2431.0,2411.0
LELOBEKK,36.0,27.0,29.0,8.0,7.0,5.0,12.0,14.0,25.0,7.0,6.0,4.0,4.0,2.0,8.0
LELOBEKK_appX,5.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
LELOBEKK_fdoG,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LELOBEKK_finO,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0
LELOBEKK_flmC,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
LELOBEKK_gap,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LELOBEKK_lacA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LELOBEKK_lacY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LELOBEKK_lacZ,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LELOBEKK_malE,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
LELOBEKK_mpaA,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
LELOBEKK_psiB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
LELOBEKK_tisB,5.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LELOBEKK_trpA,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
LELOBEKK_ynhF,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LELOBEKK_yshB,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LELOBEKKtfaE,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
LacI,37848.0,37909.0,38708.0,92865.0,91613.0,89681.0,185524.0,184532.0,185005.0,114628.0,106470.0,109558.0,17859.0,17877.0,17935.0
MS2_fwd,9.0,8.0,4.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0
YFP,7.0,8.0,3.0,1.0,1.0,0.0,1.0,2.0,5.0,2.0,0.0,2.0,2.0,3.0,1.0
aaeA,10.0,8.0,5.0,20.0,20.0,21.0,101.0,105.0,111.0,165.0,177.0,168.0,217.0,247.0,219.0
aaeB,3.0,3.0,10.0,17.0,21.0,21.0,82.0,69.0,83.0,117.0,147.0,127.0,160.0,149.0,143.0
aaeR,3.0,5.0,2.0,15.0,30.0,37.0,99.0,100.0,115.0,170.0,165.0,164.0,212.0,226.0,226.0
aaeX,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,4.0,4.0,14.0,10.0,10.0,10.0,11.0
aas,7.0,1.0,4.0,19.0,19.0,16.0,128.0,142.0,126.0,209.0,246.0,220.0,324.0,339.0,314.0
aat,1.0,0.0,1.0,4.0,4.0,1.0,30.0,36.0,36.0,42.0,64.0,66.0,81.0,80.0,86.0
abgB,2.0,3.0,5.0,15.0,9.0,16.0,81.0,91.0,54.0,149.0,127.0,135.0,151.0,195.0,206.0
abgR,3.0,7.0,18.0,9.0,13.0,13.0,93.0,92.0,95.0,158.0,147.0,175.0,212.0,234.0,263.0
abgT,2.0,2.0,0.0,14.0,14.0,18.0,84.0,94.0,87.0,161.0,201.0,175.0,235.0,212.0,197.0
abrB,0.0,0.0,1.0,0.0,1.0,1.0,7.0,5.0,8.0,15.0,19.0,14.0,26.0,25.0,25.0
accA,120.0,111.0,109.0,149.0,135.0,111.0,288.0,301.0,256.0,324.0,306.0,280.0,341.0,381.0,371.0
accB,135.0,126.0,114.0,70.0,73.0,63.0,172.0,143.0,128.0,125.0,131.0,142.0,219.0,204.0,197.0
accC,46.0,46.0,40.0,26.0,17.0,21.0,92.0,71.0,105.0,119.0,115.0,128.0,164.0,158.0,166.0
accD,8.0,8.0,12.0,9.0,5.0,10.0,14.0,17.0,15.0,12.0,13.0,13.0,9.0,11.0,23.0
aceA,867.0,940.0,886.0,59.0,67.0,42.0,154.0,125.0,146.0,194.0,198.0,195.0,274.0,259.0,264.0
aceB,378.0,342.0,324.0,43.0,45.0,44.0,105.0,103.0,125.0,117.0,119.0,111.0,205.0,174.0,188.0
aceE,80.0,79.0,84.0,80.0,70.0,65.0,141.0,150.0,117.0,158.0,125.0,137.0,140.0,148.0,130.0
aceF,144.0,131.0,124.0,101.0,88.0,92.0,236.0,186.0,241.0,254.0,261.0,281.0,285.0,315.0,336.0
aceK,23.0,16.0,21.0,5.0,5.0,8.0,46.0,49.0,51.0,79.0,79.0,83.0,117.0,111.0,110.0
ackA,22.0,21.0,27.0,31.0,34.0,23.0,116.0,143.0,108.0,149.0,156.0,132.0,206.0,228.0,209.0
acnA,13.0,16.0,27.0,35.0,40.0,31.0,100.0,97.0,91.0,121.0,134.0,121.0,164.0,144.0,162.0
acnB,59.0,74.0,51.0,36.0,31.0,20.0,44.0,50.0,57.0,42.0,41.0,39.0,43.0,41.0,47.0
acpP,443.0,423.0,465.0,509.0,462.0,501.0,506.0,478.0,538.0,259.0,219.0,247.0,138.0,146.0,141.0
acpS,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0,3.0,3.0,1.0
acpT,0.0,0.0,0.0,1.0,1.0,1.0,7.0,2.0,7.0,11.0,12.0,12.0,15.0,12.0,5.0
acrA,6.0,2.0,5.0,12.0,6.0,10.0,24.0,29.0,25.0,37.0,36.0,30.0,38.0,42.0,41.0
acrB,8.0,8.0,8.0,11.0,7.0,6.0,34.0,34.0,33.0,54.0,65.0,49.0,59.0,64.0,66.0
acrD,0.0,0.0,1.0,5.0,2.0,0.0,20.0,19.0,18.0,16.0,25.0,21.0,31.0,50.0,38.0
acrE,0.0,0.0,0.0,2.0,4.0,1.0,21.0,10.0,6.0,16.0,26.0,27.0,40.0,37.0,44.0
acrF,3.0,3.0,1.0,27.0,28.0,29.0,109.0,103.0,122.0,206.0,213.0,197.0,247.0,278.0,244.0
acrR,15.0,19.0,15.0,47.0,41.0,41.0,228.0,235.0,198.0,317.0,356.0,287.0,459.0,472.0,482.0
acs,80.0,78.0,84.0,9.0,6.0,6.0,76.0,71.0,88.0,123.0,122.0,120.0,194.0,198.0,169.0
actP,11.0,23.0,24.0,1.0,1.0,3.0,22.0,10.0,17.0,21.0,44.0,37.0,48.0,28.0,42.0
add,1.0,2.0,1.0,7.0,10.0,12.0,32.0,24.0,36.0,58.0,49.0,39.0,76.0,78.0,65.0
ade,1.0,2.0,2.0,9.0,8.0,8.0,43.0,48.0,50.0,85.0,84.0,80.0,143.0,123.0,123.0
adhE,64.0,51.0,44.0,30.0,21.0,18.0,98.0,105.0,101.0,142.0,173.0,141.0,245.0,265.0,228.0
adhP,6.0,14.0,13.0,55.0,76.0,55.0,208.0,200.0,186.0,350.0,330.0,324.0,471.0,419.0,442.0
adiA,0.0,1.0,6.0,6.0,9.0,7.0,71.0,64.0,60.0,148.0,126.0,128.0,164.0,143.0,202.0
adiC,0.0,0.0,0.0,3.0,5.0,2.0,26.0,27.0,27.0,52.0,55.0,48.0,65.0,77.0,94.0
adiY,1.0,2.0,0.0,10.0,9.0,19.0,73.0,78.0,72.0,154.0,162.0,121.0,220.0,234.0,214.0
adk,3.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0
aegA,2.0,7.0,3.0,4.0,9.0,4.0,33.0,43.0,49.0,71.0,78.0,71.0,111.0,101.0,106.0
aer,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0
aes,1.0,0.0,2.0,4.0,7.0,6.0,28.0,31.0,26.0,60.0,71.0,71.0,77.0,92.0,87.0
afuB,0.0,1.0,0.0,9.0,7.0,5.0,23.0,25.0,25.0,45.0,48.0,51.0,49.0,51.0,44.0
afuC,5.0,2.0,2.0,15.0,18.0,12.0,49.0,60.0,52.0,70.0,89.0,62.0,122.0,99.0,104.0
agaB,2.0,3.0,0.0,8.0,5.0,8.0,54.0,55.0,64.0,99.0,103.0,109.0,151.0,145.0,146.0
agaC,0.0,0.0,0.0,1.0,2.0,3.0,17.0,17.0,25.0,42.0,56.0,55.0,40.0,79.0,46.0
agaD,1.0,0.0,1.0,3.0,6.0,7.0,44.0,44.0,45.0,47.0,68.0,64.0,115.0,88.0,116.0
agaI,1.0,2.0,0.0,10.0,5.0,6.0,25.0,37.0,38.0,64.0,64.0,65.0,119.0,114.0,105.0
agaR,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
agaS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,4.0,4.0,4.0,2.0,2.0,7.0
agaV,0.0,0.0,0.0,3.0,2.0,1.0,12.0,10.0,15.0,40.0,46.0,28.0,51.0,51.0,58.0
agaW,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
agp,22.0,32.0,28.0,9.0,16.0,10.0,82.0,87.0,64.0,94.0,102.0,117.0,159.0,175.0,134.0
ahpC,343.0,307.0,359.0,150.0,143.0,133.0,232.0,231.0,235.0,227.0,220.0,214.0,248.0,242.0,224.0
ahpF,5.0,4.0,10.0,19.0,17.0,12.0,67.0,57.0,66.0,67.0,82.0,88.0,96.0,102.0,106.0
aidB,0.0,2.0,0.0,9.0,7.0,12.0,41.0,52.0,47.0,124.0,115.0,94.0,119.0,115.0,127.0
ais,1.0,5.0,1.0,11.0,9.0,13.0,89.0,85.0,91.0,160.0,164.0,143.0,223.0,255.0,224.0
alaS,69.0,62.0,79.0,100.0,77.0,106.0,154.0,149.0,162.0,129.0,115.0,131.0,123.0,115.0,151.0
alaw,7546.0,7577.0,8442.0,12750.0,12463.0,12459.0,26069.0,25342.0,26430.0,21766.0,21067.0,20766.0,16135.0,16319.0,15827.0
aldA,635.0,579.0,638.0,37.0,32.0,32.0,177.0,175.0,152.0,292.0,317.0,303.0,380.0,399.0,393.0
alkB,2.0,2.0,1.0,12.0,6.0,6.0,23.0,33.0,24.0,52.0,55.0,64.0,66.0,78.0,93.0
allA,0.0,2.0,1.0,4.0,2.0,7.0,47.0,52.0,37.0,85.0,79.0,74.0,110.0,94.0,89.0
allB,3.0,2.0,4.0,9.0,8.0,15.0,53.0,52.0,66.0,95.0,106.0,82.0,126.0,135.0,149.0
allC,9.0,9.0,0.0,15.0,16.0,21.0,75.0,103.0,72.0,137.0,147.0,141.0,185.0,198.0,232.0
allD,1.0,0.0,1.0,4.0,3.0,3.0,31.0,21.0,19.0,39.0,28.0,35.0,50.0,40.0,49.0
allR,16.0,21.0,14.0,46.0,52.0,39.0,130.0,139.0,126.0,208.0,218.0,206.0,235.0,227.0,265.0
alr,0.0,5.0,4.0,40.0,30.0,39.0,80.0,100.0,75.0,91.0,90.0,91.0,127.0,128.0,117.0
alsA,1.0,1.0,2.0,10.0,10.0,8.0,78.0,66.0,82.0,131.0,147.0,126.0,197.0,193.0,177.0
alsB,4.0,8.0,3.0,17.0,20.0,20.0,139.0,129.0,128.0,246.0,237.0,247.0,298.0,318.0,331.0
alsC,2.0,1.0,0.0,2.0,3.0,1.0,15.0,21.0,18.0,25.0,29.0,24.0,47.0,54.0,40.0
alsE,0.0,0.0,1.0,3.0,1.0,4.0,11.0,11.0,13.0,31.0,24.0,27.0,35.0,39.0,37.0
alsK,0.0,3.0,1.0,4.0,4.0,3.0,15.0,17.0,24.0,29.0,39.0,24.0,47.0,48.0,46.0
alx,0.0,1.0,0.0,5.0,3.0,3.0,23.0,18.0,26.0,31.0,39.0,27.0,59.0,46.0,36.0
amiA,27.0,25.0,21.0,66.0,52.0,49.0,229.0,232.0,251.0,300.0,350.0,299.0,491.0,506.0,490.0
amiB,19.0,14.0,28.0,78.0,68.0,72.0,203.0,164.0,158.0,222.0,254.0,229.0,245.0,233.0,227.0
amiC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0
amn,3.0,8.0,5.0,11.0,9.0,7.0,42.0,50.0,49.0,88.0,98.0,101.0,130.0,122.0,120.0
ampC,2.0,4.0,0.0,6.0,8.0,9.0,35.0,45.0,43.0,80.0,67.0,90.0,123.0,111.0,124.0
ampD,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0
ampE,9.0,6.0,9.0,37.0,25.0,24.0,178.0,143.0,149.0,303.0,339.0,297.0,358.0,396.0,341.0
ampG,11.0,6.0,15.0,19.0,5.0,7.0,73.0,76.0,85.0,148.0,132.0,153.0,171.0,198.0,198.0
ampH,2.0,4.0,2.0,5.0,2.0,6.0,34.0,22.0,14.0,41.0,51.0,53.0,68.0,70.0,59.0
ampR,5652.0,5666.0,5846.0,7355.0,6865.0,6595.0,13972.0,13724.0,14384.0,12984.0,12544.0,13118.0,6815.0,7080.0,7033.0
amyA,50.0,49.0,63.0,47.0,42.0,55.0,96.0,108.0,79.0,141.0,122.0,144.0,201.0,184.0,199.0
anmK,1.0,0.0,2.0,2.0,4.0,4.0,20.0,27.0,19.0,19.0,29.0,30.0,41.0,45.0,48.0
ansA,10.0,9.0,18.0,14.0,14.0,14.0,58.0,65.0,58.0,87.0,91.0,87.0,147.0,139.0,131.0
ansB,0.0,3.0,2.0,22.0,23.0,33.0,85.0,100.0,105.0,120.0,122.0,137.0,185.0,183.0,201.0
ansP,0.0,0.0,0.0,21.0,16.0,13.0,38.0,24.0,27.0,53.0,52.0,69.0,79.0,72.0,54.0
apaG,5.0,4.0,7.0,6.0,2.0,5.0,26.0,28.0,28.0,64.0,53.0,60.0,75.0,76.0,60.0
apaH,2.0,5.0,4.0,4.0,3.0,3.0,32.0,38.0,29.0,54.0,55.0,42.0,68.0,65.0,72.0
aphA,149.0,148.0,149.0,23.0,21.0,15.0,130.0,127.0,123.0,168.0,151.0,156.0,281.0,270.0,286.0
appA,4.0,3.0,8.0,18.0,16.0,17.0,85.0,76.0,71.0,140.0,156.0,160.0,221.0,216.0,186.0
appB,1.0,2.0,1.0,5.0,1.0,2.0,31.0,20.0,20.0,51.0,58.0,42.0,41.0,51.0,64.0
appC,2.0,0.0,0.0,7.0,4.0,6.0,44.0,35.0,41.0,70.0,81.0,56.0,74.0,89.0,89.0
appY,0.0,0.0,0.0,2.0,0.0,2.0,10.0,6.0,15.0,20.0,14.0,18.0,41.0,30.0,27.0
apt,0.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,5.0,5.0,1.0,1.0,6.0,3.0,6.0
aqpZ,0.0,0.0,0.0,3.0,7.0,2.0,21.0,19.0,16.0,36.0,40.0,31.0,45.0,42.0,42.0
araB,0.0,0.0,0.0,0.0,0.0,2.0,5.0,13.0,3.0,13.0,11.0,10.0,16.0,23.0,18.0
araD,0.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,3.0,9.0,11.0,12.0,8.0,11.0,11.0
araF,21.0,16.0,22.0,11.0,17.0,17.0,82.0,77.0,84.0,159.0,133.0,145.0,217.0,220.0,201.0
araG,9.0,7.0,7.0,11.0,9.0,27.0,123.0,85.0,90.0,157.0,163.0,185.0,263.0,264.0,276.0
araH,0.0,1.0,3.0,0.0,3.0,1.0,7.0,8.0,10.0,19.0,14.0,23.0,37.0,26.0,36.0
araJ,0.0,1.0,1.0,9.0,6.0,4.0,46.0,50.0,45.0,86.0,91.0,90.0,130.0,116.0,107.0
arcA,43.0,50.0,39.0,46.0,54.0,62.0,82.0,91.0,98.0,91.0,90.0,105.0,129.0,135.0,142.0
arcB,10.0,7.0,18.0,13.0,13.0,21.0,106.0,113.0,101.0,151.0,185.0,165.0,230.0,211.0,183.0
argA,3.0,0.0,5.0,19.0,10.0,23.0,86.0,102.0,109.0,162.0,161.0,155.0,207.0,218.0,207.0
argB,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,3.0,7.0,2.0
argC,6.0,1.0,1.0,9.0,7.0,13.0,39.0,33.0,50.0,55.0,81.0,58.0,110.0,105.0,81.0
argD,15.0,21.0,16.0,43.0,57.0,36.0,185.0,168.0,192.0,336.0,327.0,315.0,401.0,407.0,395.0
argE,3.0,5.0,1.0,7.0,11.0,3.0,65.0,47.0,40.0,101.0,110.0,117.0,136.0,122.0,113.0
argF,0.0,0.0,1.0,5.0,2.0,1.0,6.0,4.0,9.0,12.0,12.0,6.0,20.0,15.0,9.0
argG,11.0,9.0,16.0,17.0,24.0,34.0,101.0,103.0,115.0,193.0,188.0,204.0,260.0,233.0,253.0
argH,4.0,2.0,6.0,8.0,8.0,8.0,33.0,23.0,24.0,48.0,53.0,31.0,79.0,79.0,93.0
argI,0.0,5.0,1.0,9.0,8.0,8.0,27.0,47.0,40.0,81.0,81.0,58.0,111.0,84.0,118.0
argK,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0
argO,1.0,0.0,1.0,15.0,8.0,9.0,39.0,37.0,34.0,89.0,99.0,79.0,86.0,96.0,80.0
argR,19.0,18.0,14.0,42.0,43.0,40.0,102.0,101.0,94.0,156.0,147.0,125.0,217.0,208.0,190.0
argS,9.0,7.0,18.0,31.0,23.0,30.0,65.0,72.0,77.0,115.0,137.0,127.0,116.0,144.0,150.0
argT,17.0,10.0,9.0,9.0,2.0,0.0,11.0,11.0,20.0,32.0,33.0,23.0,36.0,45.0,24.0
arnA,2.0,6.0,3.0,10.0,10.0,22.0,67.0,82.0,80.0,125.0,154.0,140.0,173.0,198.0,188.0
arnB,2.0,0.0,4.0,10.0,9.0,11.0,55.0,41.0,39.0,96.0,72.0,78.0,108.0,119.0,109.0
arnC,2.0,0.0,1.0,11.0,5.0,3.0,35.0,45.0,27.0,79.0,75.0,83.0,108.0,116.0,97.0
arnT,4.0,0.0,11.0,24.0,24.0,29.0,140.0,167.0,154.0,269.0,329.0,303.0,371.0,376.0,380.0
aroA,14.0,15.0,8.0,30.0,21.0,24.0,144.0,132.0,121.0,219.0,252.0,236.0,304.0,313.0,336.0
aroB,12.0,8.0,7.0,6.0,7.0,7.0,7.0,9.0,10.0,20.0,14.0,15.0,17.0,14.0,20.0
aroC,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,7.0,1.0,1.0
aroD,6.0,3.0,6.0,11.0,13.0,7.0,52.0,46.0,66.0,103.0,98.0,90.0,132.0,122.0,118.0
aroE,5.0,7.0,13.0,14.0,14.0,13.0,57.0,47.0,50.0,74.0,107.0,110.0,121.0,130.0,126.0
aroF,6.0,7.0,9.0,87.0,64.0,80.0,128.0,148.0,174.0,106.0,107.0,125.0,103.0,118.0,128.0
aroG,19.0,11.0,14.0,8.0,14.0,13.0,41.0,35.0,40.0,50.0,73.0,59.0,95.0,95.0,99.0
aroH,30.0,21.0,27.0,17.0,31.0,28.0,73.0,82.0,79.0,101.0,120.0,119.0,181.0,166.0,176.0
aroK,53.0,54.0,45.0,66.0,60.0,54.0,119.0,128.0,107.0,120.0,122.0,131.0,150.0,143.0,152.0
aroM,15.0,13.0,12.0,83.0,95.0,95.0,270.0,252.0,256.0,308.0,348.0,364.0,464.0,434.0,460.0
aroP,16.0,15.0,27.0,30.0,35.0,22.0,128.0,136.0,125.0,209.0,212.0,235.0,276.0,290.0,280.0
arpA,1.0,0.0,1.0,8.0,14.0,11.0,52.0,75.0,73.0,108.0,127.0,88.0,153.0,174.0,180.0
arpB,1.0,2.0,10.0,12.0,25.0,18.0,136.0,106.0,137.0,190.0,220.0,211.0,249.0,294.0,319.0
arsB,1.0,1.0,1.0,0.0,3.0,8.0,27.0,23.0,25.0,48.0,39.0,51.0,42.0,56.0,49.0
arsC,0.0,0.0,0.0,2.0,2.0,2.0,12.0,10.0,7.0,12.0,18.0,16.0,20.0,17.0,14.0
artI,51.0,47.0,51.0,21.0,22.0,26.0,109.0,103.0,104.0,131.0,155.0,128.0,204.0,228.0,210.0
artJ,1.0,9.0,3.0,9.0,5.0,5.0,45.0,62.0,58.0,88.0,101.0,93.0,127.0,131.0,126.0
artM,8.0,10.0,3.0,3.0,6.0,10.0,35.0,41.0,34.0,42.0,65.0,75.0,92.0,92.0,102.0
artQ,7.0,8.0,10.0,3.0,4.0,5.0,27.0,25.0,23.0,33.0,52.0,35.0,54.0,59.0,62.0
ascB,4.0,5.0,0.0,11.0,15.0,23.0,94.0,103.0,87.0,171.0,187.0,151.0,212.0,225.0,212.0
ascF,0.0,0.0,0.0,6.0,5.0,5.0,14.0,26.0,21.0,44.0,45.0,51.0,48.0,44.0,62.0
ascG,8.0,3.0,2.0,8.0,6.0,7.0,26.0,26.0,39.0,46.0,41.0,46.0,77.0,75.0,67.0
asd,18.0,41.0,24.0,12.0,13.0,15.0,73.0,72.0,66.0,141.0,126.0,133.0,169.0,191.0,227.0
aslA,0.0,1.0,0.0,26.0,21.0,15.0,90.0,76.0,81.0,113.0,123.0,121.0,175.0,192.0,151.0
aslB,3.0,4.0,2.0,16.0,17.0,16.0,44.0,61.0,77.0,74.0,97.0,86.0,119.0,119.0,124.0
asmA,10.0,14.0,14.0,28.0,29.0,29.0,139.0,124.0,118.0,180.0,192.0,171.0,250.0,271.0,275.0
asnA,9.0,10.0,9.0,1.0,2.0,1.0,9.0,3.0,2.0,11.0,17.0,9.0,8.0,16.0,13.0
asnB,15.0,8.0,16.0,10.0,15.0,4.0,50.0,42.0,48.0,102.0,105.0,89.0,136.0,126.0,120.0
asnC,0.0,0.0,0.0,0.0,1.0,1.0,2.0,8.0,6.0,13.0,11.0,9.0,10.0,12.0,17.0
asnS,5.0,4.0,3.0,1.0,5.0,0.0,4.0,2.0,1.0,1.0,2.0,3.0,10.0,3.0,4.0
aspA,318.0,301.0,346.0,23.0,23.0,35.0,91.0,82.0,108.0,175.0,165.0,170.0,233.0,205.0,255.0
aspC,112.0,103.0,108.0,45.0,42.0,34.0,80.0,73.0,68.0,102.0,117.0,112.0,143.0,124.0,122.0
aspS,29.0,30.0,34.0,57.0,67.0,62.0,128.0,138.0,98.0,102.0,104.0,105.0,100.0,103.0,98.0
aspv,18055.0,18433.0,19169.0,13489.0,13206.0,12928.0,18769.0,18388.0,18475.0,12852.0,12009.0,11965.0,12487.0,11661.0,11139.0
asr,0.0,0.0,1.0,0.0,0.0,2.0,3.0,5.0,1.0,7.0,5.0,2.0,9.0,8.0,9.0
astA,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,3.0,7.0,2.0,3.0,5.0,2.0
astB,14.0,12.0,0.0,12.0,8.0,7.0,36.0,45.0,36.0,71.0,80.0,84.0,97.0,106.0,90.0
astC,3.0,6.0,3.0,2.0,1.0,1.0,12.0,6.0,9.0,22.0,16.0,18.0,20.0,22.0,18.0
astD,3.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,3.0,6.0,6.0
astE,2.0,2.0,0.0,2.0,0.0,6.0,41.0,31.0,24.0,66.0,52.0,64.0,89.0,102.0,87.0
atoA,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,19.0,9.0,15.0,22.0,12.0,14.0
atoB,0.0,3.0,0.0,9.0,18.0,8.0,78.0,71.0,95.0,166.0,148.0,124.0,206.0,189.0,201.0
atoC,7.0,5.0,3.0,19.0,20.0,11.0,82.0,87.0,90.0,159.0,166.0,140.0,204.0,207.0,216.0
atoE,1.0,1.0,1.0,9.0,7.0,7.0,45.0,50.0,36.0,72.0,71.0,80.0,123.0,92.0,115.0
atoS,4.0,5.0,3.0,11.0,10.0,17.0,104.0,80.0,92.0,148.0,167.0,165.0,208.0,240.0,259.0
atpA,421.0,420.0,486.0,343.0,247.0,259.0,470.0,509.0,524.0,525.0,554.0,504.0,480.0,487.0,497.0
atpB,7.0,2.0,2.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,3.0
atpC,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0
atpD,36.0,39.0,30.0,7.0,11.0,11.0,18.0,21.0,19.0,9.0,9.0,10.0,11.0,13.0,12.0
atpE,36.0,25.0,28.0,11.0,10.0,11.0,25.0,23.0,20.0,25.0,19.0,29.0,17.0,17.0,11.0
atpG,62.0,73.0,77.0,50.0,47.0,44.0,67.0,77.0,92.0,73.0,82.0,59.0,86.0,77.0,74.0
atpH,275.0,264.0,275.0,179.0,170.0,182.0,290.0,341.0,321.0,340.0,308.0,325.0,356.0,361.0,395.0
avtA,18.0,9.0,10.0,3.0,19.0,4.0,22.0,30.0,30.0,38.0,46.0,46.0,66.0,67.0,48.0
azoR,2.0,5.0,4.0,4.0,1.0,4.0,17.0,12.0,15.0,43.0,35.0,27.0,39.0,44.0,40.0
baeS,5.0,5.0,6.0,9.0,6.0,9.0,61.0,68.0,63.0,108.0,129.0,132.0,175.0,195.0,174.0
barA,20.0,14.0,17.0,20.0,12.0,25.0,113.0,115.0,122.0,205.0,223.0,207.0,279.0,297.0,304.0
basR,13.0,1.0,15.0,6.0,6.0,7.0,43.0,33.0,39.0,87.0,91.0,80.0,119.0,139.0,114.0
basS,2.0,3.0,0.0,6.0,7.0,6.0,30.0,56.0,45.0,102.0,94.0,91.0,126.0,123.0,135.0
bax,136.0,120.0,107.0,115.0,126.0,92.0,277.0,290.0,280.0,379.0,396.0,382.0,458.0,491.0,490.0
bcp,20.0,15.0,21.0,13.0,16.0,15.0,32.0,44.0,31.0,63.0,76.0,53.0,85.0,90.0,108.0
bcr,5.0,1.0,0.0,0.0,2.0,6.0,9.0,13.0,13.0,15.0,12.0,19.0,37.0,32.0,25.0
bcsB,1.0,2.0,0.0,2.0,5.0,6.0,36.0,23.0,37.0,58.0,44.0,39.0,76.0,67.0,61.0
bcsC,0.0,1.0,0.0,3.0,3.0,2.0,17.0,16.0,11.0,20.0,27.0,25.0,26.0,36.0,34.0
bcsE,4.0,10.0,2.0,7.0,10.0,3.0,31.0,34.0,40.0,64.0,53.0,49.0,73.0,58.0,85.0
bcsF,0.0,1.0,0.0,4.0,1.0,1.0,10.0,9.0,15.0,31.0,29.0,32.0,34.0,39.0,47.0
