,EXP_A,EXP_B,EXP_C,VAPC_T2_A,VAPC_T2_B,VAPC_T2_C,VAPC_T5_A,VAPC_T5_B,VAPC_T5_C,VAPC_T5B_A,VAPC_T5B_B,VAPC_T5B_C,VAPC_TON_A,VAPC_TON_B,VAPC_TON_C
sufE,1.0,1.0,1.0,0.0,1.0,0.0,17.0,10.0,13.0,10.0,16.0,17.0,26.0,36.0,26.0
sufI,0.0,0.0,2.0,2.0,0.0,3.0,0.0,4.0,2.0,7.0,2.0,9.0,4.0,6.0,9.0
sufS,6.0,5.0,5.0,15.0,13.0,18.0,96.0,106.0,97.0,179.0,184.0,181.0,267.0,272.0,271.0
suhB,77.0,67.0,82.0,239.0,226.0,237.0,457.0,449.0,439.0,540.0,521.0,528.0,607.0,666.0,564.0
sulA,23.0,24.0,21.0,120.0,100.0,150.0,193.0,194.0,178.0,239.0,241.0,281.0,300.0,274.0,321.0
surA,38.0,39.0,43.0,26.0,26.0,15.0,59.0,52.0,58.0,84.0,82.0,89.0,128.0,105.0,106.0
surE,0.0,0.0,1.0,3.0,1.0,1.0,7.0,5.0,4.0,4.0,7.0,5.0,9.0,10.0,15.0
sxy,0.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0
syd,7.0,14.0,9.0,19.0,20.0,14.0,96.0,115.0,94.0,148.0,154.0,139.0,223.0,230.0,236.0
tadA,0.0,1.0,1.0,1.0,1.0,0.0,3.0,5.0,0.0,5.0,9.0,1.0,9.0,4.0,4.0
tag,4.0,2.0,9.0,17.0,17.0,17.0,93.0,105.0,86.0,199.0,183.0,173.0,233.0,248.0,248.0
talA,1.0,3.0,0.0,7.0,8.0,7.0,66.0,54.0,76.0,127.0,104.0,101.0,169.0,165.0,154.0
talB,109.0,101.0,107.0,32.0,28.0,35.0,86.0,81.0,59.0,71.0,68.0,86.0,104.0,83.0,100.0
tap,97.0,91.0,76.0,21.0,24.0,25.0,21.0,31.0,28.0,29.0,29.0,34.0,33.0,30.0,42.0
tar,321.0,311.0,319.0,119.0,118.0,122.0,130.0,155.0,159.0,168.0,176.0,163.0,213.0,213.0,193.0
tas,6.0,15.0,3.0,3.0,6.0,2.0,17.0,16.0,23.0,36.0,26.0,38.0,45.0,44.0,51.0
tatA,30.0,42.0,31.0,32.0,27.0,30.0,55.0,46.0,64.0,53.0,60.0,58.0,59.0,70.0,63.0
tatB,5.0,3.0,5.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,1.0,3.0,6.0,6.0
tatC,5.0,2.0,8.0,7.0,10.0,8.0,24.0,31.0,25.0,17.0,21.0,24.0,37.0,22.0,36.0
tatD,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0
tatE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0
tauA,0.0,3.0,0.0,1.0,6.0,4.0,13.0,9.0,17.0,21.0,24.0,15.0,33.0,32.0,35.0
tauC,1.0,3.0,3.0,4.0,11.0,12.0,54.0,46.0,29.0,85.0,100.0,75.0,106.0,103.0,121.0
tauD,3.0,0.0,5.0,6.0,11.0,11.0,57.0,43.0,52.0,100.0,89.0,108.0,165.0,130.0,148.0
tbpA,0.0,2.0,0.0,11.0,9.0,5.0,33.0,20.0,37.0,57.0,40.0,39.0,54.0,61.0,58.0
tdcA,8.0,3.0,6.0,9.0,10.0,8.0,44.0,57.0,61.0,117.0,94.0,100.0,137.0,146.0,139.0
tdcB,5.0,2.0,4.0,12.0,24.0,13.0,74.0,89.0,84.0,129.0,134.0,125.0,192.0,191.0,185.0
tdcC,7.0,4.0,6.0,8.0,9.0,6.0,42.0,50.0,57.0,76.0,90.0,78.0,109.0,100.0,109.0
tdcD,2.0,0.0,0.0,6.0,0.0,2.0,21.0,17.0,14.0,41.0,39.0,28.0,53.0,55.0,55.0
tdcE,3.0,6.0,5.0,18.0,11.0,11.0,93.0,97.0,110.0,175.0,178.0,155.0,222.0,234.0,246.0
tdcF,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,2.0,1.0
