,EXP_A,EXP_B,EXP_C
yhgG,0.0,0.0,1.0
yhgN,0.0,0.0,0.0
yhhA,0.0,0.0,0.0
yhhF,3.0,3.0,1.0
yhhH,0.0,0.0,0.0
yhhI,2.0,1.0,4.0
yhhJ,3.0,8.0,2.0
yhhL,1.0,1.0,1.0
yhhM,0.0,0.0,0.0
yhhN,0.0,0.0,1.0
yhhQ,3.0,3.0,0.0
yhhS,4.0,1.0,1.0
yhhT,2.0,1.0,3.0
yhhW,2.0,0.0,1.0
yhhX,4.0,13.0,15.0
yhhY,3.0,0.0,1.0
yhhZ,0.0,2.0,2.0
yhiD,10.0,6.0,4.0
yhiF,0.0,5.0,3.0
yhiJ,5.0,1.0,3.0
yhiL,4.0,14.0,7.0
yhiM,1.0,0.0,1.0
yhiP,0.0,2.0,6.0
yhiR,1.0,0.0,0.0
yhiS,3.0,0.0,1.0
yhjA,2.0,6.0,4.0
yhjB,3.0,8.0,2.0
yhjC,0.0,0.0,0.0
yhjD,0.0,0.0,0.0
yhjE,1.0,0.0,4.0
yhjG,74.0,67.0,81.0
yhjH,24.0,18.0,20.0
yhjJ,17.0,15.0,14.0
yhjK,16.0,13.0,13.0
yhjQ,1.0,1.0,4.0
yhjR,15.0,18.0,8.0
yhjV,0.0,3.0,1.0
yhjX,0.0,0.0,1.0
yhjY,3.0,6.0,1.0
yiaA,3.0,3.0,5.0
yiaB,3.0,2.0,1.0
yiaC,0.0,0.0,0.0
yiaD,1.0,4.0,5.0
yiaF,15.0,13.0,18.0
yiaG,5.0,0.0,0.0
yiaH,0.0,1.0,0.0
yiaJ,0.0,1.0,0.0
yiaK,1.0,0.0,1.0
yiaL,7.0,2.0,1.0
yiaN,0.0,0.0,3.0
yiaO,0.0,1.0,1.0
yiaT,4.0,14.0,4.0
yiaU,1.0,1.0,2.0
yiaV,0.0,0.0,0.0
yiaW,2.0,4.0,0.0
yiaY,6.0,6.0,3.0
yibA,2.0,0.0,0.0
yibD,0.0,7.0,4.0
yibF,1.0,7.0,0.0
yibG,2.0,0.0,2.0
yibH,1.0,3.0,9.0
yibI,0.0,0.0,0.0
yibJ,0.0,0.0,1.0
yibK,3.0,0.0,0.0
yibL,0.0,1.0,1.0
yibN,45.0,49.0,46.0
yibQ,5.0,7.0,7.0
yibT,0.0,0.0,0.0
yicC,3.0,5.0,10.0
yicE,0.0,0.0,0.0
yicG,2.0,2.0,0.0
yicH,7.0,2.0,4.0
yicI,2.0,5.0,7.0
yicJ,8.0,6.0,7.0
yicL,9.0,1.0,0.0
yicN,5.0,5.0,4.0
yicO,3.0,1.0,5.0
yicR,10.0,0.0,4.0
yicS,0.0,0.0,1.0
yidA,8.0,5.0,3.0
yidC,36.0,28.0,33.0
yidD,0.0,1.0,0.0
yidE,3.0,0.0,4.0
yidF,1.0,1.0,1.0
yidH,2.0,2.0,1.0
yidI,1.0,0.0,0.0
yidJ,7.0,1.0,3.0
yidK,6.0,6.0,19.0
yidL,5.0,3.0,5.0
yidP,0.0,2.0,0.0
yidQ,4.0,2.0,1.0
yidR,3.0,15.0,2.0
yidX,0.0,2.0,0.0
yidZ,0.0,0.0,1.0
yieE,1.0,0.0,0.0
yieF,1.0,1.0,1.0
yieG,0.0,1.0,0.0
yieH,8.0,16.0,5.0
yieI,2.0,3.0,1.0
yieK,2.0,6.0,5.0
yieL,3.0,1.0,8.0
yieP,5.0,6.0,10.0
yifB,7.0,1.0,1.0
yifE,0.0,3.0,3.0
yifK,11.0,22.0,22.0
yifL,2.0,0.0,0.0
yifN,0.0,0.0,0.0
yifO,1.0,1.0,2.0
yigA,34.0,30.0,35.0
yigB,0.0,0.0,0.0
yigE,0.0,3.0,4.0
yigF,0.0,1.0,0.0
yigG,1.0,3.0,3.0
yigI,6.0,9.0,8.0
yigL,9.0,4.0,9.0
yigM,0.0,0.0,0.0
yigP,0.0,1.0,0.0
yigZ,17.0,10.0,5.0
yihA,5.0,7.0,2.0
yihE,38.0,17.0,24.0
yihF,0.0,4.0,4.0
yihG,2.0,2.0,5.0
yihI,21.0,13.0,22.0
yihL,2.0,0.0,1.0
yihM,5.0,6.0,9.0
yihN,5.0,2.0,7.0
yihO,1.0,3.0,0.0
yihP,1.0,1.0,0.0
yihQ,0.0,0.0,1.0
yihR,0.0,1.0,2.0
yihS,5.0,3.0,3.0
yihT,1.0,1.0,0.0
yihU,3.0,0.0,1.0
yihV,3.0,0.0,0.0
yihW,6.0,48.0,5.0
yihX,3.0,6.0,6.0
yiiD,17.0,36.0,15.0
yiiF,2.0,4.0,5.0
yiiG,2.0,11.0,4.0
yiiQ,0.0,0.0,1.0
yiiR,5.0,1.0,1.0
yiiS,2.0,4.0,3.0
yiiT,1.0,2.0,7.0
yiiU,19.0,16.0,19.0
yiiX,0.0,0.0,2.0
yijD,16.0,9.0,8.0
yijE,2.0,0.0,8.0
yijF,0.0,0.0,0.0
yijO,4.0,0.0,0.0
yijP,8.0,14.0,10.0
yjaA,1.0,0.0,3.0
yjaB,0.0,0.0,0.0
yjaG,6.0,10.0,11.0
yjaH,0.0,0.0,0.0
yjbB,2.0,2.0,3.0
yjbD,0.0,1.0,2.0
yjbF,3.0,0.0,1.0
yjbG,0.0,0.0,1.0
yjbH,9.0,6.0,2.0
yjbI,0.0,7.0,5.0
yjbJ,1.0,5.0,6.0
yjbM,2.0,2.0,9.0
yjbQ,8.0,7.0,10.0
yjbR,0.0,0.0,0.0
yjcB,0.0,0.0,7.0
yjcC,10.0,6.0,4.0
yjcD,8.0,15.0,16.0
yjcE,4.0,0.0,0.0
yjcF,0.0,2.0,4.0
yjcH,32.0,30.0,35.0
yjcO,21.0,15.0,27.0
yjcP,4.0,1.0,5.0
yjcQ,1.0,1.0,6.0
yjcR,0.0,0.0,0.0
yjcS,2.0,3.0,1.0
yjcZ,0.0,0.0,0.0
yjdA,12.0,13.0,6.0
yjdC,2.0,3.0,5.0
yjdI,0.0,0.0,1.0
yjdJ,3.0,3.0,2.0
yjdK,0.0,2.0,0.0
yjdL,0.0,2.0,3.0
yjdO,0.0,1.0,0.0
yjdP,2.0,2.0,1.0
yjeE,7.0,3.0,5.0
yjeF,3.0,6.0,1.0
yjeI,0.0,0.0,0.0
yjeJ,2.0,0.0,1.0
yjeK,4.0,7.0,6.0
yjeM,9.0,7.0,6.0
yjeO,1.0,0.0,1.0
yjeP,7.0,8.0,3.0
yjeS,0.0,5.0,0.0
yjeT,0.0,0.0,0.0
yjfC,0.0,0.0,0.0
yjfF,2.0,1.0,3.0
yjfI,4.0,12.0,5.0
yjfJ,8.0,3.0,3.0
yjfK,2.0,14.0,1.0
yjfL,0.0,0.0,0.0
yjfM,2.0,3.0,1.0
yjfO,2.0,1.0,7.0
yjfP,0.0,3.0,1.0
yjfY,0.0,1.0,0.0
yjfZ,2.0,1.0,5.0
yjgA,12.0,11.0,16.0
yjgB,1.0,5.0,4.0
yjgF,89.0,81.0,78.0
yjgH,0.0,0.0,0.0
yjgI,1.0,0.0,0.0
yjgJ,5.0,4.0,1.0
yjgK,11.0,17.0,8.0
yjgL,6.0,3.0,0.0
yjgM,4.0,6.0,6.0
yjgN,8.0,13.0,7.0
yjgP,22.0,23.0,20.0
yjgQ,13.0,13.0,17.0
yjgR,3.0,5.0,8.0
yjgW,0.0,0.0,2.0
yjgX,1.0,1.0,3.0
yjgZ,0.0,0.0,0.0
yjhA,1.0,3.0,3.0
yjhB,10.0,13.0,2.0
yjhC,27.0,11.0,16.0
yjhD,1.0,2.0,2.0
yjhE,0.0,0.0,0.0
yjhF,1.0,0.0,4.0
yjhG,1.0,11.0,8.0
yjhH,1.0,0.0,0.0
yjhI,14.0,5.0,9.0
yjhP,0.0,0.0,0.0
yjhR,2.0,4.0,6.0
yjhS,0.0,1.0,1.0
yjhT,0.0,0.0,0.0
yjhU,2.0,6.0,3.0
yjhV,4.0,5.0,6.0
yjhW,1.0,0.0,1.0
yjhX,7.0,0.0,4.0
yjiA,27.0,17.0,23.0
yjiC,2.0,3.0,1.0
yjiD,0.0,0.0,0.0
yjiE,0.0,0.0,0.0
yjiG,0.0,0.0,6.0
yjiK,1.0,7.0,2.0
yjiM,0.0,4.0,2.0
yjiN,1.0,2.0,2.0
yjiO,0.0,1.0,1.0
yjiP,5.0,12.0,21.0
yjiR,0.0,2.0,1.0
yjiS,0.0,1.0,0.0
yjiT,13.0,16.0,8.0
yjiV,4.0,17.0,12.0
yjiY,1.0,0.0,0.0
yjiZ,0.0,4.0,0.0
yjjB,1.0,0.0,3.0
yjjG,4.0,14.0,3.0
yjjI,2.0,4.0,1.0
yjjK,79.0,92.0,86.0
yjjM,6.0,7.0,15.0
yjjN,3.0,9.0,4.0
yjjP,3.0,3.0,3.0
yjjQ,22.0,6.0,10.0
yjjU,3.0,0.0,1.0
yjjV,2.0,2.0,4.0
yjjX,0.0,0.0,0.0
yjjY,0.0,0.0,0.0
yjjZ,2.0,1.0,7.0
yjtD,1.0,6.0,5.0
ykfA,13.0,2.0,5.0
ykfB,4.0,8.0,4.0
ykfC,1.0,3.0,2.0
ykfF,0.0,0.0,1.0
ykfG,0.0,0.0,0.0
ykgA,0.0,0.0,11.0
ykgB,5.0,5.0,1.0
ykgC,0.0,0.0,3.0
ykgD,2.0,1.0,5.0
ykgE,5.0,2.0,2.0
ykgF,2.0,8.0,2.0
ykgG,2.0,2.0,1.0
ykgH,1.0,2.0,0.0
ykgI,1.0,0.0,2.0
ykgJ,1.0,1.0,0.0
ykgK,2.0,4.0,3.0
ykgL,0.0,1.0,3.0
ykgM,0.0,0.0,1.0
ykgN,12.0,9.0,9.0
ykgO,0.0,0.0,1.0
ykiA,0.0,0.0,0.0
ylaB,0.0,1.0,0.0
ylaC,8.0,7.0,3.0
ylbA,7.0,2.0,5.0
ylbE,0.0,0.0,0.0
ylbG,6.0,1.0,2.0
ylbH,6.0,4.0,1.0
yliA,17.0,18.0,14.0
yliB,39.0,28.0,35.0
yliC,0.0,3.0,1.0
yliD,10.0,6.0,9.0
yliE,1.0,2.0,5.0
yliF,3.0,2.0,2.0
yliG,1.0,1.0,1.0
yliI,2.0,2.0,1.0
yliJ,17.0,26.0,5.0
yliK,0.0,0.0,0.0
yliL,0.0,0.0,5.0
ymbA,1.0,5.0,12.0
ymcB,0.0,1.0,0.0
ymcC,0.0,0.0,0.0
ymcE,0.0,2.0,0.0
ymdA,3.0,3.0,3.0
ymdB,2.0,4.0,0.0
ymdC,4.0,12.0,4.0
ymdE,0.0,0.0,0.0
ymdF,1.0,0.0,0.0
ymfA,0.0,0.0,1.0
ymfD,3.0,4.0,4.0
ymfE,1.0,1.0,0.0
ymfG,1.0,5.0,3.0
ymfH,0.0,0.0,0.0
ymfI,6.0,13.0,20.0
ymfJ,0.0,0.0,0.0
ymfK,8.0,10.0,12.0
ymfL,1.0,0.0,0.0
ymfM,0.0,0.0,0.0
ymfN,0.0,0.0,0.0
ymfO,1.0,0.0,0.0
ymfP,0.0,0.0,1.0
ymfR,1.0,3.0,1.0
ymfS,4.0,1.0,4.0
ymgA,3.0,5.0,1.0
ymgB,1.0,1.0,0.0
ymgC,0.0,0.0,1.0
ymgD,0.0,0.0,0.0
ymgE,0.0,0.0,0.0
ymgF,0.0,0.0,0.0
ymgG,0.0,0.0,0.0
ymgH,3.0,2.0,0.0
ymiA,0.0,0.0,0.0
ymjA,15.0,8.0,10.0
ymjC,0.0,1.0,2.0
ynaA,8.0,4.0,3.0
ynaI,0.0,3.0,2.0
ynaJ,34.0,25.0,22.0
ynaK,0.0,0.0,0.0
ynbA,3.0,0.0,1.0
ynbB,3.0,1.0,0.0
ynbC,0.0,2.0,7.0
ynbD,5.0,4.0,4.0
ynbE,2.0,0.0,1.0
yncA,2.0,3.0,2.0
yncB,11.0,10.0,13.0
yncC,4.0,3.0,2.0
yncD,1.0,2.0,6.0
yncE,18.0,19.0,35.0
yncG,1.0,0.0,5.0
yncH,0.0,0.0,0.0
yncI,10.0,13.0,6.0
yncJ,1.0,0.0,0.0
yncK,6.0,0.0,1.0
yneE,1.0,2.0,5.0
yneF,2.0,0.0,1.0
yneG,1.0,0.0,0.0
yneH,10.0,3.0,1.0
yneI,0.0,0.0,0.0
yneJ,2.0,3.0,0.0
yneK,0.0,1.0,1.0
yneL,0.0,5.0,0.0
ynfA,1.0,0.0,1.0
ynfB,1.0,0.0,1.0
ynfC,11.0,15.0,8.0
ynfD,1.0,1.0,0.0
ynfE,2.0,2.0,6.0
ynfF,6.0,0.0,2.0
ynfG,0.0,0.0,0.0
ynfH,0.0,0.0,0.0
ynfK,0.0,0.0,0.0
ynfL,0.0,1.0,0.0
ynfM,0.0,0.0,0.0
ynfN,0.0,0.0,1.0
ynhG,3.0,3.0,2.0
yniA,1.0,0.0,5.0
yniB,14.0,15.0,3.0
yniC,2.0,1.0,2.0
yniD,0.0,0.0,0.0
ynjA,0.0,0.0,0.0
ynjC,3.0,0.0,1.0
ynjD,1.0,2.0,0.0
ynjE,1.0,0.0,1.0
ynjF,0.0,0.0,0.0
ynjH,17.0,17.0,11.0
ynjI,3.0,3.0,5.0
yoaB,0.0,0.0,0.0
yoaC,0.0,0.0,0.0
yoaD,2.0,4.0,2.0
yoaE,0.0,3.0,1.0
yoaG,6.0,2.0,1.0
yoaH,0.0,0.0,0.0
yoaI,0.0,0.0,0.0
yobA,2.0,3.0,4.0
yobB,0.0,1.0,0.0
yobD,9.0,8.0,8.0
yobF,66.0,38.0,62.0
yobG,2.0,4.0,4.0
yobH,14.0,7.0,15.0
yodA,1.0,1.0,2.0
yodB,2.0,2.0,2.0
yodD,1.0,7.0,2.0
yoeA,0.0,2.0,0.0
yoeB,1.0,1.0,0.0
yoeF,3.0,0.0,1.0
yohC,0.0,0.0,0.0
yohD,0.0,0.0,0.0
yohK,0.0,1.0,1.0
yohL,3.0,9.0,4.0
yohM,2.0,3.0,1.0
yohN,0.0,2.0,2.0
yojI,41.0,43.0,39.0
yojL,5.0,0.0,4.0
ypaA,6.0,6.0,2.0
ypdA,6.0,3.0,14.0
ypdB,6.0,6.0,6.0
ypdC,1.0,1.0,0.0
ypdD,3.0,3.0,0.0
ypdE,1.0,0.0,0.0
ypdF,0.0,0.0,1.0
ypdG,1.0,0.0,0.0
ypdH,4.0,1.0,0.0
ypdI,1.0,1.0,0.0
ypdJ,0.0,0.0,0.0
ypeA,13.0,16.0,7.0
ypeB,0.0,0.0,3.0
ypeC,0.0,1.0,0.0
ypfE,2.0,2.0,2.0
ypfG,1.0,0.0,3.0
ypfH,3.0,0.0,0.0
ypfI,2.0,2.0,0.0
ypfJ,7.0,7.0,2.0
ypfN,0.0,0.0,1.0
yphA,0.0,0.0,0.0
yphB,0.0,0.0,2.0
yphC,0.0,0.0,0.0
yphD,0.0,0.0,0.0
yphF,8.0,3.0,2.0
yphG,0.0,3.0,2.0
yphH,8.0,3.0,3.0
ypjA,6.0,5.0,3.0
ypjC,5.0,9.0,5.0
ypjD,10.0,4.0,9.0
ypjF,1.0,2.0,1.0
yqaA,1.0,2.0,2.0
yqaB,0.0,4.0,4.0
yqaE,2.0,1.0,1.0
yqcA,6.0,1.0,1.0
yqcC,0.0,0.0,1.0
yqcE,5.0,0.0,2.0
yqeA,6.0,3.0,9.0
yqeB,0.0,0.0,1.0
yqeC,1.0,0.0,0.0
yqeF,58.0,46.0,41.0
yqeG,5.0,3.0,1.0
yqeH,3.0,7.0,11.0
yqeI,2.0,3.0,0.0
yqeJ,0.0,0.0,1.0
yqeK,1.0,0.0,1.0
yqfA,8.0,5.0,2.0
yqfB,0.0,4.0,0.0
yqfE,1.0,0.0,0.0
yqgA,0.0,0.0,1.0
yqgB,0.0,1.0,3.0
yqgD,1.0,1.0,2.0
yqgE,0.0,1.0,0.0
yqgF,4.0,3.0,0.0
yqhA,43.0,28.0,37.0
yqhC,9.0,6.0,5.0
yqhG,1.0,0.0,1.0
yqiA,0.0,0.0,2.0
yqiB,21.0,11.0,12.0
yqiC,1.0,2.0,2.0
yqiG,2.0,0.0,0.0
yqiH,0.0,4.0,0.0
yqiI,0.0,0.0,3.0
yqiJ,2.0,4.0,2.0
yqiK,3.0,3.0,1.0
yqjA,0.0,1.0,0.0
yqjB,0.0,0.0,0.0
yqjC,2.0,6.0,6.0
yqjD,5.0,4.0,6.0
yqjG,2.0,3.0,0.0
yqjH,0.0,3.0,0.0
yqjI,0.0,0.0,0.0
yqjK,0.0,3.0,0.0
yraH,1.0,0.0,1.0
yraI,4.0,0.0,0.0
yraJ,2.0,2.0,0.0
yraK,3.0,7.0,0.0
yraL,0.0,0.0,0.0
yraM,2.0,2.0,3.0
yraN,3.0,2.0,1.0
yraP,9.0,5.0,13.0
yraQ,2.0,0.0,1.0
yraR,3.0,1.0,0.0
yrbA,4.0,0.0,2.0
yrbB,5.0,6.0,6.0
yrbC,3.0,1.0,1.0
yrbD,23.0,20.0,17.0
yrbF,0.0,0.0,0.0
yrbG,4.0,3.0,1.0
yrbK,24.0,26.0,33.0
yrbL,11.0,10.0,16.0
yrdA,3.0,10.0,10.0
yrdB,4.0,7.0,8.0
yrdC,8.0,17.0,4.0
yrdD,8.0,7.0,9.0
yrfB,0.0,1.0,0.0
yrfC,0.0,0.0,0.0
yrfD,2.0,0.0,0.0
yrfF,18.0,13.0,31.0
yrfG,5.0,3.0,4.0
yrhA,0.0,0.0,0.0
yrhB,0.0,3.0,2.0
yrhC,1.0,1.0,0.0
ysaB,2.0,2.0,0.0
ysgA,6.0,5.0,1.0
ytfA,8.0,1.0,5.0
ytfE,0.0,7.0,5.0
ytfG,3.0,1.0,1.0
ytfI,5.0,12.0,15.0
ytfJ,1.0,0.0,1.0
ytfK,6.0,14.0,11.0
ytfL,8.0,27.0,8.0
ytfM,22.0,8.0,19.0
ytfN,13.0,9.0,10.0
ytfP,0.0,1.0,1.0
ytfQ,16.0,12.0,10.0
ytfR,0.0,0.0,0.0
ytjB,0.0,0.0,0.0
ytjC,42.0,43.0,45.0
yzcX,3.0,7.0,7.0
yzfA,0.0,0.0,0.0
yzgL,1.0,10.0,1.0
zapA,122.0,93.0,105.0
zipA,145.0,144.0,149.0
zitB,5.0,1.0,2.0
zntA,1.0,1.0,1.0
zntR,2.0,8.0,9.0
znuA,23.0,31.0,17.0
znuB,3.0,4.0,0.0
znuC,4.0,3.0,11.0
zraP,2.0,0.0,1.0
zraR,0.0,0.0,1.0
zraS,0.0,1.0,6.0
zupT,1.0,6.0,9.0
zur,11.0,6.0,14.0
zwf,46.0,70.0,56.0
