,EXP_A,EXP_B,EXP_C
ydeT,4.0,0.0,0.0
ydeU,1.0,0.0,3.0
ydfA,0.0,0.0,0.0
ydfB,0.0,0.0,0.0
ydfC,0.0,0.0,1.0
ydfD,0.0,0.0,0.0
ydfE,2.0,5.0,4.0
ydfG,18.0,20.0,19.0
ydfH,1.0,9.0,0.0
ydfI,1.0,1.0,0.0
ydfJ,4.0,7.0,1.0
ydfK,5.0,13.0,23.0
ydfO,0.0,1.0,1.0
ydfP,1.0,2.0,1.0
ydfQ,0.0,0.0,0.0
ydfR,0.0,0.0,0.0
ydfT,2.0,0.0,3.0
ydfU,0.0,1.0,0.0
ydfV,0.0,0.0,0.0
ydfW,0.0,2.0,1.0
ydfX,0.0,0.0,0.0
ydfZ,0.0,0.0,0.0
ydgA,15.0,5.0,10.0
ydgC,0.0,2.0,3.0
ydgD,10.0,5.0,1.0
ydgH,16.0,13.0,13.0
ydgJ,2.0,5.0,3.0
ydgK,1.0,1.0,0.0
ydgT,0.0,0.0,0.0
ydhA,2.0,2.0,3.0
ydhB,0.0,8.0,4.0
ydhC,0.0,4.0,2.0
ydhF,2.0,7.0,8.0
ydhI,1.0,0.0,0.0
ydhJ,18.0,5.0,15.0
ydhK,1.0,4.0,1.0
ydhM,0.0,0.0,0.0
ydhO,9.0,7.0,18.0
ydhP,0.0,0.0,0.0
ydhQ,15.0,17.0,28.0
ydhR,5.0,2.0,4.0
ydhS,0.0,1.0,0.0
ydhT,0.0,0.0,0.0
ydhU,1.0,1.0,1.0
ydhV,1.0,1.0,0.0
ydhW,2.0,2.0,3.0
ydhX,0.0,0.0,2.0
ydhY,0.0,2.0,1.0
ydhZ,0.0,13.0,5.0
ydiA,5.0,14.0,11.0
ydiB,5.0,5.0,3.0
ydiF,0.0,2.0,0.0
ydiH,7.0,6.0,5.0
ydiI,35.0,36.0,48.0
ydiJ,14.0,18.0,22.0
ydiK,6.0,3.0,3.0
ydiL,0.0,0.0,1.0
ydiM,2.0,1.0,3.0
ydiN,1.0,4.0,6.0
ydiO,7.0,5.0,3.0
ydiP,7.0,3.0,2.0
ydiQ,5.0,1.0,3.0
ydiR,2.0,0.0,2.0
ydiS,1.0,1.0,1.0
ydiT,0.0,1.0,0.0
ydiU,6.0,7.0,11.0
ydiV,5.0,1.0,2.0
ydiY,21.0,7.0,7.0
ydiZ,2.0,1.0,1.0
ydjA,7.0,10.0,6.0
ydjE,10.0,5.0,1.0
ydjF,6.0,7.0,8.0
ydjG,6.0,5.0,2.0
ydjH,1.0,3.0,0.0
ydjI,6.0,5.0,6.0
ydjJ,1.0,4.0,1.0
ydjK,5.0,6.0,8.0
ydjL,3.0,3.0,3.0
ydjN,102.0,97.0,68.0
ydjO,3.0,3.0,1.0
ydjR,47.0,40.0,22.0
ydjX,0.0,2.0,0.0
ydjY,5.0,8.0,2.0
ydjZ,8.0,6.0,3.0
yeaB,0.0,0.0,0.0
yeaC,108.0,88.0,88.0
yeaD,82.0,59.0,54.0
yeaE,1.0,3.0,2.0
yeaG,11.0,11.0,13.0
yeaH,4.0,1.0,3.0
yeaI,0.0,0.0,0.0
yeaJ,1.0,1.0,3.0
yeaK,15.0,14.0,24.0
yeaL,0.0,0.0,1.0
yeaM,9.0,6.0,3.0
yeaN,0.0,0.0,1.0
yeaP,11.0,6.0,9.0
yeaQ,3.0,2.0,0.0
yeaR,5.0,3.0,0.0
yeaS,3.0,16.0,7.0
yeaT,11.0,3.0,8.0
yeaV,3.0,1.0,0.0
yeaW,0.0,0.0,0.0
yeaX,2.0,3.0,6.0
yeaY,15.0,22.0,25.0
yeaZ,0.0,0.0,0.0
yebA,30.0,29.0,18.0
yebB,1.0,1.0,0.0
yebC,26.0,28.0,21.0
yebE,0.0,0.0,0.0
yebF,1.0,5.0,1.0
yebG,4.0,24.0,13.0
yebK,12.0,29.0,23.0
yebN,0.0,4.0,5.0
yebO,10.0,4.0,2.0
yebQ,1.0,2.0,2.0
yebR,11.0,9.0,16.0
yebS,4.0,7.0,8.0
yebT,5.0,11.0,17.0
yebU,1.0,5.0,4.0
yebV,1.0,2.0,2.0
yebW,0.0,1.0,3.0
yebY,1.0,5.0,0.0
yebZ,0.0,0.0,0.0
yecA,0.0,0.0,1.0
yecC,19.0,11.0,5.0
yecD,3.0,10.0,7.0
yecF,0.0,1.0,1.0
yecG,6.0,6.0,5.0
yecH,0.0,1.0,0.0
yecI,33.0,20.0,28.0
yecJ,7.0,8.0,8.0
yecM,5.0,4.0,0.0
yecN,0.0,0.0,2.0
yecO,2.0,7.0,9.0
yecP,4.0,5.0,9.0
yecR,20.0,37.0,38.0
yecS,18.0,6.0,13.0
yecT,6.0,10.0,5.0
yedA,1.0,3.0,2.0
yedD,21.0,15.0,18.0
yedE,1.0,1.0,4.0
yedI,12.0,7.0,5.0
yedJ,2.0,0.0,2.0
yedK,1.0,0.0,0.0
yedL,1.0,0.0,0.0
yedM,0.0,2.0,6.0
yedN,0.0,1.0,3.0
yedP,2.0,0.0,0.0
yedQ,5.0,9.0,4.0
yedR,0.0,0.0,0.0
yedS,3.0,6.0,4.0
yedV,5.0,8.0,0.0
yedW,9.0,13.0,13.0
yedX,0.0,2.0,6.0
yedY,0.0,0.0,0.0
yedZ,2.0,1.0,0.0
yeeA,4.0,10.0,10.0
yeeD,18.0,15.0,16.0
yeeE,47.0,57.0,55.0
yeeF,16.0,23.0,28.0
yeeI,120.0,104.0,94.0
yeeJ,0.0,2.0,1.0
yeeL,5.0,1.0,7.0
yeeN,2.0,16.0,14.0
yeeO,0.0,1.0,3.0
yeeP,0.0,0.0,0.0
yeeR,6.0,0.0,1.0
yeeS,0.0,1.0,0.0
yeeV,1.0,0.0,0.0
yeeW,1.0,0.0,0.0
yeeX,10.0,12.0,7.0
yeeY,5.0,11.0,3.0
yeeZ,3.0,7.0,6.0
yefM,13.0,8.0,4.0
yegD,0.0,0.0,0.0
yegE,4.0,3.0,10.0
yegH,2.0,2.0,3.0
yegI,0.0,0.0,3.0
yegJ,3.0,3.0,2.0
yegK,1.0,2.0,1.0
yegL,1.0,4.0,6.0
yegP,0.0,1.0,0.0
yegQ,5.0,2.0,1.0
yegR,1.0,3.0,3.0
yegS,0.0,1.0,2.0
yegT,14.0,12.0,10.0
yegU,2.0,0.0,0.0
yegV,0.0,2.0,0.0
yegW,6.0,8.0,7.0
yegX,2.0,2.0,0.0
yegZ,1.0,3.0,0.0
yehA,4.0,1.0,5.0
yehB,0.0,2.0,1.0
yehC,2.0,0.0,8.0
yehD,4.0,2.0,3.0
yehE,1.0,2.0,0.0
yehI,1.0,2.0,0.0
yehK,0.0,0.0,0.0
yehL,0.0,0.0,0.0
yehM,1.0,0.0,0.0
yehP,0.0,1.0,1.0
yehQ,1.0,2.0,0.0
yehR,0.0,7.0,6.0
yehS,14.0,6.0,5.0
yehT,20.0,34.0,36.0
yehU,4.0,3.0,11.0
yehW,5.0,4.0,0.0
yehX,0.0,0.0,0.0
yehY,1.0,4.0,1.0
yehZ,1.0,8.0,7.0
yeiA,2.0,5.0,1.0
yeiB,0.0,0.0,0.0
yeiC,10.0,7.0,3.0
yeiE,0.0,0.0,1.0
yeiG,0.0,0.0,0.0
yeiH,1.0,5.0,2.0
yeiI,3.0,1.0,4.0
yeiJ,1.0,3.0,2.0
yeiL,3.0,0.0,2.0
yeiM,0.0,6.0,0.0
yeiN,6.0,2.0,5.0
yeiP,19.0,6.0,16.0
yeiQ,16.0,15.0,33.0
yeiR,0.0,0.0,0.0
yeiS,0.0,1.0,0.0
yeiT,4.0,3.0,4.0
yeiU,7.0,7.0,7.0
yejA,2.0,2.0,5.0
yejB,1.0,1.0,3.0
yejE,3.0,1.0,4.0
yejF,0.0,1.0,0.0
yejG,0.0,0.0,0.0
yejH,0.0,2.0,1.0
yejK,29.0,26.0,7.0
yejM,6.0,12.0,9.0
yejO,1.0,4.0,3.0
yfaA,7.0,2.0,2.0
yfaD,3.0,9.0,4.0
yfaH,1.0,2.0,0.0
yfaL,2.0,0.0,3.0
yfaP,0.0,4.0,2.0
yfaQ,0.0,2.0,0.0
yfaS,2.0,5.0,6.0
yfaT,3.0,0.0,4.0
yfaU,0.0,0.0,0.0
yfaV,0.0,2.0,3.0
yfaW,1.0,0.0,0.0
yfaX,2.0,0.0,2.0
yfaY,0.0,0.0,2.0
yfaZ,0.0,0.0,3.0
yfbB,1.0,2.0,1.0
yfbH,2.0,0.0,0.0
yfbJ,0.0,1.0,1.0
yfbK,3.0,4.0,7.0
yfbL,1.0,3.0,1.0
yfbM,2.0,2.0,0.0
yfbN,3.0,2.0,4.0
yfbO,0.0,0.0,0.0
yfbP,3.0,14.0,3.0
yfbQ,31.0,47.0,37.0
yfbR,0.0,1.0,1.0
yfbS,6.0,5.0,2.0
yfbT,8.0,11.0,8.0
yfbU,5.0,7.0,21.0
yfbV,1.0,0.0,0.0
yfbW,0.0,0.0,0.0
yfcA,0.0,3.0,0.0
yfcC,2.0,1.0,0.0
yfcD,1.0,2.0,1.0
yfcE,0.0,2.0,3.0
yfcF,1.0,1.0,1.0
yfcG,2.0,1.0,5.0
yfcH,7.0,0.0,0.0
yfcI,0.0,1.0,1.0
yfcJ,1.0,1.0,0.0
yfcL,1.0,1.0,0.0
yfcM,1.0,2.0,2.0
yfcO,10.0,7.0,4.0
yfcP,1.0,0.0,1.0
yfcQ,0.0,0.0,0.0
yfcR,1.0,2.0,1.0
yfcS,2.0,1.0,1.0
yfcU,0.0,3.0,4.0
yfcV,3.0,6.0,7.0
yfcY,2.0,3.0,2.0
yfcZ,0.0,0.0,1.0
yfdC,1.0,0.0,1.0
yfdE,3.0,1.0,0.0
yfdF,8.0,0.0,3.0
yfdG,6.0,10.0,4.0
yfdH,39.0,30.0,36.0
yfdI,10.0,5.0,4.0
yfdK,0.0,12.0,3.0
yfdL,1.0,2.0,0.0
yfdM,0.0,0.0,0.0
yfdN,0.0,0.0,0.0
yfdO,0.0,1.0,0.0
yfdP,1.0,0.0,0.0
yfdQ,5.0,5.0,6.0
yfdR,2.0,1.0,1.0
yfdS,4.0,0.0,1.0
yfdT,0.0,0.0,0.0
yfdV,2.0,3.0,0.0
yfdX,2.0,3.0,2.0
yfdY,2.0,0.0,0.0
yfdZ,0.0,0.0,0.0
yfeA,8.0,0.0,2.0
yfeC,13.0,4.0,3.0
yfeD,1.0,0.0,1.0
yfeG,1.0,1.0,0.0
yfeH,2.0,1.0,3.0
yfeK,0.0,0.0,1.0
yfeN,0.0,0.0,3.0
yfeO,0.0,0.0,1.0
yfeR,0.0,0.0,0.0
yfeS,7.0,1.0,6.0
yfeT,6.0,6.0,9.0
yfeU,2.0,1.0,1.0
yfeW,2.0,1.0,3.0
yfeX,0.0,0.0,0.0
yfeY,1.0,7.0,4.0
yfeZ,0.0,0.0,0.0
yffB,0.0,0.0,4.0
yffI,1.0,0.0,0.0
yffL,0.0,0.0,1.0
yffM,0.0,0.0,0.0
yffN,1.0,0.0,0.0
yffO,2.0,1.0,1.0
yffP,3.0,0.0,0.0
yffQ,1.0,3.0,6.0
yffR,1.0,0.0,1.0
yffS,3.0,1.0,3.0
yfgA,2.0,13.0,10.0
yfgB,17.0,18.0,20.0
yfgC,5.0,6.0,8.0
yfgD,15.0,16.0,13.0
yfgF,2.0,2.0,2.0
yfgH,1.0,3.0,2.0
yfgI,6.0,3.0,6.0
yfgJ,0.0,0.0,0.0
yfgL,6.0,22.0,23.0
yfgM,15.0,19.0,22.0
yfhA,11.0,4.0,8.0
yfhB,0.0,0.0,0.0
yfhD,0.0,4.0,0.0
yfhG,0.0,0.0,0.0
yfhH,2.0,0.0,2.0
yfhJ,5.0,2.0,9.0
yfhK,0.0,2.0,0.0
yfhL,8.0,12.0,1.0
yfhM,9.0,13.0,6.0
yfhQ,13.0,6.0,7.0
yfhR,0.0,0.0,0.0
yfiB,7.0,11.0,4.0
yfiC,8.0,4.0,8.0
yfiD,1.0,1.0,2.0
yfiE,2.0,0.0,0.0
yfiF,4.0,1.0,18.0
yfiH,0.0,1.0,1.0
yfiK,1.0,2.0,4.0
yfiL,1.0,2.0,0.0
yfiM,0.0,0.0,0.0
yfiN,2.0,2.0,1.0
yfiO,19.0,28.0,16.0
yfiP,0.0,0.0,0.0
yfiQ,13.0,5.0,7.0
yfiR,0.0,0.0,0.0
yfjD,8.0,15.0,5.0
yfjF,0.0,0.0,1.0
yfjG,1.0,5.0,0.0
yfjH,2.0,25.0,13.0
yfjI,4.0,2.0,2.0
yfjJ,2.0,2.0,1.0
yfjK,5.0,4.0,5.0
yfjL,5.0,3.0,3.0
yfjM,0.0,2.0,1.0
yfjN,5.0,14.0,5.0
yfjO,14.0,16.0,12.0
yfjP,0.0,0.0,4.0
yfjR,0.0,0.0,0.0
yfjS,5.0,7.0,1.0
yfjT,0.0,0.0,0.0
yfjU,3.0,2.0,4.0
yfjV,4.0,1.0,1.0
yfjW,1.0,2.0,5.0
yfjX,1.0,0.0,1.0
yfjY,0.0,1.0,0.0
yfjZ,0.0,0.0,0.0
ygaC,3.0,2.0,2.0
ygaM,3.0,3.0,5.0
ygaP,1.0,0.0,3.0
ygaQ,3.0,6.0,7.0
ygaT,15.0,30.0,27.0
ygaU,3.0,4.0,4.0
ygaW,0.0,0.0,1.0
ygaY,0.0,0.0,0.0
ygaZ,1.0,2.0,1.0
ygbA,0.0,0.0,0.0
ygbE,0.0,0.0,0.0
ygbF,4.0,4.0,1.0
ygbI,15.0,30.0,22.0
ygbJ,2.0,1.0,2.0
ygbK,0.0,0.0,3.0
ygbL,2.0,3.0,0.0
ygbM,0.0,0.0,0.0
ygbN,3.0,4.0,2.0
ygbT,6.0,4.0,8.0
ygcB,4.0,3.0,7.0
ygcE,3.0,2.0,1.0
ygcF,0.0,0.0,0.0
ygcG,5.0,3.0,3.0
ygcH,5.0,7.0,4.0
ygcI,4.0,1.0,2.0
ygcJ,3.0,4.0,0.0
ygcK,3.0,3.0,4.0
ygcL,10.0,3.0,4.0
ygcN,0.0,0.0,0.0
ygcP,7.0,2.0,5.0
ygcQ,0.0,1.0,0.0
ygcR,1.0,1.0,1.0
ygcS,3.0,4.0,3.0
ygcU,3.0,6.0,6.0
ygcW,1.0,2.0,0.0
ygdD,1.0,0.0,0.0
ygdE,1.0,7.0,9.0
ygdH,18.0,18.0,24.0
ygdI,4.0,10.0,6.0
ygdK,5.0,2.0,0.0
ygdL,1.0,0.0,3.0
ygdQ,2.0,1.0,0.0
ygdR,0.0,1.0,0.0
ygeA,0.0,0.0,1.0
ygeD,13.0,6.0,19.0
ygeG,0.0,0.0,0.0
ygeH,0.0,2.0,1.0
ygeI,0.0,0.0,0.0
ygeK,1.0,2.0,2.0
ygeN,0.0,0.0,0.0
ygeO,0.0,0.0,0.0
ygeQ,10.0,19.0,7.0
ygeR,15.0,18.0,30.0
ygeV,4.0,2.0,6.0
