,EXP_biorep1a,EXP_biorep1b,EXP_biorep1c,EXP_biorep2,EXP_biorep3,CASP_biorep1a,CASP_biorep1b,CASP_biorep1c,CASP_biorep2,CASP_biorep3,Disrupted_biorep1a,Disrupted_biorep1b,Disrupted_biorep1c,Disrupted_biorep2,Disrupted_biorep3
dnaT,234,234,129,317,227,92,23,57,73,23,128,125,125,135,138
dnaX,2037,2142,1005,1375,1533,195,59,107,183,88,269,238,224,165,199
dolP,910,852,474,810,688,35,11,22,28,11,306,305,367,244,152
dosC,829,1001,514,1906,651,2164,562,1207,1461,658,691,764,875,2285,1137
dosP,1057,1461,811,3055,959,1797,437,1034,1285,524,200,205,217,289,175
dpaA,1944,1890,1050,1203,1507,89,32,61,74,24,543,514,538,356,336
dpaL,20,19,9,27,10,7,4,0,12,6,19,23,13,9,7
dpiA,39,47,13,45,31,21,6,10,14,8,78,66,58,50,36
dpiB,113,151,83,124,83,17,16,22,26,20,134,175,164,87,83
dppA,14619,16420,8395,28626,10971,162,48,86,125,79,669,673,749,591,468
dppB,2113,2927,1389,2767,1817,9,1,1,4,6,123,95,130,32,49
dppC,1838,2351,1274,2022,1452,9,5,13,3,0,104,111,105,40,35
dppD,2295,3064,1604,2778,2028,2,2,4,5,5,84,80,84,24,19
dppF,2233,2826,1442,2731,1775,9,2,10,10,5,85,87,91,22,21
dprA,243,235,116,237,101,172,54,96,139,34,166,185,153,192,113
dps,1229,1055,516,8482,581,2431,719,1296,1913,895,2042,2218,2354,4256,1880
drpB,17,14,8,61,12,156,37,79,101,44,797,759,915,1290,848
dsbA,1131,1257,596,1415,841,231,84,146,260,123,412,416,447,684,446
dsbB,352,434,197,278,277,160,44,94,118,39,135,147,124,260,160
dsbC,576,663,354,554,445,115,32,46,88,33,295,270,278,220,184
dsbD,508,528,269,593,441,208,52,139,113,43,114,75,94,78,126
dsbE,54,127,51,49,76,29,3,7,13,7,55,32,26,12,17
dsbG,172,186,123,434,129,63,17,31,37,23,174,175,161,218,135
dsdA,105,116,61,3167,87,35,10,7,26,10,146,121,110,155,74
dsdC,43,47,46,56,39,38,12,30,31,19,49,51,66,80,31
dsdX,21,34,11,924,30,15,0,13,3,4,44,43,38,179,57
dsrB,18,61,5,45,20,188,63,39,34,20,38,71,69,222,54
dtd,365,333,204,637,247,132,47,89,112,66,135,154,126,128,86
dtpA,7999,9510,4735,3044,7634,1619,513,1123,1226,505,555,461,594,663,509
dtpB,183,204,73,470,77,2590,759,1617,2136,905,443,444,492,1059,601
dtpC,37,30,15,18,22,8,1,9,11,3,19,54,58,36,22
dtpD,84,76,39,74,66,422,122,226,344,134,218,166,199,222,184
dusA,724,714,309,431,530,107,27,40,58,27,223,211,270,367,310
dusB,3829,3929,1953,896,3144,141,38,80,74,30,1473,1327,1599,820,934
dusC,182,160,101,64,180,58,20,21,24,14,81,100,113,71,57
dut,607,638,324,479,439,22,9,30,43,8,53,87,65,73,54
dxs,2185,2693,1406,1678,2199,76,15,58,53,38,372,393,402,389,410
eamA,438,496,249,835,385,144,38,92,136,55,219,222,244,260,145
eamB,59,37,30,56,34,146,52,90,140,56,91,122,104,203,123
ebgA,200,292,103,243,228,75,23,46,42,20,89,85,72,215,103
ebgC,36,47,24,26,28,11,4,5,1,5,3,8,11,33,7
ebgR,341,323,168,317,257,36,8,20,29,24,68,58,77,96,71
ecnA,209,186,115,131,133,25,2,8,9,3,37,63,51,60,39
ecnB,28,32,33,115,20,39,8,20,21,5,45,60,40,174,70
eco,162,177,77,492,125,58,14,13,33,13,99,86,90,111,51
ecpA,48,55,16,55,40,8,1,6,2,1,54,66,84,107,68
ecpB,10,23,5,26,15,1,0,4,0,1,41,13,22,24,27
ecpC,65,51,30,102,42,14,10,16,16,3,109,97,118,94,82
ecpD,45,38,35,64,44,18,3,16,26,6,34,36,31,43,31
ecpE,26,21,21,43,27,14,4,9,14,3,28,21,33,35,24
ecpR,4,8,0,2,8,2,0,0,0,0,11,22,32,22,13
edd,347,431,191,286,285,94,26,43,45,25,112,125,156,116,94
efeB,864,1038,470,601,887,12,4,12,14,1,63,56,86,42,46
efeO,1150,1467,726,908,1137,8,2,12,8,6,90,117,100,57,80
efp,2757,2822,1340,1642,2171,328,113,214,379,127,447,413,514,656,403
elaA,91,123,72,282,80,51,15,16,20,16,68,54,72,109,73
elaB,1810,1916,864,6790,1062,3650,1289,2213,3212,1223,3002,3157,3644,10107,3926
elaD,28,32,17,32,20,8,4,3,12,11,3,7,5,5,6
elbB,291,364,182,498,320,110,39,92,85,30,78,95,100,77,75
elfA,7,7,0,10,2,2,2,1,11,1,4,10,15,17,10
elfC,43,53,17,49,29,15,6,10,24,0,82,92,103,36,50
elfD,10,2,14,7,1,2,0,0,0,0,10,10,12,4,6
elfG,41,52,39,79,29,23,8,23,21,8,55,54,67,45,48
elyC,42,90,41,55,55,17,13,16,12,11,65,58,58,44,56
emrA,589,539,354,378,377,50,9,29,40,9,123,119,129,132,121
emrB,594,742,347,442,540,166,55,110,134,49,195,241,214,262,198
emrD,219,205,104,139,154,79,26,53,74,23,624,612,650,240,239
emrE,62,50,22,38,17,43,9,35,73,26,42,32,50,79,45
emrK,5,6,3,16,8,42,18,35,30,11,103,103,116,270,111
emrR,769,710,403,600,472,55,19,47,65,20,73,63,77,111,75
emrY,12,17,4,5,6,18,8,14,18,8,71,93,83,148,80
emtA,381,386,194,322,286,153,39,99,134,56,337,250,341,448,360
endA,34,40,31,15,35,13,6,11,14,5,45,43,53,52,38
eno,11561,12053,6533,17824,9703,11070,3440,7489,9504,4398,4360,4371,4589,7762,4156
entA,1119,1485,840,524,1240,43,12,41,38,13,77,95,95,59,52
entB,1088,1633,831,615,1283,88,22,41,58,23,81,66,77,45,49
entC,1537,1920,883,616,1465,144,38,80,69,30,432,351,446,223,263
entD,330,393,220,81,224,6,4,7,4,9,65,62,83,26,30
entE,1734,2527,1150,877,2072,174,50,101,93,20,143,131,134,55,73
entF,2471,3700,1806,3861,2445,1165,316,784,918,427,321,302,322,198,181
entH,351,521,231,177,355,11,0,6,13,1,22,21,18,16,13
entS,747,1040,532,489,753,40,9,35,23,18,467,428,467,368,503
envC,913,1098,564,853,806,94,27,47,68,29,120,119,133,158,155
envY,13,6,3,8,5,6,1,0,1,1,3,7,15,8,0
envZ,779,974,496,1450,765,641,189,423,463,188,403,418,424,670,476
epd,1336,1636,715,1885,1118,612,204,361,468,177,686,606,721,993,650
epmA,157,135,81,105,119,46,10,20,23,21,195,176,201,195,99
epmB,683,666,352,545,443,61,10,39,49,18,210,203,203,214,166
epmC,439,533,260,317,400,7,2,10,7,1,82,57,69,36,44
eptA,35,23,26,58,20,62,10,29,35,18,114,84,104,143,84
eptB,785,973,454,231,584,115,29,39,102,16,164,148,183,59,33
eptC,1361,1549,701,490,1045,49,17,30,40,26,170,173,185,131,121
era,3016,3016,1568,2047,2436,1641,444,955,1247,565,1056,980,1079,1360,1116
erpA,529,627,346,446,362,1807,604,1147,1865,833,493,512,564,965,488
espL4,15,14,3,13,6,3,0,3,0,1,3,5,1,2,0
essD,16,7,12,4,5,3,0,5,6,0,16,25,14,26,17
etk,159,162,112,151,105,167,66,144,159,72,279,281,309,246,173
etp,6,15,7,4,5,6,0,8,7,1,25,24,26,28,12
ettA,5688,6541,3275,6710,4789,1122,288,708,678,364,3341,3014,3311,3301,2993
eutA,19,25,25,82,21,32,8,20,37,7,81,76,104,73,69
eutB,99,182,80,205,119,77,17,38,36,11,140,128,137,91,80
eutC,127,179,82,214,138,60,24,34,41,27,92,104,111,88,94
eutE,18,23,14,21,25,4,2,3,7,0,21,35,26,4,3
eutG,13,36,9,29,21,6,1,9,2,4,54,39,41,31,35
eutH,26,53,14,63,16,70,24,30,39,33,117,115,162,136,104
eutJ,5,9,5,20,10,5,0,4,7,4,26,18,12,23,21
eutK,111,117,55,143,87,76,14,36,53,14,71,59,83,105,68
eutL,91,113,60,136,62,31,6,27,20,17,76,54,76,76,75
eutM,61,97,21,72,34,8,0,3,2,6,11,8,12,7,7
eutN,1,2,4,1,3,0,1,1,0,0,8,2,3,0,1
eutP,14,14,11,21,8,2,1,6,1,0,6,5,16,11,4
eutQ,19,19,20,24,17,6,1,3,3,1,14,18,16,13,13
eutR,70,85,44,87,76,26,6,12,23,5,48,36,85,40,31
eutS,35,25,8,6,5,3,0,4,2,0,6,5,3,2,8
eutT,28,32,23,20,15,12,1,12,8,2,25,13,20,7,10
evgA,96,73,49,153,51,4,0,0,3,0,80,142,113,313,176
evgS,287,310,134,437,195,19,7,22,26,8,185,188,153,150,130
exbB,3085,3105,1491,1875,2099,942,234,476,729,316,649,704,787,981,720
exbD,1447,1583,678,972,949,417,149,201,309,147,399,433,420,673,516
exoX,298,342,184,381,249,110,40,80,110,28,259,201,264,194,168
exuR,830,952,441,884,710,436,149,295,425,172,976,941,1121,1037,618
exuT,512,545,291,712,467,875,318,612,648,313,770,686,856,1493,957
fabA,7403,6904,3425,2784,5303,1402,421,980,1119,468,766,831,803,1170,849
fabB,27553,30066,14767,15914,21782,4010,1188,2372,2835,1107,3986,4070,4445,4319,3535
fabD,3106,4078,2059,2817,3120,839,225,525,656,258,1285,1237,1370,1317,1092
fabF,8237,9114,4562,7449,7218,1334,385,697,1082,412,7613,7319,8109,8010,6924
fabG,8689,9365,4630,7694,7023,1084,298,638,896,406,2098,2045,2232,2635,1675
fabH,2896,3727,1774,2336,2632,994,263,620,712,317,1079,1052,1082,1166,893
fabI,4280,4156,1892,3453,3174,1142,318,761,883,395,1680,1574,1701,2557,1598
fabR,995,1136,567,1241,823,241,69,140,208,94,165,155,209,192,162
fabY,915,1034,477,1705,663,252,64,155,186,106,305,325,329,274,193
fabZ,1105,1254,614,867,915,121,28,64,92,48,302,314,300,273,222
fadA,2483,3344,1494,4608,3213,1508,515,1009,1291,561,314,280,322,1052,610
fadB,4835,6885,3267,9243,6360,2824,780,1782,2493,944,662,531,670,2014,1374
fadD,2759,3318,1568,4424,2013,6234,1887,4132,5727,2210,1020,1018,1182,2571,1112
fadE,3099,4454,2009,4556,4069,19595,5891,12824,13988,5967,4455,4370,4450,15225,9999
fadH,1202,1574,804,1805,1216,716,199,435,601,233,256,216,220,895,417
fadI,1657,2167,1059,2151,1643,934,243,538,706,295,1055,1026,1130,2655,1955
fadJ,2994,3834,1858,3654,2939,1087,305,699,936,342,870,781,904,2144,1657
fadK,20,29,15,28,12,42,12,11,24,8,18,27,27,24,14
fadL,10318,11933,6075,14859,8707,1268,403,910,1050,446,1528,1458,1576,3901,1968
fadM,73,42,43,128,43,43,5,19,27,5,463,564,473,1065,505
fadR,1132,1156,692,619,880,237,81,144,285,139,181,170,175,251,194
fau,884,877,493,649,592,221,74,135,249,95,242,292,299,265,228
fbaA,9144,10827,5202,18036,8560,4739,1260,2844,3651,1647,2230,2082,2406,3534,1971
fbaB,3421,3794,1885,11702,2325,4326,1349,2979,3828,1541,4968,4902,5264,8648,5149
fbp,1546,1669,852,1941,1282,524,145,289,416,188,439,411,476,439,281
fbpC,9,31,9,20,16,4,1,4,2,2,115,83,98,60,80
fcl,25,31,32,36,23,1,0,0,10,8,29,40,27,14,25
fdhD,308,302,154,282,205,489,162,300,396,194,263,297,333,470,332
fdhE,2725,3234,1645,1620,2521,233,54,135,153,72,232,223,238,344,274
fdhF,282,268,144,204,188,263,84,156,198,68,392,393,446,536,441
fdnG,23547,29161,15214,19141,23754,6875,1990,4248,3861,1792,4493,4184,4498,8853,6009
fdnH,31,42,24,20,25,20,6,9,9,8,106,109,113,57,86
fdnI,45,55,30,31,25,26,18,13,16,12,70,79,60,70,43
fdoH,5186,6562,3149,4097,5144,1288,333,749,706,307,549,534,667,1262,726
fdoI,3125,3920,1933,2446,3005,637,173,332,345,148,223,209,260,509,305
fdrA,14,23,11,58,20,26,12,27,11,4,101,97,117,66,81
fdx,784,961,427,485,647,48,13,28,37,29,243,200,219,115,125
feaB,412,534,278,835,356,256,92,180,228,120,358,329,428,419,318
feaR,1017,1099,521,980,765,169,46,97,210,93,74,49,62,150,57
fecA,364,400,234,268,266,63,21,38,44,30,156,161,156,89,78
fecB,86,122,45,69,76,23,3,3,15,5,42,34,55,29,17
fecC,53,58,23,39,45,5,2,4,2,1,19,35,33,10,11
fecD,44,47,22,41,65,5,0,8,2,0,27,26,22,12,10
fecE,74,88,25,63,73,7,1,3,4,6,16,20,19,11,1
fecI,438,447,275,374,294,253,56,120,246,65,244,214,262,235,129
fecR,624,645,342,465,450,230,38,140,180,103,246,270,305,118,149
feoA,87,72,35,40,51,81,29,59,51,28,81,99,89,70,51
feoB,992,1426,695,661,1042,972,334,618,687,281,867,844,912,619,702
feoC,204,182,98,100,177,76,26,51,86,37,114,82,105,80,40
fepA,4966,5258,2850,1559,4237,115,37,86,90,58,1549,1490,1531,663,840
fepB,581,503,308,471,358,123,45,91,72,42,338,348,431,341,274
fepC,498,553,322,403,376,3,1,0,2,0,42,50,34,20,38
fepD,330,407,220,329,292,32,6,18,31,17,181,201,208,116,108
fepG,474,535,284,336,324,15,6,9,6,2,94,91,135,42,59
fes,560,544,332,649,372,392,131,268,269,141,188,229,201,206,187
fetA,77,67,35,74,30,9,0,1,4,8,26,26,26,20,17
fetB,53,76,37,117,62,34,6,10,19,5,45,30,41,54,30
ffh,2405,2813,1509,2434,2266,1021,312,609,839,320,954,909,1097,1156,862
ffs,219,160,51,96,55,273,43,126,180,75,213,300,207,426,325
fghA,112,101,45,361,68,30,8,7,23,11,257,245,326,330,236
fhuA,2276,2586,1417,2808,1943,1703,476,1040,1412,583,1080,1016,1267,1340,839
fhuB,742,1057,518,694,657,64,10,27,45,18,328,267,285,79,101
fhuC,455,644,351,587,401,106,38,65,95,38,160,142,187,131,115
fhuD,334,427,214,244,307,31,6,19,19,5,75,72,97,30,30
fhuE,833,882,429,984,542,165,54,75,104,46,582,504,571,374,388
fhuF,5572,5530,2857,5037,3710,1143,357,692,920,414,2338,2468,2697,2904,2048
fic,270,252,137,824,124,930,281,580,674,294,943,875,906,1984,1267
fieF,484,589,274,765,364,419,117,204,309,86,466,541,533,621,435
fimA,1200,1086,512,1237,911,157,57,87,111,31,199,180,213,320,160
fimB,106,101,55,163,56,3,2,3,2,1,42,45,38,35,34
fimC,74,101,37,54,63,2,0,0,3,1,70,75,85,43,30
fimD,120,145,60,85,108,37,4,23,35,17,283,269,266,142,125
fimE,21,11,8,21,6,6,1,6,14,3,21,18,34,21,23
fimF,18,28,16,22,37,3,3,2,9,0,49,45,69,28,27
fimG,23,22,21,25,21,6,0,8,8,2,46,53,42,26,28
fimH,51,85,40,68,43,81,38,51,47,25,161,150,164,168,178
fimI,133,168,90,91,102,8,3,10,3,2,14,34,37,29,23
fimZ,6,6,7,3,7,1,0,1,3,3,11,6,9,12,5
fis,1380,1532,763,305,1341,56,24,42,58,25,452,577,612,372,373
fiu,3980,4934,2594,3222,4728,77,29,55,46,30,227,252,239,211,232
fixA,7,8,10,13,4,4,1,2,1,0,12,10,4,10,12
fixB,4,11,8,10,6,7,0,0,0,1,10,25,14,5,18
fixC,13,16,17,29,14,1,0,4,6,0,28,32,37,22,12
fixX,3,11,0,3,4,0,0,0,0,0,7,2,7,3,2
fklB,1635,1672,842,1739,1229,66,15,53,57,51,160,173,216,219,126
fkpA,3931,3699,1925,3817,2483,943,314,568,964,411,904,914,1112,1019,480
fkpB,612,805,440,684,759,78,22,46,74,25,237,222,212,141,135
fldA,784,810,403,913,651,320,80,165,208,102,244,256,300,426,223
fldB,363,409,199,396,297,206,48,150,188,101,93,87,115,167,94
flgA,3166,3327,1707,3194,2656,23,4,7,10,4,31,18,27,28,14
flgB,4027,4113,2077,4936,3356,0,0,0,0,0,1,3,6,0,0
flgC,5310,6380,3228,7677,5497,1,0,0,0,0,16,9,11,5,7
flgD,9872,12611,6417,14562,11367,0,0,3,0,3,24,24,22,9,7
flgE,18348,27037,13163,31981,24364,5,2,0,6,2,33,32,38,25,11
flgF,9054,13853,6919,15484,12535,6,1,2,2,0,25,27,23,11,8
flgG,9284,13237,6580,14801,12267,10,0,6,8,0,30,30,19,16,12
flgH,4745,7039,3519,5968,5895,2,1,3,0,0,12,32,14,10,12
flgI,4546,6630,3556,5665,5868,6,1,3,6,0,26,17,19,11,16
flgJ,3734,4770,2356,3643,4043,4,3,7,2,0,28,26,38,17,15
flgK,6166,7205,3758,5362,5804,149,39,92,103,32,5701,5825,6046,2585,2539
flgL,3709,4063,2120,3402,3328,156,40,103,123,42,3497,3251,3264,1430,1361
flgM,1110,1231,652,1071,1002,59,14,27,59,46,785,739,794,386,331
flgN,1232,1271,661,1241,1046,74,13,41,52,30,1134,1123,1365,467,452
flhA,7345,9274,4892,7004,7338,278,66,172,159,58,2024,1775,2128,329,238
flhB,3116,3056,1676,2298,2439,9,3,8,5,5,1011,998,1002,60,75
flhC,2310,2240,1158,655,1552,132,35,67,101,52,64,71,74,124,72
flhD,1297,1412,641,359,969,49,20,45,41,21,33,48,52,95,53
flhe,1101,1358,669,891,1159,0,2,0,0,0,221,190,201,15,20
fliA,7725,7888,4210,7230,6631,65,30,58,71,12,2061,2081,2178,832,753
fliC,37275,37368,19150,48595,28472,663,226,414,613,290,13990,13440,14823,4318,3605
fliD,6730,7522,3932,6368,7103,54,12,15,47,18,900,894,956,142,136
fliE,1296,1123,589,396,876,2,0,4,4,1,7,6,18,5,4
fliF,12431,14047,7102,8704,10714,5,4,3,1,0,25,25,27,9,26
fliG,9145,10868,5450,6878,8522,5,1,3,5,0,18,15,19,12,14
fliH,5711,7125,3562,4366,5630,2,3,5,3,0,18,17,20,7,16
fliI,7612,9933,4954,6088,7891,1,0,2,2,0,17,33,28,15,19
fliJ,1562,1788,1049,1398,1649,2,0,0,1,2,4,2,0,1,4
fliK,4733,5706,2939,4320,4786,8,1,0,3,1,10,16,9,7,3
fliL,4783,5222,2810,3922,4600,2,0,1,0,0,70,45,86,13,4
fliM,11625,14100,7009,9708,11376,6,6,1,7,0,166,157,169,16,21
fliN,3455,4401,2212,3156,3671,4,0,6,0,0,112,104,127,14,13
fliO,3286,3847,1802,2644,3133,1,1,2,2,2,99,75,104,6,3
fliP,2719,3096,1644,1803,2543,1,0,0,2,0,49,55,71,3,4
fliQ,947,1091,545,702,890,3,0,0,0,0,14,20,20,2,0
fliR,1410,1434,768,894,1197,4,2,1,4,1,24,17,22,10,4
fliS,1118,1241,608,1116,1242,8,3,1,2,0,134,127,122,14,14
fliT,1180,1487,625,1187,1270,3,0,0,8,1,145,151,145,22,17
fliZ,4455,4905,2659,5140,4280,33,8,14,22,3,920,883,922,354,318
flk,421,387,257,356,333,35,4,11,16,11,86,98,102,82,74
flxA,28,22,24,25,14,7,1,7,3,7,176,235,176,150,90
fmt,2050,2229,1075,2721,1636,3545,911,2130,3180,1362,1783,1626,1778,2911,1971
focA,458,612,325,737,357,3860,1030,2153,2134,884,611,618,658,955,798
focB,32,33,7,18,17,19,8,8,1,2,40,30,34,26,22
folA,381,312,195,238,322,152,33,74,151,46,181,190,192,278,132
folB,44,54,23,28,56,4,0,2,4,0,24,29,26,18,4
folC,1034,1200,594,886,1048,247,62,141,149,70,360,342,369,216,299
folD,1352,1402,710,1000,1084,129,32,63,104,35,74,68,71,82,56
folE,1892,2179,1082,2928,1537,146,46,120,127,53,290,261,260,309,270
folK,209,233,124,182,250,1,0,2,2,0,39,34,50,24,37
folM,421,355,186,634,310,99,22,55,48,14,216,198,214,239,234
folP,238,284,150,225,268,58,8,39,48,11,207,277,203,304,273
folX,326,405,170,611,270,339,115,232,295,160,408,395,451,674,403
fpr,318,310,188,868,215,193,49,99,140,93,196,236,234,287,182
frc,24,12,7,11,31,14,2,3,10,9,73,88,78,77,50
frdA,2243,3133,1565,3174,2315,876,237,630,528,228,1170,1095,1172,1057,1107
frdB,654,1090,487,992,764,257,80,180,162,63,423,373,378,451,359
frdC,380,446,213,465,282,129,33,60,69,55,163,160,185,268,180
frdD,583,716,370,700,572,213,64,143,161,69,311,337,349,508,409
fre,1464,1932,891,1569,1332,365,81,194,239,94,620,576,743,790,587
frlA,3,9,5,19,7,9,1,3,3,0,2,6,8,14,6
frlB,55,57,38,94,30,30,13,16,29,11,37,43,30,68,43
frlC,42,48,27,45,17,5,0,9,1,6,20,15,29,4,17
frlD,67,70,27,89,47,20,6,22,20,18,63,58,58,33,40
frlR,202,206,104,189,102,92,26,61,74,29,108,118,98,98,88
frmA,448,577,278,1767,412,442,124,326,306,131,1450,1317,1559,2133,1757
frmR,114,120,57,409,93,90,50,63,57,15,436,342,390,508,346
frr,3791,3864,1903,3785,3193,1541,456,1013,1626,807,2304,2533,2742,5352,2903
frsA,309,267,195,315,295,223,50,122,181,64,214,224,238,287,201
fruA,1883,2482,1230,3022,1518,4423,1382,2846,3112,1372,3131,2997,3299,4465,3323
fruB,505,675,301,605,501,724,212,455,531,283,153,164,175,900,393
fruK,757,912,448,1035,605,1048,309,732,820,287,1003,976,1005,1321,987
frvA,0,1,1,2,0,6,0,0,1,0,10,6,10,2,6
frvB,8,20,8,20,8,22,2,22,16,6,53,48,34,15,11
frvR,25,19,25,13,16,5,2,6,11,3,23,24,51,14,8
frvX,15,16,9,28,15,12,3,11,6,6,27,31,18,16,8
frwB,10,2,7,4,10,2,3,0,0,1,0,4,3,5,4
frwC,32,20,24,10,24,5,0,5,2,0,9,10,12,3,10
frwD,5,17,8,17,5,5,2,11,3,1,10,14,19,11,18
fryB,5,1,0,2,0,1,0,0,0,0,6,6,14,3,2
fryC,6,18,0,19,4,5,1,0,5,2,27,20,35,11,7
fsa,27,63,15,66,34,52,18,47,48,30,57,40,66,58,52
fsr,185,262,113,240,153,101,50,66,61,43,74,63,95,77,71
ftnA,494,549,310,288,378,72,11,56,42,20,75,64,82,77,54
ftnB,412,417,175,512,269,92,27,58,80,44,518,514,567,451,290
ftsA,1480,1788,912,2226,1132,929,262,511,583,284,1358,1339,1388,1462,1124
ftsB,320,315,153,365,279,89,18,54,94,22,167,235,264,402,220
ftsE,497,656,301,678,453,338,101,192,225,123,674,609,605,691,596
ftsH,14757,17382,8364,15473,12067,14912,4451,9322,11456,4890,22110,21163,24323,34766,29853
ftsI,963,1000,535,947,654,373,75,227,257,118,395,432,433,531,429
ftsK,4181,5182,2493,5007,3676,1596,435,908,1205,617,2451,2312,2573,4544,3067
ftsL,183,236,137,257,161,134,27,53,75,32,151,148,161,162,136
ftsN,828,813,347,603,549,91,14,39,44,37,174,167,231,167,162
ftsP,1774,2155,971,1886,1594,186,45,84,158,54,652,627,629,510,518
ftsQ,985,1104,571,1373,801,595,163,353,369,148,1020,962,1056,1442,1040
ftsW,1059,1386,675,944,844,156,36,67,106,30,147,139,153,94,88
ftsX,813,1131,492,1047,766,613,181,406,521,271,873,824,824,920,759
ftsY,1311,1661,873,1332,1209,415,119,231,268,136,769,822,961,851,758
ftsZ,5965,7177,3565,10288,5259,2603,794,1629,2000,821,3125,3067,3327,3203,2633
fucA,42,38,24,48,29,10,4,8,5,0,18,15,12,12,4
fucI,303,426,175,245,336,40,17,31,28,17,118,125,112,45,30
fucK,176,150,114,132,136,41,11,23,11,6,50,72,65,40,30
fucO,357,416,185,383,302,129,32,72,92,31,103,88,115,115,71
fucP,66,47,48,38,40,16,3,4,13,6,13,2,17,10,5
fucR,390,426,244,483,327,20,6,20,29,16,89,77,56,69,57
fucU,114,140,73,223,112,65,13,53,40,29,137,163,208,263,161
fumB,6983,7992,4115,3792,5738,2008,648,1118,1382,641,412,414,453,663,397
fumC,2099,2328,1158,3243,1880,2080,654,1379,1727,846,617,729,767,782,493
fumD,33,18,8,46,16,30,2,6,13,8,55,51,74,124,50
fumE,271,285,115,294,208,35,16,28,40,6,104,102,153,102,79
fur,1331,1267,651,1367,1030,713,204,448,847,371,563,653,761,1196,612
fusA,80136,117934,58049,43884,98635,19028,5349,12603,13182,5902,34890,34188,36407,30298,32392
fxsA,71,45,37,19,41,220,64,125,225,63,243,213,331,1492,761
gabD,878,1135,636,6506,859,3264,835,1861,2584,1012,1273,1223,1476,1827,1175
gabP,291,369,155,2873,216,580,171,359,454,173,76,65,102,241,132
gabT,1092,1474,770,14321,1009,2683,777,1511,2075,827,654,679,810,1278,740
gadA,243,322,133,837,269,358,103,203,253,136,267,265,311,433,314
gadB,347,438,211,1180,371,369,103,213,256,121,354,350,360,519,350
gadC,365,395,218,1009,371,392,119,251,292,130,349,288,349,413,288
gadE,51,35,9,126,50,7,1,9,25,14,5,12,2,22,4
gadF,0,1,1,4,4,7,1,1,0,0,0,6,1,0,1
gadW,259,209,100,1459,157,72,13,30,26,26,32,29,49,47,37
gadX,12,41,20,42,5,116,44,78,97,33,64,103,131,228,107
galE,448,635,274,937,515,153,33,74,121,41,84,75,80,136,103
galF,4110,3920,2059,4074,2994,1910,546,1234,1716,638,2615,2633,3133,3934,3099
galK,621,1018,564,1183,728,185,42,107,123,49,959,952,1037,437,334
galM,1257,1531,785,2358,1118,219,62,125,219,88,3490,3418,3862,2935,2611
galP,1067,1384,615,2815,846,951,281,623,737,302,3732,3451,4004,5155,3487
galR,359,394,212,535,269,216,47,103,204,83,410,395,415,613,403
galS,385,404,207,178,333,16,8,27,17,16,37,29,21,16,10
galT,423,529,303,752,412,107,32,66,74,42,65,58,51,71,58
galU,1539,1545,763,3453,1083,3940,1244,2353,3095,1434,1306,1358,1488,1729,1070
gapA,19298,19648,9639,34295,12532,5651,1696,3727,3845,1620,4622,4568,5084,9184,5122
garD,199,198,137,392,180,469,140,329,470,218,145,130,131,250,165
garK,93,106,41,257,44,265,69,168,165,91,189,167,165,216,180
garL,31,22,12,101,21,40,20,25,27,15,21,34,28,30,29
garP,14,9,8,59,5,76,9,41,32,23,23,27,28,45,18
garR,57,91,56,242,53,147,40,94,103,43,127,110,138,119,94
gatA,19784,28285,14089,27937,23004,2527,591,1312,2395,933,75,77,74,87,68
gatB,8161,10738,5312,10475,8849,298,92,177,340,194,15,29,29,30,10
gatD,18041,25193,12318,28892,19266,396,106,207,396,140,209,231,249,248,176
gatY,34324,46175,21956,42263,36249,30740,8004,19248,32050,12883,884,926,928,2173,1079
gatZ,62924,91243,46264,88722,76597,27196,7103,16499,24665,9925,860,904,945,1855,1046
gcd,1219,1476,606,4321,831,8185,2394,5272,5382,2267,1248,1255,1350,2286,1258
gcl,45,61,28,116,42,81,32,55,79,26,225,225,294,223,185
gcvA,306,401,218,178,219,170,70,96,153,63,353,331,421,298,218
gcvH,4172,5745,3060,10725,4862,39,21,32,34,13,83,62,71,118,68
gcvP,24675,33526,17008,51104,29010,189,49,136,172,60,176,153,231,295,162
gcvR,480,473,266,978,363,538,111,274,541,177,241,332,303,439,229
gcvT,12092,15191,7433,29974,12154,76,38,51,67,54,216,207,224,290,259
gdhA,2435,2745,1495,4225,2356,53,30,50,42,32,865,806,930,549,466
gfcA,53,30,34,16,15,6,0,1,0,0,143,163,165,66,99
gfcB,10,9,2,9,10,3,0,3,5,4,57,50,54,15,17
gfcC,14,10,11,15,9,0,0,0,1,3,45,36,54,13,3
gfcD,26,48,31,29,32,5,4,5,1,3,85,83,108,29,20
gfcE,17,26,16,27,23,1,4,4,6,5,55,43,56,20,24
ggt,1869,2108,1032,7211,1601,363,136,290,317,136,533,542,600,609,528
ghoS,190,208,88,420,79,101,23,25,64,25,315,335,345,793,324
ghoT,1,0,0,1,0,8,0,10,4,2,15,25,19,36,15
ghrA,311,416,196,578,375,47,22,49,41,17,480,427,527,541,322
ghrB,696,596,320,1399,613,58,14,36,37,10,140,112,119,143,138
ghxP,2837,3746,1783,1251,2647,27,3,11,15,4,95,96,77,83,91
ghxQ,116,128,85,269,114,60,16,31,44,1,94,97,137,108,78
