X,Y
1000,1
1015,0.998579545454545
1015,0.997159090909091
1015,0.995738636363636
1015,0.994318181818182
1015,0.992897727272727
1028,0.991477272727273
1028,0.990056818181818
1028,0.988636363636364
1031,0.987215909090909
1031,0.985795454545455
1031,0.984375
1031,0.982954545454545
1031,0.981534090909091
1031,0.980113636363636
1031,0.978693181818182
1033,0.977272727272727
1043,0.975852272727273
1043,0.974431818181818
1043,0.973011363636364
1043,0.971590909090909
1043,0.970170454545455
1044,0.96875
1044,0.967329545454545
1045,0.965909090909091
1046,0.964488636363636
1046,0.963068181818182
1046,0.961647727272727
1046,0.960227272727273
1046,0.958806818181818
1046,0.957386363636364
1046,0.955965909090909
1046,0.954545454545455
1046,0.953125
1046,0.951704545454545
1046,0.950284090909091
1046,0.948863636363636
1048,0.947443181818182
1049,0.946022727272727
1049,0.944602272727273
1049,0.943181818181818
1058,0.941761363636364
1058,0.940340909090909
1058,0.938920454545455
1058,0.9375
1058,0.936079545454545
1058,0.934659090909091
1058,0.933238636363636
1058,0.931818181818182
1058,0.930397727272727
1058,0.928977272727273
1058,0.927556818181818
1058,0.926136363636364
1059,0.924715909090909
1059,0.923295454545455
1059,0.921875
1059,0.920454545454545
1059,0.919034090909091
1059,0.917613636363636
1060,0.916193181818182
1060,0.914772727272727
1061,0.913352272727273
1061,0.911931818181818
1061,0.910511363636364
1061,0.909090909090909
1061,0.907670454545455
1061,0.90625
1061,0.904829545454545
1061,0.903409090909091
1061,0.901988636363636
1061,0.900568181818182
1061,0.899147727272727
1061,0.897727272727273
1061,0.896306818181818
1061,0.894886363636364
1063,0.893465909090909
1063,0.892045454545455
1063,0.890625
1063,0.889204545454545
1063,0.887784090909091
1064,0.886363636363636
1064,0.884943181818182
1064,0.883522727272727
1064,0.882102272727273
1073,0.880681818181818
1073,0.879261363636364
1073,0.877840909090909
1073,0.876420454545455
1073,0.875
1073,0.873579545454545
1073,0.872159090909091
1073,0.870738636363636
1073,0.869318181818182
1073,0.867897727272727
1073,0.866477272727273
1073,0.865056818181818
1073,0.863636363636364
1073,0.862215909090909
1073,0.860795454545455
1073,0.859375
1073,0.857954545454545
1073,0.856534090909091
1073,0.855113636363636
1073,0.853693181818182
1074,0.852272727272727
1074,0.850852272727273
1074,0.849431818181818
1074,0.848011363636364
1074,0.846590909090909
1074,0.845170454545455
1074,0.84375
1075,0.842329545454545
1075,0.840909090909091
1075,0.839488636363636
1075,0.838068181818182
1075,0.836647727272727
1075,0.835227272727273
1075,0.833806818181818
1076,0.832386363636364
1076,0.830965909090909
1076,0.829545454545455
1076,0.828125
1076,0.826704545454545
1076,0.825284090909091
1076,0.823863636363636
1076,0.822443181818182
1076,0.821022727272727
1078,0.819602272727273
1078,0.818181818181818
1078,0.816761363636364
1078,0.815340909090909
1078,0.813920454545455
1078,0.8125
1079,0.811079545454545
1079,0.809659090909091
1079,0.808238636363636
1079,0.806818181818182
1079,0.805397727272727
1088,0.803977272727273
1088,0.802556818181818
1088,0.801136363636364
1088,0.799715909090909
1088,0.798295454545455
1088,0.796875
1088,0.795454545454545
1088,0.794034090909091
1088,0.792613636363636
1088,0.791193181818182
1088,0.789772727272727
1088,0.788352272727273
1088,0.786931818181818
1088,0.785511363636364
1088,0.784090909090909
1088,0.782670454545455
1088,0.78125
1088,0.779829545454545
1088,0.778409090909091
1088,0.776988636363636
1088,0.775568181818182
1088,0.774147727272727
1088,0.772727272727273
1089,0.771306818181818
1089,0.769886363636364
1089,0.768465909090909
1089,0.767045454545455
1089,0.765625
1089,0.764204545454545
1089,0.762784090909091
1089,0.761363636363636
1089,0.759943181818182
1089,0.758522727272727
1090,0.757102272727273
1090,0.755681818181818
1090,0.754261363636364
1090,0.752840909090909
1090,0.751420454545455
1090,0.75
1090,0.748579545454545
1090,0.747159090909091
1090,0.745738636363636
1091,0.744318181818182
1091,0.742897727272727
1091,0.741477272727273
1091,0.740056818181818
1091,0.738636363636364
1091,0.737215909090909
1091,0.735795454545455
1091,0.734375
1093,0.732954545454545
1093,0.731534090909091
1093,0.730113636363636
1093,0.728693181818182
1093,0.727272727272727
1093,0.725852272727273
1093,0.724431818181818
1094,0.723011363636364
1094,0.721590909090909
1094,0.720170454545455
1094,0.71875
1094,0.717329545454545
1094,0.715909090909091
1094,0.714488636363636
1094,0.713068181818182
1103,0.711647727272727
1103,0.710227272727273
1103,0.708806818181818
1103,0.707386363636364
1103,0.705965909090909
1103,0.704545454545455
1103,0.703125
1103,0.701704545454545
1103,0.700284090909091
1103,0.698863636363636
1103,0.697443181818182
1103,0.696022727272727
1103,0.694602272727273
1103,0.693181818181818
1103,0.691761363636364
1103,0.690340909090909
1103,0.688920454545455
1103,0.6875
1103,0.686079545454545
1103,0.684659090909091
1103,0.683238636363636
1103,0.681818181818182
1103,0.680397727272727
1103,0.678977272727273
1103,0.677556818181818
1103,0.676136363636364
1103,0.674715909090909
1103,0.673295454545455
1103,0.671875
1104,0.670454545454545
1104,0.669034090909091
1104,0.667613636363636
1104,0.666193181818182
1104,0.664772727272727
1104,0.663352272727273
1104,0.661931818181818
1105,0.660511363636364
1105,0.659090909090909
1105,0.657670454545455
1105,0.65625
1105,0.654829545454545
1105,0.653409090909091
1105,0.651988636363636
1106,0.650568181818182
1106,0.649147727272727
1106,0.647727272727273
1106,0.646306818181818
1106,0.644886363636364
1106,0.643465909090909
1106,0.642045454545455
1108,0.640625
1108,0.639204545454545
1108,0.637784090909091
1108,0.636363636363636
1108,0.634943181818182
1108,0.633522727272727
1108,0.632102272727273
1108,0.630681818181818
1108,0.629261363636364
1108,0.627840909090909
1108,0.626420454545455
1108,0.625
1108,0.623579545454545
1108,0.622159090909091
1109,0.620738636363636
1109,0.619318181818182
1109,0.617897727272727
1109,0.616477272727273
1109,0.615056818181818
1109,0.613636363636364
1109,0.612215909090909
1109,0.610795454545455
1109,0.609375
1109,0.607954545454545
1109,0.606534090909091
1118,0.605113636363636
1118,0.603693181818182
1118,0.602272727272727
1118,0.600852272727273
1118,0.599431818181818
1118,0.598011363636364
1118,0.596590909090909
1118,0.595170454545455
1118,0.59375
1118,0.592329545454545
1118,0.590909090909091
1118,0.589488636363636
1118,0.588068181818182
1118,0.586647727272727
1118,0.585227272727273
1118,0.583806818181818
1118,0.582386363636364
1118,0.580965909090909
1118,0.579545454545455
1118,0.578125
1119,0.576704545454545
1119,0.575284090909091
1120,0.573863636363636
1120,0.572443181818182
1120,0.571022727272727
1120,0.569602272727273
1120,0.568181818181818
1120,0.566761363636364
1120,0.565340909090909
1120,0.563920454545455
1120,0.5625
1120,0.561079545454545
1120,0.559659090909091
1120,0.558238636363636
1120,0.556818181818182
1120,0.555397727272727
1120,0.553977272727273
1120,0.552556818181818
1121,0.551136363636364
1121,0.549715909090909
1121,0.548295454545455
1121,0.546875
1121,0.545454545454545
1121,0.544034090909091
1121,0.542613636363636
1121,0.541193181818182
1123,0.539772727272727
1123,0.538352272727273
1123,0.536931818181818
1123,0.535511363636364
1123,0.534090909090909
1123,0.532670454545455
1123,0.53125
1123,0.529829545454545
1123,0.528409090909091
1123,0.526988636363636
1123,0.525568181818182
1123,0.524147727272727
1124,0.522727272727273
1124,0.521306818181818
1124,0.519886363636364
1124,0.518465909090909
1124,0.517045454545455
1124,0.515625
1124,0.514204545454545
1124,0.512784090909091
1124,0.511363636363636
1124,0.509943181818182
1133,0.508522727272727
1133,0.507102272727273
1133,0.505681818181818
1133,0.504261363636364
1133,0.502840909090909
1133,0.501420454545455
1133,0.5
1133,0.498579545454545
1133,0.497159090909091
1133,0.495738636363636
1133,0.494318181818182
1133,0.492897727272727
1133,0.491477272727273
1133,0.490056818181818
1133,0.488636363636364
1133,0.487215909090909
1133,0.485795454545455
1133,0.484375
1133,0.482954545454545
1133,0.481534090909091
1133,0.480113636363636
1133,0.478693181818182
1133,0.477272727272727
1134,0.475852272727273
1134,0.474431818181818
1135,0.473011363636364
1135,0.471590909090909
1135,0.470170454545455
1135,0.46875
1135,0.467329545454545
1135,0.465909090909091
1135,0.464488636363636
1135,0.463068181818182
1135,0.461647727272727
1135,0.460227272727273
1135,0.458806818181818
1135,0.457386363636364
1135,0.455965909090909
1135,0.454545454545455
1136,0.453125
1136,0.451704545454545
1136,0.450284090909091
1138,0.448863636363636
1138,0.447443181818182
1138,0.446022727272727
1138,0.444602272727273
1138,0.443181818181818
1138,0.441761363636364
1138,0.440340909090909
1138,0.438920454545455
1138,0.4375
1138,0.436079545454545
1138,0.434659090909091
1138,0.433238636363636
1138,0.431818181818182
1138,0.430397727272727
1138,0.428977272727273
1138,0.427556818181818
1139,0.426136363636364
1139,0.424715909090909
1139,0.423295454545455
1139,0.421875
1139,0.420454545454545
1139,0.419034090909091
1139,0.417613636363636
1139,0.416193181818182
1139,0.414772727272727
1139,0.413352272727273
1139,0.411931818181818
1139,0.410511363636364
1139,0.409090909090909
1139,0.407670454545455
1148,0.40625
1148,0.404829545454545
1148,0.403409090909091
1148,0.401988636363636
1148,0.400568181818182
1148,0.399147727272727
1148,0.397727272727273
1148,0.396306818181818
1148,0.394886363636364
1148,0.393465909090909
1148,0.392045454545455
1148,0.390625
1148,0.389204545454545
1148,0.387784090909091
1148,0.386363636363636
1148,0.384943181818182
