GO_ID,Term,Category,p_value,FDR,Ratio_in_study,Ratio_in_pop
GO:0002181,cytoplasmic translation,BP,2.4088795598537952e-23,3.9361092008011016e-20,"(19, 49)","(53, 3339)"
GO:0006412,translation,BP,4.347001512371898e-19,3.551500235607841e-16,"(20, 49)","(98, 3339)"
GO:0000027,ribosomal large subunit assembly,BP,3.7934196238681373e-11,2.0661492218001786e-08,"(9, 49)","(26, 3339)"
GO:0006417,regulation of translation,BP,0.0001350188659028111,0.04925933881245501,"(4, 49)","(19, 3339)"
GO:0042254,ribosome biogenesis,BP,0.00020402322866738023,0.04925933881245501,"(4, 49)","(21, 3339)"
GO:0006740,NADPH regeneration,BP,0.0002110253192700031,0.04925933881245501,"(2, 49)","(2, 3339)"
GO:0120029,proton export across plasma membrane,BP,0.0002110253192700031,0.04925933881245501,"(2, 49)","(2, 3339)"
