GO_ID,Term,Category,p_value,FDR,Ratio_in_study,Ratio_in_pop
GO:0002181,cytoplasmic translation,BP,2.1895627566782906e-41,2.839862895411743e-38,"(32, 50)","(52, 1712)"
GO:0006412,translation,BP,5.833397658668481e-34,3.78295838164651e-31,"(34, 50)","(94, 1712)"
GO:0000027,ribosomal large subunit assembly,BP,1.6596315472537887e-16,7.17514038929388e-14,"(14, 50)","(25, 1712)"
GO:0000028,ribosomal small subunit assembly,BP,1.4991776815810243e-10,4.861083632526471e-08,"(9, 50)","(17, 1712)"
GO:0042254,ribosome biogenesis,BP,6.507445048832429e-06,0.001688031245667132,"(6, 50)","(18, 1712)"
GO:0031564,transcription antitermination,BP,8.244576759528292e-05,0.017822026761846993,"(5, 50)","(17, 1712)"
GO:0017148,negative regulation of translation,BP,0.00011899783057531499,0.022048598036597648,"(4, 50)","(10, 1712)"
GO:0006417,regulation of translation,BP,0.0001482071903824854,0.024028090740760448,"(5, 50)","(19, 1712)"
GO:0042255,ribosome assembly,BP,0.00022519725057413504,0.032453425999405906,"(3, 50)","(5, 1712)"
