GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0008360,regulation of cell shape,BP,3.7393689422819717e-06,0.00044423703034309826,"P17443,P0AD70,P0A9X4,P08373,P0A6B4,P16926,P0ABH4,P0A749,P60472,P60932,P0ACC7,P0ABG4,P0AD65,P24228,P07862,P75806,P17952,Q46824,P0ABG7,P14900,P22188,P0AEB2,P0AD68,P37773,P11880,P0A6W3,P02918",e,6,"(27, 1024)","(49, 4278)","{'GO:0065008', 'GO:0022604'}"
GO:0006221,pyrimidine nucleotide biosynthetic process,BP,5.149164573409956e-06,0.0005734882043635338,"P0A7E1,P0A6F1,P00968,P0A7E3,P05020,P0A786,P0A7F3,P0AD83,P0A7E9,P08244",e,8,"(10, 1024)","(11, 4278)","{'GO:0009165', 'GO:0072528', 'GO:0006220'}"
GO:0042777,proton motive force-driven plasma membrane ATP synthesis,BP,1.0553906510238741e-05,0.0011062977294850258,"P0ABA0,P0ABB0,P0ABA4,P68699,P0AB98,P0A6E6,P0ABA6,P0ABB4",e,12,"(8, 1024)","(8, 4278)",{'GO:0015986'}
GO:0000028,ribosomal small subunit assembly,BP,1.647067704429565e-05,0.0016305970273852693,"P0AG59,P0A7U7,P0A7V8,P0A7W1,P0A7W7,P0A7T3,P0AG67,P0ADZ4,P0A7V3,P0A8A8,P0A7U3,P68679,P0A7X6,P0AGK4",e,7,"(14, 1024)","(20, 4278)",{'GO:0022618'}
GO:0071555,cell wall organization,BP,3.446575044505529e-05,0.0032325245943730803,"P17443,P0AD70,P08373,P0AEZ7,P0A6B4,P64426,P63883,P31697,P0AD14,P0A749,P60932,P36548,P0AC78,P0C066,P0AE16,P60472,P0ACC7,P26365,P0ABG4,P0AD65,P24228,P0AFV4,P07862,P75942,P75806,P17952,P0ABG7,P14900,P22188,P0AEB2,P0AD68,P37773,P11880,P0A6W3,P02918",e,5,"(35, 1024)","(77, 4278)","{'GO:0071554', 'GO:0045229'}"
GO:0044205,'de novo' UMP biosynthetic process,BP,4.432225634732512e-05,0.0037610600386158745,"P0A7E1,P0A6F1,P00968,P0A7E3,P05020,P0A786,P08244",e,11,"(7, 1024)","(7, 4278)",{'GO:0006222'}
GO:0009243,O antigen biosynthetic process,BP,4.432225634732512e-05,0.0037610600386158745,"P61887,P37760,P37744,P37746,P37759,P37745,P0AC78",e,6,"(7, 1024)","(7, 4278)","{'GO:0046402', 'GO:0000271'}"
GO:0015990,electron transport coupled proton transport,BP,7.489566160966142e-05,0.005802785608192028,"P0ABJ1,P0AFF0,P0ABJ6,P0ABJ3,P33607,P0ABI8,P0AFC7,P0AFE8",e,9,"(8, 1024)","(9, 4278)",{'GO:0015988'}
GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,BP,7.489566160966142e-05,0.005802785608192028,"P0A7E1,P0A6F1,P0A7E3,P05020,P0A786,P0A7F3,P37678,P08244",e,8,"(8, 1024)","(9, 4278)",{'GO:0019856'}
GO:0044780,bacterial-type flagellum assembly,BP,8.279954861880021e-05,0.006147866484945916,"P0AEM6,P33135,P76298,P33235,P0ABZ1,P52612,P0A7Z4,P0AC07,P26608,P76299,P43533,P52614,P75942,P75933",e,7,"(14, 1024)","(22, 4278)","{'GO:0030031', 'GO:0140694', 'GO:0044781'}"
GO:1902600,proton transmembrane transport,BP,0.00011474905722243782,0.008179312798815367,"P0AA47,P07001,P76007,P0ABA4,P0AB98,P31466,P77304,P0ABI8,P0ABB4,P0ABC0,P0AFE4,P33026,P0AAD8,P31979,P0AFE0,P0AA82,P0AFD1,P09348,P68699,P0AFC3,P52612,P33599,P0ABA6,P33602,P0AF06,P0ABA0,P0ABB0,P0A6E6,P0AFD4,P31801",e,7,"(30, 1024)","(66, 4278)","{'GO:0098655', 'GO:0098662'}"
GO:0015709,thiosulfate transport,BP,0.00018599673783474752,0.01151988154556247,"P16676,P0AG78,P0AEB0,P33015,P16700,P16701",e,5,"(6, 1024)","(6, 4278)","{'GO:0015698', 'GO:0072348'}"
GO:0070814,hydrogen sulfide biosynthetic process,BP,0.00018599673783474752,0.01151988154556247,"P0A6J1,P17854,P23845,P17846,P21156,P38038",e,5,"(6, 1024)","(6, 4278)","{'GO:0070813', 'GO:0044272'}"
GO:1903711,spermidine transmembrane transport,BP,0.00018599673783474752,0.01151988154556247,"P0AFK9,P69212,P69210,P69874,P0AFK4,P0AFK6",e,7,"(6, 1024)","(6, 4278)","{'GO:0015848', 'GO:1902047'}"
