sample,pool,n,mean_total,mean_mrna,mean_rrna,median_total,median_mrna,rrna_frac_pooled,mrna_frac_pooled,rrna_frac_percell_mean,ratio_total_over_mrna,pearson_raw,pearson_log,spearman,r2_log,cv_mrna_frac
exp,all,100000,116.41876,4.97639,107.02813,63.0,1.0,0.9193374847833803,0.042745602169272374,0.9073027807770818,23.39421950450025,0.8402879103739378,0.6494853683994734,0.5926675313209397,0.42183124376499964,1.5864930849526382
exp,total>50,65468,163.81639885134723,7.038369890633592,150.86043563267552,90.0,2.0,0.9209116833875196,0.04296498970790132,0.9248494878841899,23.274764099759544,0.8391892137724051,0.7048027262794399,0.584685647068937,0.496746882970931,1.2557493736063776
exp,total>200,9418,585.2637502654492,30.37937991080909,536.3448715226162,298.0,12.0,0.9164156694812459,0.05190716133885001,0.9123180701344441,19.265164462991894,0.8371772636442179,0.6742005560558234,0.5731001061056041,0.4545463897859815,1.1456189440838642
exp,total>400,2880,1304.1194444444445,69.21944444444445,1196.6208333333334,645.5,31.0,0.917569965259658,0.05307753422381641,0.9078472574497566,18.840362775392272,0.8383449604847658,0.689251613006387,0.6014741066204577,0.4750677860319063,1.0471100952248134
dis1,all,100000,59.29274,3.78589,52.86038,9.0,1.0,0.8915152175460267,0.06385081883549318,0.8163358578555578,15.66150627725581,0.8907853423060227,0.8554035879237594,0.6977121390237296,0.7317152982328408,1.5438787651017514
dis1,total>50,26855,195.12906348910818,12.149245950474771,176.16693353193074,109.0,7.0,0.9028226261218341,0.06226261600006565,0.891218095508627,16.061001998357177,0.8868680255903383,0.7399508539110599,0.5945993525185871,0.5475272662037066,0.5949513511045365
dis1,total>200,4136,681.2173597678917,41.77151837524178,622.3198742746615,326.5,18.0,0.9135408329680588,0.061318928204463864,0.9063126995282064,16.308178066413145,0.8799940491356163,0.733996014331003,0.6329025588874895,0.538750149053798,0.7855773507406311
dis1,total>400,1605,1330.4841121495326,81.28598130841121,1219.3757009345795,684.0,39.0,0.9164902382521154,0.061095040944972596,0.9095796290786198,16.367940581309785,0.87341615586171,0.6890240312801547,0.5828031202413012,0.47475411568155557,0.8337102489936973
dis2,all,100000,321.43387,15.915,295.76533,281.0,12.0,0.9201436363877895,0.049512517146995116,0.9053853576838811,20.19691297518065,0.8538384721976876,0.9096904950737342,0.8167481399645221,0.8275367968274957,0.9553760433399767
dis2,total>50,82341,386.299182667201,19.050436599021143,355.7334377770491,301.0,14.0,0.9208754606232639,0.049315239207827176,0.9186869118312552,20.27770758214801,0.8508868190491669,0.8024043516217989,0.6872840260949576,0.6438527435015995,0.45623849890822327
dis2,total>200,73642,414.6413867086717,20.41382634909427,382.01336194019717,312.0,15.0,0.9213102555259418,0.04923248620002586,0.9200079466063602,20.311791607214722,0.8502490351867247,0.7762457007551139,0.620825382792292,0.6025573879407978,0.4006577207863112
dis2,total>400,15686,856.6590590335331,44.268073441285225,790.2933826341961,509.0,24.0,0.9225296508575891,0.05167525280270502,0.9199996615333458,19.351622793563838,0.845825740248133,0.7807450611717031,0.6161940902996357,0.6095628505440064,0.5437983563557969
reg1,all,100000,28.16797,2.97567,20.74656,16.0,1.0,0.7365301794911029,0.10564020055403353,0.7525968122566382,9.466093350405119,0.9165574852016178,0.6400329561782258,0.47642939458389744,0.40964218499423866,1.2827820347193661
reg1,total>50,8123,145.80992244244737,20.920842053428537,104.50707866551767,80.0,7.0,0.7167350267727332,0.14348023579592947,0.7077622062039765,6.969601035659645,0.917087091069068,0.5815484052413153,0.5072339668948737,0.33819854763871715,1.0999200021996018
reg1,total>200,1005,562.963184079602,78.38706467661692,412.22487562189053,300.0,39.0,0.732241267776407,0.13924012598581068,0.7175778898453931,7.181837799413549,0.9337660609033389,0.5576680008422474,0.4556926343797487,0.31099359916338887,0.9315219649165731
reg1,total>400,314,1206.4713375796177,154.14012738853503,898.9713375796179,614.5,83.0,0.7451244878996495,0.1277611183849305,0.7428615678003014,7.827107438016529,0.9504758105768321,0.6394366993868982,0.5422957401427146,0.4088792925228104,0.7100322328603715
reg2,all,100000,44.94289,4.92423,33.38025,35.0,3.0,0.7427259350700411,0.10956638525025872,0.7640830700201618,9.12688684322219,0.7508877845864481,0.7146909963044982,0.6539881706550593,0.5107832201987162,0.9739816963732659
reg2,total>50,19924,109.2048785384461,14.731329050391487,79.20502911062036,65.0,6.0,0.7252883769541106,0.13489625415594647,0.7412776284896925,7.4131042871209205,0.7431929389921988,0.6523667231972403,0.47940678044406837,0.42558234153510477,0.9650864704272677
reg2,total>200,1143,682.0997375328084,110.32020997375328,480.23272090988627,331.0,50.0,0.7040505874506182,0.1617361859319686,0.6842549455463834,6.182908260373049,0.707117955160424,0.6129018401715041,0.5387014214149864,0.3756486656856159,0.9418077216024684
reg2,total>400,437,1345.4713958810069,206.27688787185355,958.2883295194508,699.0,112.0,0.7122324060200248,0.15331198307399516,0.6916951873546996,6.522647349211808,0.6774744158728259,0.6272116512193384,0.5602390352300872,0.393394455425289,0.8261762013602829
