sample,rep,n_new,shared_with_published,pct_of_published_retained
dis1,0,1000,615,61.5
dis2,0,1000,73,7.3
reg1,0,285,282,28.2
reg2,0,285,245,24.5
dis1,1,1000,641,64.1
dis2,1,1000,60,6.0
reg1,1,285,282,28.2
reg2,1,285,247,24.7
dis1,2,1000,645,64.5
dis2,2,1000,73,7.3
reg1,2,285,282,28.2
reg2,2,285,248,24.8
dis1,3,1000,623,62.3
dis2,3,1000,73,7.3
reg1,3,285,282,28.2
reg2,3,285,249,24.9
dis1,4,1000,627,62.7
dis2,4,1000,69,6.9
reg1,4,285,282,28.2
reg2,4,285,245,24.5
