sample,pair,rep,n_cells,n_genes,mean_genes_detected,median_genes_detected,mean_depth,median_depth,lambda_max,lambda_max_scrambled,gmp_cor
dis1,dis1+dis2,0,1000,2042,62.817,37.0,89.272,46.0,8.145541979209465,6.745196187495781,2.2642584420401484
dis2,dis1+dis2,0,1000,2042,61.903,37.0,80.998,43.0,7.8191640930945905,6.322348165266783,2.903401009876453
reg1,reg1+reg2,0,285,1796,112.99649122807017,75.0,260.3438596491228,164.0,26.617411927738555,13.4281662525993,38.287711068922064
reg2,reg1+reg2,0,285,1796,113.7859649122807,76.0,240.33684210526314,158.0,26.154983390348587,13.207534519766236,29.971641054761264
dis1,dis1+dis2,1,1000,2042,61.96,37.0,87.155,46.5,8.24245867377386,6.621151757360691,2.5578074491664973
dis2,dis1+dis2,1,1000,2042,62.822,37.0,83.142,43.0,7.058851469777712,6.688025640177915,0.4177550096429137
reg1,reg1+reg2,1,285,1796,113.01754385964912,75.0,261.3964912280702,164.0,26.758374621682336,13.136807673114333,42.34996372132771
reg2,reg1+reg2,1,285,1796,113.51228070175439,76.0,232.09824561403508,159.0,27.086047324990016,12.850447108203241,39.42330398565952
dis1,dis1+dis2,2,1000,2042,62.758,37.0,89.02,46.5,8.41188109652745,6.355548804285013,5.6780516327506465
dis2,dis1+dis2,2,1000,2042,62.372,37.0,81.301,43.0,7.934622420130642,6.41673387809698,3.4741826641996756
reg1,reg1+reg2,2,285,1796,113.02105263157895,75.0,261.2701754385965,161.0,27.744826883245644,13.138653211598548,43.71388652534952
reg2,reg1+reg2,2,285,1796,113.48421052631579,76.0,234.95087719298246,159.0,26.90407691398999,12.797708422389018,36.945064445436934
dis1,dis1+dis2,3,1000,2042,63.055,37.0,89.53,46.5,8.817809161594356,6.7528151946244375,3.2372501920086583
dis2,dis1+dis2,3,1000,2042,61.448,37.0,80.931,43.5,7.0171770558602,6.337982006707068,0.7216422140326397
reg1,reg1+reg2,3,285,1796,113.0,75.0,262.38947368421054,164.0,26.694337633701927,13.038894849139856,44.88088346442535
reg2,reg1+reg2,3,285,1796,114.96491228070175,76.0,234.95087719298246,156.0,27.869726695152593,12.861972327991182,39.383639096162355
dis1,dis1+dis2,4,1000,2042,62.435,37.0,87.781,47.0,8.684717730119218,6.653393562382375,4.627563021469603
dis2,dis1+dis2,4,1000,2042,61.29,37.0,78.958,44.0,7.169330021483722,6.607981024142127,0.5613489973415948
reg1,reg1+reg2,4,285,1796,112.99649122807017,75.0,262.280701754386,164.0,27.57340152473508,13.393282828350086,41.000778000068465
reg2,reg1+reg2,4,285,1796,113.93684210526315,76.0,235.22105263157894,156.0,26.29839724266725,12.887044431932235,38.467324679705136
