sample,cond,n_band,total_cut,kept_mrna,dropped_mrna,kept_detected,dropped_detected,kept_rrna_frac,dropped_rrna_frac,total_iqr_ratio
exp,exp,662,460.0,48.84592145015106,47.809667673716014,45.67371601208459,44.873111782477345,0.90337941915706,0.7065079074832616,3.195804195804196
dis1,dis,385,497.0,49.7979274611399,47.411458333333336,42.523316062176164,40.552083333333336,0.9115990221894417,0.786420556798487,2.0054644808743167
dis2,dis,1976,613.0,48.813131313131315,46.76876267748479,45.657575757575756,43.99797160243408,0.9155360078282652,0.8601261318068534,1.5538537549407114
reg1,reg,482,126.5,49.80497925311203,47.32365145228216,40.41908713692946,37.04979253112033,0.6083336212857351,0.30480504063004643,2.247311827956989
reg2,reg,472,136.0,49.48739495798319,48.65811965811966,43.773109243697476,42.324786324786324,0.6365935136781887,0.3526850823811869,2.537128712871287
