,n_cells,n_genes,mean_total_expression,median_total_expression,pct_of_all_counts_retained,mean_gene_mean,mean_gene_fano,median_cells_detected,gmp_cor,lambda_max,lambda_max_scrambled,n_modes_above_threshold,fraction_non_zero
max_expr,1000.0,2000.0,251.136,149.0,87.93123369688907,0.125568,1.315556137254123,51.0,55.08864299456692,10.708739880960579,5.94370141937837,50.0,0.0897735
mean_expr,1000.0,2000.0,263.099,157.0,92.11988585634005,0.13154949999999999,1.272956268839856,55.0,71.19532050896312,10.272341790651195,5.899430306202315,62.0,0.0956485
fano,1000.0,2000.0,246.59,147.0,86.33952486826212,0.12329499999999999,1.3171548842366934,47.0,57.706559785760426,11.632087496287149,5.934381703463508,52.0,0.087423
