position,condition,cell_id,area_px,length_px,width_px,feret_max_px,arc_length_px,width_pa_px,straightness,perimeter_px,solidity,eccentricity,orientation_deg,mcherry_mean,mcherry_median,mcherry_bgsub_median,above_bg,kept,reason,bg_median,bg_std,bg_tilt_x_per1kpx,bg_tilt_y_per1kpx,bg_tilt_range
Pos0,Reg-Arrest,1,139,14.528877435544327,12.403969620649544,15.297058540778355,15.37432039137408,10.613386407494055,0.994974616852718,42.86480473525314,0.9586206896551724,0.5206898587578863,-87.03993398268204,453.93524169921875,466.0,224.337158203125,True,True,ok,248.7162322998047,20.040437698364258,0.35454532504081726,6.667322635650635,14.373764038085938
Pos0,Reg-Arrest,2,203,17.310779977556102,15.484612791129242,18.867962264113206,19.16033073243956,12.285238273001971,0.9847409487649731,52.34539922493833,0.9666666666666667,0.44705406604993797,-55.32071469684393,330.35467529296875,328.0,86.24220275878906,True,True,ok,248.7162322998047,20.040437698364258,0.35454532504081726,6.667322635650635,14.373764038085938
Pos0,Reg-Arrest,3,558,44.82640884207647,16.00376973607333,42.80186911806539,40.92075816624427,14.7820424785225,1.0459696016427393,98.71658743102208,0.9637305699481865,0.9340980594032839,41.66864676562301,380.1361999511719,378.0,136.392822265625,True,True,ok,248.7162322998047,20.040437698364258,0.35454532504081726,6.667322635650635,14.373764038085938
Pos0,Reg-Arrest,4,471,45.281595415015126,13.523595708063532,42.720018726587654,42.43895087524889,11.802716863072117,1.0066228746362031,98.35179661378127,0.9289940828402367,0.9543609988961502,67.01921704368692,424.7091369628906,421.0,179.12026977539062,True,True,ok,248.7162322998047,20.040437698364258,0.35454532504081726,6.667322635650635,14.373764038085938
Pos0,Reg-Arrest,5,295,25.832447583140468,14.65711982239251,25.96150997149434,25.25551868629885,13.149970189173645,1.0279539412341783,65.52294673548312,0.9455128205128205,0.8234479377626561,-79.44339273918021,333.5728759765625,327.0,84.85739135742188,True,True,ok,248.7162322998047,20.040437698364258,0.35454532504081726,6.667322635650635,14.373764038085938
Pos0,Reg-Arrest,6,324,27.58652505081229,15.05593712437053,27.51363298439521,26.2773243616838,13.91026196572193,1.0470484972402339,68.43450159294527,0.9557522123893806,0.8379340965766086,-68.5910756389116,375.870361328125,378.5,136.3092498779297,True,True,ok,248.7162322998047,20.040437698364258,0.35454532504081726,6.667322635650635,14.373764038085938
Pos0,Reg-Arrest,7,374,30.652281381310363,15.578497474123411,30.4138126514911,28.897067651953925,14.50496438191535,1.0524878516327458,74.35289608288403,0.9639175257731959,0.8612196770213137,62.43938475463721,358.3235168457031,351.5,109.7104263305664,True,True,ok,248.7162322998047,20.040437698364258,0.35454532504081726,6.667322635650635,14.373764038085938
Pos0,Reg-Arrest,8,283,23.84450924799344,15.111148837690328,24.515301344262525,22.547424014824344,14.572501721737687,1.0872772573995306,61.730708939609045,0.9658703071672355,0.7735485488330718,-3.9093323411631684,358.1166076660156,354.0,111.73138427734375,True,True,ok,248.7162322998047,20.040437698364258,0.35454532504081726,6.667322635650635,14.373764038085938
Pos0,Reg-Arrest,9,362,29.52737039252316,15.674144155404985,29.120439557122072,27.763759112325715,14.711469880584174,1.0488651568869887,72.32202416383383,0.9627659574468085,0.8474755643931822,-8.135715045940094,417.49169921875,410.5,168.201171875,True,True,ok,248.7162322998047,20.040437698364258,0.35454532504081726,6.667322635650635,14.373764038085938
Pos0,Reg-Arrest,10,347,29.468235066364045,15.057347736768312,28.844410203711913,26.70378887895864,14.740597624761195,1.080161707930517,70.23533571586782,0.980225988700565,0.8595992782551546,42.982705924231716,397.5648498535156,396.0,153.5009307861328,True,True,ok,248.7162322998047,20.040437698364258,0.35454532504081726,6.667322635650635,14.373764038085938
