position,track_id,trench,halt_frame,halt_time_h,n_frames,glitch_frames
Pos11,r18c15,18,22,3.6666666666666665,33,
Pos11,r18c17,18,22,3.6666666666666665,9,
Pos11,r18c9,18,28,4.666666666666667,38,
Pos11,r19c14,19,22,3.6666666666666665,17,
Pos11,r19c19,19,29,4.833333333333333,36,
Pos11,r19c20,19,22,3.6666666666666665,35,
Pos11,r19c21,19,22,3.6666666666666665,15,
Pos11,r19c23,19,24,4.0,33,
Pos11,r1c16,1,21,3.5,37,
Pos11,r1c19,1,19,3.1666666666666665,35,
Pos11,r1c23,1,27,4.5,32,
Pos11,r1c27,1,21,3.5,7,
Pos11,r1c29,1,27,4.5,28,
Pos11,r23c12,23,25,4.166666666666667,27,
Pos11,r23c13,23,22,3.6666666666666665,27,
Pos11,r23c5,23,22,3.6666666666666665,31,
Pos11,r28c15,28,21,3.5,37,
Pos11,r28c16,28,21,3.5,36,
Pos11,r28c17,28,24,4.0,35,
Pos11,r28c21,28,24,4.0,32,
Pos11,r28c26,28,23,3.8333333333333335,28,
Pos11,r28c28,28,24,4.0,27,
Pos11,r29c15,29,25,4.166666666666667,23,
Pos11,r29c16,29,22,3.6666666666666665,29,
Pos11,r29c19,29,22,3.6666666666666665,30,
Pos11,r29c20,29,32,5.333333333333333,34,
Pos11,r29c21,29,22,3.6666666666666665,32,
Pos11,r29c25,29,26,4.333333333333333,29,
Pos11,r3c10,3,24,4.0,36,
Pos11,r3c11,3,21,3.5,35,
Pos11,r3c17,3,20,3.3333333333333335,31,
Pos11,r3c19,3,22,3.6666666666666665,6,
Pos11,r6c12,6,27,4.5,39,
Pos11,r6c13,6,23,3.8333333333333335,32,
Pos11,r6c5,6,40,6.666666666666667,47,
Pos11,r6c7,6,24,4.0,36,
Pos12,r14c12,14,26,4.333333333333333,19,
Pos12,r14c14,14,22,3.6666666666666665,28,
Pos12,r14c15,14,23,3.8333333333333335,33,
Pos12,r14c19,14,26,4.333333333333333,29,
Pos12,r14c20,14,22,3.6666666666666665,29,
Pos12,r18c19,18,18,3.0,19,
Pos12,r18c21,18,29,4.833333333333333,34,
Pos12,r26c10,26,20,3.3333333333333335,33,
Pos12,r26c11,26,20,3.3333333333333335,11,
Pos12,r26c13,26,19,3.1666666666666665,10,
Pos12,r26c14,26,34,5.666666666666667,27,
Pos12,r26c15,26,23,3.8333333333333335,13,
Pos12,r26c5,26,23,3.8333333333333335,27,
Pos12,r27c10,27,22,3.6666666666666665,31,
Pos12,r27c15,27,22,3.6666666666666665,32,
Pos12,r27c16,27,24,4.0,23,
Pos12,r27c7,27,22,3.6666666666666665,43,
Pos12,r28c16,28,22,3.6666666666666665,22,
Pos12,r28c22,28,26,4.333333333333333,21,
Pos12,r28c24,28,22,3.6666666666666665,25,
Pos12,r28c29,28,22,3.6666666666666665,29,
Pos12,r28c38,28,32,5.333333333333333,19,
Pos12,r29c17,29,32,5.333333333333333,36,
Pos12,r29c19,29,26,4.333333333333333,16,
Pos12,r29c22,29,21,3.5,31,
Pos12,r29c24,29,22,3.6666666666666665,29,
Pos12,r2c15,2,24,4.0,30,
Pos12,r2c19,2,19,3.1666666666666665,35,
Pos12,r2c21,2,23,3.8333333333333335,33,
Pos12,r2c28,2,26,4.333333333333333,7,
Pos12,r2c34,2,32,5.333333333333333,12,
Pos12,r2c37,2,45,7.5,16,
Pos12,r2c45,2,43,7.166666666666667,8,
Pos12,r3c13,3,22,3.6666666666666665,22,
Pos12,r3c14,3,22,3.6666666666666665,18,
Pos12,r3c17,3,22,3.6666666666666665,33,
Pos12,r3c7,3,22,3.6666666666666665,43,
Pos12,r5c1,5,19,3.1666666666666665,50,
Pos12,r5c12,5,19,3.1666666666666665,33,
Pos12,r5c13,5,20,3.3333333333333335,25,
Pos12,r5c14,5,23,3.8333333333333335,13,
Pos12,r7c25,7,21,3.5,27,
Pos12,r7c26,7,26,4.333333333333333,14,
Pos12,r7c28,7,22,3.6666666666666665,19,
Pos12,r7c29,7,22,3.6666666666666665,14,
Pos13,r11c25,11,23,3.8333333333333335,33,
Pos13,r12c28,12,23,3.8333333333333335,24,
Pos13,r15c15,15,26,4.333333333333333,36,
Pos13,r15c25,15,23,3.8333333333333335,23,
Pos13,r15c30,15,33,5.5,22,
Pos13,r17c11,17,33,5.5,25,
Pos13,r17c34,17,32,5.333333333333333,13,
Pos13,r18c16,18,23,3.8333333333333335,34,
Pos13,r19c21,19,34,5.666666666666667,40,
Pos13,r19c28,19,23,3.8333333333333335,31,
Pos13,r19c29,19,23,3.8333333333333335,29,
Pos13,r19c34,19,23,3.8333333333333335,28,
Pos13,r22c23,22,23,3.8333333333333335,29,
Pos13,r22c30,22,32,5.333333333333333,28,
Pos13,r24c1,24,23,3.8333333333333335,42,
Pos13,r29c15,29,23,3.8333333333333335,33,
Pos13,r29c26,29,27,4.5,21,
Pos13,r29c48,29,43,7.166666666666667,8,
Pos13,r2c26,2,23,3.8333333333333335,28,
Pos13,r2c37,2,35,5.833333333333333,8,
Pos13,r5c16,5,23,3.8333333333333335,28,
Pos13,r5c5,5,25,4.166666666666667,45,
Pos13,r7c14,7,23,3.8333333333333335,27,
Pos13,r7c19,7,23,3.8333333333333335,20,
Pos13,r7c22,7,30,5.0,12,
Pos14,r11c14,11,21,3.5,35,
Pos14,r11c18,11,23,3.8333333333333335,38,
Pos14,r11c22,11,22,3.6666666666666665,29,
Pos14,r11c24,11,26,4.333333333333333,11,
Pos14,r12c15,12,23,3.8333333333333335,17,
Pos14,r12c17,12,23,3.8333333333333335,28,
Pos14,r12c7,12,23,3.8333333333333335,41,
Pos14,r14c26,14,22,3.6666666666666665,38,
Pos14,r14c30,14,23,3.8333333333333335,33,
Pos14,r17c26,17,23,3.8333333333333335,19,
Pos14,r17c27,17,23,3.8333333333333335,33,
Pos14,r17c30,17,26,4.333333333333333,18,
Pos14,r17c44,17,44,7.333333333333333,6,
Pos14,r22c15,22,25,4.166666666666667,32,
Pos14,r22c16,22,23,3.8333333333333335,25,
Pos14,r22c18,22,22,3.6666666666666665,27,
Pos14,r22c20,22,22,3.6666666666666665,24,
Pos14,r22c36,22,44,7.333333333333333,7,
Pos14,r24c11,24,20,3.3333333333333335,43,
Pos14,r24c21,24,22,3.6666666666666665,15,
Pos14,r24c22,24,23,3.8333333333333335,14,
Pos14,r24c23,24,20,3.3333333333333335,18,
Pos14,r25c12,25,24,4.0,14,
Pos14,r25c14,25,26,4.333333333333333,33,
Pos14,r25c16,25,24,4.0,12,
Pos14,r25c18,25,22,3.6666666666666665,24,
Pos14,r28c14,28,22,3.6666666666666665,35,
Pos14,r28c16,28,20,3.3333333333333335,27,
Pos14,r28c18,28,23,3.8333333333333335,30,
Pos14,r28c5,28,18,3.0,18,
Pos14,r28c6,28,20,3.3333333333333335,35,
Pos14,r2c31,2,22,3.6666666666666665,34,
Pos14,r2c33,2,25,4.166666666666667,23,
Pos14,r2c35,2,22,3.6666666666666665,23,
Pos14,r2c39,2,22,3.6666666666666665,29,
Pos14,r3c20,3,22,3.6666666666666665,22,
Pos14,r3c21,3,23,3.8333333333333335,27,
Pos14,r3c9,3,25,4.166666666666667,41,
Pos14,r6c12,6,22,3.6666666666666665,35,
Pos14,r6c25,6,29,4.833333333333333,36,
Pos14,r6c30,6,31,5.166666666666667,20,
Pos14,r6c35,6,32,5.333333333333333,23,
Pos14,r6c38,6,26,4.333333333333333,27,
Pos14,r6c48,6,34,5.666666666666667,10,
