position,condition,cell_id,area_px,length_px,width_px,feret_max_px,arc_length_px,width_pa_px,straightness,perimeter_px,solidity,eccentricity,orientation_deg,yfp_mean,yfp_median,yfp_bgsub_median,phase_bgsub_median,above_bg,is_dark,kept,reason,bg_median,bg_std,bg_tilt_x_per1kpx,bg_tilt_y_per1kpx,bg_tilt_range
pos0,SHX,1,852,61.195984550279306,17.96584883693373,58.137767414994535,57.086094106391265,15.871842689999665,1.0184225830312241,132.291367226619,0.9519553072625698,0.9559348508085609,-64.24893559202765,459.5762939453125,472.0,353.30516815185547,-273.0,True,True,True,ok,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos0,SHX,2,1134,77.35180468414468,19.048830686904466,72.18032973047436,69.90297137255988,17.12255340144535,1.0325788491275558,159.3529239189087,0.9395194697597349,0.9692032276217563,-6.759520528862027,441.23455810546875,447.0,328.2413864135742,-267.0,True,True,True,ok,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos0,SHX,3,694,52.35024760946341,17.222866636954446,49.49747468305833,48.12951956676844,15.489164155265414,1.0284223721450652,113.94135514343422,0.9429347826086957,0.9443323490828408,88.6740509228382,466.4826965332031,480.0,361.2523727416992,-244.0,True,True,True,ok,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos0,SHX,4,540,42.56214510375243,16.416056295721503,40.70626487409524,39.3832223390231,14.925278155859784,1.0335940650991677,95.80503257355994,0.9440559440559441,0.9226258534717806,-33.80515981219061,118.45370483398438,118.0,-0.21969985961914062,-133.0,False,True,False,yfp_below_background,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos0,SHX,5,669,45.665839526804625,18.774880378713867,44.204072210600685,41.916111539997374,17.534591357629274,1.054584277657055,103.84958375756341,0.9709724238026125,0.9115739209850903,-41.212884308855955,121.08221435546875,121.0,2.3677291870117188,-130.0,False,True,False,yfp_below_background,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos0,SHX,6,422,32.53572603094033,16.575591138287134,32.38826948140329,30.985368136579524,15.224697759309878,1.045276252282689,79.35113938831219,0.965675057208238,0.8604954285605921,-0.4583714136926511,120.87677764892578,121.0,3.1365928649902344,-166.5,False,True,False,yfp_below_background,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos0,SHX,7,271,20.606699690223063,17.075774130669,22.20360331117452,22.142876501886768,14.190247396251815,1.0027424986668998,60.48523518395629,0.9508771929824561,0.5597647444371542,31.117631767768472,117.41328430175781,117.0,-0.6503219604492188,19.0,False,False,False,yfp_below_background,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos0,SHX,8,555,27.826342844335752,25.399278073328684,29.068883707497267,28.016687865025617,24.35204427349739,1.0375560397267785,83.83349057256925,0.9685863874345549,0.4084556612323914,-34.94443713208706,116.78018188476562,117.0,-0.5019073486328125,8.0,False,False,False,yfp_below_background,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos0,SHX,9,890,60.019270261047524,19.24350519311251,56.938563381947034,56.145483647360344,16.94978916408389,1.0141254413189826,131.64072208433473,0.9378292939936775,0.9472071902612397,-31.500694205033806,584.7326049804688,600.5,482.66951751708984,-266.0,True,True,True,ok,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos0,SHX,10,617,43.896202989454345,17.968389155853636,42.42640687119285,39.40491769111557,17.285089142374236,1.0766779721191633,98.54236616381026,0.9840510366826156,0.9123827620389403,1.7324049325240858,662.6953125,648.0,530.410514831543,-274.0,True,True,True,ok,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos0,SHX,11,627,47.92192006107676,16.833917510989068,45.5411901469428,43.47216958442355,15.628818212818606,1.0475941408560525,104.78608322489117,0.9557926829268293,0.9362711936253302,-3.6011156275537073,642.88037109375,653.0,535.3349533081055,-213.0,True,True,True,ok,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos0,SHX,12,575,40.80675239645059,18.077008971971345,39.6232255123179,37.356681124605785,17.065111351404173,1.0606730662221278,94.19476800066637,0.9599332220367279,0.8965262412815131,-3.326799783524687,340.72174072265625,347.0,229.34729766845703,-146.0,True,True,True,ok,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos0,SHX,13,945,67.29221450430651,18.39646092018328,62.96824596572466,61.10642922363745,16.410614417167523,1.030468426411783,140.94709530680808,0.9310344827586207,0.9619056287452457,-82.30798248794878,736.0380859375,776.0,658.724479675293,-245.0,True,True,True,ok,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos0,SHX,14,583,43.39348087535123,17.326176737192892,42.05948168962618,41.30169821465725,15.33801571535202,1.018347513727656,100.11316249060516,0.9526143790849673,0.916828758256764,-13.927293832215911,763.66552734375,768.0,650.774284362793,-247.0,True,True,True,ok,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos0,SHX,15,845,56.4251495733183,19.258126410706314,54.589376255824725,52.95847212808391,17.147399714376967,1.030795905965647,125.49228979826829,0.9591373439273553,0.9399529849584239,-29.95766491304497,594.44140625,608.0,490.89778900146484,-259.0,True,True,True,ok,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos0,SHX,16,575,41.26787305217197,17.826056534102033,40.52159917870962,39.279604998382005,16.04519353522285,1.0316193144095716,96.87628506200086,0.9457236842105263,0.9018929257887764,9.809298992771742,408.8226013183594,411.0,293.8315658569336,-249.0,True,True,True,ok,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos0,SHX,17,973,65.72849167958638,19.49264356138767,62.625873247404705,61.10786745098426,16.929146274230032,1.0248414133849142,141.54192392017654,0.9293218720152817,0.9550132684751819,-19.34306962564946,704.8355712890625,711.0,594.7429122924805,-269.0,True,True,True,ok,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos0,SHX,18,578,39.57357451388451,18.738888197343574,38.948684188300895,37.54221500430473,17.059612943423602,1.0374636707992562,94.55955881790719,0.961730449251248,0.8807829412451694,59.62724016780601,722.160888671875,715.5,598.7846603393555,-277.0,True,True,True,ok,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos0,SHX,19,863,59.72345201433097,18.802026280147267,56.72741841473134,54.11030021632098,17.109955131003158,1.0483663588623182,127.75319951344615,0.955703211517165,0.9491520092118289,-43.87571039793774,516.6222534179688,531.0,414.32274627685547,-260.0,True,True,True,ok,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos0,SHX,20,547,39.36647650201459,18.136530818926627,37.656340767525464,37.94456275640067,15.833672926063212,0.9924041293946235,93.96473020453871,0.9334470989761092,0.8875507097831241,82.15130131109933,522.8921508789062,549.0,432.2440719604492,-239.0,True,True,True,ok,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos0,SHX,21,679,35.967707461019586,25.324802232203602,37.589892258425,40.675951054232854,18.498239985976547,0.9241306296269941,102.4693569807975,0.9126344086021505,0.7101025012256883,-68.61865913722369,114.95140075683594,115.0,-1.6674118041992188,3172.0,False,False,False,yfp_below_background,117.9399642944336,6.925922393798828,0.44709259271621704,-1.3477609157562256,3.6740646362304688
pos2,SHX,1,600,43.50014212836655,17.659141520933435,42.190046219457976,40.18156062465809,16.36204358368257,1.0499852560123646,99.04191000216422,0.966183574879227,0.9138926450603936,-36.1120963385814,505.21832275390625,508.5,389.4038619995117,-259.0,True,True,True,ok,119.1146240234375,7.139525413513184,0.5124103426933289,-1.0720635652542114,3.2434158325195312
pos2,SHX,2,468,35.95353040990504,16.775178727278345,35.73513677041127,34.48594192290413,14.964224009432513,1.0362233065954762,86.05493204164841,0.949290060851927,0.8844792872028278,-15.052727272917373,549.9807739257812,564.5,445.14815521240234,-242.0,True,True,True,ok,119.1146240234375,7.139525413513184,0.5124103426933289,-1.0720635652542114,3.2434158325195312
pos2,SHX,3,405,32.84665004768362,15.765631187833312,32.69556544854363,31.260678350907284,14.373932145359861,1.0459007025224936,78.93053204215556,0.9551886792452831,0.8772811614187288,-64.69169625506316,561.7210083007812,554.0,435.3519821166992,-236.0,True,True,True,ok,119.1146240234375,7.139525413513184,0.5124103426933289,-1.0720635652542114,3.2434158325195312
pos2,SHX,4,424,32.41912988358266,16.718520196351033,32.2490309931942,30.473215375820004,15.635479269487465,1.0582746387433495,78.7957790210424,0.9658314350797267,0.8567696937071474,-0.9431790969562365,131.0047149658203,130.0,11.302295684814453,-219.0,False,True,False,yfp_below_background,119.1146240234375,7.139525413513184,0.5124103426933289,-1.0720635652542114,3.2434158325195312
pos2,SHX,5,852,56.5213450330889,19.360010144036316,54.12947441089743,52.02016060944047,17.66569407592081,1.0405480063257277,124.20734779651687,0.9616252821670429,0.9395084793422469,-81.40443867408,406.8955383300781,409.0,289.9675827026367,-234.5,True,True,True,ok,119.1146240234375,7.139525413513184,0.5124103426933289,-1.0720635652542114,3.2434158325195312
pos2,SHX,6,703,47.79297860715682,18.993296052859733,45.803929962395145,43.795874506170435,17.563245942454326,1.0458503335957317,107.64182155343747,0.9564625850340136,0.9176421674306242,-39.44120232112734,721.1123657226562,718.0,598.9876022338867,-232.0,True,True,True,ok,119.1146240234375,7.139525413513184,0.5124103426933289,-1.0720635652542114,3.2434158325195312
pos2,SHX,7,761,57.81715440406452,17.252832145678013,54.589376255824725,53.89642821874149,15.017679852445763,1.0128570307900715,124.9369294309985,0.9291819291819292,0.9544398592904992,60.29998776853276,718.9421997070312,722.0,603.9011764526367,-227.0,True,True,True,ok,119.1146240234375,7.139525413513184,0.5124103426933289,-1.0720635652542114,3.2434158325195312
pos2,SHX,8,576,40.166618400205344,18.380975557196653,39.35733730830886,37.5977426224196,16.962331977327228,1.046800540754806,94.55955881790719,0.964824120603015,0.8891487976072223,61.64672574567101,533.6614379882812,547.5,429.6652145385742,-260.0,True,True,True,ok,119.1146240234375,7.139525413513184,0.5124103426933289,-1.0720635652542114,3.2434158325195312
pos2,SHX,9,107,14.65393155512665,9.587728157464634,15.297058540778355,14.691725633960283,8.285860850265907,1.0412023013429295,38.842529143251404,0.9553571428571429,0.7562551192475802,-0.09714426975030814,119.25233459472656,119.0,0.14424896240234375,-141.0,False,True,False,yfp_below_background,119.1146240234375,7.139525413513184,0.5124103426933289,-1.0720635652542114,3.2434158325195312
pos2,SHX,10,769,54.66028348166158,18.147421722958068,52.32590180780452,50.98961160922346,16.183841907354505,1.0262071068283904,120.45457824674145,0.9552795031055901,0.9432780491588999,24.983764080822844,567.1976318359375,570.0,451.2258529663086,-234.0,True,True,True,ok,119.1146240234375,7.139525413513184,0.5124103426933289,-1.0720635652542114,3.2434158325195312
pos2,SHX,11,701,56.396073098258675,16.368149819918752,52.88667128870941,52.117455967590544,14.29139460145588,1.014759264565738,120.54986302175595,0.9151436031331592,0.9569552126024488,74.54461231617256,496.6305236816406,514.0,396.12303924560547,-245.0,True,True,True,ok,119.1146240234375,7.139525413513184,0.5124103426933289,-1.0720635652542114,3.2434158325195312
pos2,SHX,12,880,58.98002366250875,19.20229870906234,56.32051136131489,52.78498313287868,17.986713880934648,1.0669798116546902,126.10346669445391,0.9659714599341384,0.9455169336060656,2.868543082689856,503.72613525390625,513.0,394.5733871459961,-204.0,True,True,True,ok,119.1146240234375,7.139525413513184,0.5124103426933289,-1.0720635652542114,3.2434158325195312
pos2,SHX,13,832,57.17852060525283,18.775634861618066,54.589376255824725,52.847868820015364,16.903584881352575,1.032953219773922,124.99274595991433,0.9476082004555809,0.944549636301839,-84.89056550772878,764.2103271484375,780.5,662.4937057495117,-230.0,True,True,True,ok,119.1146240234375,7.139525413513184,0.5124103426933289,-1.0720635652542114,3.2434158325195312
pos2,SHX,14,1232,84.17052326781993,19.337839307878085,77.41446893184762,75.12651433298682,17.248893828494673,1.030454688589967,169.94423914313347,0.9221556886227545,0.9732506280155174,-0.7327628247514201,586.2621459960938,584.0,466.45503997802734,-222.0,True,True,True,ok,119.1146240234375,7.139525413513184,0.5124103426933289,-1.0720635652542114,3.2434158325195312
pos2,SHX,15,612,43.9415225031808,17.816473320895742,43.08131845707603,41.65375092631143,16.013743722225836,1.0342722443721832,101.58867404238555,0.9532710280373832,0.9141133568157609,65.44779132173454,590.0538940429688,575.5,457.8805465698242,-247.0,True,True,True,ok,119.1146240234375,7.139525413513184,0.5124103426933289,-1.0720635652542114,3.2434158325195312
pos2,SHX,16,686,48.190071816103966,18.422837364896644,46.486557196677836,46.068159881289475,16.098201354426013,1.0090821364792193,110.51390816480094,0.9501385041551247,0.9240402118257556,69.72827041714307,731.9417114257812,736.5,618.3583297729492,-208.0,True,True,True,ok,119.1146240234375,7.139525413513184,0.5124103426933289,-1.0720635652542114,3.2434158325195312
pos2,SHX,17,6530,135.30515989201461,62.51335134699373,136.1800279042415,133.0898178806919,53.717466265541965,1.0232189815326056,327.503100619584,0.9736096615476368,0.8868708091800118,40.04243665884833,119.38744354248047,119.0,1.235443115234375,833.0,False,False,False,yfp_below_background,119.1146240234375,7.139525413513184,0.5124103426933289,-1.0720635652542114,3.2434158325195312
