position,trench,track_id,event_type,frame,time_h,time_h_post_drug,has_time,G,D,daughters,L_pre,L_products,delta_dip,n_obs,confirmed_by
Pos8,5,r5c14,halt,,,,False,0.0691009917122147,0.0,,,,,16.0,fate=HALTED
Pos8,5,r5c7,halt,,,,False,-0.0860498920201249,0.0,,,,,14.0,fate=HALTED
Pos9,1,r1c1,division,8.0,1.3333333333333333,-1.6666666666666667,True,,,r1c4,100.52631810933006,104.52424082243368,0.2614827227042356,,mask+YFP
Pos9,21,r21c1,division,8.0,1.3333333333333333,-1.6666666666666667,True,,,r21c8,162.35285207154013,170.37901894375105,0.4062589919421152,,mask+YFP
Pos9,2,r2c3,division,9.0,1.5,-1.5,True,,,r2c8,106.32336989547773,112.03182514690847,0.6970758831312057,,mask+YFP
Pos9,1,r1c1,division,13.0,2.1666666666666665,-0.8333333333333334,True,,,r1c8,81.00333910052156,85.38883700028973,0.2550065401361163,,mask+YFP
Pos9,4,r4c16,halt,19.0,3.1666666666666665,0.16666666666666666,True,0.0549455184402551,0.0,,,,,12.0,fate=HALTED
Pos9,21,r21c30,halt,,,,False,0.140191264099295,0.0,,,,,11.0,fate=HALTED
Pos10,1,r1c5,division,3.0,0.5,-2.5,True,,,r1c7,89.66096864784302,87.4172797846704,0.2117605900572973,,mask+YFP
Pos10,12,r12c5,division,12.0,2.0,-1.0,True,,,r12c10,110.39704502408009,124.20612982633936,1.2220895127311715,,mask+YFP
Pos10,11,r11c1,division,13.0,2.1666666666666665,-0.8333333333333334,True,,,r11c4,173.10092978526885,190.517194050172,0.5685122600231663,,mask+YFP
Pos10,12,r12c9,division,16.0,2.6666666666666665,-0.3333333333333333,True,,,r12c11,88.18422531506165,97.89711385972974,0.4190632293204503,,mask+YFP
Pos10,11,r11c4,division,17.0,2.8333333333333335,-0.16666666666666666,True,,,r11c8,91.58872170476124,100.0102342799302,0.4164172762523955,,mask+YFP
Pos10,12,r12c1,halt,22.0,3.6666666666666665,0.6666666666666666,True,-0.1876660861880426,0.0,,,,,16.0,fate=HALTED
Pos10,12,r12c11,halt,22.0,3.6666666666666665,0.6666666666666666,True,-0.0946444097530632,0.0,,,,,16.0,fate=HALTED
Pos10,21,r21c19,halt,22.0,3.6666666666666665,0.6666666666666666,True,-0.0990199977058381,0.0,,,,,14.0,fate=HALTED
Pos10,2,r2c31,halt,22.0,3.6666666666666665,0.6666666666666666,True,-0.1346535480307951,0.0,,,,,16.0,fate=HALTED
Pos10,5,r5c20,halt,22.0,3.6666666666666665,0.6666666666666666,True,0.0817562083386942,0.0,,,,,14.0,fate=HALTED
Pos10,1,r1c29,halt,24.0,4.0,1.0,True,0.1138941033102627,0.0,,,,,13.0,fate=HALTED
Pos10,23,r23c16,halt,24.0,4.0,1.0,True,-0.0272686224655758,0.0,,,,,16.0,fate=HALTED
Pos10,12,r12c9,halt,25.0,4.166666666666667,1.1666666666666667,True,0.0595840293636196,0.0,,,,,14.0,fate=HALTED
Pos10,17,r17c18,halt,,,,False,-0.5114179494591387,0.0,,,,,15.0,fate=HALTED
Pos10,9,r9c18,halt,,,,False,-0.3820431616078998,0.0,,,,,14.0,fate=HALTED
Pos11,3,r3c2,division,5.0,0.8333333333333334,-2.1666666666666665,True,,,r3c3,84.81983147756907,81.43821757960035,0.2089814812981149,,mask+YFP
Pos11,16,r16c1,division,7.0,1.1666666666666667,-1.8333333333333333,True,,,r16c3,107.94990145242802,112.83213926387084,0.2120460348036149,,mask+YFP
Pos11,16,r16c2,division,8.0,1.3333333333333333,-1.6666666666666667,True,,,r16c4,118.57742382022296,117.62719901614489,0.3902073149649406,,mask+YFP
Pos11,3,r3c1,division,12.0,2.0,-1.0,True,,,r3c7,98.73625177485256,106.2983911687204,0.6611392658108798,,mask+YFP
Pos11,16,r16c1,division,13.0,2.1666666666666665,-0.8333333333333334,True,,,r16c6,95.26716284888391,102.64258583232224,0.5692173495773614,,mask+YFP
Pos11,16,r16c4,division,13.0,2.1666666666666665,-0.8333333333333334,True,,,r16c7,94.6361935150556,97.15374725354516,1.0561819888251698,,mask+YFP
Pos11,10,r10c2,division,14.0,2.3333333333333335,-0.6666666666666666,True,,,r10c18,86.56490843563607,93.81683079265326,0.5503255554185243,,mask+YFP
Pos11,16,r16c2,division,15.0,2.5,-0.5,True,,,r16c8,97.12553084831576,102.93119329095072,0.5243645136952115,,mask+YFP
Pos11,15,r15c15,division,17.0,2.8333333333333335,-0.16666666666666666,True,,,r15c17,118.02989672879455,123.46499402957608,0.792045159122704,,mask+YFP
Pos11,6,r6c7,division,17.0,2.8333333333333335,-0.16666666666666666,True,,,r6c13,104.88021333050312,106.51295728498782,0.2117425070987321,,mask+YFP
Pos11,13,r13c39,halt,19.0,3.1666666666666665,0.16666666666666666,True,0.0614022915192782,0.0,,,,,16.0,fate=HALTED
Pos11,1,r1c19,halt,19.0,3.1666666666666665,0.16666666666666666,True,0.0956061123311045,0.0,,,,,16.0,fate=HALTED
Pos11,13,r13c36,halt,20.0,3.3333333333333335,0.3333333333333333,True,-0.0179034124572838,0.0,,,,,16.0,fate=HALTED
Pos11,3,r3c17,halt,20.0,3.3333333333333335,0.3333333333333333,True,0.0430530780555304,0.0,,,,,16.0,fate=HALTED
Pos11,10,r10c2,halt,21.0,3.5,0.5,True,0.002133143941057,0.0,,,,,16.0,fate=HALTED
Pos11,1,r1c16,halt,21.0,3.5,0.5,True,0.0523807906145155,0.0,,,,,16.0,fate=HALTED
Pos11,28,r28c15,halt,21.0,3.5,0.5,True,0.0003817055596497,0.0,,,,,16.0,fate=HALTED
Pos11,28,r28c16,halt,21.0,3.5,0.5,True,0.0751609073398027,0.0,,,,,16.0,fate=HALTED
Pos11,3,r3c11,halt,21.0,3.5,0.5,True,0.0794225054017703,0.0,,,,,16.0,fate=HALTED
Pos11,10,r10c11,halt,22.0,3.6666666666666665,0.6666666666666666,True,0.0341244432231562,0.0,,,,,16.0,fate=HALTED
Pos11,10,r10c26,halt,22.0,3.6666666666666665,0.6666666666666666,True,0.0545793117895661,0.0,,,,,16.0,fate=HALTED
Pos11,13,r13c42,halt,22.0,3.6666666666666665,0.6666666666666666,True,-0.0805305718243363,0.0,,,,,15.0,fate=HALTED
Pos11,15,r15c15,halt,22.0,3.6666666666666665,0.6666666666666666,True,0.1537743865269245,0.0,,,,,16.0,fate=HALTED
Pos11,15,r15c17,halt,22.0,3.6666666666666665,0.6666666666666666,True,-0.0545791961516628,0.0,,,,,16.0,fate=HALTED
Pos11,15,r15c19,halt,22.0,3.6666666666666665,0.6666666666666666,True,0.0073817980483426,0.0,,,,,16.0,fate=HALTED
Pos11,15,r15c22,halt,22.0,3.6666666666666665,0.6666666666666666,True,-0.0705934312682297,0.0,,,,,16.0,fate=HALTED
Pos11,16,r16c6,halt,22.0,3.6666666666666665,0.6666666666666666,True,0.0674244513811079,0.0,,,,,16.0,fate=HALTED
Pos11,18,r18c15,halt,22.0,3.6666666666666665,0.6666666666666666,True,0.100887990782315,0.0,,,,,16.0,fate=HALTED
Pos11,23,r23c5,halt,22.0,3.6666666666666665,0.6666666666666666,True,-0.1605156327888273,0.0,,,,,16.0,fate=HALTED
Pos11,29,r29c16,halt,22.0,3.6666666666666665,0.6666666666666666,True,-0.096005276544937,0.0,,,,,16.0,fate=HALTED
Pos11,29,r29c19,halt,22.0,3.6666666666666665,0.6666666666666666,True,0.0058681097802049,0.0,,,,,16.0,fate=HALTED
Pos11,29,r29c21,halt,22.0,3.6666666666666665,0.6666666666666666,True,0.0042414267864714,0.0,,,,,16.0,fate=HALTED
Pos11,10,r10c18,halt,23.0,3.8333333333333335,0.8333333333333334,True,0.0324202459802576,0.0,,,,,16.0,fate=HALTED
Pos11,28,r28c26,halt,23.0,3.8333333333333335,0.8333333333333334,True,-0.0384922957416877,0.0,,,,,14.0,fate=HALTED
Pos11,13,r13c30,halt,24.0,4.0,1.0,True,-0.1909639429816128,0.0,,,,,14.0,fate=HALTED
Pos11,19,r19c23,halt,24.0,4.0,1.0,True,0.1410251138633809,0.0,,,,,16.0,fate=HALTED
Pos11,28,r28c17,halt,24.0,4.0,1.0,True,0.0004776258246974,0.0,,,,,16.0,fate=HALTED
Pos11,28,r28c21,halt,24.0,4.0,1.0,True,-0.0504665743529391,0.0,,,,,16.0,fate=HALTED
Pos11,28,r28c28,halt,24.0,4.0,1.0,True,-0.0534331589662921,0.0,,,,,13.0,fate=HALTED
Pos11,3,r3c10,halt,24.0,4.0,1.0,True,0.0274310781514044,0.0,,,,,16.0,fate=HALTED
Pos11,6,r6c7,halt,24.0,4.0,1.0,True,0.1497162928012594,0.0,,,,,16.0,fate=HALTED
Pos11,16,r16c1,halt,25.0,4.166666666666667,1.1666666666666667,True,0.1045642192653835,0.0,,,,,16.0,fate=HALTED
Pos11,18,r18c13,halt,25.0,4.166666666666667,1.1666666666666667,True,0.1259668473124771,0.0,,,,,16.0,fate=HALTED
Pos11,23,r23c12,halt,25.0,4.166666666666667,1.1666666666666667,True,-0.2700225811320464,0.0,,,,,16.0,fate=HALTED
Pos11,29,r29c15,halt,25.0,4.166666666666667,1.1666666666666667,True,-0.024507766563254,0.0,,,,,16.0,fate=HALTED
Pos11,29,r29c25,halt,26.0,4.333333333333333,1.3333333333333333,True,0.0007224374306713,0.0,,,,,15.0,fate=HALTED
Pos11,1,r1c23,halt,27.0,4.5,1.5,True,0.0945732017618512,0.0,,,,,16.0,fate=HALTED
Pos11,1,r1c29,halt,27.0,4.5,1.5,True,0.1031361542606688,0.0,,,,,14.0,fate=HALTED
Pos11,6,r6c12,halt,27.0,4.5,1.5,True,0.1544350295238823,0.0,,,,,16.0,fate=HALTED
Pos11,18,r18c9,halt,28.0,4.666666666666667,1.6666666666666667,True,-0.3548780582403461,0.0,,,,,16.0,fate=HALTED
Pos11,29,r29c20,halt,32.0,5.333333333333333,2.3333333333333335,True,0.1678351948956944,0.0,,,,,16.0,fate=HALTED
Pos11,6,r6c5,halt,40.0,6.666666666666667,3.6666666666666665,True,0.1439488002387117,0.0,,,,,16.0,fate=HALTED
Pos11,15,r15c20,halt,,,,False,-0.2410820175933112,0.0,,,,,16.0,fate=HALTED
Pos11,16,r16c12,halt,,,,False,0.029947999000083,0.0,,,,,16.0,fate=HALTED
Pos11,3,r3c16,halt,,,,False,0.0743398167637865,0.0,,,,,16.0,fate=HALTED
Pos12,18,r18c3,division,5.0,0.8333333333333334,-2.1666666666666665,True,,,r18c5,136.5410031867082,143.66602693259762,0.699649667224222,,mask+YFP
Pos12,27,r27c1,division,5.0,0.8333333333333334,-2.1666666666666665,True,,,r27c4,94.89497055710136,95.15072976888612,0.264331374106499,,mask+YFP
Pos12,26,r26c2,division,6.0,1.0,-2.0,True,,,r26c5,97.52344353535058,96.99754037764212,0.3954197524645996,,mask+YFP
Pos12,5,r5c1,division,8.0,1.3333333333333333,-1.6666666666666667,True,,,r5c5,84.51534381518422,85.25751520700446,0.6034065371167059,,mask+YFP
Pos12,3,r3c1,division,9.0,1.5,-1.5,True,,,r3c9,106.86843572901776,112.44488237911918,0.3235000044618857,,mask+YFP
