position,condition,cell_id,area_px,length_px,width_px,feret_max_px,arc_length_px,width_pa_px,straightness,perimeter_px,solidity,eccentricity,orientation_deg,mcherry_mean,mcherry_median,mcherry_bgsub_median,phase_bgsub_median,above_bg,is_dark,kept,reason,bg_median,bg_std,bg_tilt_x_per1kpx,bg_tilt_y_per1kpx,bg_tilt_range
Pos1,Exponential,1,973,61.48325215296892,21.1512352939617,57.87054518492115,57.35287102995164,18.20529790890654,1.0090261245108227,135.48877640912463,0.9093457943925234,0.9389637097707065,-6.814637082332147,,,,-226.0,,True,True,ok,509.0,48.92580032348633,,,
Pos1,Exponential,2,1013,68.53109644144853,19.20082260408165,64.8459713474939,63.79760812338881,16.831272486409787,1.0164326415196865,146.80967326783104,0.9449626865671642,0.9599484186371355,-26.203888971171423,,,,-189.0,,True,True,ok,509.0,48.92580032348633,,,
Pos1,Exponential,3,1038,76.84091934153015,17.91514383520141,71.30918594402827,70.88218213346696,15.358142913697264,1.0060241346655678,159.29710738999285,0.9089316987740805,0.9724417711009825,-21.44358304097848,,,,-211.0,,True,True,ok,509.0,48.92580032348633,,,
Pos1,Exponential,4,1030,81.55680436663957,17.612087214994073,74.43117626371358,74.0724321258165,14.515767719629292,1.0048431532164048,164.71595804157766,0.8512396694214877,0.9764047070216446,4.094975386844495,,,,-190.0,,True,True,ok,509.0,48.92580032348633,,,
Pos1,Exponential,5,1005,70.27874298171996,18.66860862018727,65.36818798161687,64.97198591303709,16.35131016828252,1.0060980446112588,148.61050739075358,0.9348837209302325,0.9640732230944605,-29.933031810083236,,,,-203.0,,True,True,ok,509.0,48.92580032348633,,,
Pos1,Exponential,6,944,66.94750160044272,18.55751234924288,62.81719509815764,61.25818777914462,16.346248800714363,1.0254497786423873,141.17713310293573,0.9209756097560976,0.9608136837755847,-9.452948282056127,,,,-193.0,,True,True,ok,509.0,48.92580032348633,,,
Pos1,Exponential,7,992,66.08733170916176,19.471972921938136,62.26556030423239,61.42394481433357,17.181422300101776,1.0137017492517417,142.46207510468716,0.9483747609942639,0.9556083177543032,60.921577014252755,,,,-217.0,,True,True,ok,509.0,48.92580032348633,,,
Pos1,Exponential,8,1126,76.02245566564673,19.321083645523874,71.16881339463234,70.66806273261368,16.78969059063938,1.0070859542862147,160.50311289954695,0.9344398340248963,0.9671648951292885,-17.20278303248373,,,,-201.5,,True,True,ok,509.0,48.92580032348633,,,
Pos1,Exponential,9,559,43.3703833456863,16.589297498711446,42.15447781671598,40.93584301036139,14.804508320958437,1.029769383423865,98.77240395993789,0.9555555555555556,0.9239542898964775,17.281752966431203,,,,-209.0,,True,True,ok,509.0,48.92580032348633,,,
Pos1,Exponential,10,590,44.20201269887833,17.24216651294016,41.97618372363071,40.67860660737953,15.825115754428033,1.0318982685118765,99.4230491022222,0.9719934102141681,0.9207824511086816,1.5245451041099047,,,,-218.0,,True,True,ok,509.0,48.92580032348633,,,
