,Expira_biorep_t0A_filtered.csv,SHX_biorep2A.csv,SHX_biorep2B.csv,SHX_biorep4A.csv,SHX_biorep6A.csv,VapC_biorep_t2A_filtered.csv,VapC_biorep_t5A_filtered.csv,VapC_biorep_t5B_filtered.csv,VapC_biorep_tONA_filtered.csv,adam_matrix_filtered.csv,sample_13a_filtered.csv,sample_13b_filtered.csv,sample_15a_filtered.csv,sample_15b_filtered.csv,sample_2b_filtered.csv
Expira_biorep_t0A_filtered.csv,1.0,-0.3919847504100269,-0.3970143765526999,-0.40563957363505143,-0.4019487913553222,-0.36395582769632784,-0.38067707404784495,-0.38494760022805746,-0.38621266179875374,-0.6981087529341004,-0.3943191300768755,-0.40740917742483723,,-0.4091982322342103,-0.4149661638318799
SHX_biorep2A.csv,-0.39198475041002684,0.9999999999999999,0.4986858724372489,0.47621366847585955,0.45008234673614134,0.36402757194351715,0.28448288144584977,0.24443256654807374,0.1633894236473877,0.4128031202728539,0.5244906423419692,0.4533291467276126,,0.45634018759580974,0.4538142301080935
SHX_biorep2B.csv,-0.3970143765526999,0.4986858724372489,1.0,0.4851700730013672,0.468748098314492,0.39203510070570163,0.32448923712734684,0.2892391886838873,0.22274063618737408,0.4155099058188328,0.5427842860076822,0.48793398808693267,,0.4876703185127567,0.47229789313445153
SHX_biorep4A.csv,-0.4056395736350514,0.4762136684758596,0.4851700730013672,0.9999999999999999,0.45609194758982224,0.38089503770679267,0.3117840974245519,0.2875668863793225,0.17106053388123038,0.4109582817134072,0.49534700473407395,0.47749321382483684,,0.477797709886534,0.4755030139378688
SHX_biorep6A.csv,-0.40194879135532213,0.4500823467361414,0.46874809831449205,0.4560919475898222,1.0,0.3731295025359227,0.3183518706493845,0.3158393354366365,0.2487302517662406,0.4170041388366507,0.48317884828242896,0.42227704659585447,,0.42281775977980474,0.41260014526830735
VapC_biorep_t2A_filtered.csv,-0.3639558276963278,0.3640275719435172,0.3920351007057016,0.38089503770679267,0.3731295025359227,0.9999999999999999,0.3666595639239883,0.35198003787060017,0.2653428442285039,0.3784613292211774,0.41835690047988217,0.37236142522186744,,0.378233052219999,0.3574490860335009
VapC_biorep_t5A_filtered.csv,-0.38067707404784495,0.28448288144584977,0.32448923712734684,0.3117840974245519,0.3183518706493845,0.3666595639239883,1.0,0.37506375534338915,0.3600397975877247,0.35410086908908034,0.3200500930086474,0.29280464755642777,,0.29585049338824393,0.31248303641778863
VapC_biorep_t5B_filtered.csv,-0.3849476002280575,0.24443256654807372,0.2892391886838873,0.2875668863793225,0.31583933543663656,0.3519800378706002,0.3750637553433891,1.0,0.42494443751250344,0.3421326396117093,0.2901306808146907,0.26324893008675876,,0.261997739830056,0.26908321199205004
VapC_biorep_tONA_filtered.csv,-0.3862126617987538,0.1633894236473877,0.22274063618737405,0.17106053388123038,0.24873025176624064,0.2653428442285039,0.3600397975877247,0.42494443751250344,1.0,0.3237300007308146,0.1985165967770741,0.19349158480084178,,0.1891155324955881,0.21981981800597772
adam_matrix_filtered.csv,-0.6981087529341004,0.4128031202728539,0.4155099058188328,0.4109582817134072,0.41700413883665066,0.3784613292211775,0.35410086908908034,0.34213263961170925,0.3237300007308146,1.0,0.43264372716999544,0.3833446733978086,,0.38047085135288145,0.379828994514524
sample_13a_filtered.csv,-0.39431913007687547,0.5244906423419692,0.5427842860076822,0.4953470047340739,0.4831788482824289,0.41835690047988217,0.3200500930086474,0.2901306808146907,0.1985165967770741,0.4326437271699955,0.9999999999999999,0.4986036123937012,,0.5017415735103167,0.5134628851881182
sample_13b_filtered.csv,-0.4074091774248372,0.4533291467276126,0.48793398808693267,0.47749321382483684,0.4222770465958545,0.3723614252218675,0.29280464755642777,0.26324893008675876,0.19349158480084178,0.3833446733978086,0.4986036123937012,0.9999999999999999,,0.962651183487175,0.6315069720604175
sample_15a_filtered.csv,,,,,,,,,,,,,,,
sample_15b_filtered.csv,-0.40919823223421037,0.4563401875958098,0.4876703185127567,0.477797709886534,0.4228177597798047,0.37823305221999903,0.29585049338824393,0.261997739830056,0.18911553249558807,0.38047085135288145,0.5017415735103167,0.962651183487175,,0.9999999999999999,0.6404425291163687
sample_2b_filtered.csv,-0.4149661638318799,0.4538142301080935,0.4722978931344515,0.4755030139378688,0.4126001452683074,0.3574490860335009,0.31248303641778863,0.26908321199205004,0.21981981800597766,0.379828994514524,0.5134628851881182,0.6315069720604175,,0.6404425291163687,1.0
