file_name,category,GMP_Cor,truncation,n_modes_used,n_genes_kept,threshold_scr,n_modes_above_threshold,entropy,norm_entropy,effective_n_genes,eff_fraction_of_P,top_gene,check_sum_all_modes,check_uniform_dev_all_modes,check_eff_n_all_modes
Expira_biorep_t0A_filtered.csv,r,32.719418,above,9,1997,6.822729454506361,9,5.071879052808395,0.6674050797273346,159.47370549570692,0.07985663770441008,alsk,1.0000000000000002,8.552349366891532e-14,1997.0000000000036
Expira_biorep_t0A_filtered.csv,r,32.719418,top5,5,1997,6.822729454506361,9,4.666542998935764,0.6140671869001323,106.32952505395428,0.05324462947118392,alsk,1.0000000000000002,8.552349366891532e-14,1997.0000000000036
Expira_biorep_t0A_filtered.csv,r,32.719418,top10,10,1997,6.822729454506361,9,5.1673313231714495,0.679965578400215,175.4460034949215,0.08785478392334578,alsk,1.0000000000000002,8.552349366891532e-14,1997.0000000000036
SHX_biorep2A.csv,d,9.602742,above,16,1997,6.373585018863812,16,6.731852117932217,0.8858397948179363,838.6991981544137,0.4199795684298516,mhpE,1.0000000000000009,8.227576606123499e-14,1997.0000000000107
SHX_biorep2A.csv,d,9.602742,top5,5,1997,6.373585018863812,16,6.271132830565956,0.8252140603485113,529.076392431702,0.2649355996152739,mhpE,1.0000000000000009,8.227576606123499e-14,1997.0000000000107
SHX_biorep2A.csv,d,9.602742,top10,10,1997,6.373585018863812,16,6.523534784767243,0.8584274600792814,680.9812581965758,0.341002132296733,mhpE,1.0000000000000009,8.227576606123499e-14,1997.0000000000107
SHX_biorep2B.csv,d,1.365394,above,2,1998,6.518278465596414,2,6.426727892005751,0.8456329998071541,618.1479882667459,0.3093833775108838,fimD,1.0000000000000002,8.058397699128861e-14,1998.0000000000027
SHX_biorep2B.csv,d,1.365394,top5,5,1998,6.518278465596414,2,6.898526189506916,0.907712523994898,990.8133678564867,0.4959025865147581,fimD,1.0000000000000002,8.058397699128861e-14,1998.0000000000027
SHX_biorep2B.csv,d,1.365394,top10,10,1998,6.518278465596414,2,7.098429752979056,0.934015963768871,1210.0654801815,0.6056383784692193,fimD,1.0000000000000002,8.058397699128861e-14,1998.0000000000027
SHX_biorep4A.csv,d,2.976518,above,2,1997,5.988694042908451,2,6.7611957622345615,0.88970110480999,863.6743277181095,0.4324858926981019,ygcJ,0.9999999999999994,8.379137227815248e-14,1996.9999999999948
SHX_biorep4A.csv,d,2.976518,top5,5,1997,5.988694042908451,2,7.200816122979413,0.9475504460221416,1340.5243508103756,0.6712690790237233,ygcJ,0.9999999999999994,8.379137227815248e-14,1996.9999999999948
SHX_biorep4A.csv,d,2.976518,top10,10,1997,5.988694042908451,2,7.355523132982345,0.9679082351709604,1564.815387852224,0.7835830685289054,phnI,0.9999999999999994,8.379137227815248e-14,1996.9999999999948
